♦8,♠10,♣J,♠J,♠A | Pair
♦2,♣4,♦5,♦8,♣8 | Pair
♥3,♣4,♦5,♦8,♣8 | Pair
♣2,♦2,♠8,♥J,♥Q | Pair
♣2,♠8,♣8,♥J,♥Q | Pair
♣2,♦2,♥3,♠8,♥J | Pair
♣2,♦2,♣4,♠8,♥J | Pair
♣2,♦2,♦5,♠8,♥J | Pair
♣2,♦2,♠8,♣8,♥J | Two pairs
♣2,♥3,♠8,♣8,♥J | Pair
♣2,♣4,♠8,♣8,♥J | Pair
♣2,♦5,♠8,♣8,♥J | Pair
♣2,♦2,♥3,♠8,♥Q | Pair
♣2,♦2,♣4,♠8,♥Q | Pair
♣2,♦2,♦5,♠8,♥Q | Pair
♣2,♦2,♠8,♣8,♥Q | Two pairs
♣2,♥3,♠8,♣8,♥Q | Pair
♣2,♣4,♠8,♣8,♥Q | Pair
♣2,♦5,♠8,♣8,♥Q | Pair
♣2,♦2,♥3,♣4,♠8 | Pair
♣2,♦2,♥3,♦5,♠8 | Pair
♣2,♦2,♥3,♠8,♣8 | Two pairs
♣2,♦2,♣4,♦5,♠8 | Pair
♣2,♦2,♣4,♠8,♣8 | Two pairs
♣2,♦2,♦5,♠8,♣8 | Two pairs
♣2,♥3,♣4,♠8,♣8 | Pair
♣2,♥3,♦5,♠8,♣8 | Pair
♣2,♣4,♦5,♠8,♣8 | Pair
♣2,♦2,♥3,♥J,♥Q | Pair
♣2,♦2,♣4,♥J,♥Q | Pair
♣2,♦2,♦5,♥J,♥Q | Pair
♣2,♦2,♣8,♥J,♥Q | Pair
♣2,♦2,♥3,♣4,♥J | Pair
♣2,♦2,♥3,♦5,♥J | Pair
♣2,♦2,♥3,♣8,♥J | Pair
♣2,♦2,♣4,♦5,♥J | Pair
♣2,♦2,♣4,♣8,♥J | Pair
♣2,♦2,♦5,♣8,♥J | Pair
♣2,♦2,♥3,♣4,♥Q | Pair
♣2,♦2,♥3,♦5,♥Q | Pair
♣2,♦2,♥3,♣8,♥Q | Pair
♣2,♦2,♣4,♦5,♥Q | Pair
♣2,♦2,♣4,♣8,♥Q | Pair
♣2,♦2,♦5,♣8,♥Q | Pair
♣2,♦2,♥3,♣4,♦5 | Pair
♣2,♦2,♥3,♣4,♣8 | Pair
♣2,♦2,♥3,♦5,♣8 | Pair
♣2,♦2,♣4,♦5,♣8 | Pair
♦2,♠8,♣8,♥J,♥Q | Pair
♥3,♠8,♣8,♥J,♥Q | Pair
♣4,♠8,♣8,♥J,♥Q | Pair
♦5,♠8,♣8,♥J,♥Q | Pair
♦2,♥3,♠8,♣8,♥J | Pair
♦2,♣4,♠8,♣8,♥J | Pair
♦2,♦5,♠8,♣8,♥J | Pair
♥3,♣4,♠8,♣8,♥J | Pair
♥3,♦5,♠8,♣8,♥J | Pair
♣4,♦5,♠8,♣8,♥J | Pair
♦2,♥3,♠8,♣8,♥Q | Pair
♦2,♣4,♠8,♣8,♥Q | Pair
♦2,♦5,♠8,♣8,♥Q | Pair
♥3,♣4,♠8,♣8,♥Q | Pair
♥3,♦5,♠8,♣8,♥Q | Pair
♣4,♦5,♠8,♣8,♥Q | Pair
♦2,♥3,♣4,♠8,♣8 | Pair
♦2,♥3,♦5,♠8,♣8 | Pair
♦2,♣4,♦5,♠8,♣8 | Pair
♥3,♣4,♦5,♠8,♣8 | Pair
