♠K, ♠8, ♣9, ♠5, ♥K | pair
♠8, ♥K, ♣K, ♥9, ♥7 | pair
♠8, ♥K, ♣K, ♥9, ♦8 | two pairs
♠8, ♥K, ♣K, ♥6, ♣8 | two pairs
♠8, ♥K, ♣K, ♥6, ♥7 | pair
♠8, ♥K, ♣K, ♥6, ♦8 | two pairs
♠8, ♥K, ♣K, ♣8, ♥7 | two pairs
♠8, ♥K, ♣K, ♣8, ♦8 | fullhouse
♠8, ♥K, ♣K, ♥7, ♦8 | two pairs
♠8, ♥K, ♥9, ♥6, ♣8 | pair
♠8, ♥K, ♥9, ♥6, ♦8 | pair
♠8, ♥K, ♥9, ♣8, ♥7 | pair
♠8, ♥K, ♥9, ♣8, ♦8 | three of a kind
♠8, ♥K, ♥9, ♥7, ♦8 | pair
♠8, ♥K, ♥6, ♣8, ♥7 | pair
♠8, ♥K, ♥6, ♣8, ♦8 | three of a kind
♠8, ♥K, ♥6, ♥7, ♦8 | pair
♠8, ♥K, ♣8, ♥7, ♦8 | three of a kind
♠8, ♣K, ♥9, ♥6, ♣8 | pair
♠8, ♣K, ♥9, ♥6, ♦8 | pair
♠8, ♣K, ♥9, ♣8, ♥7 | pair
♠8, ♣K, ♥9, ♣8, ♦8 | three of a kind
♠8, ♣K, ♥9, ♥7, ♦8 | pair
♠8, ♣K, ♥6, ♣8, ♥7 | pair
♠8, ♣K, ♥6, ♣8, ♦8 | three of a kind
♠8, ♣K, ♥6, ♥7, ♦8 | pair
♠8, ♣K, ♣8, ♥7, ♦8 | three of a kind
♠8, ♥9, ♥6, ♣8, ♥7 | pair
♠8, ♥9, ♥6, ♣8, ♦8 | three of a kind
♠8, ♥9, ♥6, ♥7, ♦8 | pair
♠8, ♥9, ♣8, ♥7, ♦8 | three of a kind
♠8, ♥6, ♣8, ♥7, ♦8 | three of a kind
♣9, ♠5, ♠7, ♣4, ♣7 | pair
♣9, ♠5, ♠7, ♣4, ♥9 | pair
♣9, ♠5, ♠7, ♣4, ♥7 | pair
♣9, ♠5, ♠7, ♣7, ♥K | pair
♣9, ♠5, ♠7, ♣7, ♣K | pair
♣9, ♠5, ♠7, ♣7, ♥9 | two pairs
♣9, ♠5, ♠7, ♣7, ♥6 | pair
♣9, ♠5, ♠7, ♣7, ♣8 | pair
♣9, ♠5, ♠7, ♣7, ♥7 | three of a kind
♣9, ♠5, ♠7, ♣7, ♦8 | pair
♣9, ♠5, ♠7, ♥K, ♣K | pair
♣9, ♠5, ♠7, ♥K, ♥9 | pair
♣9, ♠5, ♠7, ♥K, ♥7 | pair
♣9, ♠5, ♠7, ♣K, ♥9 | pair
♣9, ♠5, ♠7, ♣K, ♥7 | pair
♣9, ♠5, ♠7, ♥9, ♥6 | pair
♣9, ♠5, ♠7, ♥9, ♣8 | pair
♣9, ♠5, ♠7, ♥9, ♥7 | two pairs
♣9, ♠5, ♠7, ♥9, ♦8 | pair
♣9, ♠5, ♠7, ♥6, ♣8 | straight
♣9, ♠5, ♠7, ♥6, ♥7 | pair
♣9, ♠5, ♠7, ♥6, ♦8 | straight
♣9, ♠5, ♠7, ♣8, ♥7 | pair
♣9, ♠5, ♠7, ♣8, ♦8 | pair
♣9, ♠5, ♠7, ♥7, ♦8 | pair
♣9, ♠5, ♣4, ♣7, ♥9 | pair
♣9, ♠5, ♣4, ♣7, ♥7 | pair
♣9, ♠5, ♣4, ♥K, ♣K | pair
♣9, ♠5, ♣4, ♥K, ♥9 | pair
♣9, ♠5, ♣4, ♣K, ♥9 | pair
♣9, ♠5, ♣4, ♥9, ♥6 | pair
♣9, ♠5, ♣4, ♥9, ♣8 | pair
♣9, ♠5, ♣4, ♥9, ♥7 | pair
♣9, ♠5, ♣4, ♥9, ♦8 | pair
♣9, ♠5, ♣4, ♣8, ♦8 | pair
♣9, ♠5, ♣7, ♥K, ♣K | pair
♣9, ♠5, ♣7, ♥K, ♥9 | pair
♣9, ♠5, ♣7, ♥K, ♥7 | pair
♣9, ♠5, ♣7, ♣K, ♥9 | pair
♣9, ♠5, ♣7, ♣K, ♥7 | pair
♣9, ♠5, ♣7, ♥9, ♥6 | pair
♣9, ♠5, ♣7, ♥9, ♣8 | pair
♣9, ♠5, ♣7, ♥9, ♥7 | two pairs
♣9, ♠5, ♣7, ♥9, ♦8 | pair
♣9, ♠5, ♣7, ♥6, ♣8 | straight
♣9, ♠5, ♣7, ♥6, ♥7 | pair
♣9, ♠5, ♣7, ♥6, ♦8 | straight
♣9, ♠5, ♣7, ♣8, ♥7 | pair
♣9, ♠5, ♣7, ♣8, ♦8 | pair
♣9, ♠5, ♣7, ♥7, ♦8 | pair
♣9, ♠5, ♥K, ♣K, ♥9 | two pairs
♣9, ♠5, ♥K, ♣K, ♥6 | pair
♣9, ♠5, ♥K, ♣K, ♣8 | pair
♣9, ♠5, ♥K, ♣K, ♥7 | pair
♣9, ♠5, ♥K, ♣K, ♦8 | pair
♣9, ♠5, ♥K, ♥9, ♥6 | pair
♣9, ♠5, ♥K, ♥9, ♣8 | pair
♣9, ♠5, ♥K, ♥9, ♥7 | pair
♣9, ♠5, ♥K, ♥9, ♦8 | pair
♣9, ♠5, ♥K, ♣8, ♦8 | pair
♣9, ♠5, ♣K, ♥9, ♥6 | pair
♣9, ♠5, ♣K, ♥9, ♣8 | pair
♣9, ♠5, ♣K, ♥9, ♥7 | pair
♣9, ♠5, ♣K, ♥9, ♦8 | pair
♣9, ♠5, ♣K, ♣8, ♦8 | pair
♣9, ♠5, ♥9, ♥6, ♣8 | pair
♣9, ♠5, ♥9, ♥6, ♥7 | pair
♣9, ♠5, ♥9, ♥6, ♦8 | pair
♣9, ♠5, ♥9, ♣8, ♥7 | pair
♣9, ♠5, ♥9, ♣8, ♦8 | two pairs
♣9, ♠5, ♥9, ♥7, ♦8 | pair
♣9, ♠5, ♥6, ♣8, ♥7 | straight
♣9, ♠5, ♥6, ♣8, ♦8 | pair
♣9, ♠5, ♥6, ♥7, ♦8 | straight
♣9, ♠5, ♣8, ♥7, ♦8 | pair
♣9, ♠7, ♣4, ♣7, ♥K | pair
♣9, ♠7, ♣4, ♣7, ♣K | pair
♣9, ♠7, ♣4, ♣7, ♥9 | two pairs
♣9, ♠7, ♣4, ♣7, ♥6 | pair
♣9, ♠7, ♣4, ♣7, ♣8 | pair
♣9, ♠7, ♣4, ♣7, ♥7 | three of a kind
♣9, ♠7, ♣4, ♣7, ♦8 | pair
♣9, ♠7, ♣4, ♥K, ♣K | pair
♣9, ♠7, ♣4, ♥K, ♥9 | pair
♣9, ♠7, ♣4, ♥K, ♥7 | pair
♣9, ♠7, ♣4, ♣K, ♥9 | pair
♣9, ♠7, ♣4, ♣K, ♥7 | pair
♣9, ♠7, ♣4, ♥9, ♥6 | pair
♣9, ♠7, ♣4, ♥9, ♣8 | pair
♣9, ♠7, ♣4, ♥9, ♥7 | two pairs
♣9, ♠7, ♣4, ♥9, ♦8 | pair
♣9, ♠7, ♣4, ♥6, ♥7 | pair
♣9, ♠7, ♣4, ♣8, ♥7 | pair
♣9, ♠7, ♣4, ♣8, ♦8 | pair
♣9, ♠7, ♣4, ♥7, ♦8 | pair
♣9, ♠7, ♣7, ♥K, ♣K | two pairs
♣9, ♠7, ♣7, ♥K, ♥9 | two pairs
♣9, ♠7, ♣7, ♥K, ♥6 | pair
♣9, ♠7, ♣7, ♥K, ♣8 | pair
♣9, ♠7, ♣7, ♥K, ♥7 | three of a kind
♣9, ♠7, ♣7, ♥K, ♦8 | pair
♣9, ♠7, ♣7, ♣K, ♥9 | two pairs
♣9, ♠7, ♣7, ♣K, ♥6 | pair
♣9, ♠7, ♣7, ♣K, ♣8 | pair
♣9, ♠7, ♣7, ♣K, ♥7 | three of a kind
♣9, ♠7, ♣7, ♣K, ♦8 | pair
♣9, ♠7, ♣7, ♥9, ♥6 | two pairs
♣9, ♠7, ♣7, ♥9, ♣8 | two pairs
♣9, ♠7, ♣7, ♥9, ♥7 | fullhouse
♣9, ♠7, ♣7, ♥9, ♦8 | two pairs
♣9, ♠7, ♣7, ♥6, ♣8 | pair
♣9, ♠7, ♣7, ♥6, ♥7 | three of a kind
♣9, ♠7, ♣7, ♥6, ♦8 | pair
♣9, ♠7, ♣7, ♣8, ♥7 | three of a kind
♣9, ♠7, ♣7, ♣8, ♦8 | two pairs
♣9, ♠7, ♣7, ♥7, ♦8 | three of a kind
♣9, ♠7, ♥K, ♣K, ♥9 | two pairs
♣9, ♠7, ♥K, ♣K, ♥6 | pair
♣9, ♠7, ♥K, ♣K, ♣8 | pair
♣9, ♠7, ♥K, ♣K, ♥7 | two pairs
♣9, ♠7, ♥K, ♣K, ♦8 | pair
♣9, ♠7, ♥K, ♥9, ♥6 | pair
♣9, ♠7, ♥K, ♥9, ♣8 | pair
♣9, ♠7, ♥K, ♥9, ♥7 | two pairs
♣9, ♠7, ♥K, ♥9, ♦8 | pair
♣9, ♠7, ♥K, ♥6, ♥7 | pair
♣9, ♠7, ♥K, ♣8, ♥7 | pair
♣9, ♠7, ♥K, ♣8, ♦8 | pair
♣9, ♠7, ♥K, ♥7, ♦8 | pair
♣9, ♠7, ♣K, ♥9, ♥6 | pair
♣9, ♠7, ♣K, ♥9, ♣8 | pair
♣9, ♠7, ♣K, ♥9, ♥7 | two pairs
♣9, ♠7, ♣K, ♥9, ♦8 | pair
♣9, ♠7, ♣K, ♥6, ♥7 | pair
♣9, ♠7, ♣K, ♣8, ♥7 | pair
♣9, ♠7, ♣K, ♣8, ♦8 | pair
♣9, ♠7, ♣K, ♥7, ♦8 | pair
♣9, ♠7, ♥9, ♥6, ♣8 | pair
♣9, ♠7, ♥9, ♥6, ♥7 | two pairs
♣9, ♠7, ♥9, ♥6, ♦8 | pair
♣9, ♠7, ♥9, ♣8, ♥7 | two pairs
♣9, ♠7, ♥9, ♣8, ♦8 | two pairs
♣9, ♠7, ♥9, ♥7, ♦8 | two pairs
♣9, ♠7, ♥6, ♣8, ♥7 | pair
♣9, ♠7, ♥6, ♣8, ♦8 | pair
♣9, ♠7, ♥6, ♥7, ♦8 | pair
♣9, ♠7, ♣8, ♥7, ♦8 | two pairs
♣9, ♣4, ♣7, ♥K, ♣K | pair
♣9, ♣4, ♣7, ♥K, ♥9 | pair
♣9, ♣4, ♣7, ♥K, ♥7 | pair
♣9, ♣4, ♣7, ♣K, ♥9 | pair
♣9, ♣4, ♣7, ♣K, ♣8 | flush
♣9, ♣4, ♣7, ♣K, ♥7 | pair
♣9, ♣4, ♣7, ♥9, ♥6 | pair
♣9, ♣4, ♣7, ♥9, ♣8 | pair
♣9, ♣4, ♣7, ♥9, ♥7 | two pairs
♣9, ♣4, ♣7, ♥9, ♦8 | pair
♣9, ♣4, ♣7, ♥6, ♥7 | pair
♣9, ♣4, ♣7, ♣8, ♥7 | pair
♣9, ♣4, ♣7, ♣8, ♦8 | pair
♣9, ♣4, ♣7, ♥7, ♦8 | pair
♣9, ♣4, ♥K, ♣K, ♥9 | two pairs
♣9, ♣4, ♥K, ♣K, ♥6 | pair
♣9, ♣4, ♥K, ♣K, ♣8 | pair
♣9, ♣4, ♥K, ♣K, ♥7 | pair
♣9, ♣4, ♥K, ♣K, ♦8 | pair
♣9, ♣4, ♥K, ♥9, ♥6 | pair
♣9, ♣4, ♥K, ♥9, ♣8 | pair
♣9, ♣4, ♥K, ♥9, ♥7 | pair
♣9, ♣4, ♥K, ♥9, ♦8 | pair
♣9, ♣4, ♥K, ♣8, ♦8 | pair
♣9, ♣4, ♣K, ♥9, ♥6 | pair
♣9, ♣4, ♣K, ♥9, ♣8 | pair
♣9, ♣4, ♣K, ♥9, ♥7 | pair
♣9, ♣4, ♣K, ♥9, ♦8 | pair
♣9, ♣4, ♣K, ♣8, ♦8 | pair
♣9, ♣4, ♥9, ♥6, ♣8 | pair
♣9, ♣4, ♥9, ♥6, ♥7 | pair
♣9, ♣4, ♥9, ♥6, ♦8 | pair
♣9, ♣4, ♥9, ♣8, ♥7 | pair
♣9, ♣4, ♥9, ♣8, ♦8 | two pairs
♣9, ♣4, ♥9, ♥7, ♦8 | pair
♣9, ♣4, ♥6, ♣8, ♦8 | pair
♣9, ♣4, ♣8, ♥7, ♦8 | pair
♣9, ♣7, ♥K, ♣K, ♥9 | two pairs
♣9, ♣7, ♥K, ♣K, ♥6 | pair
♣9, ♣7, ♥K, ♣K, ♣8 | pair
♣9, ♣7, ♥K, ♣K, ♥7 | two pairs
♣9, ♣7, ♥K, ♣K, ♦8 | pair
♣9, ♣7, ♥K, ♥9, ♥6 | pair
♣9, ♣7, ♥K, ♥9, ♣8 | pair
♣9, ♣7, ♥K, ♥9, ♥7 | two pairs
♣9, ♣7, ♥K, ♥9, ♦8 | pair
♣9, ♣7, ♥K, ♥6, ♥7 | pair
♣9, ♣7, ♥K, ♣8, ♥7 | pair
♣9, ♣7, ♥K, ♣8, ♦8 | pair
♣9, ♣7, ♥K, ♥7, ♦8 | pair
♣9, ♣7, ♣K, ♥9, ♥6 | pair
♣9, ♣7, ♣K, ♥9, ♣8 | pair
♣9, ♣7, ♣K, ♥9, ♥7 | two pairs
♣9, ♣7, ♣K, ♥9, ♦8 | pair
♣9, ♣7, ♣K, ♥6, ♥7 | pair
♣9, ♣7, ♣K, ♣8, ♥7 | pair
♣9, ♣7, ♣K, ♣8, ♦8 | pair
♣9, ♣7, ♣K, ♥7, ♦8 | pair
♣9, ♣7, ♥9, ♥6, ♣8 | pair
♣9, ♣7, ♥9, ♥6, ♥7 | two pairs
♣9, ♣7, ♥9, ♥6, ♦8 | pair
♣9, ♣7, ♥9, ♣8, ♥7 | two pairs
♣9, ♣7, ♥9, ♣8, ♦8 | two pairs
♣9, ♣7, ♥9, ♥7, ♦8 | two pairs
♣9, ♣7, ♥6, ♣8, ♥7 | pair
♣9, ♣7, ♥6, ♣8, ♦8 | pair
♣9, ♣7, ♥6, ♥7, ♦8 | pair
♣9, ♣7, ♣8, ♥7, ♦8 | two pairs
♣9, ♥K, ♣K, ♥9, ♥6 | two pairs
♣9, ♥K, ♣K, ♥9, ♣8 | two pairs
♣9, ♥K, ♣K, ♥9, ♥7 | two pairs
♣9, ♥K, ♣K, ♥9, ♦8 | two pairs
♣9, ♥K, ♣K, ♥6, ♣8 | pair
♣9, ♥K, ♣K, ♥6, ♥7 | pair
♣9, ♥K, ♣K, ♥6, ♦8 | pair
♣9, ♥K, ♣K, ♣8, ♥7 | pair
♣9, ♥K, ♣K, ♣8, ♦8 | two pairs
♣9, ♥K, ♣K, ♥7, ♦8 | pair
♣9, ♥K, ♥9, ♥6, ♣8 | pair
♣9, ♥K, ♥9, ♥6, ♥7 | pair
♣9, ♥K, ♥9, ♥6, ♦8 | pair
♣9, ♥K, ♥9, ♣8, ♥7 | pair
♣9, ♥K, ♥9, ♣8, ♦8 | two pairs
♣9, ♥K, ♥9, ♥7, ♦8 | pair
♣9, ♥K, ♥6, ♣8, ♦8 | pair
♣9, ♥K, ♣8, ♥7, ♦8 | pair
♣9, ♣K, ♥9, ♥6, ♣8 | pair
♣9, ♣K, ♥9, ♥6, ♥7 | pair
♣9, ♣K, ♥9, ♥6, ♦8 | pair
♣9, ♣K, ♥9, ♣8, ♥7 | pair
♣9, ♣K, ♥9, ♣8, ♦8 | two pairs
♣9, ♣K, ♥9, ♥7, ♦8 | pair
♣9, ♣K, ♥6, ♣8, ♦8 | pair
♣9, ♣K, ♣8, ♥7, ♦8 | pair
♣9, ♥9, ♥6, ♣8, ♥7 | pair
♣9, ♥9, ♥6, ♣8, ♦8 | two pairs
♣9, ♥9, ♥6, ♥7, ♦8 | pair
♣9, ♥9, ♣8, ♥7, ♦8 | two pairs
♣9, ♥6, ♣8, ♥7, ♦8 | pair
♠5, ♠7, ♣4, ♣7, ♥K | pair
♠5, ♠7, ♣4, ♣7, ♣K | pair
♠5, ♠7, ♣4, ♣7, ♥9 | pair
♠5, ♠7, ♣4, ♣7, ♥6 | pair
♠5, ♠7, ♣4, ♣7, ♣8 | pair
♠5, ♠7, ♣4, ♣7, ♥7 | three of a kind
♠5, ♠7, ♣4, ♣7, ♦8 | pair
♠5, ♠7, ♣4, ♥K, ♣K | pair
♠5, ♠7, ♣4, ♥K, ♥7 | pair
♠5, ♠7, ♣4, ♣K, ♥7 | pair
♠5, ♠7, ♣4, ♥9, ♥7 | pair
♠5, ♠7, ♣4, ♥6, ♣8 | straight
♠5, ♠7, ♣4, ♥6, ♥7 | pair
♠5, ♠7, ♣4, ♥6, ♦8 | straight
♠5, ♠7, ♣4, ♣8, ♥7 | pair
♠5, ♠7, ♣4, ♣8, ♦8 | pair
♠5, ♠7, ♣4, ♥7, ♦8 | pair
♠5, ♠7, ♣7, ♥K, ♣K | two pairs
♠5, ♠7, ♣7, ♥K, ♥9 | pair
♠5, ♠7, ♣7, ♥K, ♥6 | pair
♠5, ♠7, ♣7, ♥K, ♣8 | pair
♠5, ♠7, ♣7, ♥K, ♥7 | three of a kind
♠5, ♠7, ♣7, ♥K, ♦8 | pair
♠5, ♠7, ♣7, ♣K, ♥9 | pair
♠5, ♠7, ♣7, ♣K, ♥6 | pair
♠5, ♠7, ♣7, ♣K, ♣8 | pair
♠5, ♠7, ♣7, ♣K, ♥7 | three of a kind
♠5, ♠7, ♣7, ♣K, ♦8 | pair
♠5, ♠7, ♣7, ♥9, ♥6 | pair
♠5, ♠7, ♣7, ♥9, ♣8 | pair
♠5, ♠7, ♣7, ♥9, ♥7 | three of a kind
♠5, ♠7, ♣7, ♥9, ♦8 | pair
♠5, ♠7, ♣7, ♥6, ♣8 | pair
♠5, ♠7, ♣7, ♥6, ♥7 | three of a kind
♠5, ♠7, ♣7, ♥6, ♦8 | pair
♠5, ♠7, ♣7, ♣8, ♥7 | three of a kind
♠5, ♠7, ♣7, ♣8, ♦8 | two pairs
♠5, ♠7, ♣7, ♥7, ♦8 | three of a kind
♠5, ♠7, ♥K, ♣K, ♥9 | pair
♠5, ♠7, ♥K, ♣K, ♥6 | pair
♠5, ♠7, ♥K, ♣K, ♣8 | pair
♠5, ♠7, ♥K, ♣K, ♥7 | two pairs
♠5, ♠7, ♥K, ♣K, ♦8 | pair
♠5, ♠7, ♥K, ♥9, ♥7 | pair
♠5, ♠7, ♥K, ♥6, ♥7 | pair
♠5, ♠7, ♥K, ♣8, ♥7 | pair
♠5, ♠7, ♥K, ♣8, ♦8 | pair
♠5, ♠7, ♥K, ♥7, ♦8 | pair
♠5, ♠7, ♣K, ♥9, ♥7 | pair
♠5, ♠7, ♣K, ♥6, ♥7 | pair
♠5, ♠7, ♣K, ♣8, ♥7 | pair
♠5, ♠7, ♣K, ♣8, ♦8 | pair
♠5, ♠7, ♣K, ♥7, ♦8 | pair
♠5, ♠7, ♥9, ♥6, ♣8 | straight
♠5, ♠7, ♥9, ♥6, ♥7 | pair
♠5, ♠7, ♥9, ♥6, ♦8 | straight
♠5, ♠7, ♥9, ♣8, ♥7 | pair
♠5, ♠7, ♥9, ♣8, ♦8 | pair
♠5, ♠7, ♥9, ♥7, ♦8 | pair
♠5, ♠7, ♥6, ♣8, ♥7 | pair
♠5, ♠7, ♥6, ♣8, ♦8 | pair
♠5, ♠7, ♥6, ♥7, ♦8 | pair
♠5, ♠7, ♣8, ♥7, ♦8 | two pairs
♠5, ♣4, ♣7, ♥K, ♣K | pair
♠5, ♣4, ♣7, ♥K, ♥7 | pair
♠5, ♣4, ♣7, ♣K, ♥7 | pair
♠5, ♣4, ♣7, ♥9, ♥7 | pair
♠5, ♣4, ♣7, ♥6, ♣8 | straight
♠5, ♣4, ♣7, ♥6, ♥7 | pair
♠5, ♣4, ♣7, ♥6, ♦8 | straight
♠5, ♣4, ♣7, ♣8, ♥7 | pair
♠5, ♣4, ♣7, ♣8, ♦8 | pair
♠5, ♣4, ♣7, ♥7, ♦8 | pair
♠5, ♣4, ♥K, ♣K, ♥9 | pair
♠5, ♣4, ♥K, ♣K, ♥6 | pair
♠5, ♣4, ♥K, ♣K, ♣8 | pair
♠5, ♣4, ♥K, ♣K, ♥7 | pair
♠5, ♣4, ♥K, ♣K, ♦8 | pair
♠5, ♣4, ♥K, ♣8, ♦8 | pair
♠5, ♣4, ♣K, ♣8, ♦8 | pair
♠5, ♣4, ♥9, ♣8, ♦8 | pair
♠5, ♣4, ♥6, ♣8, ♥7 | straight
♠5, ♣4, ♥6, ♣8, ♦8 | pair
♠5, ♣4, ♥6, ♥7, ♦8 | straight
♠5, ♣4, ♣8, ♥7, ♦8 | pair
♠5, ♣7, ♥K, ♣K, ♥9 | pair
♠5, ♣7, ♥K, ♣K, ♥6 | pair
♠5, ♣7, ♥K, ♣K, ♣8 | pair
♠5, ♣7, ♥K, ♣K, ♥7 | two pairs
♠5, ♣7, ♥K, ♣K, ♦8 | pair
♠5, ♣7, ♥K, ♥9, ♥7 | pair
♠5, ♣7, ♥K, ♥6, ♥7 | pair
♠5, ♣7, ♥K, ♣8, ♥7 | pair
♠5, ♣7, ♥K, ♣8, ♦8 | pair
♠5, ♣7, ♥K, ♥7, ♦8 | pair
♠5, ♣7, ♣K, ♥9, ♥7 | pair
♠5, ♣7, ♣K, ♥6, ♥7 | pair
♠5, ♣7, ♣K, ♣8, ♥7 | pair
♠5, ♣7, ♣K, ♣8, ♦8 | pair
♠5, ♣7, ♣K, ♥7, ♦8 | pair
♠5, ♣7, ♥9, ♥6, ♣8 | straight
♠5, ♣7, ♥9, ♥6, ♥7 | pair
♠5, ♣7, ♥9, ♥6, ♦8 | straight
♠5, ♣7, ♥9, ♣8, ♥7 | pair
♠5, ♣7, ♥9, ♣8, ♦8 | pair
♠5, ♣7, ♥9, ♥7, ♦8 | pair
♠5, ♣7, ♥6, ♣8, ♥7 | pair
♠5, ♣7, ♥6, ♣8, ♦8 | pair
♠5, ♣7, ♥6, ♥7, ♦8 | pair
♠5, ♣7, ♣8, ♥7, ♦8 | two pairs
♠5, ♥K, ♣K, ♥9, ♥6 | pair
♠5, ♥K, ♣K, ♥9, ♣8 | pair
♠5, ♥K, ♣K, ♥9, ♥7 | pair
♠5, ♥K, ♣K, ♥9, ♦8 | pair
♠5, ♥K, ♣K, ♥6, ♣8 | pair
♠5, ♥K, ♣K, ♥6, ♥7 | pair
♠5, ♥K, ♣K, ♥6, ♦8 | pair
♠5, ♥K, ♣K, ♣8, ♥7 | pair
♠5, ♥K, ♣K, ♣8, ♦8 | two pairs
♠5, ♥K, ♣K, ♥7, ♦8 | pair
♠5, ♥K, ♥9, ♣8, ♦8 | pair
♠5, ♥K, ♥6, ♣8, ♦8 | pair
♠5, ♥K, ♣8, ♥7, ♦8 | pair
♠5, ♣K, ♥9, ♣8, ♦8 | pair
♠5, ♣K, ♥6, ♣8, ♦8 | pair
♠5, ♣K, ♣8, ♥7, ♦8 | pair
♠5, ♥9, ♥6, ♣8, ♥7 | straight
♠5, ♥9, ♥6, ♣8, ♦8 | pair
♠5, ♥9, ♥6, ♥7, ♦8 | straight
♠5, ♥9, ♣8, ♥7, ♦8 | pair
♠5, ♥6, ♣8, ♥7, ♦8 | pair
♠7, ♣4, ♣7, ♥K, ♣K | two pairs
♠7, ♣4, ♣7, ♥K, ♥9 | pair
♠7, ♣4, ♣7, ♥K, ♥6 | pair
♠7, ♣4, ♣7, ♥K, ♣8 | pair
♠7, ♣4, ♣7, ♥K, ♥7 | three of a kind
♠7, ♣4, ♣7, ♥K, ♦8 | pair
♠7, ♣4, ♣7, ♣K, ♥9 | pair
♠7, ♣4, ♣7, ♣K, ♥6 | pair
♠7, ♣4, ♣7, ♣K, ♣8 | pair
♠7, ♣4, ♣7, ♣K, ♥7 | three of a kind
♠7, ♣4, ♣7, ♣K, ♦8 | pair
♠7, ♣4, ♣7, ♥9, ♥6 | pair
♠7, ♣4, ♣7, ♥9, ♣8 | pair
♠7, ♣4, ♣7, ♥9, ♥7 | three of a kind
♠7, ♣4, ♣7, ♥9, ♦8 | pair
♠7, ♣4, ♣7, ♥6, ♣8 | pair
♠7, ♣4, ♣7, ♥6, ♥7 | three of a kind
♠7, ♣4, ♣7, ♥6, ♦8 | pair
♠7, ♣4, ♣7, ♣8, ♥7 | three of a kind
♠7, ♣4, ♣7, ♣8, ♦8 | two pairs
♠7, ♣4, ♣7, ♥7, ♦8 | three of a kind
♠7, ♣4, ♥K, ♣K, ♥9 | pair
♠7, ♣4, ♥K, ♣K, ♥6 | pair
♠7, ♣4, ♥K, ♣K, ♣8 | pair
♠7, ♣4, ♥K, ♣K, ♥7 | two pairs
♠7, ♣4, ♥K, ♣K, ♦8 | pair
♠7, ♣4, ♥K, ♥9, ♥7 | pair
♠7, ♣4, ♥K, ♥6, ♥7 | pair
♠7, ♣4, ♥K, ♣8, ♥7 | pair
♠7, ♣4, ♥K, ♣8, ♦8 | pair
♠7, ♣4, ♥K, ♥7, ♦8 | pair
♠7, ♣4, ♣K, ♥9, ♥7 | pair
♠7, ♣4, ♣K, ♥6, ♥7 | pair
♠7, ♣4, ♣K, ♣8, ♥7 | pair
♠7, ♣4, ♣K, ♣8, ♦8 | pair
♠7, ♣4, ♣K, ♥7, ♦8 | pair
♠7, ♣4, ♥9, ♥6, ♥7 | pair
♠7, ♣4, ♥9, ♣8, ♥7 | pair
♠7, ♣4, ♥9, ♣8, ♦8 | pair
♠7, ♣4, ♥9, ♥7, ♦8 | pair
♠7, ♣4, ♥6, ♣8, ♥7 | pair
♠7, ♣4, ♥6, ♣8, ♦8 | pair
♠7, ♣4, ♥6, ♥7, ♦8 | pair
♠7, ♣4, ♣8, ♥7, ♦8 | two pairs
♠7, ♣7, ♥K, ♣K, ♥9 | two pairs
♠7, ♣7, ♥K, ♣K, ♥6 | two pairs
♠7, ♣7, ♥K, ♣K, ♣8 | two pairs
♠7, ♣7, ♥K, ♣K, ♥7 | fullhouse
♠7, ♣7, ♥K, ♣K, ♦8 | two pairs
♠7, ♣7, ♥K, ♥9, ♥6 | pair
♠7, ♣7, ♥K, ♥9, ♣8 | pair
♠7, ♣7, ♥K, ♥9, ♥7 | three of a kind
♠7, ♣7, ♥K, ♥9, ♦8 | pair
♠7, ♣7, ♥K, ♥6, ♣8 | pair
♠7, ♣7, ♥K, ♥6, ♥7 | three of a kind
♠7, ♣7, ♥K, ♥6, ♦8 | pair
♠7, ♣7, ♥K, ♣8, ♥7 | three of a kind
♠7, ♣7, ♥K, ♣8, ♦8 | two pairs
♠7, ♣7, ♥K, ♥7, ♦8 | three of a kind
♠7, ♣7, ♣K, ♥9, ♥6 | pair
♠7, ♣7, ♣K, ♥9, ♣8 | pair
♠7, ♣7, ♣K, ♥9, ♥7 | three of a kind
♠7, ♣7, ♣K, ♥9, ♦8 | pair
♠7, ♣7, ♣K, ♥6, ♣8 | pair
♠7, ♣7, ♣K, ♥6, ♥7 | three of a kind
♠7, ♣7, ♣K, ♥6, ♦8 | pair
♠7, ♣7, ♣K, ♣8, ♥7 | three of a kind
♠7, ♣7, ♣K, ♣8, ♦8 | two pairs
♠7, ♣7, ♣K, ♥7, ♦8 | three of a kind
♠7, ♣7, ♥9, ♥6, ♣8 | pair
♠7, ♣7, ♥9, ♥6, ♥7 | three of a kind
♠7, ♣7, ♥9, ♥6, ♦8 | pair
♠7, ♣7, ♥9, ♣8, ♥7 | three of a kind
♠7, ♣7, ♥9, ♣8, ♦8 | two pairs
♠7, ♣7, ♥9, ♥7, ♦8 | three of a kind
♠7, ♣7, ♥6, ♣8, ♥7 | three of a kind
♠7, ♣7, ♥6, ♣8, ♦8 | two pairs
♠7, ♣7, ♥6, ♥7, ♦8 | three of a kind
♠7, ♣7, ♣8, ♥7, ♦8 | fullhouse
♠7, ♥K, ♣K, ♥9, ♥6 | pair
♠7, ♥K, ♣K, ♥9, ♣8 | pair
