♣J,♠J,♠A,♠T,♦8 | Pair
♦8,♠8,♦2,♣4,♦5 | Pair
♦8,♠8,♦2,♣4,♣8 | Full House
♦8,♠8,♦2,♦5,♣8 | Full House
♦8,♠8,♥3,♣4,♦5 | Pair
♦8,♠8,♥3,♣4,♣8 | Full House
♦8,♠8,♥3,♦5,♣8 | Full House
♦8,♠8,♣4,♦5,♣8 | Full House
♦8,♥J,♥Q,♦2,♣8 | Pair
♦8,♥J,♥Q,♥3,♣8 | Pair
♦8,♥J,♥Q,♣4,♣8 | Pair
♦8,♥J,♥Q,♦5,♣8 | Pair
♦8,♥J,♦2,♥3,♣8 | Pair
♦8,♥J,♦2,♣4,♣8 | Pair
♦8,♥J,♦2,♦5,♣8 | Pair
♦8,♥J,♥3,♣4,♣8 | Pair
♦8,♥J,♥3,♦5,♣8 | Pair
♦8,♥J,♣4,♦5,♣8 | Pair
♦8,♥Q,♦2,♥3,♣8 | Pair
♦8,♥Q,♦2,♣4,♣8 | Pair
♦8,♥Q,♦2,♦5,♣8 | Pair
♦8,♥Q,♥3,♣4,♣8 | Pair
♦8,♥Q,♥3,♦5,♣8 | Pair
♦8,♥Q,♣4,♦5,♣8 | Pair
♦8,♦2,♥3,♣4,♣8 | Pair
♦8,♦2,♥3,♦5,♣8 | Pair
♦8,♦2,♣4,♦5,♣8 | Pair
♦8,♥3,♣4,♦5,♣8 | Pair
♣2,♠8,♥J,♥Q,♦2 | Pair
♣2,♠8,♥J,♥Q,♣8 | Pair
♣2,♠8,♥J,♦2,♥3 | Pair
♣2,♠8,♥J,♦2,♣4 | Pair
♣2,♠8,♥J,♦2,♦5 | Pair
♣2,♠8,♥J,♦2,♣8 | Two Pairs
♣2,♠8,♥J,♥3,♣8 | Pair
♣2,♠8,♥J,♣4,♣8 | Pair
♣2,♠8,♥J,♦5,♣8 | Pair
♣2,♠8,♥Q,♦2,♥3 | Pair
♣2,♠8,♥Q,♦2,♣4 | Pair
♣2,♠8,♥Q,♦2,♦5 | Pair
♣2,♠8,♥Q,♦2,♣8 | Two Pairs
♣2,♠8,♥Q,♥3,♣8 | Pair
♣2,♠8,♥Q,♣4,♣8 | Pair
♣2,♠8,♥Q,♦5,♣8 | Pair
♣2,♠8,♦2,♥3,♣4 | Pair
♣2,♠8,♦2,♥3,♦5 | Pair
♣2,♠8,♦2,♥3,♣8 | Two Pairs
♣2,♠8,♦2,♣4,♦5 | Pair
♣2,♠8,♦2,♣4,♣8 | Two Pairs
♣2,♠8,♦2,♦5,♣8 | Two Pairs
♣2,♠8,♥3,♣4,♣8 | Pair
♣2,♠8,♥3,♦5,♣8 | Pair
♣2,♠8,♣4,♦5,♣8 | Pair
♣2,♥J,♥Q,♦2,♥3 | Pair
♣2,♥J,♥Q,♦2,♣4 | Pair
♣2,♥J,♥Q,♦2,♦5 | Pair
♣2,♥J,♥Q,♦2,♣8 | Pair
♣2,♥J,♦2,♥3,♣4 | Pair
♣2,♥J,♦2,♥3,♦5 | Pair
♣2,♥J,♦2,♥3,♣8 | Pair
♣2,♥J,♦2,♣4,♦5 | Pair
♣2,♥J,♦2,♣4,♣8 | Pair
♣2,♥J,♦2,♦5,♣8 | Pair
♣2,♥Q,♦2,♥3,♣4 | Pair
♣2,♥Q,♦2,♥3,♦5 | Pair
♣2,♥Q,♦2,♥3,♣8 | Pair
♣2,♥Q,♦2,♣4,♦5 | Pair
♣2,♥Q,♦2,♣4,♣8 | Pair
♣2,♥Q,♦2,♦5,♣8 | Pair
♣2,♦2,♥3,♣4,♦5 | Pair
♣2,♦2,♥3,♣4,♣8 | Pair
♣2,♦2,♥3,♦5,♣8 | Pair
♣2,♦2,♣4,♦5,♣8 | Pair
♠8,♥J,♥Q,♦2,♣8 | Pair
♠8,♥J,♥Q,♥3,♣8 | Pair
♠8,♥J,♥Q,♣4,♣8 | Pair
♠8,♥J,♥Q,♦5,♣8 | Pair
♠8,♥J,♦2,♥3,♣8 | Pair
♠8,♥J,♦2,♣4,♣8 | Pair
♠8,♥J,♦2,♦5,♣8 | Pair
♠8,♥J,♥3,♣4,♣8 | Pair
♠8,♥J,♥3,♦5,♣8 | Pair
♠8,♥J,♣4,♦5,♣8 | Pair
♠8,♥Q,♦2,♥3,♣8 | Pair
♠8,♥Q,♦2,♣4,♣8 | Pair
♠8,♥Q,♦2,♦5,♣8 | Pair
♠8,♥Q,♥3,♣4,♣8 | Pair
♠8,♥Q,♥3,♦5,♣8 | Pair
♠8,♥Q,♣4,♦5,♣8 | Pair
♠8,♦2,♥3,♣4,♣8 | Pair
♠8,♦2,♥3,♦5,♣8 | Pair
♠8,♦2,♣4,♦5,♣8 | Pair
♠8,♥3,♣4,♦5,♣8 | Pair
