♠6, ♥8, ♦J, ♥10, ♦6 | pair
♦J, ♣K, ♣2, ♠5, ♣5 | pair
♦J, ♣K, ♦6, ♠5, ♣5 | pair
♦J, ♣K, ♠7, ♠5, ♣5 | pair
♦J, ♣K, ♠5, ♣Q, ♣5 | pair
♦J, ♣K, ♠5, ♣9, ♣5 | pair
♦J, ♦7, ♣2, ♦6, ♠7 | pair
♦J, ♦7, ♣2, ♠7, ♠5 | pair
♦J, ♦7, ♣2, ♠7, ♣Q | pair
♦J, ♦7, ♣2, ♠7, ♣9 | pair
♦J, ♦7, ♣2, ♠7, ♣5 | pair
♦J, ♦7, ♣2, ♠5, ♣5 | pair
♦J, ♦7, ♦6, ♠7, ♠5 | pair
♦J, ♦7, ♦6, ♠7, ♣Q | pair
♦J, ♦7, ♦6, ♠7, ♣9 | pair
♦J, ♦7, ♦6, ♠7, ♣5 | pair
♦J, ♦7, ♦6, ♠5, ♣5 | pair
♦J, ♦7, ♠7, ♠5, ♣Q | pair
♦J, ♦7, ♠7, ♠5, ♣9 | pair
♦J, ♦7, ♠7, ♠5, ♣5 | two pairs
♦J, ♦7, ♠7, ♣Q, ♣9 | pair
♦J, ♦7, ♠7, ♣Q, ♣5 | pair
♦J, ♦7, ♠7, ♣9, ♣5 | pair
♦J, ♦7, ♠5, ♣Q, ♣5 | pair
♦J, ♦7, ♠5, ♣9, ♣5 | pair
♦J, ♣2, ♦6, ♠5, ♣5 | pair
♦J, ♣2, ♠7, ♠5, ♣5 | pair
♦J, ♣2, ♠5, ♣Q, ♣5 | pair
♦J, ♣2, ♠5, ♣9, ♣5 | pair
♦J, ♦6, ♠7, ♠5, ♣5 | pair
♦J, ♦6, ♠5, ♣Q, ♣5 | pair
♦J, ♦6, ♠5, ♣9, ♣5 | pair
♦J, ♠7, ♠5, ♣Q, ♣5 | pair
♦J, ♠7, ♠5, ♣9, ♣5 | pair
♦J, ♠5, ♣Q, ♣9, ♣5 | pair
♥10, ♣7, ♦Q, ♣K, ♦7 | pair
♥10, ♣7, ♦Q, ♣K, ♠7 | pair
♥10, ♣7, ♦Q, ♣K, ♣Q | pair
♥10, ♣7, ♦Q, ♦7, ♣2 | pair
♥10, ♣7, ♦Q, ♦7, ♦6 | pair
♥10, ♣7, ♦Q, ♦7, ♠7 | three of a kind
♥10, ♣7, ♦Q, ♦7, ♠5 | pair
♥10, ♣7, ♦Q, ♦7, ♣Q | two pairs
♥10, ♣7, ♦Q, ♦7, ♣9 | pair
♥10, ♣7, ♦Q, ♦7, ♣5 | pair
♥10, ♣7, ♦Q, ♣2, ♠7 | pair
♥10, ♣7, ♦Q, ♣2, ♣Q | pair
♥10, ♣7, ♦Q, ♦6, ♠7 | pair
♥10, ♣7, ♦Q, ♦6, ♣Q | pair
♥10, ♣7, ♦Q, ♠7, ♠5 | pair
♥10, ♣7, ♦Q, ♠7, ♣Q | two pairs
♥10, ♣7, ♦Q, ♠7, ♣9 | pair
♥10, ♣7, ♦Q, ♠7, ♣5 | pair
♥10, ♣7, ♦Q, ♠5, ♣Q | pair
♥10, ♣7, ♦Q, ♠5, ♣5 | pair
♥10, ♣7, ♦Q, ♣Q, ♣9 | pair
♥10, ♣7, ♦Q, ♣Q, ♣5 | pair
♥10, ♣7, ♣K, ♦7, ♣2 | pair
♥10, ♣7, ♣K, ♦7, ♦6 | pair
♥10, ♣7, ♣K, ♦7, ♠7 | three of a kind
♥10, ♣7, ♣K, ♦7, ♠5 | pair
♥10, ♣7, ♣K, ♦7, ♣Q | pair
♥10, ♣7, ♣K, ♦7, ♣9 | pair
♥10, ♣7, ♣K, ♦7, ♣5 | pair
♥10, ♣7, ♣K, ♣2, ♠7 | pair
♥10, ♣7, ♣K, ♦6, ♠7 | pair
♥10, ♣7, ♣K, ♠7, ♠5 | pair
♥10, ♣7, ♣K, ♠7, ♣Q | pair
♥10, ♣7, ♣K, ♠7, ♣9 | pair
♥10, ♣7, ♣K, ♠7, ♣5 | pair
♥10, ♣7, ♣K, ♠5, ♣5 | pair
♥10, ♣7, ♦7, ♣2, ♦6 | pair
♥10, ♣7, ♦7, ♣2, ♠7 | three of a kind
♥10, ♣7, ♦7, ♣2, ♠5 | pair
♥10, ♣7, ♦7, ♣2, ♣Q | pair
♥10, ♣7, ♦7, ♣2, ♣9 | pair
♥10, ♣7, ♦7, ♣2, ♣5 | pair
♥10, ♣7, ♦7, ♦6, ♠7 | three of a kind
♥10, ♣7, ♦7, ♦6, ♠5 | pair
♥10, ♣7, ♦7, ♦6, ♣Q | pair
♥10, ♣7, ♦7, ♦6, ♣9 | pair
♥10, ♣7, ♦7, ♦6, ♣5 | pair
♥10, ♣7, ♦7, ♠7, ♠5 | three of a kind
♥10, ♣7, ♦7, ♠7, ♣Q | three of a kind
♥10, ♣7, ♦7, ♠7, ♣9 | three of a kind
♥10, ♣7, ♦7, ♠7, ♣5 | three of a kind
♥10, ♣7, ♦7, ♠5, ♣Q | pair
♥10, ♣7, ♦7, ♠5, ♣9 | pair
♥10, ♣7, ♦7, ♠5, ♣5 | two pairs
♥10, ♣7, ♦7, ♣Q, ♣9 | pair
♥10, ♣7, ♦7, ♣Q, ♣5 | pair
♥10, ♣7, ♦7, ♣9, ♣5 | pair
♥10, ♣7, ♣2, ♦6, ♠7 | pair
♥10, ♣7, ♣2, ♠7, ♠5 | pair
♥10, ♣7, ♣2, ♠7, ♣Q | pair
♥10, ♣7, ♣2, ♠7, ♣9 | pair
♥10, ♣7, ♣2, ♠7, ♣5 | pair
♥10, ♣7, ♣2, ♠5, ♣5 | pair
♥10, ♣7, ♦6, ♠7, ♠5 | pair
♥10, ♣7, ♦6, ♠7, ♣Q | pair
♥10, ♣7, ♦6, ♠7, ♣9 | pair
♥10, ♣7, ♦6, ♠7, ♣5 | pair
♥10, ♣7, ♦6, ♠5, ♣5 | pair
♥10, ♣7, ♠7, ♠5, ♣Q | pair
♥10, ♣7, ♠7, ♠5, ♣9 | pair
♥10, ♣7, ♠7, ♠5, ♣5 | two pairs
♥10, ♣7, ♠7, ♣Q, ♣9 | pair
♥10, ♣7, ♠7, ♣Q, ♣5 | pair
♥10, ♣7, ♠7, ♣9, ♣5 | pair
♥10, ♣7, ♠5, ♣Q, ♣5 | pair
♥10, ♣7, ♠5, ♣9, ♣5 | pair
♥10, ♦Q, ♣K, ♦7, ♠7 | pair
♥10, ♦Q, ♣K, ♦7, ♣Q | pair
♥10, ♦Q, ♣K, ♣2, ♣Q | pair
♥10, ♦Q, ♣K, ♦6, ♣Q | pair
♥10, ♦Q, ♣K, ♠7, ♣Q | pair
♥10, ♦Q, ♣K, ♠5, ♣Q | pair
♥10, ♦Q, ♣K, ♠5, ♣5 | pair
♥10, ♦Q, ♣K, ♣Q, ♣9 | pair
♥10, ♦Q, ♣K, ♣Q, ♣5 | pair
♥10, ♦Q, ♦7, ♣2, ♠7 | pair
♥10, ♦Q, ♦7, ♣2, ♣Q | pair
♥10, ♦Q, ♦7, ♦6, ♠7 | pair
♥10, ♦Q, ♦7, ♦6, ♣Q | pair
♥10, ♦Q, ♦7, ♠7, ♠5 | pair
♥10, ♦Q, ♦7, ♠7, ♣Q | two pairs
♥10, ♦Q, ♦7, ♠7, ♣9 | pair
♥10, ♦Q, ♦7, ♠7, ♣5 | pair
♥10, ♦Q, ♦7, ♠5, ♣Q | pair
♥10, ♦Q, ♦7, ♠5, ♣5 | pair
♥10, ♦Q, ♦7, ♣Q, ♣9 | pair
♥10, ♦Q, ♦7, ♣Q, ♣5 | pair
♥10, ♦Q, ♣2, ♦6, ♣Q | pair
♥10, ♦Q, ♣2, ♠7, ♣Q | pair
♥10, ♦Q, ♣2, ♠5, ♣Q | pair
♥10, ♦Q, ♣2, ♠5, ♣5 | pair
♥10, ♦Q, ♣2, ♣Q, ♣9 | pair
♥10, ♦Q, ♣2, ♣Q, ♣5 | pair
♥10, ♦Q, ♦6, ♠7, ♣Q | pair
♥10, ♦Q, ♦6, ♠5, ♣Q | pair
♥10, ♦Q, ♦6, ♠5, ♣5 | pair
♥10, ♦Q, ♦6, ♣Q, ♣9 | pair
♥10, ♦Q, ♦6, ♣Q, ♣5 | pair
♥10, ♦Q, ♠7, ♠5, ♣Q | pair
♥10, ♦Q, ♠7, ♠5, ♣5 | pair
♥10, ♦Q, ♠7, ♣Q, ♣9 | pair
♥10, ♦Q, ♠7, ♣Q, ♣5 | pair
♥10, ♦Q, ♠5, ♣Q, ♣9 | pair
♥10, ♦Q, ♠5, ♣Q, ♣5 | two pairs
♥10, ♦Q, ♠5, ♣9, ♣5 | pair
♥10, ♦Q, ♣Q, ♣9, ♣5 | pair
♥10, ♣K, ♦7, ♣2, ♠7 | pair
♥10, ♣K, ♦7, ♦6, ♠7 | pair
♥10, ♣K, ♦7, ♠7, ♠5 | pair
♥10, ♣K, ♦7, ♠7, ♣Q | pair
♥10, ♣K, ♦7, ♠7, ♣9 | pair
♥10, ♣K, ♦7, ♠7, ♣5 | pair
♥10, ♣K, ♦7, ♠5, ♣5 | pair
♥10, ♣K, ♣2, ♠5, ♣5 | pair
♥10, ♣K, ♦6, ♠5, ♣5 | pair
♥10, ♣K, ♠7, ♠5, ♣5 | pair
♥10, ♣K, ♠5, ♣Q, ♣5 | pair
♥10, ♣K, ♠5, ♣9, ♣5 | pair
♥10, ♦7, ♣2, ♦6, ♠7 | pair
♥10, ♦7, ♣2, ♠7, ♠5 | pair
♥10, ♦7, ♣2, ♠7, ♣Q | pair
♥10, ♦7, ♣2, ♠7, ♣9 | pair
♥10, ♦7, ♣2, ♠7, ♣5 | pair
♥10, ♦7, ♣2, ♠5, ♣5 | pair
♥10, ♦7, ♦6, ♠7, ♠5 | pair
♥10, ♦7, ♦6, ♠7, ♣Q | pair
♥10, ♦7, ♦6, ♠7, ♣9 | pair
♥10, ♦7, ♦6, ♠7, ♣5 | pair
♥10, ♦7, ♦6, ♠5, ♣5 | pair
♥10, ♦7, ♠7, ♠5, ♣Q | pair
♥10, ♦7, ♠7, ♠5, ♣9 | pair
♥10, ♦7, ♠7, ♠5, ♣5 | two pairs
♥10, ♦7, ♠7, ♣Q, ♣9 | pair
♥10, ♦7, ♠7, ♣Q, ♣5 | pair
♥10, ♦7, ♠7, ♣9, ♣5 | pair
♥10, ♦7, ♠5, ♣Q, ♣5 | pair
♥10, ♦7, ♠5, ♣9, ♣5 | pair
♥10, ♣2, ♦6, ♠5, ♣5 | pair
♥10, ♣2, ♠7, ♠5, ♣5 | pair
♥10, ♣2, ♠5, ♣Q, ♣5 | pair
♥10, ♣2, ♠5, ♣9, ♣5 | pair
♥10, ♦6, ♠7, ♠5, ♣5 | pair
♥10, ♦6, ♠5, ♣Q, ♣5 | pair
♥10, ♦6, ♠5, ♣9, ♣5 | pair
♥10, ♠7, ♠5, ♣Q, ♣5 | pair
♥10, ♠7, ♠5, ♣9, ♣5 | pair
♥10, ♠5, ♣Q, ♣9, ♣5 | pair
♣7, ♦Q, ♣K, ♦7, ♣2 | pair
♣7, ♦Q, ♣K, ♦7, ♦6 | pair
♣7, ♦Q, ♣K, ♦7, ♠7 | three of a kind
♣7, ♦Q, ♣K, ♦7, ♠5 | pair
♣7, ♦Q, ♣K, ♦7, ♣Q | two pairs
♣7, ♦Q, ♣K, ♦7, ♣9 | pair
♣7, ♦Q, ♣K, ♦7, ♣5 | pair
♣7, ♦Q, ♣K, ♣2, ♠7 | pair
♣7, ♦Q, ♣K, ♣2, ♣Q | pair
♣7, ♦Q, ♣K, ♦6, ♠7 | pair
♣7, ♦Q, ♣K, ♦6, ♣Q | pair
♣7, ♦Q, ♣K, ♠7, ♠5 | pair
♣7, ♦Q, ♣K, ♠7, ♣Q | two pairs
♣7, ♦Q, ♣K, ♠7, ♣9 | pair
♣7, ♦Q, ♣K, ♠7, ♣5 | pair
♣7, ♦Q, ♣K, ♠5, ♣Q | pair
♣7, ♦Q, ♣K, ♠5, ♣5 | pair
♣7, ♦Q, ♣K, ♣Q, ♣9 | pair
♣7, ♦Q, ♣K, ♣Q, ♣5 | pair
♣7, ♦Q, ♦7, ♣2, ♦6 | pair
♣7, ♦Q, ♦7, ♣2, ♠7 | three of a kind
♣7, ♦Q, ♦7, ♣2, ♠5 | pair
♣7, ♦Q, ♦7, ♣2, ♣Q | two pairs
♣7, ♦Q, ♦7, ♣2, ♣9 | pair
♣7, ♦Q, ♦7, ♣2, ♣5 | pair
♣7, ♦Q, ♦7, ♦6, ♠7 | three of a kind
♣7, ♦Q, ♦7, ♦6, ♠5 | pair
♣7, ♦Q, ♦7, ♦6, ♣Q | two pairs
♣7, ♦Q, ♦7, ♦6, ♣9 | pair
♣7, ♦Q, ♦7, ♦6, ♣5 | pair
♣7, ♦Q, ♦7, ♠7, ♠5 | three of a kind
♣7, ♦Q, ♦7, ♠7, ♣Q | fullhouse
♣7, ♦Q, ♦7, ♠7, ♣9 | three of a kind
♣7, ♦Q, ♦7, ♠7, ♣5 | three of a kind
♣7, ♦Q, ♦7, ♠5, ♣Q | two pairs
♣7, ♦Q, ♦7, ♠5, ♣9 | pair
♣7, ♦Q, ♦7, ♠5, ♣5 | two pairs
♣7, ♦Q, ♦7, ♣Q, ♣9 | two pairs
♣7, ♦Q, ♦7, ♣Q, ♣5 | two pairs
♣7, ♦Q, ♦7, ♣9, ♣5 | pair
♣7, ♦Q, ♣2, ♦6, ♠7 | pair
♣7, ♦Q, ♣2, ♦6, ♣Q | pair
♣7, ♦Q, ♣2, ♠7, ♠5 | pair
♣7, ♦Q, ♣2, ♠7, ♣Q | two pairs
♣7, ♦Q, ♣2, ♠7, ♣9 | pair
♣7, ♦Q, ♣2, ♠7, ♣5 | pair
♣7, ♦Q, ♣2, ♠5, ♣Q | pair
♣7, ♦Q, ♣2, ♠5, ♣5 | pair
♣7, ♦Q, ♣2, ♣Q, ♣9 | pair
♣7, ♦Q, ♣2, ♣Q, ♣5 | pair
♣7, ♦Q, ♦6, ♠7, ♠5 | pair
♣7, ♦Q, ♦6, ♠7, ♣Q | two pairs
♣7, ♦Q, ♦6, ♠7, ♣9 | pair
♣7, ♦Q, ♦6, ♠7, ♣5 | pair
♣7, ♦Q, ♦6, ♠5, ♣Q | pair
♣7, ♦Q, ♦6, ♠5, ♣5 | pair
♣7, ♦Q, ♦6, ♣Q, ♣9 | pair
♣7, ♦Q, ♦6, ♣Q, ♣5 | pair
♣7, ♦Q, ♠7, ♠5, ♣Q | two pairs
♣7, ♦Q, ♠7, ♠5, ♣9 | pair
♣7, ♦Q, ♠7, ♠5, ♣5 | two pairs
♣7, ♦Q, ♠7, ♣Q, ♣9 | two pairs
♣7, ♦Q, ♠7, ♣Q, ♣5 | two pairs
♣7, ♦Q, ♠7, ♣9, ♣5 | pair
♣7, ♦Q, ♠5, ♣Q, ♣9 | pair
♣7, ♦Q, ♠5, ♣Q, ♣5 | two pairs
♣7, ♦Q, ♠5, ♣9, ♣5 | pair
♣7, ♦Q, ♣Q, ♣9, ♣5 | pair
♣7, ♣K, ♦7, ♣2, ♦6 | pair
♣7, ♣K, ♦7, ♣2, ♠7 | three of a kind
♣7, ♣K, ♦7, ♣2, ♠5 | pair
♣7, ♣K, ♦7, ♣2, ♣Q | pair
♣7, ♣K, ♦7, ♣2, ♣9 | pair
♣7, ♣K, ♦7, ♣2, ♣5 | pair
♣7, ♣K, ♦7, ♦6, ♠7 | three of a kind
♣7, ♣K, ♦7, ♦6, ♠5 | pair
♣7, ♣K, ♦7, ♦6, ♣Q | pair
♣7, ♣K, ♦7, ♦6, ♣9 | pair
♣7, ♣K, ♦7, ♦6, ♣5 | pair
♣7, ♣K, ♦7, ♠7, ♠5 | three of a kind
♣7, ♣K, ♦7, ♠7, ♣Q | three of a kind
♣7, ♣K, ♦7, ♠7, ♣9 | three of a kind
♣7, ♣K, ♦7, ♠7, ♣5 | three of a kind
♣7, ♣K, ♦7, ♠5, ♣Q | pair
♣7, ♣K, ♦7, ♠5, ♣9 | pair
♣7, ♣K, ♦7, ♠5, ♣5 | two pairs
♣7, ♣K, ♦7, ♣Q, ♣9 | pair
♣7, ♣K, ♦7, ♣Q, ♣5 | pair
♣7, ♣K, ♦7, ♣9, ♣5 | pair
♣7, ♣K, ♣2, ♦6, ♠7 | pair
♣7, ♣K, ♣2, ♠7, ♠5 | pair
♣7, ♣K, ♣2, ♠7, ♣Q | pair
♣7, ♣K, ♣2, ♠7, ♣9 | pair
♣7, ♣K, ♣2, ♠7, ♣5 | pair
♣7, ♣K, ♣2, ♠5, ♣5 | pair
♣7, ♣K, ♣2, ♣Q, ♣9 | flush
♣7, ♣K, ♣2, ♣Q, ♣5 | flush
♣7, ♣K, ♣2, ♣9, ♣5 | flush
♣7, ♣K, ♦6, ♠7, ♠5 | pair
♣7, ♣K, ♦6, ♠7, ♣Q | pair
♣7, ♣K, ♦6, ♠7, ♣9 | pair
♣7, ♣K, ♦6, ♠7, ♣5 | pair
♣7, ♣K, ♦6, ♠5, ♣5 | pair
♣7, ♣K, ♠7, ♠5, ♣Q | pair
♣7, ♣K, ♠7, ♠5, ♣9 | pair
♣7, ♣K, ♠7, ♠5, ♣5 | two pairs
♣7, ♣K, ♠7, ♣Q, ♣9 | pair
♣7, ♣K, ♠7, ♣Q, ♣5 | pair
♣7, ♣K, ♠7, ♣9, ♣5 | pair
♣7, ♣K, ♠5, ♣Q, ♣5 | pair
♣7, ♣K, ♠5, ♣9, ♣5 | pair
♣7, ♣K, ♣Q, ♣9, ♣5 | flush
♣7, ♦7, ♣2, ♦6, ♠7 | three of a kind
♣7, ♦7, ♣2, ♦6, ♠5 | pair
♣7, ♦7, ♣2, ♦6, ♣Q | pair
♣7, ♦7, ♣2, ♦6, ♣9 | pair
♣7, ♦7, ♣2, ♦6, ♣5 | pair
♣7, ♦7, ♣2, ♠7, ♠5 | three of a kind
♣7, ♦7, ♣2, ♠7, ♣Q | three of a kind
♣7, ♦7, ♣2, ♠7, ♣9 | three of a kind
♣7, ♦7, ♣2, ♠7, ♣5 | three of a kind
♣7, ♦7, ♣2, ♠5, ♣Q | pair
♣7, ♦7, ♣2, ♠5, ♣9 | pair
♣7, ♦7, ♣2, ♠5, ♣5 | two pairs
♣7, ♦7, ♣2, ♣Q, ♣9 | pair
♣7, ♦7, ♣2, ♣Q, ♣5 | pair
♣7, ♦7, ♣2, ♣9, ♣5 | pair
♣7, ♦7, ♦6, ♠7, ♠5 | three of a kind
♣7, ♦7, ♦6, ♠7, ♣Q | three of a kind
♣7, ♦7, ♦6, ♠7, ♣9 | three of a kind
♣7, ♦7, ♦6, ♠7, ♣5 | three of a kind
♣7, ♦7, ♦6, ♠5, ♣Q | pair
♣7, ♦7, ♦6, ♠5, ♣9 | pair
♣7, ♦7, ♦6, ♠5, ♣5 | two pairs
♣7, ♦7, ♦6, ♣Q, ♣9 | pair
♣7, ♦7, ♦6, ♣Q, ♣5 | pair
♣7, ♦7, ♦6, ♣9, ♣5 | pair
♣7, ♦7, ♠7, ♠5, ♣Q | three of a kind
♣7, ♦7, ♠7, ♠5, ♣9 | three of a kind
♣7, ♦7, ♠7, ♠5, ♣5 | fullhouse
♣7, ♦7, ♠7, ♣Q, ♣9 | three of a kind
♣7, ♦7, ♠7, ♣Q, ♣5 | three of a kind
♣7, ♦7, ♠7, ♣9, ♣5 | three of a kind
♣7, ♦7, ♠5, ♣Q, ♣9 | pair
♣7, ♦7, ♠5, ♣Q, ♣5 | two pairs
♣7, ♦7, ♠5, ♣9, ♣5 | two pairs
♣7, ♦7, ♣Q, ♣9, ♣5 | pair
♣7, ♣2, ♦6, ♠7, ♠5 | pair
♣7, ♣2, ♦6, ♠7, ♣Q | pair
♣7, ♣2, ♦6, ♠7, ♣9 | pair
♣7, ♣2, ♦6, ♠7, ♣5 | pair
♣7, ♣2, ♦6, ♠5, ♣5 | pair
♣7, ♣2, ♠7, ♠5, ♣Q | pair
♣7, ♣2, ♠7, ♠5, ♣9 | pair
♣7, ♣2, ♠7, ♠5, ♣5 | two pairs
♣7, ♣2, ♠7, ♣Q, ♣9 | pair
♣7, ♣2, ♠7, ♣Q, ♣5 | pair
♣7, ♣2, ♠7, ♣9, ♣5 | pair
♣7, ♣2, ♠5, ♣Q, ♣5 | pair
♣7, ♣2, ♠5, ♣9, ♣5 | pair
♣7, ♣2, ♣Q, ♣9, ♣5 | flush
♣7, ♦6, ♠7, ♠5, ♣Q | pair
♣7, ♦6, ♠7, ♠5, ♣9 | pair
♣7, ♦6, ♠7, ♠5, ♣5 | two pairs
♣7, ♦6, ♠7, ♣Q, ♣9 | pair
♣7, ♦6, ♠7, ♣Q, ♣5 | pair
♣7, ♦6, ♠7, ♣9, ♣5 | pair
♣7, ♦6, ♠5, ♣Q, ♣5 | pair
♣7, ♦6, ♠5, ♣9, ♣5 | pair
♣7, ♠7, ♠5, ♣Q, ♣9 | pair
♣7, ♠7, ♠5, ♣Q, ♣5 | two pairs
♣7, ♠7, ♠5, ♣9, ♣5 | two pairs
♣7, ♠7, ♣Q, ♣9, ♣5 | pair
♣7, ♠5, ♣Q, ♣9, ♣5 | pair
♦Q, ♣K, ♦7, ♣2, ♠7 | pair
♦Q, ♣K, ♦7, ♣2, ♣Q | pair
♦Q, ♣K, ♦7, ♦6, ♠7 | pair
♦Q, ♣K, ♦7, ♦6, ♣Q | pair
♦Q, ♣K, ♦7, ♠7, ♠5 | pair
♦Q, ♣K, ♦7, ♠7, ♣Q | two pairs
♦Q, ♣K, ♦7, ♠7, ♣9 | pair
♦Q, ♣K, ♦7, ♠7, ♣5 | pair
♦Q, ♣K, ♦7, ♠5, ♣Q | pair
♦Q, ♣K, ♦7, ♠5, ♣5 | pair
♦Q, ♣K, ♦7, ♣Q, ♣9 | pair
♦Q, ♣K, ♦7, ♣Q, ♣5 | pair
♦Q, ♣K, ♣2, ♦6, ♣Q | pair
♦Q, ♣K, ♣2, ♠7, ♣Q | pair
♦Q, ♣K, ♣2, ♠5, ♣Q | pair
♦Q, ♣K, ♣2, ♠5, ♣5 | pair
♦Q, ♣K, ♣2, ♣Q, ♣9 | pair
♦Q, ♣K, ♣2, ♣Q, ♣5 | pair
♦Q, ♣K, ♦6, ♠7, ♣Q | pair
♦Q, ♣K, ♦6, ♠5, ♣Q | pair
♦Q, ♣K, ♦6, ♠5, ♣5 | pair
♦Q, ♣K, ♦6, ♣Q, ♣9 | pair
♦Q, ♣K, ♦6, ♣Q, ♣5 | pair
♦Q, ♣K, ♠7, ♠5, ♣Q | pair
♦Q, ♣K, ♠7, ♠5, ♣5 | pair
♦Q, ♣K, ♠7, ♣Q, ♣9 | pair
♦Q, ♣K, ♠7, ♣Q, ♣5 | pair
♦Q, ♣K, ♠5, ♣Q, ♣9 | pair
♦Q, ♣K, ♠5, ♣Q, ♣5 | two pairs
♦Q, ♣K, ♠5, ♣9, ♣5 | pair
♦Q, ♣K, ♣Q, ♣9, ♣5 | pair
♦Q, ♦7, ♣2, ♦6, ♠7 | pair
♦Q, ♦7, ♣2, ♦6, ♣Q | pair
♦Q, ♦7, ♣2, ♠7, ♠5 | pair
♦Q, ♦7, ♣2, ♠7, ♣Q | two pairs
♦Q, ♦7, ♣2, ♠7, ♣9 | pair
♦Q, ♦7, ♣2, ♠7, ♣5 | pair
♦Q, ♦7, ♣2, ♠5, ♣Q | pair
♦Q, ♦7, ♣2, ♠5, ♣5 | pair
♦Q, ♦7, ♣2, ♣Q, ♣9 | pair
♦Q, ♦7, ♣2, ♣Q, ♣5 | pair
♦Q, ♦7, ♦6, ♠7, ♠5 | pair
♦Q, ♦7, ♦6, ♠7, ♣Q | two pairs
♦Q, ♦7, ♦6, ♠7, ♣9 | pair
♦Q, ♦7, ♦6, ♠7, ♣5 | pair
♦Q, ♦7, ♦6, ♠5, ♣Q | pair
♦Q, ♦7, ♦6, ♠5, ♣5 | pair
♦Q, ♦7, ♦6, ♣Q, ♣9 | pair
♦Q, ♦7, ♦6, ♣Q, ♣5 | pair
♦Q, ♦7, ♠7, ♠5, ♣Q | two pairs
♦Q, ♦7, ♠7, ♠5, ♣9 | pair
♦Q, ♦7, ♠7, ♠5, ♣5 | two pairs
♦Q, ♦7, ♠7, ♣Q, ♣9 | two pairs
♦Q, ♦7, ♠7, ♣Q, ♣5 | two pairs
♦Q, ♦7, ♠7, ♣9, ♣5 | pair
♦Q, ♦7, ♠5, ♣Q, ♣9 | pair
♦Q, ♦7, ♠5, ♣Q, ♣5 | two pairs
♦Q, ♦7, ♠5, ♣9, ♣5 | pair
♦Q, ♦7, ♣Q, ♣9, ♣5 | pair
♦Q, ♣2, ♦6, ♠7, ♣Q | pair
♦Q, ♣2, ♦6, ♠5, ♣Q | pair
♦Q, ♣2, ♦6, ♠5, ♣5 | pair
♦Q, ♣2, ♦6, ♣Q, ♣9 | pair
♦Q, ♣2, ♦6, ♣Q, ♣5 | pair
♦Q, ♣2, ♠7, ♠5, ♣Q | pair
♦Q, ♣2, ♠7, ♠5, ♣5 | pair
♦Q, ♣2, ♠7, ♣Q, ♣9 | pair
♦Q, ♣2, ♠7, ♣Q, ♣5 | pair
♦Q, ♣2, ♠5, ♣Q, ♣9 | pair
♦Q, ♣2, ♠5, ♣Q, ♣5 | two pairs
♦Q, ♣2, ♠5, ♣9, ♣5 | pair
♦Q, ♣2, ♣Q, ♣9, ♣5 | pair
♦Q, ♦6, ♠7, ♠5, ♣Q | pair
♦Q, ♦6, ♠7, ♠5, ♣5 | pair
♦Q, ♦6, ♠7, ♣Q, ♣9 | pair
♦Q, ♦6, ♠7, ♣Q, ♣5 | pair
♦Q, ♦6, ♠5, ♣Q, ♣9 | pair
♦Q, ♦6, ♠5, ♣Q, ♣5 | two pairs
♦Q, ♦6, ♠5, ♣9, ♣5 | pair
♦Q, ♦6, ♣Q, ♣9, ♣5 | pair
♦Q, ♠7, ♠5, ♣Q, ♣9 | pair
♦Q, ♠7, ♠5, ♣Q, ♣5 | two pairs
♦Q, ♠7, ♠5, ♣9, ♣5 | pair
♦Q, ♠7, ♣Q, ♣9, ♣5 | pair
♦Q, ♠5, ♣Q, ♣9, ♣5 | two pairs
♣K, ♦7, ♣2, ♦6, ♠7 | pair
♣K, ♦7, ♣2, ♠7, ♠5 | pair
♣K, ♦7, ♣2, ♠7, ♣Q | pair
♣K, ♦7, ♣2, ♠7, ♣9 | pair
♣K, ♦7, ♣2, ♠7, ♣5 | pair
♣K, ♦7, ♣2, ♠5, ♣5 | pair
♣K, ♦7, ♦6, ♠7, ♠5 | pair
♣K, ♦7, ♦6, ♠7, ♣Q | pair
♣K, ♦7, ♦6, ♠7, ♣9 | pair
♣K, ♦7, ♦6, ♠7, ♣5 | pair
♣K, ♦7, ♦6, ♠5, ♣5 | pair
♣K, ♦7, ♠7, ♠5, ♣Q | pair
♣K, ♦7, ♠7, ♠5, ♣9 | pair
♣K, ♦7, ♠7, ♠5, ♣5 | two pairs
♣K, ♦7, ♠7, ♣Q, ♣9 | pair
♣K, ♦7, ♠7, ♣Q, ♣5 | pair
♣K, ♦7, ♠7, ♣9, ♣5 | pair
♣K, ♦7, ♠5, ♣Q, ♣5 | pair
♣K, ♦7, ♠5, ♣9, ♣5 | pair
♣K, ♣2, ♦6, ♠5, ♣5 | pair
♣K, ♣2, ♠7, ♠5, ♣5 | pair
♣K, ♣2, ♠5, ♣Q, ♣5 | pair
♣K, ♣2, ♠5, ♣9, ♣5 | pair
♣K, ♣2, ♣Q, ♣9, ♣5 | flush
♣K, ♦6, ♠7, ♠5, ♣5 | pair
♣K, ♦6, ♠5, ♣Q, ♣5 | pair
♣K, ♦6, ♠5, ♣9, ♣5 | pair
♣K, ♠7, ♠5, ♣Q, ♣5 | pair
♣K, ♠7, ♠5, ♣9, ♣5 | pair
