♣T,♥A,♠7,♥J,♦7 | Pair
♥A,♦7,♣3,♥Q,♦3 | Pair
♥A,♦7,♣3,♦3,♥T | Pair
♥A,♦7,♣3,♦3,♦9 | Pair
♥A,♦7,♣3,♦3,♠9 | Pair
♥A,♦7,♣3,♦3,♠6 | Pair
♥A,♦7,♣3,♦9,♠9 | Pair
♥A,♦7,♣7,♥Q,♦3 | Pair
♥A,♦7,♣7,♥Q,♥T | Pair
♥A,♦7,♣7,♥Q,♦9 | Pair
♥A,♦7,♣7,♥Q,♠9 | Pair
♥A,♦7,♣7,♥Q,♠6 | Pair
♥A,♦7,♣7,♦3,♥T | Pair
♥A,♦7,♣7,♦3,♦9 | Pair
♥A,♦7,♣7,♦3,♠9 | Pair
♥A,♦7,♣7,♦3,♠6 | Pair
♥A,♦7,♣7,♥T,♦9 | Pair
♥A,♦7,♣7,♥T,♠9 | Pair
♥A,♦7,♣7,♥T,♠6 | Pair
♥A,♦7,♣7,♦9,♠9 | Two Pairs
♥A,♦7,♣7,♦9,♠6 | Pair
♥A,♦7,♣7,♠9,♠6 | Pair
♥A,♦7,♥Q,♦9,♠9 | Pair
♥A,♦7,♦3,♦9,♠9 | Pair
♥A,♦7,♥T,♦9,♠9 | Pair
♥A,♦7,♦9,♠9,♠6 | Pair
♥A,♦K,♣3,♣7,♦3 | Pair
♥A,♦K,♣3,♥Q,♦3 | Pair
♥A,♦K,♣3,♦3,♥T | Pair
♥A,♦K,♣3,♦3,♦9 | Pair
♥A,♦K,♣3,♦3,♠9 | Pair
♥A,♦K,♣3,♦3,♠6 | Pair
♥A,♦K,♣3,♦9,♠9 | Pair
♥A,♦K,♣7,♦9,♠9 | Pair
♥A,♦K,♥Q,♦9,♠9 | Pair
♥A,♦K,♦3,♦9,♠9 | Pair
♥A,♦K,♥T,♦9,♠9 | Pair
♥A,♦K,♦9,♠9,♠6 | Pair
♥A,♣3,♣7,♥Q,♦3 | Pair
♥A,♣3,♣7,♦3,♥T | Pair
♥A,♣3,♣7,♦3,♦9 | Pair
♥A,♣3,♣7,♦3,♠9 | Pair
♥A,♣3,♣7,♦3,♠6 | Pair
♥A,♣3,♣7,♦9,♠9 | Pair
♥A,♣3,♥Q,♦3,♥T | Pair
♥A,♣3,♥Q,♦3,♦9 | Pair
♥A,♣3,♥Q,♦3,♠9 | Pair
♥A,♣3,♥Q,♦3,♠6 | Pair
♥A,♣3,♥Q,♦9,♠9 | Pair
♥A,♣3,♦3,♥T,♦9 | Pair
♥A,♣3,♦3,♥T,♠9 | Pair
♥A,♣3,♦3,♥T,♠6 | Pair
♥A,♣3,♦3,♦9,♠9 | Two Pairs
♥A,♣3,♦3,♦9,♠6 | Pair
♥A,♣3,♦3,♠9,♠6 | Pair
♥A,♣3,♥T,♦9,♠9 | Pair
♥A,♣3,♦9,♠9,♠6 | Pair
♥A,♣7,♥Q,♦9,♠9 | Pair
♥A,♣7,♦3,♦9,♠9 | Pair
♥A,♣7,♥T,♦9,♠9 | Pair
♥A,♣7,♦9,♠9,♠6 | Pair
♥A,♥Q,♦3,♦9,♠9 | Pair
♥A,♥Q,♥T,♦9,♠9 | Pair
♥A,♥Q,♦9,♠9,♠6 | Pair
♥A,♦3,♥T,♦9,♠9 | Pair
♥A,♦3,♦9,♠9,♠6 | Pair
♥A,♥T,♦9,♠9,♠6 | Pair
♠7,♥J,♣5,♣9,♦7 | Pair
♠7,♥J,♣5,♣9,♣7 | Pair
♠7,♥J,♣5,♣9,♦9 | Pair
♠7,♥J,♣5,♣9,♠9 | Pair
♠7,♥J,♣5,♦7,♦K | Pair
♠7,♥J,♣5,♦7,♣3 | Pair
♠7,♥J,♣5,♦7,♣7 | Full House
♠7,♥J,♣5,♦7,♥Q | Pair
♠7,♥J,♣5,♦7,♦3 | Pair
♠7,♥J,♣5,♦7,♥T | Pair
♠7,♥J,♣5,♦7,♦9 | Pair
♠7,♥J,♣5,♦7,♠9 | Pair
♠7,♥J,♣5,♦7,♠6 | Pair
♠7,♥J,♣5,♦K,♣7 | Pair
♠7,♥J,♣5,♣3,♣7 | Pair
♠7,♥J,♣5,♣3,♦3 | Pair
♠7,♥J,♣5,♣7,♥Q | Pair
♠7,♥J,♣5,♣7,♦3 | Pair
♠7,♥J,♣5,♣7,♥T | Pair
♠7,♥J,♣5,♣7,♦9 | Pair
♠7,♥J,♣5,♣7,♠9 | Pair
♠7,♥J,♣5,♣7,♠6 | Pair
♠7,♥J,♣5,♦9,♠9 | Pair
♠7,♥J,♣9,♦7,♦K | Pair
♠7,♥J,♣9,♦7,♣3 | Pair
♠7,♥J,♣9,♦7,♣7 | Full House
♠7,♥J,♣9,♦7,♥Q | Pair
♠7,♥J,♣9,♦7,♦3 | Pair
♠7,♥J,♣9,♦7,♥T | Pair
♠7,♥J,♣9,♦7,♦9 | Two Pairs
♠7,♥J,♣9,♦7,♠9 | Two Pairs
♠7,♥J,♣9,♦7,♠6 | Pair
♠7,♥J,♣9,♦K,♣7 | Pair
♠7,♥J,♣9,♦K,♦9 | Pair
♠7,♥J,♣9,♦K,♠9 | Pair
♠7,♥J,♣9,♣3,♣7 | Pair
♠7,♥J,♣9,♣3,♦3 | Pair
♠7,♥J,♣9,♣3,♦9 | Pair
♠7,♥J,♣9,♣3,♠9 | Pair
♠7,♥J,♣9,♣7,♥Q | Pair
♠7,♥J,♣9,♣7,♦3 | Pair
♠7,♥J,♣9,♣7,♥T | Pair
♠7,♥J,♣9,♣7,♦9 | Two Pairs
♠7,♥J,♣9,♣7,♠9 | Two Pairs
♠7,♥J,♣9,♣7,♠6 | Pair
♠7,♥J,♣9,♥Q,♦9 | Pair
♠7,♥J,♣9,♥Q,♠9 | Pair
♠7,♥J,♣9,♦3,♦9 | Pair
♠7,♥J,♣9,♦3,♠9 | Pair
♠7,♥J,♣9,♥T,♦9 | Pair
♠7,♥J,♣9,♥T,♠9 | Pair
♠7,♥J,♣9,♦9,♠9 | Full House
♠7,♥J,♣9,♦9,♠6 | Pair
♠7,♥J,♣9,♠9,♠6 | Pair
♠7,♥J,♦7,♦K,♣3 | Pair
♠7,♥J,♦7,♦K,♣7 | Full House
♠7,♥J,♦7,♦K,♥Q | Pair
♠7,♥J,♦7,♦K,♦3 | Pair
♠7,♥J,♦7,♦K,♥T | Pair
♠7,♥J,♦7,♦K,♦9 | Pair
♠7,♥J,♦7,♦K,♠9 | Pair
♠7,♥J,♦7,♦K,♠6 | Pair
♠7,♥J,♦7,♣3,♣7 | Full House
♠7,♥J,♦7,♣3,♥Q | Pair
♠7,♥J,♦7,♣3,♦3 | Two Pairs
♠7,♥J,♦7,♣3,♥T | Pair
♠7,♥J,♦7,♣3,♦9 | Pair
♠7,♥J,♦7,♣3,♠9 | Pair
♠7,♥J,♦7,♣3,♠6 | Pair
♠7,♥J,♦7,♣7,♥Q | Full House
♠7,♥J,♦7,♣7,♦3 | Full House
♠7,♥J,♦7,♣7,♥T | Full House
♠7,♥J,♦7,♣7,♦9 | Full House
♠7,♥J,♦7,♣7,♠9 | Full House
♠7,♥J,♦7,♣7,♠6 | Full House
♠7,♥J,♦7,♥Q,♦3 | Pair
♠7,♥J,♦7,♥Q,♥T | Pair
♠7,♥J,♦7,♥Q,♦9 | Pair
♠7,♥J,♦7,♥Q,♠9 | Pair
♠7,♥J,♦7,♥Q,♠6 | Pair
♠7,♥J,♦7,♦3,♥T | Pair
♠7,♥J,♦7,♦3,♦9 | Pair
♠7,♥J,♦7,♦3,♠9 | Pair
♠7,♥J,♦7,♦3,♠6 | Pair
♠7,♥J,♦7,♥T,♦9 | Pair
♠7,♥J,♦7,♥T,♠9 | Pair
♠7,♥J,♦7,♥T,♠6 | Pair
♠7,♥J,♦7,♦9,♠9 | Two Pairs
♠7,♥J,♦7,♦9,♠6 | Pair
♠7,♥J,♦7,♠9,♠6 | Pair
♠7,♥J,♦K,♣3,♣7 | Pair
♠7,♥J,♦K,♣3,♦3 | Pair
♠7,♥J,♦K,♣7,♥Q | Pair
♠7,♥J,♦K,♣7,♦3 | Pair
♠7,♥J,♦K,♣7,♥T | Pair
♠7,♥J,♦K,♣7,♦9 | Pair
♠7,♥J,♦K,♣7,♠9 | Pair
♠7,♥J,♦K,♣7,♠6 | Pair
♠7,♥J,♦K,♦9,♠9 | Pair
♠7,♥J,♣3,♣7,♥Q | Pair
♠7,♥J,♣3,♣7,♦3 | Two Pairs
♠7,♥J,♣3,♣7,♥T | Pair
♠7,♥J,♣3,♣7,♦9 | Pair
♠7,♥J,♣3,♣7,♠9 | Pair
♠7,♥J,♣3,♣7,♠6 | Pair
♠7,♥J,♣3,♥Q,♦3 | Pair
♠7,♥J,♣3,♦3,♥T | Pair
♠7,♥J,♣3,♦3,♦9 | Pair
♠7,♥J,♣3,♦3,♠9 | Pair
♠7,♥J,♣3,♦3,♠6 | Pair
♠7,♥J,♣3,♦9,♠9 | Pair
♠7,♥J,♣7,♥Q,♦3 | Pair
♠7,♥J,♣7,♥Q,♥T | Pair
♠7,♥J,♣7,♥Q,♦9 | Pair
♠7,♥J,♣7,♥Q,♠9 | Pair
♠7,♥J,♣7,♥Q,♠6 | Pair
♠7,♥J,♣7,♦3,♥T | Pair
♠7,♥J,♣7,♦3,♦9 | Pair
♠7,♥J,♣7,♦3,♠9 | Pair
♠7,♥J,♣7,♦3,♠6 | Pair
♠7,♥J,♣7,♥T,♦9 | Pair
♠7,♥J,♣7,♥T,♠9 | Pair
♠7,♥J,♣7,♥T,♠6 | Pair
♠7,♥J,♣7,♦9,♠9 | Two Pairs
♠7,♥J,♣7,♦9,♠6 | Pair
♠7,♥J,♣7,♠9,♠6 | Pair
♠7,♥J,♥Q,♦9,♠9 | Pair
♠7,♥J,♦3,♦9,♠9 | Pair
♠7,♥J,♥T,♦9,♠9 | Pair
♠7,♥J,♦9,♠9,♠6 | Pair
♠7,♣5,♣9,♦7,♦K | Pair
♠7,♣5,♣9,♦7,♣3 | Pair
♠7,♣5,♣9,♦7,♣7 | Full House
♠7,♣5,♣9,♦7,♥Q | Pair
♠7,♣5,♣9,♦7,♦3 | Pair
♠7,♣5,♣9,♦7,♥T | Pair
♠7,♣5,♣9,♦7,♦9 | Two Pairs
♠7,♣5,♣9,♦7,♠9 | Two Pairs
♠7,♣5,♣9,♦7,♠6 | Pair
♠7,♣5,♣9,♦K,♣7 | Pair
♠7,♣5,♣9,♦K,♦9 | Pair
♠7,♣5,♣9,♦K,♠9 | Pair
♠7,♣5,♣9,♣3,♣7 | Pair
♠7,♣5,♣9,♣3,♦3 | Pair
♠7,♣5,♣9,♣3,♦9 | Pair
♠7,♣5,♣9,♣3,♠9 | Pair
♠7,♣5,♣9,♣7,♥Q | Pair
♠7,♣5,♣9,♣7,♦3 | Pair
♠7,♣5,♣9,♣7,♥T | Pair
♠7,♣5,♣9,♣7,♦9 | Two Pairs
♠7,♣5,♣9,♣7,♠9 | Two Pairs
♠7,♣5,♣9,♣7,♠6 | Pair
♠7,♣5,♣9,♥Q,♦9 | Pair
♠7,♣5,♣9,♥Q,♠9 | Pair
♠7,♣5,♣9,♦3,♦9 | Pair
♠7,♣5,♣9,♦3,♠9 | Pair
♠7,♣5,♣9,♥T,♦9 | Pair
♠7,♣5,♣9,♥T,♠9 | Pair
♠7,♣5,♣9,♦9,♠9 | Full House
♠7,♣5,♣9,♦9,♠6 | Pair
♠7,♣5,♣9,♠9,♠6 | Pair
♠7,♣5,♦7,♦K,♣3 | Pair
♠7,♣5,♦7,♦K,♣7 | Full House
♠7,♣5,♦7,♦K,♥Q | Pair
♠7,♣5,♦7,♦K,♦3 | Pair
♠7,♣5,♦7,♦K,♥T | Pair
♠7,♣5,♦7,♦K,♦9 | Pair
♠7,♣5,♦7,♦K,♠9 | Pair
♠7,♣5,♦7,♦K,♠6 | Pair
♠7,♣5,♦7,♣3,♣7 | Full House
♠7,♣5,♦7,♣3,♥Q | Pair
♠7,♣5,♦7,♣3,♦3 | Two Pairs
♠7,♣5,♦7,♣3,♥T | Pair
♠7,♣5,♦7,♣3,♦9 | Pair
♠7,♣5,♦7,♣3,♠9 | Pair
♠7,♣5,♦7,♣3,♠6 | Pair
♠7,♣5,♦7,♣7,♥Q | Full House
♠7,♣5,♦7,♣7,♦3 | Full House
♠7,♣5,♦7,♣7,♥T | Full House
♠7,♣5,♦7,♣7,♦9 | Full House
♠7,♣5,♦7,♣7,♠9 | Full House
♠7,♣5,♦7,♣7,♠6 | Full House
♠7,♣5,♦7,♥Q,♦3 | Pair
♠7,♣5,♦7,♥Q,♥T | Pair
♠7,♣5,♦7,♥Q,♦9 | Pair
♠7,♣5,♦7,♥Q,♠9 | Pair
♠7,♣5,♦7,♥Q,♠6 | Pair
♠7,♣5,♦7,♦3,♥T | Pair
♠7,♣5,♦7,♦3,♦9 | Pair
♠7,♣5,♦7,♦3,♠9 | Pair
♠7,♣5,♦7,♦3,♠6 | Pair
♠7,♣5,♦7,♥T,♦9 | Pair
♠7,♣5,♦7,♥T,♠9 | Pair
♠7,♣5,♦7,♥T,♠6 | Pair
♠7,♣5,♦7,♦9,♠9 | Two Pairs
♠7,♣5,♦7,♦9,♠6 | Pair
♠7,♣5,♦7,♠9,♠6 | Pair
♠7,♣5,♦K,♣3,♣7 | Pair
♠7,♣5,♦K,♣3,♦3 | Pair
♠7,♣5,♦K,♣7,♥Q | Pair
♠7,♣5,♦K,♣7,♦3 | Pair
♠7,♣5,♦K,♣7,♥T | Pair
♠7,♣5,♦K,♣7,♦9 | Pair
♠7,♣5,♦K,♣7,♠9 | Pair
♠7,♣5,♦K,♣7,♠6 | Pair
♠7,♣5,♦K,♦9,♠9 | Pair
♠7,♣5,♣3,♣7,♥Q | Pair
♠7,♣5,♣3,♣7,♦3 | Two Pairs
♠7,♣5,♣3,♣7,♥T | Pair
♠7,♣5,♣3,♣7,♦9 | Pair
♠7,♣5,♣3,♣7,♠9 | Pair
♠7,♣5,♣3,♣7,♠6 | Pair
♠7,♣5,♣3,♥Q,♦3 | Pair
♠7,♣5,♣3,♦3,♥T | Pair
♠7,♣5,♣3,♦3,♦9 | Pair
♠7,♣5,♣3,♦3,♠9 | Pair
♠7,♣5,♣3,♦3,♠6 | Pair
♠7,♣5,♣3,♦9,♠9 | Pair
♠7,♣5,♣7,♥Q,♦3 | Pair
♠7,♣5,♣7,♥Q,♥T | Pair
♠7,♣5,♣7,♥Q,♦9 | Pair
♠7,♣5,♣7,♥Q,♠9 | Pair
♠7,♣5,♣7,♥Q,♠6 | Pair
♠7,♣5,♣7,♦3,♥T | Pair
♠7,♣5,♣7,♦3,♦9 | Pair
♠7,♣5,♣7,♦3,♠9 | Pair
♠7,♣5,♣7,♦3,♠6 | Pair
♠7,♣5,♣7,♥T,♦9 | Pair
♠7,♣5,♣7,♥T,♠9 | Pair
♠7,♣5,♣7,♥T,♠6 | Pair
♠7,♣5,♣7,♦9,♠9 | Two Pairs
♠7,♣5,♣7,♦9,♠6 | Pair
♠7,♣5,♣7,♠9,♠6 | Pair
♠7,♣5,♥Q,♦9,♠9 | Pair
♠7,♣5,♦3,♦9,♠9 | Pair
♠7,♣5,♥T,♦9,♠9 | Pair
♠7,♣5,♦9,♠9,♠6 | Pair
♠7,♣9,♦7,♦K,♣3 | Pair
♠7,♣9,♦7,♦K,♣7 | Full House
♠7,♣9,♦7,♦K,♥Q | Pair
♠7,♣9,♦7,♦K,♦3 | Pair
♠7,♣9,♦7,♦K,♥T | Pair
♠7,♣9,♦7,♦K,♦9 | Two Pairs
♠7,♣9,♦7,♦K,♠9 | Two Pairs
♠7,♣9,♦7,♦K,♠6 | Pair
♠7,♣9,♦7,♣3,♣7 | Full House
♠7,♣9,♦7,♣3,♥Q | Pair
♠7,♣9,♦7,♣3,♦3 | Two Pairs
♠7,♣9,♦7,♣3,♥T | Pair
♠7,♣9,♦7,♣3,♦9 | Two Pairs
♠7,♣9,♦7,♣3,♠9 | Two Pairs
♠7,♣9,♦7,♣3,♠6 | Pair
♠7,♣9,♦7,♣7,♥Q | Full House
♠7,♣9,♦7,♣7,♦3 | Full House
♠7,♣9,♦7,♣7,♥T | Full House
♠7,♣9,♦7,♣7,♦9 | Full House
♠7,♣9,♦7,♣7,♠9 | Full House
♠7,♣9,♦7,♣7,♠6 | Full House
♠7,♣9,♦7,♥Q,♦3 | Pair
♠7,♣9,♦7,♥Q,♥T | Pair
♠7,♣9,♦7,♥Q,♦9 | Two Pairs
♠7,♣9,♦7,♥Q,♠9 | Two Pairs
♠7,♣9,♦7,♥Q,♠6 | Pair
♠7,♣9,♦7,♦3,♥T | Pair
♠7,♣9,♦7,♦3,♦9 | Two Pairs
♠7,♣9,♦7,♦3,♠9 | Two Pairs
♠7,♣9,♦7,♦3,♠6 | Pair
♠7,♣9,♦7,♥T,♦9 | Two Pairs
♠7,♣9,♦7,♥T,♠9 | Two Pairs
♠7,♣9,♦7,♥T,♠6 | Pair
♠7,♣9,♦7,♦9,♠9 | Full House
♠7,♣9,♦7,♦9,♠6 | Two Pairs
♠7,♣9,♦7,♠9,♠6 | Two Pairs
♠7,♣9,♦K,♣3,♣7 | Pair
♠7,♣9,♦K,♣3,♦3 | Pair
♠7,♣9,♦K,♣3,♦9 | Pair
♠7,♣9,♦K,♣3,♠9 | Pair
♠7,♣9,♦K,♣7,♥Q | Pair
♠7,♣9,♦K,♣7,♦3 | Pair
♠7,♣9,♦K,♣7,♥T | Pair
♠7,♣9,♦K,♣7,♦9 | Two Pairs
♠7,♣9,♦K,♣7,♠9 | Two Pairs
♠7,♣9,♦K,♣7,♠6 | Pair
♠7,♣9,♦K,♥Q,♦9 | Pair
♠7,♣9,♦K,♥Q,♠9 | Pair
♠7,♣9,♦K,♦3,♦9 | Pair
♠7,♣9,♦K,♦3,♠9 | Pair
♠7,♣9,♦K,♥T,♦9 | Pair
♠7,♣9,♦K,♥T,♠9 | Pair
♠7,♣9,♦K,♦9,♠9 | Full House
♠7,♣9,♦K,♦9,♠6 | Pair
♠7,♣9,♦K,♠9,♠6 | Pair
♠7,♣9,♣3,♣7,♥Q | Pair
♠7,♣9,♣3,♣7,♦3 | Two Pairs
♠7,♣9,♣3,♣7,♥T | Pair
♠7,♣9,♣3,♣7,♦9 | Two Pairs
♠7,♣9,♣3,♣7,♠9 | Two Pairs
♠7,♣9,♣3,♣7,♠6 | Pair
♠7,♣9,♣3,♥Q,♦3 | Pair
♠7,♣9,♣3,♥Q,♦9 | Pair
♠7,♣9,♣3,♥Q,♠9 | Pair
♠7,♣9,♣3,♦3,♥T | Pair
♠7,♣9,♣3,♦3,♦9 | Two Pairs
♠7,♣9,♣3,♦3,♠9 | Two Pairs
♠7,♣9,♣3,♦3,♠6 | Pair
♠7,♣9,♣3,♥T,♦9 | Pair
♠7,♣9,♣3,♥T,♠9 | Pair
♠7,♣9,♣3,♦9,♠9 | Full House
♠7,♣9,♣3,♦9,♠6 | Pair
♠7,♣9,♣3,♠9,♠6 | Pair
♠7,♣9,♣7,♥Q,♦3 | Pair
♠7,♣9,♣7,♥Q,♥T | Pair
♠7,♣9,♣7,♥Q,♦9 | Two Pairs
♠7,♣9,♣7,♥Q,♠9 | Two Pairs
♠7,♣9,♣7,♥Q,♠6 | Pair
♠7,♣9,♣7,♦3,♥T | Pair
♠7,♣9,♣7,♦3,♦9 | Two Pairs
♠7,♣9,♣7,♦3,♠9 | Two Pairs
♠7,♣9,♣7,♦3,♠6 | Pair
♠7,♣9,♣7,♥T,♦9 | Two Pairs
♠7,♣9,♣7,♥T,♠9 | Two Pairs
♠7,♣9,♣7,♥T,♠6 | Pair
♠7,♣9,♣7,♦9,♠9 | Full House
♠7,♣9,♣7,♦9,♠6 | Two Pairs
♠7,♣9,♣7,♠9,♠6 | Two Pairs
♠7,♣9,♥Q,♦3,♦9 | Pair
♠7,♣9,♥Q,♦3,♠9 | Pair
♠7,♣9,♥Q,♥T,♦9 | Pair
♠7,♣9,♥Q,♥T,♠9 | Pair
♠7,♣9,♥Q,♦9,♠9 | Full House
♠7,♣9,♥Q,♦9,♠6 | Pair
♠7,♣9,♥Q,♠9,♠6 | Pair
♠7,♣9,♦3,♥T,♦9 | Pair
♠7,♣9,♦3,♥T,♠9 | Pair
♠7,♣9,♦3,♦9,♠9 | Full House
♠7,♣9,♦3,♦9,♠6 | Pair
♠7,♣9,♦3,♠9,♠6 | Pair
♠7,♣9,♥T,♦9,♠9 | Full House
♠7,♣9,♥T,♦9,♠6 | Pair
♠7,♣9,♥T,♠9,♠6 | Pair
♠7,♣9,♦9,♠9,♠6 | Full House
♠7,♦7,♦K,♣3,♣7 | Full House
♠7,♦7,♦K,♣3,♥Q | Pair
♠7,♦7,♦K,♣3,♦3 | Two Pairs
♠7,♦7,♦K,♣3,♥T | Pair
♠7,♦7,♦K,♣3,♦9 | Pair
♠7,♦7,♦K,♣3,♠9 | Pair
♠7,♦7,♦K,♣3,♠6 | Pair
♠7,♦7,♦K,♣7,♥Q | Full House
♠7,♦7,♦K,♣7,♦3 | Full House
♠7,♦7,♦K,♣7,♥T | Full House
♠7,♦7,♦K,♣7,♦9 | Full House
♠7,♦7,♦K,♣7,♠9 | Full House
♠7,♦7,♦K,♣7,♠6 | Full House
♠7,♦7,♦K,♥Q,♦3 | Pair
♠7,♦7,♦K,♥Q,♥T | Pair
♠7,♦7,♦K,♥Q,♦9 | Pair
♠7,♦7,♦K,♥Q,♠9 | Pair
♠7,♦7,♦K,♥Q,♠6 | Pair
♠7,♦7,♦K,♦3,♥T | Pair
♠7,♦7,♦K,♦3,♦9 | Pair
♠7,♦7,♦K,♦3,♠9 | Pair
♠7,♦7,♦K,♦3,♠6 | Pair
♠7,♦7,♦K,♥T,♦9 | Pair
♠7,♦7,♦K,♥T,♠9 | Pair
♠7,♦7,♦K,♥T,♠6 | Pair
♠7,♦7,♦K,♦9,♠9 | Two Pairs
♠7,♦7,♦K,♦9,♠6 | Pair
♠7,♦7,♦K,♠9,♠6 | Pair
♠7,♦7,♣3,♣7,♥Q | Full House
♠7,♦7,♣3,♣7,♦3 | Full House
♠7,♦7,♣3,♣7,♥T | Full House
♠7,♦7,♣3,♣7,♦9 | Full House
♠7,♦7,♣3,♣7,♠9 | Full House
♠7,♦7,♣3,♣7,♠6 | Full House
♠7,♦7,♣3,♥Q,♦3 | Two Pairs
♠7,♦7,♣3,♥Q,♥T | Pair
♠7,♦7,♣3,♥Q,♦9 | Pair
♠7,♦7,♣3,♥Q,♠9 | Pair
♠7,♦7,♣3,♥Q,♠6 | Pair
♠7,♦7,♣3,♦3,♥T | Two Pairs
♠7,♦7,♣3,♦3,♦9 | Two Pairs
♠7,♦7,♣3,♦3,♠9 | Two Pairs
♠7,♦7,♣3,♦3,♠6 | Two Pairs
♠7,♦7,♣3,♥T,♦9 | Pair
♠7,♦7,♣3,♥T,♠9 | Pair
♠7,♦7,♣3,♥T,♠6 | Pair
♠7,♦7,♣3,♦9,♠9 | Two Pairs
♠7,♦7,♣3,♦9,♠6 | Pair
♠7,♦7,♣3,♠9,♠6 | Pair
♠7,♦7,♣7,♥Q,♦3 | Full House
♠7,♦7,♣7,♥Q,♥T | Full House
♠7,♦7,♣7,♥Q,♦9 | Full House
♠7,♦7,♣7,♥Q,♠9 | Full House
♠7,♦7,♣7,♥Q,♠6 | Full House
♠7,♦7,♣7,♦3,♥T | Full House
♠7,♦7,♣7,♦3,♦9 | Full House
♠7,♦7,♣7,♦3,♠9 | Full House
♠7,♦7,♣7,♦3,♠6 | Full House
♠7,♦7,♣7,♥T,♦9 | Full House
♠7,♦7,♣7,♥T,♠9 | Full House
♠7,♦7,♣7,♥T,♠6 | Full House
♠7,♦7,♣7,♦9,♠9 | Full House
♠7,♦7,♣7,♦9,♠6 | Full House
♠7,♦7,♣7,♠9,♠6 | Full House
♠7,♦7,♥Q,♦3,♥T | Pair
♠7,♦7,♥Q,♦3,♦9 | Pair
♠7,♦7,♥Q,♦3,♠9 | Pair
♠7,♦7,♥Q,♦3,♠6 | Pair
♠7,♦7,♥Q,♥T,♦9 | Pair
♠7,♦7,♥Q,♥T,♠9 | Pair
♠7,♦7,♥Q,♥T,♠6 | Pair
♠7,♦7,♥Q,♦9,♠9 | Two Pairs
♠7,♦7,♥Q,♦9,♠6 | Pair
♠7,♦7,♥Q,♠9,♠6 | Pair
♠7,♦7,♦3,♥T,♦9 | Pair
♠7,♦7,♦3,♥T,♠9 | Pair
♠7,♦7,♦3,♥T,♠6 | Pair
♠7,♦7,♦3,♦9,♠9 | Two Pairs
♠7,♦7,♦3,♦9,♠6 | Pair
♠7,♦7,♦3,♠9,♠6 | Pair
♠7,♦7,♥T,♦9,♠9 | Two Pairs
♠7,♦7,♥T,♦9,♠6 | Pair
♠7,♦7,♥T,♠9,♠6 | Pair
♠7,♦7,♦9,♠9,♠6 | Two Pairs
♠7,♦K,♣3,♣7,♥Q | Pair
♠7,♦K,♣3,♣7,♦3 | Two Pairs
♠7,♦K,♣3,♣7,♥T | Pair
♠7,♦K,♣3,♣7,♦9 | Pair
♠7,♦K,♣3,♣7,♠9 | Pair
♠7,♦K,♣3,♣7,♠6 | Pair
♠7,♦K,♣3,♥Q,♦3 | Pair
♠7,♦K,♣3,♦3,♥T | Pair
♠7,♦K,♣3,♦3,♦9 | Pair
♠7,♦K,♣3,♦3,♠9 | Pair
♠7,♦K,♣3,♦3,♠6 | Pair
♠7,♦K,♣3,♦9,♠9 | Pair
♠7,♦K,♣7,♥Q,♦3 | Pair
♠7,♦K,♣7,♥Q,♥T | Pair
♠7,♦K,♣7,♥Q,♦9 | Pair
♠7,♦K,♣7,♥Q,♠9 | Pair
♠7,♦K,♣7,♥Q,♠6 | Pair
♠7,♦K,♣7,♦3,♥T | Pair
♠7,♦K,♣7,♦3,♦9 | Pair
♠7,♦K,♣7,♦3,♠9 | Pair
♠7,♦K,♣7,♦3,♠6 | Pair
♠7,♦K,♣7,♥T,♦9 | Pair
♠7,♦K,♣7,♥T,♠9 | Pair
♠7,♦K,♣7,♥T,♠6 | Pair
♠7,♦K,♣7,♦9,♠9 | Two Pairs
♠7,♦K,♣7,♦9,♠6 | Pair
♠7,♦K,♣7,♠9,♠6 | Pair
♠7,♦K,♥Q,♦9,♠9 | Pair
♠7,♦K,♦3,♦9,♠9 | Pair
♠7,♦K,♥T,♦9,♠9 | Pair
♠7,♦K,♦9,♠9,♠6 | Pair
♠7,♣3,♣7,♥Q,♦3 | Two Pairs
♠7,♣3,♣7,♥Q,♥T | Pair
♠7,♣3,♣7,♥Q,♦9 | Pair
♠7,♣3,♣7,♥Q,♠9 | Pair
♠7,♣3,♣7,♥Q,♠6 | Pair
♠7,♣3,♣7,♦3,♥T | Two Pairs
♠7,♣3,♣7,♦3,♦9 | Two Pairs
♠7,♣3,♣7,♦3,♠9 | Two Pairs
♠7,♣3,♣7,♦3,♠6 | Two Pairs
♠7,♣3,♣7,♥T,♦9 | Pair
♠7,♣3,♣7,♥T,♠9 | Pair
♠7,♣3,♣7,♥T,♠6 | Pair
♠7,♣3,♣7,♦9,♠9 | Two Pairs
♠7,♣3,♣7,♦9,♠6 | Pair
♠7,♣3,♣7,♠9,♠6 | Pair
♠7,♣3,♥Q,♦3,♥T | Pair
♠7,♣3,♥Q,♦3,♦9 | Pair
♠7,♣3,♥Q,♦3,♠9 | Pair
♠7,♣3,♥Q,♦3,♠6 | Pair
♠7,♣3,♥Q,♦9,♠9 | Pair
♠7,♣3,♦3,♥T,♦9 | Pair
♠7,♣3,♦3,♥T,♠9 | Pair
♠7,♣3,♦3,♥T,♠6 | Pair
♠7,♣3,♦3,♦9,♠9 | Two Pairs
♠7,♣3,♦3,♦9,♠6 | Pair
♠7,♣3,♦3,♠9,♠6 | Pair
♠7,♣3,♥T,♦9,♠9 | Pair
