♦Q,♣5,♠A,♦8,♣K | Pair
♠A,♣K,♣10,♣6,♥10 | Pair
♠A,♣K,♣10,♦7,♦3 | Pair
♠A,♣K,♣10,♦7,♥8 | Pair
♠A,♣K,♣10,♦7,♦8 | Pair
♠A,♣K,♣10,♦7,♥10 | Pair
♠A,♣K,♣10,♦7,♥10 | Pair
♠A,♣K,♣10,♦3,♥8 | Pair
♠A,♣K,♣10,♦3,♦8 | Pair
♠A,♣K,♣10,♦3,♥10 | Pair
♠A,♣K,♣10,♦3,♥10 | Pair
♠A,♣K,♣10,♥8,♦8 | Pair
♠A,♣K,♣10,♥8,♦8 | Pair
♠A,♣K,♣10,♥8,♥10 | Pair
♠A,♣K,♣10,♥8,♥10 | Pair
♠A,♣K,♣10,♦8,♥10 | Pair
♠A,♣K,♣10,♦8,♥10 | Pair
♠A,♣K,♠Q,♣6,♦7 | Pair
♠A,♣K,♠Q,♣6,♦7 | Three Of A Kind
♠A,♣K,♠Q,♣6,♦3 | Pair
♠A,♣K,♠Q,♣6,♦3 | Three Of A Kind
♠A,♣K,♠Q,♣6,♥8 | Pair
♠A,♣K,♠Q,♣6,♥8 | Three Of A Kind
♠A,♣K,♠Q,♣6,♦8 | Pair
♠A,♣K,♠Q,♣6,♦8 | Three Of A Kind
♠A,♣K,♠Q,♣6,♥10 | Pair
♠A,♣K,♠Q,♣6,♥10 | Three Of A Kind
♠A,♣K,♠Q,♦7,♦3 | Pair
♠A,♣K,♠Q,♦7,♦3 | Three Of A Kind
♠A,♣K,♠Q,♦7,♥8 | Pair
♠A,♣K,♠Q,♦7,♥8 | Three Of A Kind
♠A,♣K,♠Q,♦7,♦8 | Pair
♠A,♣K,♠Q,♦7,♦8 | Three Of A Kind
♠A,♣K,♠Q,♦7,♥10 | Pair
♠A,♣K,♠Q,♦7,♥10 | Three Of A Kind
♠A,♣K,♠Q,♦3,♥8 | Pair
♠A,♣K,♠Q,♦3,♥8 | Three Of A Kind
♠A,♣K,♠Q,♦3,♦8 | Pair
♠A,♣K,♠Q,♦3,♦8 | Three Of A Kind
♠A,♣K,♠Q,♦3,♥10 | Pair
♠A,♣K,♠Q,♦3,♥10 | Three Of A Kind
♠A,♣K,♠Q,♥8,♦8 | Pair
♠A,♣K,♠Q,♥8,♦8 | Three Of A Kind
♠A,♣K,♠Q,♥8,♦8 | Pair
♠A,♣K,♠Q,♥8,♥10 | Pair
♠A,♣K,♠Q,♥8,♥10 | Three Of A Kind
♠A,♣K,♠Q,♦8,♥10 | Pair
♠A,♣K,♠Q,♦8,♥10 | Three Of A Kind
♠A,♣K,♣6,♦7,♦3 | Pair
♠A,♣K,♣6,♦7,♥8 | Pair
♠A,♣K,♣6,♦7,♦8 | Pair
♠A,♣K,♣6,♦7,♥10 | Pair
♠A,♣K,♣6,♦3,♥8 | Pair
♠A,♣K,♣6,♦3,♦8 | Pair
♠A,♣K,♣6,♦3,♥10 | Pair
♠A,♣K,♣6,♥8,♦8 | Pair
♠A,♣K,♣6,♥8,♦8 | Pair
♠A,♣K,♣6,♥8,♥10 | Pair
♠A,♣K,♣6,♦8,♥10 | Pair
♠A,♣K,♦7,♦3,♥8 | Pair
♠A,♣K,♦7,♦3,♦8 | Pair
♠A,♣K,♦7,♦3,♥10 | Pair
♠A,♣K,♦7,♥8,♦8 | Pair
♠A,♣K,♦7,♥8,♦8 | Pair
♠A,♣K,♦7,♥8,♥10 | Pair
♠A,♣K,♦7,♦8,♥10 | Pair
♠A,♣K,♦3,♥8,♦8 | Pair
♠A,♣K,♦3,♥8,♦8 | Pair
♠A,♣K,♦3,♥8,♥10 | Pair
♠A,♣K,♦3,♦8,♥10 | Pair
♠A,♣K,♥8,♦8,♥10 | Pair
♠A,♣K,♥8,♦8,♥10 | Pair
♠A,♣10,♠Q,♣6,♦7 | Pair
♠A,♣10,♠Q,♣6,♦3 | Pair
♠A,♣10,♠Q,♣6,♥8 | Pair
♠A,♣10,♠Q,♣6,♦8 | Pair
♠A,♣10,♠Q,♣6,♥10 | Pair
♠A,♣10,♠Q,♣6,♥10 | Pair
♠A,♣10,♠Q,♦7,♦3 | Pair
♠A,♣10,♠Q,♦7,♥8 | Pair
♠A,♣10,♠Q,♦7,♦8 | Pair
♠A,♣10,♠Q,♦7,♥10 | Pair
♠A,♣10,♠Q,♦7,♥10 | Pair
♠A,♣10,♠Q,♦3,♥8 | Pair
♠A,♣10,♠Q,♦3,♦8 | Pair
♠A,♣10,♠Q,♦3,♥10 | Pair
♠A,♣10,♠Q,♦3,♥10 | Pair
♠A,♣10,♠Q,♥8,♦8 | Pair
♠A,♣10,♠Q,♥8,♦8 | Pair
♠A,♣10,♠Q,♥8,♥10 | Pair
♠A,♣10,♠Q,♥8,♥10 | Pair
♠A,♣10,♠Q,♦8,♥10 | Pair
♠A,♣10,♠Q,♦8,♥10 | Pair
♠A,♣10,♣6,♦7,♥10 | Pair
♠A,♣10,♣6,♦3,♥10 | Pair
♠A,♣10,♣6,♥8,♦8 | Pair
♠A,♣10,♣6,♥8,♥10 | Pair
♠A,♣10,♣6,♦8,♥10 | Pair
♠A,♣10,♦7,♦3,♥10 | Pair
♠A,♣10,♦7,♥8,♦8 | Pair
♠A,♣10,♦7,♥8,♥10 | Pair
♠A,♣10,♦7,♦8,♥10 | Pair
♠A,♣10,♦3,♥8,♦8 | Pair
♠A,♣10,♦3,♥8,♥10 | Pair
♠A,♣10,♦3,♦8,♥10 | Pair
♠A,♣10,♥8,♦8,♥10 | Pair
♠A,♣10,♥8,♦8,♥10 | Pair
♠A,♠Q,♣6,♦7,♦3 | Pair
♠A,♠Q,♣6,♦7,♥8 | Pair
♠A,♠Q,♣6,♦7,♦8 | Pair
♠A,♠Q,♣6,♦7,♥10 | Pair
♠A,♠Q,♣6,♦3,♥8 | Pair
♠A,♠Q,♣6,♦3,♦8 | Pair
♠A,♠Q,♣6,♦3,♥10 | Pair
♠A,♠Q,♣6,♥8,♦8 | Pair
♠A,♠Q,♣6,♥8,♦8 | Pair
♠A,♠Q,♣6,♥8,♥10 | Pair
♠A,♠Q,♣6,♦8,♥10 | Pair
♠A,♠Q,♦7,♦3,♥8 | Pair
♠A,♠Q,♦7,♦3,♦8 | Pair
♠A,♠Q,♦7,♦3,♥10 | Pair
♠A,♠Q,♦7,♥8,♦8 | Pair
♠A,♠Q,♦7,♥8,♦8 | Pair
♠A,♠Q,♦7,♥8,♥10 | Pair
♠A,♠Q,♦7,♦8,♥10 | Pair
♠A,♠Q,♦3,♥8,♦8 | Pair
♠A,♠Q,♦3,♥8,♦8 | Pair
♠A,♠Q,♦3,♥8,♥10 | Pair
♠A,♠Q,♦3,♦8,♥10 | Pair
♠A,♠Q,♥8,♦8,♥10 | Pair
♠A,♠Q,♥8,♦8,♥10 | Pair
♠A,♣6,♦7,♥8,♦8 | Pair
♠A,♣6,♦3,♥8,♦8 | Pair
♠A,♣6,♥8,♦8,♥10 | Pair
♠A,♦7,♦3,♥8,♦8 | Pair
♠A,♦7,♥8,♦8,♥10 | Pair
♠A,♦3,♥8,♦8,♥10 | Pair
♦8,♣K,♣10,♠Q,♣6 | Pair
♦8,♣K,♣10,♠Q,♦7 | Pair
♦8,♣K,♣10,♠Q,♦3 | Pair
♦8,♣K,♣10,♠Q,♥8 | Pair
♦8,♣K,♣10,♠Q,♥8 | Pair
♦8,♣K,♣10,♠Q,♦8 | Pair
♦8,♣K,♣10,♠Q,♦8 | Pair
♦8,♣K,♣10,♠Q,♥10 | Pair
♦8,♣K,♣10,♠Q,♥10 | Pair
♦8,♣K,♣10,♣6,♥8 | Pair
♦8,♣K,♣10,♣6,♦8 | Pair
♦8,♣K,♣10,♣6,♥10 | Pair
♦8,♣K,♣10,♦7,♥8 | Pair
♦8,♣K,♣10,♦7,♦8 | Pair
♦8,♣K,♣10,♦7,♥10 | Pair
♦8,♣K,♣10,♦3,♥8 | Pair
♦8,♣K,♣10,♦3,♦8 | Pair
♦8,♣K,♣10,♦3,♥10 | Pair
♦8,♣K,♣10,♥8,♦8 | Pair
♦8,♣K,♣10,♥8,♦8 | Three Of A Kind
♦8,♣K,♣10,♥8,♥10 | Pair
♦8,♣K,♣10,♥8,♥10 | Pair
♦8,♣K,♣10,♦8,♥10 | Pair
♦8,♣K,♣10,♦8,♥10 | Pair
♦8,♣K,♠Q,♣6,♦7 | Pair
♦8,♣K,♠Q,♣6,♦3 | Pair
♦8,♣K,♠Q,♣6,♥8 | Pair
♦8,♣K,♠Q,♣6,♥8 | Pair
♦8,♣K,♠Q,♣6,♦8 | Pair
♦8,♣K,♠Q,♣6,♦8 | Pair
♦8,♣K,♠Q,♣6,♥10 | Pair
♦8,♣K,♠Q,♦7,♦3 | Pair
♦8,♣K,♠Q,♦7,♥8 | Pair
♦8,♣K,♠Q,♦7,♥8 | Pair
♦8,♣K,♠Q,♦7,♦8 | Pair
♦8,♣K,♠Q,♦7,♦8 | Pair
♦8,♣K,♠Q,♦7,♥10 | Pair
♦8,♣K,♠Q,♦3,♥8 | Pair
♦8,♣K,♠Q,♦3,♥8 | Pair
♦8,♣K,♠Q,♦3,♦8 | Pair
♦8,♣K,♠Q,♦3,♦8 | Pair
♦8,♣K,♠Q,♦3,♥10 | Pair
♦8,♣K,♠Q,♥8,♦8 | Pair
♦8,♣K,♠Q,♥8,♦8 | Three Of A Kind
♦8,♣K,♠Q,♥8,♦8 | Pair
♦8,♣K,♠Q,♥8,♥10 | Pair
♦8,♣K,♠Q,♥8,♥10 | Pair
♦8,♣K,♠Q,♦8,♥10 | Pair
♦8,♣K,♠Q,♦8,♥10 | Pair
♦8,♣K,♣6,♦7,♥8 | Pair
♦8,♣K,♣6,♦7,♦8 | Pair
♦8,♣K,♣6,♦3,♥8 | Pair
♦8,♣K,♣6,♦3,♦8 | Pair
♦8,♣K,♣6,♥8,♦8 | Pair
♦8,♣K,♣6,♥8,♦8 | Three Of A Kind
♦8,♣K,♣6,♥8,♥10 | Pair
♦8,♣K,♣6,♦8,♥10 | Pair
♦8,♣K,♦7,♦3,♥8 | Pair
♦8,♣K,♦7,♦3,♦8 | Pair
♦8,♣K,♦7,♥8,♦8 | Pair
♦8,♣K,♦7,♥8,♦8 | Three Of A Kind
♦8,♣K,♦7,♥8,♥10 | Pair
♦8,♣K,♦7,♦8,♥10 | Pair
♦8,♣K,♦3,♥8,♦8 | Pair
♦8,♣K,♦3,♥8,♦8 | Three Of A Kind
♦8,♣K,♦3,♥8,♥10 | Pair
♦8,♣K,♦3,♦8,♥10 | Pair
♦8,♣K,♥8,♦8,♥10 | Pair
♦8,♣K,♥8,♦8,♥10 | Three Of A Kind
♦8,♣10,♠Q,♣6,♥8 | Pair
♦8,♣10,♠Q,♣6,♦8 | Pair
♦8,♣10,♠Q,♣6,♥10 | Pair
♦8,♣10,♠Q,♦7,♥8 | Pair
♦8,♣10,♠Q,♦7,♦8 | Pair
♦8,♣10,♠Q,♦7,♥10 | Pair
♦8,♣10,♠Q,♦3,♥8 | Pair
♦8,♣10,♠Q,♦3,♦8 | Pair
♦8,♣10,♠Q,♦3,♥10 | Pair
♦8,♣10,♠Q,♥8,♦8 | Pair
♦8,♣10,♠Q,♥8,♦8 | Three Of A Kind
♦8,♣10,♠Q,♥8,♥10 | Pair
♦8,♣10,♠Q,♥8,♥10 | Pair
♦8,♣10,♠Q,♦8,♥10 | Pair
♦8,♣10,♠Q,♦8,♥10 | Pair
♦8,♣10,♣6,♦7,♥8 | Pair
♦8,♣10,♣6,♦7,♦8 | Pair
♦8,♣10,♣6,♦7,♥10 | Pair
♦8,♣10,♣6,♦3,♥8 | Pair
♦8,♣10,♣6,♦3,♦8 | Pair
♦8,♣10,♣6,♦3,♥10 | Pair
♦8,♣10,♣6,♥8,♦8 | Pair
♦8,♣10,♣6,♥8,♦8 | Three Of A Kind
♦8,♣10,♣6,♥8,♥10 | Pair
♦8,♣10,♣6,♥8,♥10 | Pair
♦8,♣10,♣6,♦8,♥10 | Pair
♦8,♣10,♣6,♦8,♥10 | Pair
♦8,♣10,♦7,♦3,♥8 | Pair
♦8,♣10,♦7,♦3,♦8 | Pair
♦8,♣10,♦7,♦3,♥10 | Pair
♦8,♣10,♦7,♥8,♦8 | Pair
♦8,♣10,♦7,♥8,♦8 | Three Of A Kind
♦8,♣10,♦7,♥8,♥10 | Pair
♦8,♣10,♦7,♥8,♥10 | Pair
♦8,♣10,♦7,♦8,♥10 | Pair
♦8,♣10,♦7,♦8,♥10 | Pair
♦8,♣10,♦3,♥8,♦8 | Pair
♦8,♣10,♦3,♥8,♦8 | Three Of A Kind
♦8,♣10,♦3,♥8,♥10 | Pair
♦8,♣10,♦3,♥8,♥10 | Pair
♦8,♣10,♦3,♦8,♥10 | Pair
♦8,♣10,♦3,♦8,♥10 | Pair
♦8,♣10,♥8,♦8,♥10 | Pair
♦8,♣10,♥8,♦8,♥10 | Three Of A Kind
♦8,♣10,♥8,♦8,♥10 | Pair
♦8,♠Q,♣6,♦7,♥8 | Pair
♦8,♠Q,♣6,♦7,♦8 | Pair
♦8,♠Q,♣6,♦3,♥8 | Pair
♦8,♠Q,♣6,♦3,♦8 | Pair
♦8,♠Q,♣6,♥8,♦8 | Pair
♦8,♠Q,♣6,♥8,♦8 | Three Of A Kind
♦8,♠Q,♣6,♥8,♥10 | Pair
♦8,♠Q,♣6,♦8,♥10 | Pair
♦8,♠Q,♦7,♦3,♥8 | Pair
♦8,♠Q,♦7,♦3,♦8 | Pair
♦8,♠Q,♦7,♥8,♦8 | Pair
♦8,♠Q,♦7,♥8,♦8 | Three Of A Kind
♦8,♠Q,♦7,♥8,♥10 | Pair
♦8,♠Q,♦7,♦8,♥10 | Pair
♦8,♠Q,♦3,♥8,♦8 | Pair
♦8,♠Q,♦3,♥8,♦8 | Three Of A Kind
♦8,♠Q,♦3,♥8,♥10 | Pair
♦8,♠Q,♦3,♦8,♥10 | Pair
♦8,♠Q,♥8,♦8,♥10 | Pair
♦8,♠Q,♥8,♦8,♥10 | Three Of A Kind
♦8,♣6,♦7,♦3,♥8 | Pair
♦8,♣6,♦7,♦3,♦8 | Pair
♦8,♣6,♦7,♥8,♦8 | Pair
♦8,♣6,♦7,♥8,♦8 | Three Of A Kind
♦8,♣6,♦7,♥8,♥10 | Pair
♦8,♣6,♦7,♦8,♥10 | Pair
♦8,♣6,♦3,♥8,♦8 | Pair
♦8,♣6,♦3,♥8,♦8 | Three Of A Kind
♦8,♣6,♦3,♥8,♥10 | Pair
♦8,♣6,♦3,♦8,♥10 | Pair
♦8,♣6,♥8,♦8,♥10 | Pair
♦8,♣6,♥8,♦8,♥10 | Three Of A Kind
♦8,♦7,♦3,♥8,♦8 | Pair
♦8,♦7,♦3,♥8,♦8 | Three Of A Kind
♦8,♦7,♦3,♥8,♥10 | Pair
♦8,♦7,♦3,♦8,♥10 | Pair
♦8,♦7,♥8,♦8,♥10 | Pair
♦8,♦7,♥8,♦8,♥10 | Three Of A Kind
♦8,♦3,♥8,♦8,♥10 | Pair
♦8,♦3,♥8,♦8,♥10 | Three Of A Kind
♣K,♣10,♠Q,♣6,♦7 | Pair
♣K,♣10,♠Q,♣6,♦3 | Pair
♣K,♣10,♠Q,♣6,♥8 | Pair
♣K,♣10,♠Q,♣6,♦8 | Pair
♣K,♣10,♠Q,♣6,♥10 | Pair
♣K,♣10,♠Q,♣6,♥10 | Pair
♣K,♣10,♠Q,♦7,♦3 | Pair
♣K,♣10,♠Q,♦7,♥8 | Pair
♣K,♣10,♠Q,♦7,♦8 | Pair
♣K,♣10,♠Q,♦7,♥10 | Pair
♣K,♣10,♠Q,♦7,♥10 | Pair
♣K,♣10,♠Q,♦3,♥8 | Pair
♣K,♣10,♠Q,♦3,♦8 | Pair
♣K,♣10,♠Q,♦3,♥10 | Pair
♣K,♣10,♠Q,♦3,♥10 | Pair
♣K,♣10,♠Q,♥8,♦8 | Pair
♣K,♣10,♠Q,♥8,♦8 | Pair
♣K,♣10,♠Q,♥8,♥10 | Pair
♣K,♣10,♠Q,♥8,♥10 | Pair
♣K,♣10,♠Q,♦8,♥10 | Pair
♣K,♣10,♠Q,♦8,♥10 | Pair
♣K,♣10,♣6,♦7,♥10 | Pair
♣K,♣10,♣6,♦3,♥10 | Pair
♣K,♣10,♣6,♥8,♦8 | Pair
♣K,♣10,♣6,♥8,♥10 | Pair
♣K,♣10,♣6,♦8,♥10 | Pair
♣K,♣10,♦7,♦3,♥10 | Pair
♣K,♣10,♦7,♥8,♦8 | Pair
♣K,♣10,♦7,♥8,♥10 | Pair
♣K,♣10,♦7,♦8,♥10 | Pair
♣K,♣10,♦3,♥8,♦8 | Pair
♣K,♣10,♦3,♥8,♥10 | Pair
♣K,♣10,♦3,♦8,♥10 | Pair
♣K,♣10,♥8,♦8,♥10 | Pair
♣K,♣10,♥8,♦8,♥10 | Pair
♣K,♠Q,♣6,♦7,♦3 | Pair
♣K,♠Q,♣6,♦7,♥8 | Pair
♣K,♠Q,♣6,♦7,♦8 | Pair
♣K,♠Q,♣6,♦7,♥10 | Pair
♣K,♠Q,♣6,♦3,♥8 | Pair
♣K,♠Q,♣6,♦3,♦8 | Pair
♣K,♠Q,♣6,♦3,♥10 | Pair
♣K,♠Q,♣6,♥8,♦8 | Pair
♣K,♠Q,♣6,♥8,♦8 | Pair
♣K,♠Q,♣6,♥8,♥10 | Pair
♣K,♠Q,♣6,♦8,♥10 | Pair
♣K,♠Q,♦7,♦3,♥8 | Pair
♣K,♠Q,♦7,♦3,♦8 | Pair
♣K,♠Q,♦7,♦3,♥10 | Pair
♣K,♠Q,♦7,♥8,♦8 | Pair
♣K,♠Q,♦7,♥8,♦8 | Pair
♣K,♠Q,♦7,♥8,♥10 | Pair
♣K,♠Q,♦7,♦8,♥10 | Pair
♣K,♠Q,♦3,♥8,♦8 | Pair
♣K,♠Q,♦3,♥8,♦8 | Pair
♣K,♠Q,♦3,♥8,♥10 | Pair
♣K,♠Q,♦3,♦8,♥10 | Pair
♣K,♠Q,♥8,♦8,♥10 | Pair
♣K,♠Q,♥8,♦8,♥10 | Pair
♣K,♣6,♦7,♥8,♦8 | Pair
♣K,♣6,♦3,♥8,♦8 | Pair
♣K,♣6,♥8,♦8,♥10 | Pair
♣K,♦7,♦3,♥8,♦8 | Pair
♣K,♦7,♥8,♦8,♥10 | Pair
♣K,♦3,♥8,♦8,♥10 | Pair
♣10,♠Q,♣6,♦7,♥10 | Pair
♣10,♠Q,♣6,♦3,♥10 | Pair
♣10,♠Q,♣6,♥8,♦8 | Pair
♣10,♠Q,♣6,♥8,♥10 | Pair
♣10,♠Q,♣6,♦8,♥10 | Pair
♣10,♠Q,♦7,♦3,♥10 | Pair
♣10,♠Q,♦7,♥8,♦8 | Pair
♣10,♠Q,♦7,♥8,♥10 | Pair
♣10,♠Q,♦7,♦8,♥10 | Pair
♣10,♠Q,♦3,♥8,♦8 | Pair
♣10,♠Q,♦3,♥8,♥10 | Pair
♣10,♠Q,♦3,♦8,♥10 | Pair
♣10,♠Q,♥8,♦8,♥10 | Pair
♣10,♠Q,♥8,♦8,♥10 | Pair
♣10,♣6,♦7,♦3,♥10 | Pair
♣10,♣6,♦7,♥8,♦8 | Pair
♣10,♣6,♦7,♥8,♥10 | Pair
♣10,♣6,♦7,♦8,♥10 | Pair
♣10,♣6,♦3,♥8,♦8 | Pair
♣10,♣6,♦3,♥8,♥10 | Pair
♣10,♣6,♦3,♦8,♥10 | Pair
♣10,♣6,♥8,♦8,♥10 | Pair
♣10,♣6,♥8,♦8,♥10 | Pair
♣10,♦7,♦3,♥8,♦8 | Pair
♣10,♦7,♦3,♥8,♥10 | Pair
♣10,♦7,♦3,♦8,♥10 | Pair
♣10,♦7,♥8,♦8,♥10 | Pair
♣10,♦7,♥8,♦8,♥10 | Pair
♣10,♦3,♥8,♦8,♥10 | Pair
♣10,♦3,♥8,♦8,♥10 | Pair
♠Q,♣6,♦7,♥8,♦8 | Pair
♠Q,♣6,♦3,♥8,♦8 | Pair
♠Q,♣6,♥8,♦8,♥10 | Pair
♠Q,♦7,♦3,♥8,♦8 | Pair
♠Q,♦7,♥8,♦8,♥10 | Pair
♠Q,♦3,♥8,♦8,♥10 | Pair
♣6,♦7,♦3,♥8,♦8 | Pair
♣6,♦7,♥8,♦8,♥10 | Pair
♣6,♦3,♥8,♦8,♥10 | Pair
♦7,♦3,♥8,♦8,♥10 | Pair
