♣2, ♠3, ♥A, ♠10, ♥3 | pair
♥A, ♠10, ♣A, ♠8, ♦9 | pair
♥A, ♠K, ♦8, ♥7, ♣A | pair
♥A, ♠K, ♦8, ♥7, ♠K | pair
♥A, ♠K, ♦8, ♥7, ♣A | pair
♥A, ♠K, ♦8, ♥7, ♠8 | pair
♥A, ♠K, ♦8, ♥3, ♣A | pair
♥A, ♠K, ♦8, ♥3, ♠K | pair
♥A, ♠K, ♦8, ♥3, ♣A | pair
♥A, ♠K, ♦8, ♥3, ♠8 | pair
♥A, ♠K, ♦8, ♣A, ♠Q | pair
♥A, ♠K, ♦8, ♣A, ♠K | two pairs
♥A, ♠K, ♦8, ♣A, ♦Q | pair
♥A, ♠K, ♦8, ♣A, ♣A | three of a kind
♥A, ♠K, ♦8, ♣A, ♠8 | two pairs
♥A, ♠K, ♦8, ♣A, ♦9 | pair
♥A, ♠K, ♦8, ♠Q, ♠K | pair
♥A, ♠K, ♦8, ♠Q, ♦Q | pair
♥A, ♠K, ♦8, ♠Q, ♣A | pair
♥A, ♠K, ♦8, ♠Q, ♠8 | pair
♥A, ♠K, ♦8, ♠K, ♦Q | pair
♥A, ♠K, ♦8, ♠K, ♣A | two pairs
♥A, ♠K, ♦8, ♠K, ♠8 | two pairs
♥A, ♠K, ♦8, ♠K, ♦9 | pair
♥A, ♠K, ♦8, ♦Q, ♣A | pair
♥A, ♠K, ♦8, ♦Q, ♠8 | pair
♥A, ♠K, ♦8, ♣A, ♠8 | two pairs
♥A, ♠K, ♦8, ♣A, ♦9 | pair
♥A, ♠K, ♦8, ♠8, ♦9 | pair
♥A, ♠K, ♥7, ♥3, ♣A | pair
♥A, ♠K, ♥7, ♥3, ♠K | pair
♥A, ♠K, ♥7, ♥3, ♣A | pair
♥A, ♠K, ♥7, ♣A, ♠Q | pair
♥A, ♠K, ♥7, ♣A, ♠K | two pairs
♥A, ♠K, ♥7, ♣A, ♦Q | pair
♥A, ♠K, ♥7, ♣A, ♣A | three of a kind
♥A, ♠K, ♥7, ♣A, ♠8 | pair
♥A, ♠K, ♥7, ♣A, ♦9 | pair
♥A, ♠K, ♥7, ♠Q, ♠K | pair
♥A, ♠K, ♥7, ♠Q, ♦Q | pair
♥A, ♠K, ♥7, ♠Q, ♣A | pair
♥A, ♠K, ♥7, ♠K, ♦Q | pair
♥A, ♠K, ♥7, ♠K, ♣A | two pairs
♥A, ♠K, ♥7, ♠K, ♠8 | pair
♥A, ♠K, ♥7, ♠K, ♦9 | pair
♥A, ♠K, ♥7, ♦Q, ♣A | pair
♥A, ♠K, ♥7, ♣A, ♠8 | pair
♥A, ♠K, ♥7, ♣A, ♦9 | pair
♥A, ♠K, ♥3, ♣A, ♠Q | pair
♥A, ♠K, ♥3, ♣A, ♠K | two pairs
♥A, ♠K, ♥3, ♣A, ♦Q | pair
♥A, ♠K, ♥3, ♣A, ♣A | three of a kind
♥A, ♠K, ♥3, ♣A, ♠8 | pair
♥A, ♠K, ♥3, ♣A, ♦9 | pair
♥A, ♠K, ♥3, ♠Q, ♠K | pair
♥A, ♠K, ♥3, ♠Q, ♦Q | pair
♥A, ♠K, ♥3, ♠Q, ♣A | pair
♥A, ♠K, ♥3, ♠K, ♦Q | pair
♥A, ♠K, ♥3, ♠K, ♣A | two pairs
♥A, ♠K, ♥3, ♠K, ♠8 | pair
♥A, ♠K, ♥3, ♠K, ♦9 | pair
♥A, ♠K, ♥3, ♦Q, ♣A | pair
♥A, ♠K, ♥3, ♣A, ♠8 | pair
♥A, ♠K, ♥3, ♣A, ♦9 | pair
♥A, ♠K, ♣A, ♠Q, ♠K | two pairs
♥A, ♠K, ♣A, ♠Q, ♦Q | two pairs
♥A, ♠K, ♣A, ♠Q, ♣A | three of a kind
♥A, ♠K, ♣A, ♠Q, ♠8 | pair
♥A, ♠K, ♣A, ♠Q, ♦9 | pair
♥A, ♠K, ♣A, ♠K, ♦Q | two pairs
♥A, ♠K, ♣A, ♠K, ♣A | fullhouse
♥A, ♠K, ♣A, ♠K, ♠8 | two pairs
♥A, ♠K, ♣A, ♠K, ♦9 | two pairs
♥A, ♠K, ♣A, ♦Q, ♣A | three of a kind
♥A, ♠K, ♣A, ♦Q, ♠8 | pair
♥A, ♠K, ♣A, ♦Q, ♦9 | pair
♥A, ♠K, ♣A, ♣A, ♠8 | three of a kind
♥A, ♠K, ♣A, ♣A, ♦9 | three of a kind
♥A, ♠K, ♣A, ♠8, ♦9 | pair
♥A, ♠K, ♠Q, ♠K, ♦Q | two pairs
♥A, ♠K, ♠Q, ♠K, ♣A | two pairs
♥A, ♠K, ♠Q, ♠K, ♠8 | pair
♥A, ♠K, ♠Q, ♠K, ♦9 | pair
♥A, ♠K, ♠Q, ♦Q, ♣A | two pairs
♥A, ♠K, ♠Q, ♦Q, ♠8 | pair
♥A, ♠K, ♠Q, ♦Q, ♦9 | pair
♥A, ♠K, ♠Q, ♣A, ♠8 | pair
♥A, ♠K, ♠Q, ♣A, ♦9 | pair
♥A, ♠K, ♠K, ♦Q, ♣A | two pairs
♥A, ♠K, ♠K, ♦Q, ♠8 | pair
♥A, ♠K, ♠K, ♦Q, ♦9 | pair
♥A, ♠K, ♠K, ♣A, ♠8 | two pairs
♥A, ♠K, ♠K, ♣A, ♦9 | two pairs
♥A, ♠K, ♠K, ♠8, ♦9 | pair
♥A, ♠K, ♦Q, ♣A, ♠8 | pair
♥A, ♠K, ♦Q, ♣A, ♦9 | pair
♥A, ♠K, ♣A, ♠8, ♦9 | pair
♥A, ♦8, ♥7, ♥3, ♣A | pair
♥A, ♦8, ♥7, ♥3, ♣A | pair
♥A, ♦8, ♥7, ♥3, ♠8 | pair
♥A, ♦8, ♥7, ♣A, ♠Q | pair
♥A, ♦8, ♥7, ♣A, ♠K | pair
♥A, ♦8, ♥7, ♣A, ♦Q | pair
♥A, ♦8, ♥7, ♣A, ♣A | three of a kind
♥A, ♦8, ♥7, ♣A, ♠8 | two pairs
♥A, ♦8, ♥7, ♣A, ♦9 | pair
♥A, ♦8, ♥7, ♠Q, ♦Q | pair
♥A, ♦8, ♥7, ♠Q, ♣A | pair
♥A, ♦8, ♥7, ♠Q, ♠8 | pair
♥A, ♦8, ♥7, ♠K, ♣A | pair
♥A, ♦8, ♥7, ♠K, ♠8 | pair
♥A, ♦8, ♥7, ♦Q, ♣A | pair
♥A, ♦8, ♥7, ♦Q, ♠8 | pair
♥A, ♦8, ♥7, ♣A, ♠8 | two pairs
♥A, ♦8, ♥7, ♣A, ♦9 | pair
♥A, ♦8, ♥7, ♠8, ♦9 | pair
♥A, ♦8, ♥3, ♣A, ♠Q | pair
♥A, ♦8, ♥3, ♣A, ♠K | pair
♥A, ♦8, ♥3, ♣A, ♦Q | pair
♥A, ♦8, ♥3, ♣A, ♣A | three of a kind
♥A, ♦8, ♥3, ♣A, ♠8 | two pairs
♥A, ♦8, ♥3, ♣A, ♦9 | pair
♥A, ♦8, ♥3, ♠Q, ♦Q | pair
♥A, ♦8, ♥3, ♠Q, ♣A | pair
♥A, ♦8, ♥3, ♠Q, ♠8 | pair
♥A, ♦8, ♥3, ♠K, ♣A | pair
♥A, ♦8, ♥3, ♠K, ♠8 | pair
♥A, ♦8, ♥3, ♦Q, ♣A | pair
♥A, ♦8, ♥3, ♦Q, ♠8 | pair
♥A, ♦8, ♥3, ♣A, ♠8 | two pairs
♥A, ♦8, ♥3, ♣A, ♦9 | pair
♥A, ♦8, ♥3, ♠8, ♦9 | pair
♥A, ♦8, ♣A, ♠Q, ♠K | pair
♥A, ♦8, ♣A, ♠Q, ♦Q | two pairs
♥A, ♦8, ♣A, ♠Q, ♣A | three of a kind
♥A, ♦8, ♣A, ♠Q, ♠8 | two pairs
♥A, ♦8, ♣A, ♠Q, ♦9 | pair
♥A, ♦8, ♣A, ♠K, ♦Q | pair
♥A, ♦8, ♣A, ♠K, ♣A | three of a kind
♥A, ♦8, ♣A, ♠K, ♠8 | two pairs
♥A, ♦8, ♣A, ♠K, ♦9 | pair
♥A, ♦8, ♣A, ♦Q, ♣A | three of a kind
♥A, ♦8, ♣A, ♦Q, ♠8 | two pairs
♥A, ♦8, ♣A, ♦Q, ♦9 | pair
♥A, ♦8, ♣A, ♣A, ♠8 | fullhouse
♥A, ♦8, ♣A, ♣A, ♦9 | three of a kind
♥A, ♦8, ♣A, ♠8, ♦9 | two pairs
♥A, ♦8, ♠Q, ♠K, ♦Q | pair
♥A, ♦8, ♠Q, ♠K, ♣A | pair
♥A, ♦8, ♠Q, ♠K, ♠8 | pair
♥A, ♦8, ♠Q, ♦Q, ♣A | two pairs
♥A, ♦8, ♠Q, ♦Q, ♠8 | two pairs
♥A, ♦8, ♠Q, ♦Q, ♦9 | pair
♥A, ♦8, ♠Q, ♣A, ♠8 | two pairs
♥A, ♦8, ♠Q, ♣A, ♦9 | pair
♥A, ♦8, ♠Q, ♠8, ♦9 | pair
♥A, ♦8, ♠K, ♦Q, ♣A | pair
♥A, ♦8, ♠K, ♦Q, ♠8 | pair
♥A, ♦8, ♠K, ♣A, ♠8 | two pairs
♥A, ♦8, ♠K, ♣A, ♦9 | pair
♥A, ♦8, ♠K, ♠8, ♦9 | pair
♥A, ♦8, ♦Q, ♣A, ♠8 | two pairs
♥A, ♦8, ♦Q, ♣A, ♦9 | pair
♥A, ♦8, ♦Q, ♠8, ♦9 | pair
♥A, ♦8, ♣A, ♠8, ♦9 | two pairs
♥A, ♥7, ♥3, ♣A, ♠Q | pair
♥A, ♥7, ♥3, ♣A, ♠K | pair
♥A, ♥7, ♥3, ♣A, ♦Q | pair
♥A, ♥7, ♥3, ♣A, ♣A | three of a kind
♥A, ♥7, ♥3, ♣A, ♠8 | pair
♥A, ♥7, ♥3, ♣A, ♦9 | pair
♥A, ♥7, ♥3, ♠Q, ♦Q | pair
♥A, ♥7, ♥3, ♠Q, ♣A | pair
♥A, ♥7, ♥3, ♠K, ♣A | pair
♥A, ♥7, ♥3, ♦Q, ♣A | pair
♥A, ♥7, ♥3, ♣A, ♠8 | pair
♥A, ♥7, ♥3, ♣A, ♦9 | pair
♥A, ♥7, ♣A, ♠Q, ♠K | pair
♥A, ♥7, ♣A, ♠Q, ♦Q | two pairs
♥A, ♥7, ♣A, ♠Q, ♣A | three of a kind
♥A, ♥7, ♣A, ♠Q, ♠8 | pair
♥A, ♥7, ♣A, ♠Q, ♦9 | pair
♥A, ♥7, ♣A, ♠K, ♦Q | pair
♥A, ♥7, ♣A, ♠K, ♣A | three of a kind
♥A, ♥7, ♣A, ♠K, ♠8 | pair
♥A, ♥7, ♣A, ♠K, ♦9 | pair
♥A, ♥7, ♣A, ♦Q, ♣A | three of a kind
♥A, ♥7, ♣A, ♦Q, ♠8 | pair
♥A, ♥7, ♣A, ♦Q, ♦9 | pair
♥A, ♥7, ♣A, ♣A, ♠8 | three of a kind
♥A, ♥7, ♣A, ♣A, ♦9 | three of a kind
♥A, ♥7, ♣A, ♠8, ♦9 | pair
♥A, ♥7, ♠Q, ♠K, ♦Q | pair
♥A, ♥7, ♠Q, ♠K, ♣A | pair
♥A, ♥7, ♠Q, ♦Q, ♣A | two pairs
♥A, ♥7, ♠Q, ♦Q, ♠8 | pair
♥A, ♥7, ♠Q, ♦Q, ♦9 | pair
♥A, ♥7, ♠Q, ♣A, ♠8 | pair
♥A, ♥7, ♠Q, ♣A, ♦9 | pair
♥A, ♥7, ♠K, ♦Q, ♣A | pair
♥A, ♥7, ♠K, ♣A, ♠8 | pair
♥A, ♥7, ♠K, ♣A, ♦9 | pair
♥A, ♥7, ♦Q, ♣A, ♠8 | pair
♥A, ♥7, ♦Q, ♣A, ♦9 | pair
♥A, ♥7, ♣A, ♠8, ♦9 | pair
♥A, ♥3, ♣A, ♠Q, ♠K | pair
♥A, ♥3, ♣A, ♠Q, ♦Q | two pairs
♥A, ♥3, ♣A, ♠Q, ♣A | three of a kind
♥A, ♥3, ♣A, ♠Q, ♠8 | pair
♥A, ♥3, ♣A, ♠Q, ♦9 | pair
♥A, ♥3, ♣A, ♠K, ♦Q | pair
♥A, ♥3, ♣A, ♠K, ♣A | three of a kind
♥A, ♥3, ♣A, ♠K, ♠8 | pair
♥A, ♥3, ♣A, ♠K, ♦9 | pair
♥A, ♥3, ♣A, ♦Q, ♣A | three of a kind
♥A, ♥3, ♣A, ♦Q, ♠8 | pair
♥A, ♥3, ♣A, ♦Q, ♦9 | pair
♥A, ♥3, ♣A, ♣A, ♠8 | three of a kind
♥A, ♥3, ♣A, ♣A, ♦9 | three of a kind
♥A, ♥3, ♣A, ♠8, ♦9 | pair
♥A, ♥3, ♠Q, ♠K, ♦Q | pair
♥A, ♥3, ♠Q, ♠K, ♣A | pair
♥A, ♥3, ♠Q, ♦Q, ♣A | two pairs
♥A, ♥3, ♠Q, ♦Q, ♠8 | pair
♥A, ♥3, ♠Q, ♦Q, ♦9 | pair
♥A, ♥3, ♠Q, ♣A, ♠8 | pair
♥A, ♥3, ♠Q, ♣A, ♦9 | pair
♥A, ♥3, ♠K, ♦Q, ♣A | pair
♥A, ♥3, ♠K, ♣A, ♠8 | pair
♥A, ♥3, ♠K, ♣A, ♦9 | pair
♥A, ♥3, ♦Q, ♣A, ♠8 | pair
♥A, ♥3, ♦Q, ♣A, ♦9 | pair
♥A, ♥3, ♣A, ♠8, ♦9 | pair
♥A, ♣A, ♠Q, ♠K, ♦Q | two pairs
♥A, ♣A, ♠Q, ♠K, ♣A | three of a kind
♥A, ♣A, ♠Q, ♠K, ♠8 | pair
♥A, ♣A, ♠Q, ♠K, ♦9 | pair
♥A, ♣A, ♠Q, ♦Q, ♣A | fullhouse
♥A, ♣A, ♠Q, ♦Q, ♠8 | two pairs
♥A, ♣A, ♠Q, ♦Q, ♦9 | two pairs
♥A, ♣A, ♠Q, ♣A, ♠8 | three of a kind
♥A, ♣A, ♠Q, ♣A, ♦9 | three of a kind
♥A, ♣A, ♠Q, ♠8, ♦9 | pair
♥A, ♣A, ♠K, ♦Q, ♣A | three of a kind
♥A, ♣A, ♠K, ♦Q, ♠8 | pair
♥A, ♣A, ♠K, ♦Q, ♦9 | pair
♥A, ♣A, ♠K, ♣A, ♠8 | three of a kind
♥A, ♣A, ♠K, ♣A, ♦9 | three of a kind
♥A, ♣A, ♠K, ♠8, ♦9 | pair
♥A, ♣A, ♦Q, ♣A, ♠8 | three of a kind
♥A, ♣A, ♦Q, ♣A, ♦9 | three of a kind
♥A, ♣A, ♦Q, ♠8, ♦9 | pair
♥A, ♣A, ♣A, ♠8, ♦9 | three of a kind
♥A, ♠Q, ♠K, ♦Q, ♣A | two pairs
♥A, ♠Q, ♠K, ♦Q, ♠8 | pair
♥A, ♠Q, ♠K, ♦Q, ♦9 | pair
♥A, ♠Q, ♠K, ♣A, ♠8 | pair
♥A, ♠Q, ♠K, ♣A, ♦9 | pair
♥A, ♠Q, ♦Q, ♣A, ♠8 | two pairs
♥A, ♠Q, ♦Q, ♣A, ♦9 | two pairs
♥A, ♠Q, ♦Q, ♠8, ♦9 | pair
♥A, ♠Q, ♣A, ♠8, ♦9 | pair
♥A, ♠K, ♦Q, ♣A, ♠8 | pair
♥A, ♠K, ♦Q, ♣A, ♦9 | pair
♥A, ♠K, ♣A, ♠8, ♦9 | pair
♥A, ♦Q, ♣A, ♠8, ♦9 | pair
♠10, ♠K, ♦8, ♥7, ♠K | pair
♠10, ♠K, ♦8, ♥7, ♠8 | pair
♠10, ♠K, ♦8, ♥3, ♠K | pair
♠10, ♠K, ♦8, ♥3, ♠8 | pair
♠10, ♠K, ♦8, ♣A, ♠K | pair
♠10, ♠K, ♦8, ♣A, ♣A | pair
♠10, ♠K, ♦8, ♣A, ♠8 | pair
♠10, ♠K, ♦8, ♠Q, ♠K | pair
♠10, ♠K, ♦8, ♠Q, ♦Q | pair
♠10, ♠K, ♦8, ♠Q, ♠8 | pair
♠10, ♠K, ♦8, ♠K, ♦Q | pair
♠10, ♠K, ♦8, ♠K, ♣A | pair
♠10, ♠K, ♦8, ♠K, ♠8 | two pairs
♠10, ♠K, ♦8, ♠K, ♦9 | pair
♠10, ♠K, ♦8, ♦Q, ♠8 | pair
♠10, ♠K, ♦8, ♣A, ♠8 | pair
♠10, ♠K, ♦8, ♠8, ♦9 | pair
♠10, ♠K, ♥7, ♥3, ♠K | pair
♠10, ♠K, ♥7, ♣A, ♠K | pair
♠10, ♠K, ♥7, ♣A, ♣A | pair
♠10, ♠K, ♥7, ♠Q, ♠K | pair
♠10, ♠K, ♥7, ♠Q, ♦Q | pair
♠10, ♠K, ♥7, ♠K, ♦Q | pair
♠10, ♠K, ♥7, ♠K, ♣A | pair
♠10, ♠K, ♥7, ♠K, ♠8 | pair
♠10, ♠K, ♥7, ♠K, ♦9 | pair
♠10, ♠K, ♥3, ♣A, ♠K | pair
♠10, ♠K, ♥3, ♣A, ♣A | pair
♠10, ♠K, ♥3, ♠Q, ♠K | pair
♠10, ♠K, ♥3, ♠Q, ♦Q | pair
♠10, ♠K, ♥3, ♠K, ♦Q | pair
♠10, ♠K, ♥3, ♠K, ♣A | pair
♠10, ♠K, ♥3, ♠K, ♠8 | pair
♠10, ♠K, ♥3, ♠K, ♦9 | pair
♠10, ♠K, ♣A, ♠Q, ♠K | pair
♠10, ♠K, ♣A, ♠Q, ♦Q | pair
♠10, ♠K, ♣A, ♠Q, ♣A | pair
♠10, ♠K, ♣A, ♠K, ♦Q | pair
♠10, ♠K, ♣A, ♠K, ♣A | two pairs
♠10, ♠K, ♣A, ♠K, ♠8 | pair
♠10, ♠K, ♣A, ♠K, ♦9 | pair
♠10, ♠K, ♣A, ♦Q, ♣A | pair
♠10, ♠K, ♣A, ♣A, ♠8 | pair
♠10, ♠K, ♣A, ♣A, ♦9 | pair
♠10, ♠K, ♠Q, ♠K, ♦Q | two pairs
♠10, ♠K, ♠Q, ♠K, ♣A | pair
♠10, ♠K, ♠Q, ♠K, ♠8 | flush
♠10, ♠K, ♠Q, ♠K, ♦9 | pair
♠10, ♠K, ♠Q, ♦Q, ♣A | pair
♠10, ♠K, ♠Q, ♦Q, ♠8 | pair
♠10, ♠K, ♠Q, ♦Q, ♦9 | pair
♠10, ♠K, ♠K, ♦Q, ♣A | pair
♠10, ♠K, ♠K, ♦Q, ♠8 | pair
♠10, ♠K, ♠K, ♦Q, ♦9 | pair
♠10, ♠K, ♠K, ♣A, ♠8 | pair
♠10, ♠K, ♠K, ♣A, ♦9 | pair
♠10, ♠K, ♠K, ♠8, ♦9 | pair
♠10, ♦8, ♥7, ♥3, ♠8 | pair
♠10, ♦8, ♥7, ♣A, ♣A | pair
♠10, ♦8, ♥7, ♣A, ♠8 | pair
♠10, ♦8, ♥7, ♠Q, ♦Q | pair
♠10, ♦8, ♥7, ♠Q, ♠8 | pair
♠10, ♦8, ♥7, ♠K, ♠8 | pair
♠10, ♦8, ♥7, ♦Q, ♠8 | pair
♠10, ♦8, ♥7, ♣A, ♠8 | pair
♠10, ♦8, ♥7, ♠8, ♦9 | pair
♠10, ♦8, ♥3, ♣A, ♣A | pair
♠10, ♦8, ♥3, ♣A, ♠8 | pair
♠10, ♦8, ♥3, ♠Q, ♦Q | pair
♠10, ♦8, ♥3, ♠Q, ♠8 | pair
♠10, ♦8, ♥3, ♠K, ♠8 | pair
♠10, ♦8, ♥3, ♦Q, ♠8 | pair
♠10, ♦8, ♥3, ♣A, ♠8 | pair
♠10, ♦8, ♥3, ♠8, ♦9 | pair
♠10, ♦8, ♣A, ♠Q, ♦Q | pair
♠10, ♦8, ♣A, ♠Q, ♣A | pair
♠10, ♦8, ♣A, ♠Q, ♠8 | pair
♠10, ♦8, ♣A, ♠K, ♣A | pair
♠10, ♦8, ♣A, ♠K, ♠8 | pair
♠10, ♦8, ♣A, ♦Q, ♣A | pair
♠10, ♦8, ♣A, ♦Q, ♠8 | pair
♠10, ♦8, ♣A, ♣A, ♠8 | two pairs
♠10, ♦8, ♣A, ♣A, ♦9 | pair
♠10, ♦8, ♣A, ♠8, ♦9 | pair
♠10, ♦8, ♠Q, ♠K, ♦Q | pair
♠10, ♦8, ♠Q, ♠K, ♠8 | pair
♠10, ♦8, ♠Q, ♦Q, ♣A | pair
♠10, ♦8, ♠Q, ♦Q, ♠8 | two pairs
♠10, ♦8, ♠Q, ♦Q, ♦9 | pair
♠10, ♦8, ♠Q, ♣A, ♠8 | pair
♠10, ♦8, ♠Q, ♠8, ♦9 | pair
♠10, ♦8, ♠K, ♦Q, ♠8 | pair
♠10, ♦8, ♠K, ♣A, ♠8 | pair
♠10, ♦8, ♠K, ♠8, ♦9 | pair
♠10, ♦8, ♦Q, ♣A, ♠8 | pair
♠10, ♦8, ♦Q, ♠8, ♦9 | pair
♠10, ♦8, ♣A, ♠8, ♦9 | pair
♠10, ♥7, ♥3, ♣A, ♣A | pair
♠10, ♥7, ♥3, ♠Q, ♦Q | pair
♠10, ♥7, ♣A, ♠Q, ♦Q | pair
♠10, ♥7, ♣A, ♠Q, ♣A | pair
♠10, ♥7, ♣A, ♠K, ♣A | pair
♠10, ♥7, ♣A, ♦Q, ♣A | pair
♠10, ♥7, ♣A, ♣A, ♠8 | pair
♠10, ♥7, ♣A, ♣A, ♦9 | pair
♠10, ♥7, ♠Q, ♠K, ♦Q | pair
♠10, ♥7, ♠Q, ♦Q, ♣A | pair
♠10, ♥7, ♠Q, ♦Q, ♠8 | pair
♠10, ♥7, ♠Q, ♦Q, ♦9 | pair
♠10, ♥3, ♣A, ♠Q, ♦Q | pair
♠10, ♥3, ♣A, ♠Q, ♣A | pair
♠10, ♥3, ♣A, ♠K, ♣A | pair
♠10, ♥3, ♣A, ♦Q, ♣A | pair
♠10, ♥3, ♣A, ♣A, ♠8 | pair
♠10, ♥3, ♣A, ♣A, ♦9 | pair
♠10, ♥3, ♠Q, ♠K, ♦Q | pair
♠10, ♥3, ♠Q, ♦Q, ♣A | pair
♠10, ♥3, ♠Q, ♦Q, ♠8 | pair
♠10, ♥3, ♠Q, ♦Q, ♦9 | pair
♠10, ♣A, ♠Q, ♠K, ♦Q | pair
♠10, ♣A, ♠Q, ♠K, ♣A | pair
♠10, ♣A, ♠Q, ♦Q, ♣A | two pairs
♠10, ♣A, ♠Q, ♦Q, ♠8 | pair
♠10, ♣A, ♠Q, ♦Q, ♦9 | pair
♠10, ♣A, ♠Q, ♣A, ♠8 | pair
♠10, ♣A, ♠Q, ♣A, ♦9 | pair
♠10, ♣A, ♠K, ♦Q, ♣A | pair
♠10, ♣A, ♠K, ♣A, ♠8 | pair
♠10, ♣A, ♠K, ♣A, ♦9 | pair
♠10, ♣A, ♦Q, ♣A, ♠8 | pair
♠10, ♣A, ♦Q, ♣A, ♦9 | pair
♠10, ♣A, ♣A, ♠8, ♦9 | pair
♠10, ♠Q, ♠K, ♦Q, ♣A | pair
♠10, ♠Q, ♠K, ♦Q, ♠8 | pair
♠10, ♠Q, ♠K, ♦Q, ♦9 | pair
♠10, ♠Q, ♦Q, ♣A, ♠8 | pair
♠10, ♠Q, ♦Q, ♣A, ♦9 | pair
♠10, ♠Q, ♦Q, ♠8, ♦9 | pair
♠K, ♦8, ♥7, ♥3, ♠K | pair
♠K, ♦8, ♥7, ♥3, ♠8 | pair
♠K, ♦8, ♥7, ♣A, ♠K | pair
♠K, ♦8, ♥7, ♣A, ♣A | pair
♠K, ♦8, ♥7, ♣A, ♠8 | pair
♠K, ♦8, ♥7, ♠Q, ♠K | pair
♠K, ♦8, ♥7, ♠Q, ♦Q | pair
♠K, ♦8, ♥7, ♠Q, ♠8 | pair
♠K, ♦8, ♥7, ♠K, ♦Q | pair
♠K, ♦8, ♥7, ♠K, ♣A | pair
♠K, ♦8, ♥7, ♠K, ♠8 | two pairs
♠K, ♦8, ♥7, ♠K, ♦9 | pair
♠K, ♦8, ♥7, ♦Q, ♠8 | pair
♠K, ♦8, ♥7, ♣A, ♠8 | pair
♠K, ♦8, ♥7, ♠8, ♦9 | pair
♠K, ♦8, ♥3, ♣A, ♠K | pair
♠K, ♦8, ♥3, ♣A, ♣A | pair
♠K, ♦8, ♥3, ♣A, ♠8 | pair
♠K, ♦8, ♥3, ♠Q, ♠K | pair
♠K, ♦8, ♥3, ♠Q, ♦Q | pair
♠K, ♦8, ♥3, ♠Q, ♠8 | pair
♠K, ♦8, ♥3, ♠K, ♦Q | pair
♠K, ♦8, ♥3, ♠K, ♣A | pair
♠K, ♦8, ♥3, ♠K, ♠8 | two pairs
♠K, ♦8, ♥3, ♠K, ♦9 | pair
♠K, ♦8, ♥3, ♦Q, ♠8 | pair
♠K, ♦8, ♥3, ♣A, ♠8 | pair
♠K, ♦8, ♥3, ♠8, ♦9 | pair
♠K, ♦8, ♣A, ♠Q, ♠K | pair
♠K, ♦8, ♣A, ♠Q, ♦Q | pair
♠K, ♦8, ♣A, ♠Q, ♣A | pair
♠K, ♦8, ♣A, ♠Q, ♠8 | pair
♠K, ♦8, ♣A, ♠K, ♦Q | pair
♠K, ♦8, ♣A, ♠K, ♣A | two pairs
♠K, ♦8, ♣A, ♠K, ♠8 | two pairs
♠K, ♦8, ♣A, ♠K, ♦9 | pair
♠K, ♦8, ♣A, ♦Q, ♣A | pair
♠K, ♦8, ♣A, ♦Q, ♠8 | pair
♠K, ♦8, ♣A, ♣A, ♠8 | two pairs
♠K, ♦8, ♣A, ♣A, ♦9 | pair
♠K, ♦8, ♣A, ♠8, ♦9 | pair
♠K, ♦8, ♠Q, ♠K, ♦Q | two pairs
♠K, ♦8, ♠Q, ♠K, ♣A | pair
♠K, ♦8, ♠Q, ♠K, ♠8 | two pairs
♠K, ♦8, ♠Q, ♠K, ♦9 | pair
♠K, ♦8, ♠Q, ♦Q, ♣A | pair
♠K, ♦8, ♠Q, ♦Q, ♠8 | two pairs
♠K, ♦8, ♠Q, ♦Q, ♦9 | pair
♠K, ♦8, ♠Q, ♣A, ♠8 | pair
♠K, ♦8, ♠Q, ♠8, ♦9 | pair
♠K, ♦8, ♠K, ♦Q, ♣A | pair
♠K, ♦8, ♠K, ♦Q, ♠8 | two pairs
♠K, ♦8, ♠K, ♦Q, ♦9 | pair
♠K, ♦8, ♠K, ♣A, ♠8 | two pairs
♠K, ♦8, ♠K, ♣A, ♦9 | pair
♠K, ♦8, ♠K, ♠8, ♦9 | two pairs
♠K, ♦8, ♦Q, ♣A, ♠8 | pair
♠K, ♦8, ♦Q, ♠8, ♦9 | pair
♠K, ♦8, ♣A, ♠8, ♦9 | pair
♠K, ♥7, ♥3, ♣A, ♠K | pair
♠K, ♥7, ♥3, ♣A, ♣A | pair
♠K, ♥7, ♥3, ♠Q, ♠K | pair
♠K, ♥7, ♥3, ♠Q, ♦Q | pair
♠K, ♥7, ♥3, ♠K, ♦Q | pair
♠K, ♥7, ♥3, ♠K, ♣A | pair
♠K, ♥7, ♥3, ♠K, ♠8 | pair
♠K, ♥7, ♥3, ♠K, ♦9 | pair
♠K, ♥7, ♣A, ♠Q, ♠K | pair
♠K, ♥7, ♣A, ♠Q, ♦Q | pair
♠K, ♥7, ♣A, ♠Q, ♣A | pair
♠K, ♥7, ♣A, ♠K, ♦Q | pair
♠K, ♥7, ♣A, ♠K, ♣A | two pairs
♠K, ♥7, ♣A, ♠K, ♠8 | pair
♠K, ♥7, ♣A, ♠K, ♦9 | pair
♠K, ♥7, ♣A, ♦Q, ♣A | pair
♠K, ♥7, ♣A, ♣A, ♠8 | pair
♠K, ♥7, ♣A, ♣A, ♦9 | pair
♠K, ♥7, ♠Q, ♠K, ♦Q | two pairs
♠K, ♥7, ♠Q, ♠K, ♣A | pair
♠K, ♥7, ♠Q, ♠K, ♠8 | pair
♠K, ♥7, ♠Q, ♠K, ♦9 | pair
♠K, ♥7, ♠Q, ♦Q, ♣A | pair
