♦6, ♥J, ♣10, ♠2, ♥6 | pair
♥J, ♠2, ♠8, ♥6, ♦2 | pair
♥J, ♠2, ♠8, ♥6, ♥8 | pair
♥J, ♠2, ♠8, ♦6, ♦2 | pair
♥J, ♠2, ♠8, ♦6, ♥8 | pair
♥J, ♠2, ♠8, ♥Q, ♦2 | pair
♥J, ♠2, ♠8, ♥Q, ♥8 | pair
♥J, ♠2, ♠8, ♥7, ♣7 | pair
♥J, ♠2, ♠8, ♥7, ♦2 | pair
♥J, ♠2, ♠8, ♥7, ♥8 | pair
♥J, ♠2, ♠8, ♥10, ♦2 | pair
♥J, ♠2, ♠8, ♥10, ♥8 | pair
♥J, ♠2, ♠8, ♦5, ♦2 | pair
♥J, ♠2, ♠8, ♦5, ♥8 | pair
♥J, ♠2, ♠8, ♣7, ♦2 | pair
♥J, ♠2, ♠8, ♣7, ♥8 | pair
♥J, ♠2, ♠8, ♦2, ♥8 | two pairs
♥J, ♠2, ♥K, ♦A, ♦2 | pair
♥J, ♠2, ♥K, ♥6, ♦6 | pair
♥J, ♠2, ♥K, ♥6, ♦2 | pair
♥J, ♠2, ♥K, ♦6, ♦2 | pair
♥J, ♠2, ♥K, ♥Q, ♦2 | pair
♥J, ♠2, ♥K, ♥7, ♣7 | pair
♥J, ♠2, ♥K, ♥7, ♦2 | pair
♥J, ♠2, ♥K, ♥10, ♦2 | pair
♥J, ♠2, ♥K, ♦5, ♦2 | pair
♥J, ♠2, ♥K, ♣7, ♦2 | pair
♥J, ♠2, ♥K, ♦2, ♥8 | pair
♥J, ♠2, ♦A, ♥6, ♦6 | pair
♥J, ♠2, ♦A, ♥6, ♦2 | pair
♥J, ♠2, ♦A, ♦6, ♦2 | pair
♥J, ♠2, ♦A, ♥Q, ♦2 | pair
♥J, ♠2, ♦A, ♥7, ♣7 | pair
♥J, ♠2, ♦A, ♥7, ♦2 | pair
♥J, ♠2, ♦A, ♥10, ♦2 | pair
♥J, ♠2, ♦A, ♦5, ♦2 | pair
♥J, ♠2, ♦A, ♣7, ♦2 | pair
♥J, ♠2, ♦A, ♦2, ♥8 | pair
♥J, ♠2, ♥6, ♦6, ♥Q | pair
♥J, ♠2, ♥6, ♦6, ♥7 | pair
♥J, ♠2, ♥6, ♦6, ♥10 | pair
♥J, ♠2, ♥6, ♦6, ♦5 | pair
♥J, ♠2, ♥6, ♦6, ♣7 | pair
♥J, ♠2, ♥6, ♦6, ♦2 | two pairs
♥J, ♠2, ♥6, ♦6, ♥8 | pair
♥J, ♠2, ♥6, ♥Q, ♦2 | pair
♥J, ♠2, ♥6, ♥7, ♣7 | pair
♥J, ♠2, ♥6, ♥7, ♦2 | pair
♥J, ♠2, ♥6, ♥10, ♦2 | pair
♥J, ♠2, ♥6, ♦5, ♦2 | pair
♥J, ♠2, ♥6, ♣7, ♦2 | pair
♥J, ♠2, ♥6, ♦2, ♥8 | pair
♥J, ♠2, ♦6, ♥Q, ♦2 | pair
♥J, ♠2, ♦6, ♥7, ♣7 | pair
♥J, ♠2, ♦6, ♥7, ♦2 | pair
♥J, ♠2, ♦6, ♥10, ♦2 | pair
♥J, ♠2, ♦6, ♦5, ♦2 | pair
♥J, ♠2, ♦6, ♣7, ♦2 | pair
♥J, ♠2, ♦6, ♦2, ♥8 | pair
♥J, ♠2, ♥Q, ♥7, ♣7 | pair
♥J, ♠2, ♥Q, ♥7, ♦2 | pair
♥J, ♠2, ♥Q, ♥10, ♦2 | pair
♥J, ♠2, ♥Q, ♦5, ♦2 | pair
♥J, ♠2, ♥Q, ♣7, ♦2 | pair
♥J, ♠2, ♥Q, ♦2, ♥8 | pair
♥J, ♠2, ♥7, ♥10, ♣7 | pair
♥J, ♠2, ♥7, ♥10, ♦2 | pair
♥J, ♠2, ♥7, ♦5, ♣7 | pair
♥J, ♠2, ♥7, ♦5, ♦2 | pair
♥J, ♠2, ♥7, ♣7, ♦2 | two pairs
♥J, ♠2, ♥7, ♣7, ♥8 | pair
♥J, ♠2, ♥7, ♦2, ♥8 | pair
♥J, ♠2, ♥10, ♦5, ♦2 | pair
♥J, ♠2, ♥10, ♣7, ♦2 | pair
♥J, ♠2, ♥10, ♦2, ♥8 | pair
♥J, ♠2, ♦5, ♣7, ♦2 | pair
♥J, ♠2, ♦5, ♦2, ♥8 | pair
♥J, ♠2, ♣7, ♦2, ♥8 | pair
♥J, ♠8, ♥K, ♦A, ♥8 | pair
♥J, ♠8, ♥K, ♥6, ♦6 | pair
♥J, ♠8, ♥K, ♥6, ♥8 | pair
♥J, ♠8, ♥K, ♦6, ♥8 | pair
♥J, ♠8, ♥K, ♥Q, ♥8 | pair
♥J, ♠8, ♥K, ♥7, ♣7 | pair
♥J, ♠8, ♥K, ♥7, ♥8 | pair
♥J, ♠8, ♥K, ♥10, ♥8 | pair
♥J, ♠8, ♥K, ♦5, ♥8 | pair
♥J, ♠8, ♥K, ♣7, ♥8 | pair
♥J, ♠8, ♥K, ♦2, ♥8 | pair
♥J, ♠8, ♦A, ♥6, ♦6 | pair
♥J, ♠8, ♦A, ♥6, ♥8 | pair
♥J, ♠8, ♦A, ♦6, ♥8 | pair
♥J, ♠8, ♦A, ♥Q, ♥8 | pair
♥J, ♠8, ♦A, ♥7, ♣7 | pair
♥J, ♠8, ♦A, ♥7, ♥8 | pair
♥J, ♠8, ♦A, ♥10, ♥8 | pair
♥J, ♠8, ♦A, ♦5, ♥8 | pair
♥J, ♠8, ♦A, ♣7, ♥8 | pair
♥J, ♠8, ♦A, ♦2, ♥8 | pair
♥J, ♠8, ♥6, ♦6, ♥Q | pair
♥J, ♠8, ♥6, ♦6, ♥7 | pair
♥J, ♠8, ♥6, ♦6, ♥10 | pair
♥J, ♠8, ♥6, ♦6, ♦5 | pair
♥J, ♠8, ♥6, ♦6, ♣7 | pair
♥J, ♠8, ♥6, ♦6, ♦2 | pair
♥J, ♠8, ♥6, ♦6, ♥8 | two pairs
♥J, ♠8, ♥6, ♥Q, ♥8 | pair
♥J, ♠8, ♥6, ♥7, ♣7 | pair
♥J, ♠8, ♥6, ♥7, ♥8 | pair
♥J, ♠8, ♥6, ♥10, ♥8 | pair
♥J, ♠8, ♥6, ♦5, ♥8 | pair
♥J, ♠8, ♥6, ♣7, ♥8 | pair
♥J, ♠8, ♥6, ♦2, ♥8 | pair
♥J, ♠8, ♦6, ♥Q, ♥8 | pair
♥J, ♠8, ♦6, ♥7, ♣7 | pair
♥J, ♠8, ♦6, ♥7, ♥8 | pair
♥J, ♠8, ♦6, ♥10, ♥8 | pair
♥J, ♠8, ♦6, ♦5, ♥8 | pair
♥J, ♠8, ♦6, ♣7, ♥8 | pair
♥J, ♠8, ♦6, ♦2, ♥8 | pair
♥J, ♠8, ♥Q, ♥7, ♣7 | pair
♥J, ♠8, ♥Q, ♥7, ♥8 | pair
♥J, ♠8, ♥Q, ♥10, ♥8 | pair
♥J, ♠8, ♥Q, ♦5, ♥8 | pair
♥J, ♠8, ♥Q, ♣7, ♥8 | pair
♥J, ♠8, ♥Q, ♦2, ♥8 | pair
♥J, ♠8, ♥7, ♥10, ♣7 | pair
♥J, ♠8, ♥7, ♥10, ♥8 | pair
♥J, ♠8, ♥7, ♦5, ♣7 | pair
♥J, ♠8, ♥7, ♦5, ♥8 | pair
♥J, ♠8, ♥7, ♣7, ♦2 | pair
♥J, ♠8, ♥7, ♣7, ♥8 | two pairs
♥J, ♠8, ♥7, ♦2, ♥8 | pair
♥J, ♠8, ♥10, ♦5, ♥8 | pair
♥J, ♠8, ♥10, ♣7, ♥8 | pair
♥J, ♠8, ♥10, ♦2, ♥8 | pair
♥J, ♠8, ♦5, ♣7, ♥8 | pair
♥J, ♠8, ♦5, ♦2, ♥8 | pair
♥J, ♠8, ♣7, ♦2, ♥8 | pair
♥J, ♥K, ♦A, ♥6, ♦6 | pair
♥J, ♥K, ♦A, ♥Q, ♥10 | straight
♥J, ♥K, ♦A, ♥7, ♣7 | pair
♥J, ♥K, ♥6, ♦6, ♥Q | pair
♥J, ♥K, ♥6, ♦6, ♥7 | pair
♥J, ♥K, ♥6, ♦6, ♥10 | pair
♥J, ♥K, ♥6, ♦6, ♦5 | pair
♥J, ♥K, ♥6, ♦6, ♣7 | pair
♥J, ♥K, ♥6, ♦6, ♦2 | pair
♥J, ♥K, ♥6, ♦6, ♥8 | pair
♥J, ♥K, ♥6, ♥Q, ♥7 | flush
♥J, ♥K, ♥6, ♥Q, ♥10 | flush
♥J, ♥K, ♥6, ♥Q, ♥8 | flush
♥J, ♥K, ♥6, ♥7, ♥10 | flush
♥J, ♥K, ♥6, ♥7, ♣7 | pair
♥J, ♥K, ♥6, ♥7, ♥8 | flush
♥J, ♥K, ♥6, ♥10, ♥8 | flush
♥J, ♥K, ♦6, ♥7, ♣7 | pair
♥J, ♥K, ♥Q, ♥7, ♥10 | flush
♥J, ♥K, ♥Q, ♥7, ♣7 | pair
♥J, ♥K, ♥Q, ♥7, ♥8 | flush
♥J, ♥K, ♥Q, ♥10, ♥8 | flush
♥J, ♥K, ♥7, ♥10, ♣7 | pair
♥J, ♥K, ♥7, ♥10, ♥8 | flush
♥J, ♥K, ♥7, ♦5, ♣7 | pair
♥J, ♥K, ♥7, ♣7, ♦2 | pair
♥J, ♥K, ♥7, ♣7, ♥8 | pair
♥J, ♦A, ♥6, ♦6, ♥Q | pair
♥J, ♦A, ♥6, ♦6, ♥7 | pair
♥J, ♦A, ♥6, ♦6, ♥10 | pair
♥J, ♦A, ♥6, ♦6, ♦5 | pair
♥J, ♦A, ♥6, ♦6, ♣7 | pair
♥J, ♦A, ♥6, ♦6, ♦2 | pair
♥J, ♦A, ♥6, ♦6, ♥8 | pair
♥J, ♦A, ♥6, ♥7, ♣7 | pair
♥J, ♦A, ♦6, ♥7, ♣7 | pair
♥J, ♦A, ♥Q, ♥7, ♣7 | pair
♥J, ♦A, ♥7, ♥10, ♣7 | pair
♥J, ♦A, ♥7, ♦5, ♣7 | pair
♥J, ♦A, ♥7, ♣7, ♦2 | pair
♥J, ♦A, ♥7, ♣7, ♥8 | pair
♥J, ♥6, ♦6, ♥Q, ♥7 | pair
♥J, ♥6, ♦6, ♥Q, ♥10 | pair
♥J, ♥6, ♦6, ♥Q, ♦5 | pair
♥J, ♥6, ♦6, ♥Q, ♣7 | pair
♥J, ♥6, ♦6, ♥Q, ♦2 | pair
♥J, ♥6, ♦6, ♥Q, ♥8 | pair
♥J, ♥6, ♦6, ♥7, ♥10 | pair
♥J, ♥6, ♦6, ♥7, ♦5 | pair
♥J, ♥6, ♦6, ♥7, ♣7 | two pairs
♥J, ♥6, ♦6, ♥7, ♦2 | pair
♥J, ♥6, ♦6, ♥7, ♥8 | pair
♥J, ♥6, ♦6, ♥10, ♦5 | pair
♥J, ♥6, ♦6, ♥10, ♣7 | pair
♥J, ♥6, ♦6, ♥10, ♦2 | pair
♥J, ♥6, ♦6, ♥10, ♥8 | pair
♥J, ♥6, ♦6, ♦5, ♣7 | pair
♥J, ♥6, ♦6, ♦5, ♦2 | pair
♥J, ♥6, ♦6, ♦5, ♥8 | pair
♥J, ♥6, ♦6, ♣7, ♦2 | pair
♥J, ♥6, ♦6, ♣7, ♥8 | pair
♥J, ♥6, ♦6, ♦2, ♥8 | pair
♥J, ♥6, ♥Q, ♥7, ♥10 | flush
♥J, ♥6, ♥Q, ♥7, ♣7 | pair
♥J, ♥6, ♥Q, ♥7, ♥8 | flush
♥J, ♥6, ♥Q, ♥10, ♥8 | flush
♥J, ♥6, ♥7, ♥10, ♣7 | pair
♥J, ♥6, ♥7, ♥10, ♥8 | flush
♥J, ♥6, ♥7, ♦5, ♣7 | pair
♥J, ♥6, ♥7, ♣7, ♦2 | pair
♥J, ♥6, ♥7, ♣7, ♥8 | pair
♥J, ♦6, ♥Q, ♥7, ♣7 | pair
♥J, ♦6, ♥7, ♥10, ♣7 | pair
♥J, ♦6, ♥7, ♦5, ♣7 | pair
♥J, ♦6, ♥7, ♣7, ♦2 | pair
♥J, ♦6, ♥7, ♣7, ♥8 | pair
♥J, ♥Q, ♥7, ♥10, ♣7 | pair
♥J, ♥Q, ♥7, ♥10, ♥8 | flush
♥J, ♥Q, ♥7, ♦5, ♣7 | pair
♥J, ♥Q, ♥7, ♣7, ♦2 | pair
♥J, ♥Q, ♥7, ♣7, ♥8 | pair
♥J, ♥7, ♥10, ♦5, ♣7 | pair
♥J, ♥7, ♥10, ♣7, ♦2 | pair
♥J, ♥7, ♥10, ♣7, ♥8 | pair
♥J, ♥7, ♦5, ♣7, ♦2 | pair
♥J, ♥7, ♦5, ♣7, ♥8 | pair
♥J, ♥7, ♣7, ♦2, ♥8 | pair
♣10, ♠2, ♠8, ♥K, ♥10 | pair
♣10, ♠2, ♠8, ♥K, ♦2 | pair
♣10, ♠2, ♠8, ♥K, ♥8 | pair
♣10, ♠2, ♠8, ♦A, ♥10 | pair
♣10, ♠2, ♠8, ♦A, ♦2 | pair
♣10, ♠2, ♠8, ♦A, ♥8 | pair
♣10, ♠2, ♠8, ♥6, ♦6 | pair
♣10, ♠2, ♠8, ♥6, ♥10 | pair
♣10, ♠2, ♠8, ♥6, ♦2 | pair
♣10, ♠2, ♠8, ♥6, ♥8 | pair
♣10, ♠2, ♠8, ♦6, ♥10 | pair
♣10, ♠2, ♠8, ♦6, ♦2 | pair
♣10, ♠2, ♠8, ♦6, ♥8 | pair
♣10, ♠2, ♠8, ♥Q, ♥10 | pair
♣10, ♠2, ♠8, ♥Q, ♦2 | pair
♣10, ♠2, ♠8, ♥Q, ♥8 | pair
♣10, ♠2, ♠8, ♥7, ♥10 | pair
♣10, ♠2, ♠8, ♥7, ♣7 | pair
♣10, ♠2, ♠8, ♥7, ♦2 | pair
♣10, ♠2, ♠8, ♥7, ♥8 | pair
♣10, ♠2, ♠8, ♥10, ♦5 | pair
♣10, ♠2, ♠8, ♥10, ♣7 | pair
♣10, ♠2, ♠8, ♥10, ♦2 | two pairs
♣10, ♠2, ♠8, ♥10, ♥8 | two pairs
♣10, ♠2, ♠8, ♦5, ♦2 | pair
♣10, ♠2, ♠8, ♦5, ♥8 | pair
♣10, ♠2, ♠8, ♣7, ♦2 | pair
♣10, ♠2, ♠8, ♣7, ♥8 | pair
♣10, ♠2, ♠8, ♦2, ♥8 | two pairs
♣10, ♠2, ♥K, ♦A, ♥10 | pair
♣10, ♠2, ♥K, ♦A, ♦2 | pair
♣10, ♠2, ♥K, ♥6, ♦6 | pair
♣10, ♠2, ♥K, ♥6, ♥10 | pair
♣10, ♠2, ♥K, ♥6, ♦2 | pair
♣10, ♠2, ♥K, ♦6, ♥10 | pair
♣10, ♠2, ♥K, ♦6, ♦2 | pair
♣10, ♠2, ♥K, ♥Q, ♥10 | pair
♣10, ♠2, ♥K, ♥Q, ♦2 | pair
♣10, ♠2, ♥K, ♥7, ♥10 | pair
♣10, ♠2, ♥K, ♥7, ♣7 | pair
♣10, ♠2, ♥K, ♥7, ♦2 | pair
♣10, ♠2, ♥K, ♥10, ♦5 | pair
♣10, ♠2, ♥K, ♥10, ♣7 | pair
♣10, ♠2, ♥K, ♥10, ♦2 | two pairs
♣10, ♠2, ♥K, ♥10, ♥8 | pair
♣10, ♠2, ♥K, ♦5, ♦2 | pair
♣10, ♠2, ♥K, ♣7, ♦2 | pair
♣10, ♠2, ♥K, ♦2, ♥8 | pair
♣10, ♠2, ♦A, ♥6, ♦6 | pair
♣10, ♠2, ♦A, ♥6, ♥10 | pair
♣10, ♠2, ♦A, ♥6, ♦2 | pair
♣10, ♠2, ♦A, ♦6, ♥10 | pair
♣10, ♠2, ♦A, ♦6, ♦2 | pair
♣10, ♠2, ♦A, ♥Q, ♥10 | pair
♣10, ♠2, ♦A, ♥Q, ♦2 | pair
♣10, ♠2, ♦A, ♥7, ♥10 | pair
♣10, ♠2, ♦A, ♥7, ♣7 | pair
♣10, ♠2, ♦A, ♥7, ♦2 | pair
♣10, ♠2, ♦A, ♥10, ♦5 | pair
♣10, ♠2, ♦A, ♥10, ♣7 | pair
♣10, ♠2, ♦A, ♥10, ♦2 | two pairs
♣10, ♠2, ♦A, ♥10, ♥8 | pair
♣10, ♠2, ♦A, ♦5, ♦2 | pair
♣10, ♠2, ♦A, ♣7, ♦2 | pair
♣10, ♠2, ♦A, ♦2, ♥8 | pair
♣10, ♠2, ♥6, ♦6, ♥Q | pair
♣10, ♠2, ♥6, ♦6, ♥7 | pair
♣10, ♠2, ♥6, ♦6, ♥10 | two pairs
♣10, ♠2, ♥6, ♦6, ♦5 | pair
♣10, ♠2, ♥6, ♦6, ♣7 | pair
♣10, ♠2, ♥6, ♦6, ♦2 | two pairs
♣10, ♠2, ♥6, ♦6, ♥8 | pair
♣10, ♠2, ♥6, ♥Q, ♥10 | pair
♣10, ♠2, ♥6, ♥Q, ♦2 | pair
♣10, ♠2, ♥6, ♥7, ♥10 | pair
♣10, ♠2, ♥6, ♥7, ♣7 | pair
♣10, ♠2, ♥6, ♥7, ♦2 | pair
♣10, ♠2, ♥6, ♥10, ♦5 | pair
♣10, ♠2, ♥6, ♥10, ♣7 | pair
♣10, ♠2, ♥6, ♥10, ♦2 | two pairs
♣10, ♠2, ♥6, ♥10, ♥8 | pair
♣10, ♠2, ♥6, ♦5, ♦2 | pair
♣10, ♠2, ♥6, ♣7, ♦2 | pair
♣10, ♠2, ♥6, ♦2, ♥8 | pair
♣10, ♠2, ♦6, ♥Q, ♥10 | pair
♣10, ♠2, ♦6, ♥Q, ♦2 | pair
♣10, ♠2, ♦6, ♥7, ♥10 | pair
♣10, ♠2, ♦6, ♥7, ♣7 | pair
♣10, ♠2, ♦6, ♥7, ♦2 | pair
♣10, ♠2, ♦6, ♥10, ♦5 | pair
♣10, ♠2, ♦6, ♥10, ♣7 | pair
♣10, ♠2, ♦6, ♥10, ♦2 | two pairs
♣10, ♠2, ♦6, ♥10, ♥8 | pair
♣10, ♠2, ♦6, ♦5, ♦2 | pair
♣10, ♠2, ♦6, ♣7, ♦2 | pair
♣10, ♠2, ♦6, ♦2, ♥8 | pair
♣10, ♠2, ♥Q, ♥7, ♥10 | pair
♣10, ♠2, ♥Q, ♥7, ♣7 | pair
♣10, ♠2, ♥Q, ♥7, ♦2 | pair
♣10, ♠2, ♥Q, ♥10, ♦5 | pair
♣10, ♠2, ♥Q, ♥10, ♣7 | pair
♣10, ♠2, ♥Q, ♥10, ♦2 | two pairs
♣10, ♠2, ♥Q, ♥10, ♥8 | pair
♣10, ♠2, ♥Q, ♦5, ♦2 | pair
♣10, ♠2, ♥Q, ♣7, ♦2 | pair
♣10, ♠2, ♥Q, ♦2, ♥8 | pair
♣10, ♠2, ♥7, ♥10, ♦5 | pair
♣10, ♠2, ♥7, ♥10, ♣7 | two pairs
♣10, ♠2, ♥7, ♥10, ♦2 | two pairs
♣10, ♠2, ♥7, ♥10, ♥8 | pair
♣10, ♠2, ♥7, ♦5, ♣7 | pair
♣10, ♠2, ♥7, ♦5, ♦2 | pair
♣10, ♠2, ♥7, ♣7, ♦2 | two pairs
♣10, ♠2, ♥7, ♣7, ♥8 | pair
♣10, ♠2, ♥7, ♦2, ♥8 | pair
♣10, ♠2, ♥10, ♦5, ♣7 | pair
♣10, ♠2, ♥10, ♦5, ♦2 | two pairs
♣10, ♠2, ♥10, ♦5, ♥8 | pair
♣10, ♠2, ♥10, ♣7, ♦2 | two pairs
♣10, ♠2, ♥10, ♣7, ♥8 | pair
♣10, ♠2, ♥10, ♦2, ♥8 | two pairs
♣10, ♠2, ♦5, ♣7, ♦2 | pair
♣10, ♠2, ♦5, ♦2, ♥8 | pair
♣10, ♠2, ♣7, ♦2, ♥8 | pair
♣10, ♠8, ♥K, ♦A, ♥10 | pair
♣10, ♠8, ♥K, ♦A, ♥8 | pair
♣10, ♠8, ♥K, ♥6, ♦6 | pair
♣10, ♠8, ♥K, ♥6, ♥10 | pair
♣10, ♠8, ♥K, ♥6, ♥8 | pair
♣10, ♠8, ♥K, ♦6, ♥10 | pair
♣10, ♠8, ♥K, ♦6, ♥8 | pair
♣10, ♠8, ♥K, ♥Q, ♥10 | pair
♣10, ♠8, ♥K, ♥Q, ♥8 | pair
♣10, ♠8, ♥K, ♥7, ♥10 | pair
♣10, ♠8, ♥K, ♥7, ♣7 | pair
♣10, ♠8, ♥K, ♥7, ♥8 | pair
♣10, ♠8, ♥K, ♥10, ♦5 | pair
♣10, ♠8, ♥K, ♥10, ♣7 | pair
♣10, ♠8, ♥K, ♥10, ♦2 | pair
♣10, ♠8, ♥K, ♥10, ♥8 | two pairs
♣10, ♠8, ♥K, ♦5, ♥8 | pair
♣10, ♠8, ♥K, ♣7, ♥8 | pair
♣10, ♠8, ♥K, ♦2, ♥8 | pair
♣10, ♠8, ♦A, ♥6, ♦6 | pair
♣10, ♠8, ♦A, ♥6, ♥10 | pair
♣10, ♠8, ♦A, ♥6, ♥8 | pair
♣10, ♠8, ♦A, ♦6, ♥10 | pair
♣10, ♠8, ♦A, ♦6, ♥8 | pair
♣10, ♠8, ♦A, ♥Q, ♥10 | pair
♣10, ♠8, ♦A, ♥Q, ♥8 | pair
♣10, ♠8, ♦A, ♥7, ♥10 | pair
♣10, ♠8, ♦A, ♥7, ♣7 | pair
♣10, ♠8, ♦A, ♥7, ♥8 | pair
♣10, ♠8, ♦A, ♥10, ♦5 | pair
♣10, ♠8, ♦A, ♥10, ♣7 | pair
♣10, ♠8, ♦A, ♥10, ♦2 | pair
♣10, ♠8, ♦A, ♥10, ♥8 | two pairs
♣10, ♠8, ♦A, ♦5, ♥8 | pair
♣10, ♠8, ♦A, ♣7, ♥8 | pair
♣10, ♠8, ♦A, ♦2, ♥8 | pair
♣10, ♠8, ♥6, ♦6, ♥Q | pair
♣10, ♠8, ♥6, ♦6, ♥7 | pair
♣10, ♠8, ♥6, ♦6, ♥10 | two pairs
♣10, ♠8, ♥6, ♦6, ♦5 | pair
♣10, ♠8, ♥6, ♦6, ♣7 | pair
♣10, ♠8, ♥6, ♦6, ♦2 | pair
♣10, ♠8, ♥6, ♦6, ♥8 | two pairs
♣10, ♠8, ♥6, ♥Q, ♥10 | pair
♣10, ♠8, ♥6, ♥Q, ♥8 | pair
♣10, ♠8, ♥6, ♥7, ♥10 | pair
♣10, ♠8, ♥6, ♥7, ♣7 | pair
♣10, ♠8, ♥6, ♥7, ♥8 | pair
♣10, ♠8, ♥6, ♥10, ♦5 | pair
♣10, ♠8, ♥6, ♥10, ♣7 | pair
♣10, ♠8, ♥6, ♥10, ♦2 | pair
♣10, ♠8, ♥6, ♥10, ♥8 | two pairs
♣10, ♠8, ♥6, ♦5, ♥8 | pair
♣10, ♠8, ♥6, ♣7, ♥8 | pair
♣10, ♠8, ♥6, ♦2, ♥8 | pair
♣10, ♠8, ♦6, ♥Q, ♥10 | pair
♣10, ♠8, ♦6, ♥Q, ♥8 | pair
♣10, ♠8, ♦6, ♥7, ♥10 | pair
♣10, ♠8, ♦6, ♥7, ♣7 | pair
♣10, ♠8, ♦6, ♥7, ♥8 | pair
♣10, ♠8, ♦6, ♥10, ♦5 | pair
♣10, ♠8, ♦6, ♥10, ♣7 | pair
♣10, ♠8, ♦6, ♥10, ♦2 | pair
♣10, ♠8, ♦6, ♥10, ♥8 | two pairs
♣10, ♠8, ♦6, ♦5, ♥8 | pair
♣10, ♠8, ♦6, ♣7, ♥8 | pair
♣10, ♠8, ♦6, ♦2, ♥8 | pair
♣10, ♠8, ♥Q, ♥7, ♥10 | pair
♣10, ♠8, ♥Q, ♥7, ♣7 | pair
♣10, ♠8, ♥Q, ♥7, ♥8 | pair
♣10, ♠8, ♥Q, ♥10, ♦5 | pair
♣10, ♠8, ♥Q, ♥10, ♣7 | pair
♣10, ♠8, ♥Q, ♥10, ♦2 | pair
♣10, ♠8, ♥Q, ♥10, ♥8 | two pairs
♣10, ♠8, ♥Q, ♦5, ♥8 | pair
♣10, ♠8, ♥Q, ♣7, ♥8 | pair
♣10, ♠8, ♥Q, ♦2, ♥8 | pair
♣10, ♠8, ♥7, ♥10, ♦5 | pair
♣10, ♠8, ♥7, ♥10, ♣7 | two pairs
♣10, ♠8, ♥7, ♥10, ♦2 | pair
♣10, ♠8, ♥7, ♥10, ♥8 | two pairs
♣10, ♠8, ♥7, ♦5, ♣7 | pair
♣10, ♠8, ♥7, ♦5, ♥8 | pair
♣10, ♠8, ♥7, ♣7, ♦2 | pair
♣10, ♠8, ♥7, ♣7, ♥8 | two pairs
♣10, ♠8, ♥7, ♦2, ♥8 | pair
♣10, ♠8, ♥10, ♦5, ♣7 | pair
♣10, ♠8, ♥10, ♦5, ♦2 | pair
♣10, ♠8, ♥10, ♦5, ♥8 | two pairs
♣10, ♠8, ♥10, ♣7, ♦2 | pair
♣10, ♠8, ♥10, ♣7, ♥8 | two pairs
♣10, ♠8, ♥10, ♦2, ♥8 | two pairs
♣10, ♠8, ♦5, ♣7, ♥8 | pair
♣10, ♠8, ♦5, ♦2, ♥8 | pair
♣10, ♠8, ♣7, ♦2, ♥8 | pair
♣10, ♥K, ♦A, ♥6, ♦6 | pair
♣10, ♥K, ♦A, ♥6, ♥10 | pair
♣10, ♥K, ♦A, ♦6, ♥10 | pair
♣10, ♥K, ♦A, ♥Q, ♥10 | pair
♣10, ♥K, ♦A, ♥7, ♥10 | pair
♣10, ♥K, ♦A, ♥7, ♣7 | pair
♣10, ♥K, ♦A, ♥10, ♦5 | pair
♣10, ♥K, ♦A, ♥10, ♣7 | pair
♣10, ♥K, ♦A, ♥10, ♦2 | pair
♣10, ♥K, ♦A, ♥10, ♥8 | pair
♣10, ♥K, ♥6, ♦6, ♥Q | pair
♣10, ♥K, ♥6, ♦6, ♥7 | pair
♣10, ♥K, ♥6, ♦6, ♥10 | two pairs
♣10, ♥K, ♥6, ♦6, ♦5 | pair
♣10, ♥K, ♥6, ♦6, ♣7 | pair
♣10, ♥K, ♥6, ♦6, ♦2 | pair
♣10, ♥K, ♥6, ♦6, ♥8 | pair
♣10, ♥K, ♥6, ♥Q, ♥10 | pair
♣10, ♥K, ♥6, ♥7, ♥10 | pair
♣10, ♥K, ♥6, ♥7, ♣7 | pair
♣10, ♥K, ♥6, ♥10, ♦5 | pair
♣10, ♥K, ♥6, ♥10, ♣7 | pair
♣10, ♥K, ♥6, ♥10, ♦2 | pair
♣10, ♥K, ♥6, ♥10, ♥8 | pair
♣10, ♥K, ♦6, ♥Q, ♥10 | pair
♣10, ♥K, ♦6, ♥7, ♥10 | pair
♣10, ♥K, ♦6, ♥7, ♣7 | pair
♣10, ♥K, ♦6, ♥10, ♦5 | pair
♣10, ♥K, ♦6, ♥10, ♣7 | pair
♣10, ♥K, ♦6, ♥10, ♦2 | pair
♣10, ♥K, ♦6, ♥10, ♥8 | pair
♣10, ♥K, ♥Q, ♥7, ♥10 | pair
♣10, ♥K, ♥Q, ♥7, ♣7 | pair
♣10, ♥K, ♥Q, ♥10, ♦5 | pair
♣10, ♥K, ♥Q, ♥10, ♣7 | pair
♣10, ♥K, ♥Q, ♥10, ♦2 | pair
♣10, ♥K, ♥Q, ♥10, ♥8 | pair
♣10, ♥K, ♥7, ♥10, ♦5 | pair
♣10, ♥K, ♥7, ♥10, ♣7 | two pairs
♣10, ♥K, ♥7, ♥10, ♦2 | pair
♣10, ♥K, ♥7, ♥10, ♥8 | pair
♣10, ♥K, ♥7, ♦5, ♣7 | pair
♣10, ♥K, ♥7, ♣7, ♦2 | pair
♣10, ♥K, ♥7, ♣7, ♥8 | pair
♣10, ♥K, ♥10, ♦5, ♣7 | pair
♣10, ♥K, ♥10, ♦5, ♦2 | pair
♣10, ♥K, ♥10, ♦5, ♥8 | pair
♣10, ♥K, ♥10, ♣7, ♦2 | pair
