♥8, ♣4, ♥7, ♥K, ♠8 | pair
♥7, ♠8, ♦A, ♥8, ♠3 | pair
♥7, ♠8, ♦A, ♥8, ♠4 | pair
♥7, ♠8, ♦A, ♥8, ♥9 | pair
♥7, ♠8, ♠9, ♥4, ♥8 | pair
♥7, ♠8, ♠9, ♥4, ♠4 | pair
♥7, ♠8, ♠9, ♥4, ♥9 | pair
♥7, ♠8, ♠9, ♥8, ♠3 | pair
♥7, ♠8, ♠9, ♥8, ♠4 | pair
♥7, ♠8, ♠9, ♥8, ♥9 | two pairs
♥7, ♠8, ♠9, ♠3, ♥9 | pair
♥7, ♠8, ♠9, ♠4, ♥9 | pair
♥7, ♠8, ♥4, ♥8, ♠3 | pair
♥7, ♠8, ♥4, ♥8, ♠4 | two pairs
♥7, ♠8, ♥4, ♥8, ♥9 | pair
♥7, ♠8, ♥4, ♠3, ♠4 | pair
♥7, ♠8, ♥4, ♠4, ♥9 | pair
♥7, ♠8, ♥8, ♠3, ♠4 | pair
♥7, ♠8, ♥8, ♠3, ♥9 | pair
♥7, ♠8, ♥8, ♠4, ♥9 | pair
♥7, ♥10, ♣A, ♦A, ♠9 | pair
♥7, ♥10, ♣A, ♦A, ♥4 | pair
♥7, ♥10, ♣A, ♦A, ♥8 | pair
♥7, ♥10, ♣A, ♦A, ♠3 | pair
♥7, ♥10, ♣A, ♦A, ♠4 | pair
♥7, ♥10, ♣A, ♦A, ♥9 | pair
♥7, ♥10, ♣A, ♠9, ♥9 | pair
♥7, ♥10, ♣A, ♥4, ♠4 | pair
♥7, ♥10, ♦A, ♠9, ♥9 | pair
♥7, ♥10, ♦A, ♥4, ♠4 | pair
♥7, ♥10, ♠9, ♥4, ♠4 | pair
♥7, ♥10, ♠9, ♥4, ♥9 | pair
♥7, ♥10, ♠9, ♥8, ♥9 | pair
♥7, ♥10, ♠9, ♠3, ♥9 | pair
♥7, ♥10, ♠9, ♠4, ♥9 | pair
♥7, ♥10, ♥4, ♥8, ♠4 | pair
♥7, ♥10, ♥4, ♥8, ♥9 | flush
♥7, ♥10, ♥4, ♠3, ♠4 | pair
♥7, ♥10, ♥4, ♠4, ♥9 | pair
♥7, ♣A, ♦A, ♠9, ♥4 | pair
♥7, ♣A, ♦A, ♠9, ♥8 | pair
♥7, ♣A, ♦A, ♠9, ♠3 | pair
♥7, ♣A, ♦A, ♠9, ♠4 | pair
♥7, ♣A, ♦A, ♠9, ♥9 | two pairs
♥7, ♣A, ♦A, ♥4, ♥8 | pair
♥7, ♣A, ♦A, ♥4, ♠3 | pair
♥7, ♣A, ♦A, ♥4, ♠4 | two pairs
♥7, ♣A, ♦A, ♥4, ♥9 | pair
♥7, ♣A, ♦A, ♥8, ♠3 | pair
♥7, ♣A, ♦A, ♥8, ♠4 | pair
♥7, ♣A, ♦A, ♥8, ♥9 | pair
♥7, ♣A, ♦A, ♠3, ♠4 | pair
♥7, ♣A, ♦A, ♠3, ♥9 | pair
♥7, ♣A, ♦A, ♠4, ♥9 | pair
♥7, ♣A, ♠9, ♥4, ♠4 | pair
♥7, ♣A, ♠9, ♥4, ♥9 | pair
♥7, ♣A, ♠9, ♥8, ♥9 | pair
♥7, ♣A, ♠9, ♠3, ♥9 | pair
♥7, ♣A, ♠9, ♠4, ♥9 | pair
♥7, ♣A, ♥4, ♥8, ♠4 | pair
♥7, ♣A, ♥4, ♠3, ♠4 | pair
♥7, ♣A, ♥4, ♠4, ♥9 | pair
♥7, ♦A, ♠9, ♥4, ♠4 | pair
♥7, ♦A, ♠9, ♥4, ♥9 | pair
♥7, ♦A, ♠9, ♥8, ♥9 | pair
♥7, ♦A, ♠9, ♠3, ♥9 | pair
♥7, ♦A, ♠9, ♠4, ♥9 | pair
♥7, ♦A, ♥4, ♥8, ♠4 | pair
♥7, ♦A, ♥4, ♠3, ♠4 | pair
♥7, ♦A, ♥4, ♠4, ♥9 | pair
♥7, ♠9, ♥4, ♥8, ♠4 | pair
♥7, ♠9, ♥4, ♥8, ♥9 | pair
♥7, ♠9, ♥4, ♠3, ♠4 | pair
♥7, ♠9, ♥4, ♠3, ♥9 | pair
♥7, ♠9, ♥4, ♠4, ♥9 | two pairs
♥7, ♠9, ♥8, ♠3, ♥9 | pair
♥7, ♠9, ♥8, ♠4, ♥9 | pair
♥7, ♠9, ♠3, ♠4, ♥9 | pair
♥7, ♥4, ♥8, ♠3, ♠4 | pair
♥7, ♥4, ♥8, ♠4, ♥9 | pair
♥7, ♥4, ♠3, ♠4, ♥9 | pair
♥K, ♠8, ♥10, ♣A, ♦A | pair
♥K, ♠8, ♥10, ♣A, ♥8 | pair
♥K, ♠8, ♥10, ♦A, ♥8 | pair
♥K, ♠8, ♥10, ♠9, ♥8 | pair
♥K, ♠8, ♥10, ♠9, ♥9 | pair
♥K, ♠8, ♥10, ♥4, ♥8 | pair
♥K, ♠8, ♥10, ♥4, ♠4 | pair
♥K, ♠8, ♥10, ♥8, ♠3 | pair
♥K, ♠8, ♥10, ♥8, ♠4 | pair
♥K, ♠8, ♥10, ♥8, ♥9 | pair
♥K, ♠8, ♣A, ♦A, ♠9 | pair
♥K, ♠8, ♣A, ♦A, ♥4 | pair
♥K, ♠8, ♣A, ♦A, ♥8 | two pairs
♥K, ♠8, ♣A, ♦A, ♠3 | pair
♥K, ♠8, ♣A, ♦A, ♠4 | pair
♥K, ♠8, ♣A, ♦A, ♥9 | pair
♥K, ♠8, ♣A, ♠9, ♥8 | pair
♥K, ♠8, ♣A, ♠9, ♥9 | pair
♥K, ♠8, ♣A, ♥4, ♥8 | pair
♥K, ♠8, ♣A, ♥4, ♠4 | pair
♥K, ♠8, ♣A, ♥8, ♠3 | pair
♥K, ♠8, ♣A, ♥8, ♠4 | pair
♥K, ♠8, ♣A, ♥8, ♥9 | pair
♥K, ♠8, ♦A, ♠9, ♥8 | pair
♥K, ♠8, ♦A, ♠9, ♥9 | pair
♥K, ♠8, ♦A, ♥4, ♥8 | pair
♥K, ♠8, ♦A, ♥4, ♠4 | pair
♥K, ♠8, ♦A, ♥8, ♠3 | pair
♥K, ♠8, ♦A, ♥8, ♠4 | pair
♥K, ♠8, ♦A, ♥8, ♥9 | pair
♥K, ♠8, ♠9, ♥4, ♥8 | pair
♥K, ♠8, ♠9, ♥4, ♠4 | pair
♥K, ♠8, ♠9, ♥4, ♥9 | pair
♥K, ♠8, ♠9, ♥8, ♠3 | pair
♥K, ♠8, ♠9, ♥8, ♠4 | pair
♥K, ♠8, ♠9, ♥8, ♥9 | two pairs
♥K, ♠8, ♠9, ♠3, ♥9 | pair
♥K, ♠8, ♠9, ♠4, ♥9 | pair
♥K, ♠8, ♥4, ♥8, ♠3 | pair
♥K, ♠8, ♥4, ♥8, ♠4 | two pairs
♥K, ♠8, ♥4, ♥8, ♥9 | pair
♥K, ♠8, ♥4, ♠3, ♠4 | pair
♥K, ♠8, ♥4, ♠4, ♥9 | pair
♥K, ♠8, ♥8, ♠3, ♠4 | pair
♥K, ♠8, ♥8, ♠3, ♥9 | pair
♥K, ♠8, ♥8, ♠4, ♥9 | pair
♥K, ♥10, ♣A, ♦A, ♠9 | pair
♥K, ♥10, ♣A, ♦A, ♥4 | pair
♥K, ♥10, ♣A, ♦A, ♥8 | pair
♥K, ♥10, ♣A, ♦A, ♠3 | pair
♥K, ♥10, ♣A, ♦A, ♠4 | pair
♥K, ♥10, ♣A, ♦A, ♥9 | pair
♥K, ♥10, ♣A, ♠9, ♥9 | pair
♥K, ♥10, ♣A, ♥4, ♠4 | pair
♥K, ♥10, ♦A, ♠9, ♥9 | pair
♥K, ♥10, ♦A, ♥4, ♠4 | pair
♥K, ♥10, ♠9, ♥4, ♠4 | pair
♥K, ♥10, ♠9, ♥4, ♥9 | pair
♥K, ♥10, ♠9, ♥8, ♥9 | pair
♥K, ♥10, ♠9, ♠3, ♥9 | pair
♥K, ♥10, ♠9, ♠4, ♥9 | pair
♥K, ♥10, ♥4, ♥8, ♠4 | pair
♥K, ♥10, ♥4, ♥8, ♥9 | flush
♥K, ♥10, ♥4, ♠3, ♠4 | pair
♥K, ♥10, ♥4, ♠4, ♥9 | pair
♥K, ♣A, ♦A, ♠9, ♥4 | pair
♥K, ♣A, ♦A, ♠9, ♥8 | pair
♥K, ♣A, ♦A, ♠9, ♠3 | pair
♥K, ♣A, ♦A, ♠9, ♠4 | pair
♥K, ♣A, ♦A, ♠9, ♥9 | two pairs
♥K, ♣A, ♦A, ♥4, ♥8 | pair
♥K, ♣A, ♦A, ♥4, ♠3 | pair
♥K, ♣A, ♦A, ♥4, ♠4 | two pairs
♥K, ♣A, ♦A, ♥4, ♥9 | pair
♥K, ♣A, ♦A, ♥8, ♠3 | pair
♥K, ♣A, ♦A, ♥8, ♠4 | pair
♥K, ♣A, ♦A, ♥8, ♥9 | pair
♥K, ♣A, ♦A, ♠3, ♠4 | pair
♥K, ♣A, ♦A, ♠3, ♥9 | pair
♥K, ♣A, ♦A, ♠4, ♥9 | pair
♥K, ♣A, ♠9, ♥4, ♠4 | pair
♥K, ♣A, ♠9, ♥4, ♥9 | pair
♥K, ♣A, ♠9, ♥8, ♥9 | pair
♥K, ♣A, ♠9, ♠3, ♥9 | pair
♥K, ♣A, ♠9, ♠4, ♥9 | pair
♥K, ♣A, ♥4, ♥8, ♠4 | pair
♥K, ♣A, ♥4, ♠3, ♠4 | pair
♥K, ♣A, ♥4, ♠4, ♥9 | pair
♥K, ♦A, ♠9, ♥4, ♠4 | pair
♥K, ♦A, ♠9, ♥4, ♥9 | pair
♥K, ♦A, ♠9, ♥8, ♥9 | pair
♥K, ♦A, ♠9, ♠3, ♥9 | pair
♥K, ♦A, ♠9, ♠4, ♥9 | pair
♥K, ♦A, ♥4, ♥8, ♠4 | pair
♥K, ♦A, ♥4, ♠3, ♠4 | pair
♥K, ♦A, ♥4, ♠4, ♥9 | pair
♥K, ♠9, ♥4, ♥8, ♠4 | pair
♥K, ♠9, ♥4, ♥8, ♥9 | pair
♥K, ♠9, ♥4, ♠3, ♠4 | pair
♥K, ♠9, ♥4, ♠3, ♥9 | pair
♥K, ♠9, ♥4, ♠4, ♥9 | two pairs
♥K, ♠9, ♥8, ♠3, ♥9 | pair
♥K, ♠9, ♥8, ♠4, ♥9 | pair
♥K, ♠9, ♠3, ♠4, ♥9 | pair
♥K, ♥4, ♥8, ♠3, ♠4 | pair
♥K, ♥4, ♥8, ♠4, ♥9 | pair
♥K, ♥4, ♠3, ♠4, ♥9 | pair
♠8, ♥10, ♣A, ♦A, ♠9 | pair
♠8, ♥10, ♣A, ♦A, ♥4 | pair
♠8, ♥10, ♣A, ♦A, ♥8 | two pairs
♠8, ♥10, ♣A, ♦A, ♠3 | pair
♠8, ♥10, ♣A, ♦A, ♠4 | pair
♠8, ♥10, ♣A, ♦A, ♥9 | pair
♠8, ♥10, ♣A, ♠9, ♥8 | pair
♠8, ♥10, ♣A, ♠9, ♥9 | pair
♠8, ♥10, ♣A, ♥4, ♥8 | pair
♠8, ♥10, ♣A, ♥4, ♠4 | pair
♠8, ♥10, ♣A, ♥8, ♠3 | pair
♠8, ♥10, ♣A, ♥8, ♠4 | pair
♠8, ♥10, ♣A, ♥8, ♥9 | pair
♠8, ♥10, ♦A, ♠9, ♥8 | pair
♠8, ♥10, ♦A, ♠9, ♥9 | pair
♠8, ♥10, ♦A, ♥4, ♥8 | pair
♠8, ♥10, ♦A, ♥4, ♠4 | pair
♠8, ♥10, ♦A, ♥8, ♠3 | pair
♠8, ♥10, ♦A, ♥8, ♠4 | pair
♠8, ♥10, ♦A, ♥8, ♥9 | pair
♠8, ♥10, ♠9, ♥4, ♥8 | pair
♠8, ♥10, ♠9, ♥4, ♠4 | pair
♠8, ♥10, ♠9, ♥4, ♥9 | pair
♠8, ♥10, ♠9, ♥8, ♠3 | pair
♠8, ♥10, ♠9, ♥8, ♠4 | pair
♠8, ♥10, ♠9, ♥8, ♥9 | two pairs
♠8, ♥10, ♠9, ♠3, ♥9 | pair
♠8, ♥10, ♠9, ♠4, ♥9 | pair
♠8, ♥10, ♥4, ♥8, ♠3 | pair
♠8, ♥10, ♥4, ♥8, ♠4 | two pairs
♠8, ♥10, ♥4, ♥8, ♥9 | pair
♠8, ♥10, ♥4, ♠3, ♠4 | pair
♠8, ♥10, ♥4, ♠4, ♥9 | pair
♠8, ♥10, ♥8, ♠3, ♠4 | pair
♠8, ♥10, ♥8, ♠3, ♥9 | pair
♠8, ♥10, ♥8, ♠4, ♥9 | pair
♠8, ♣A, ♦A, ♠9, ♥4 | pair
♠8, ♣A, ♦A, ♠9, ♥8 | two pairs
♠8, ♣A, ♦A, ♠9, ♠3 | pair
♠8, ♣A, ♦A, ♠9, ♠4 | pair
♠8, ♣A, ♦A, ♠9, ♥9 | two pairs
♠8, ♣A, ♦A, ♥4, ♥8 | two pairs
♠8, ♣A, ♦A, ♥4, ♠3 | pair
♠8, ♣A, ♦A, ♥4, ♠4 | two pairs
♠8, ♣A, ♦A, ♥4, ♥9 | pair
♠8, ♣A, ♦A, ♥8, ♠3 | two pairs
♠8, ♣A, ♦A, ♥8, ♠4 | two pairs
♠8, ♣A, ♦A, ♥8, ♥9 | two pairs
♠8, ♣A, ♦A, ♠3, ♠4 | pair
♠8, ♣A, ♦A, ♠3, ♥9 | pair
♠8, ♣A, ♦A, ♠4, ♥9 | pair
♠8, ♣A, ♠9, ♥4, ♥8 | pair
♠8, ♣A, ♠9, ♥4, ♠4 | pair
♠8, ♣A, ♠9, ♥4, ♥9 | pair
♠8, ♣A, ♠9, ♥8, ♠3 | pair
♠8, ♣A, ♠9, ♥8, ♠4 | pair
♠8, ♣A, ♠9, ♥8, ♥9 | two pairs
♠8, ♣A, ♠9, ♠3, ♥9 | pair
♠8, ♣A, ♠9, ♠4, ♥9 | pair
♠8, ♣A, ♥4, ♥8, ♠3 | pair
♠8, ♣A, ♥4, ♥8, ♠4 | two pairs
♠8, ♣A, ♥4, ♥8, ♥9 | pair
♠8, ♣A, ♥4, ♠3, ♠4 | pair
♠8, ♣A, ♥4, ♠4, ♥9 | pair
♠8, ♣A, ♥8, ♠3, ♠4 | pair
♠8, ♣A, ♥8, ♠3, ♥9 | pair
♠8, ♣A, ♥8, ♠4, ♥9 | pair
♠8, ♦A, ♠9, ♥4, ♥8 | pair
♠8, ♦A, ♠9, ♥4, ♠4 | pair
♠8, ♦A, ♠9, ♥4, ♥9 | pair
♠8, ♦A, ♠9, ♥8, ♠3 | pair
♠8, ♦A, ♠9, ♥8, ♠4 | pair
♠8, ♦A, ♠9, ♥8, ♥9 | two pairs
♠8, ♦A, ♠9, ♠3, ♥9 | pair
♠8, ♦A, ♠9, ♠4, ♥9 | pair
♠8, ♦A, ♥4, ♥8, ♠3 | pair
♠8, ♦A, ♥4, ♥8, ♠4 | two pairs
♠8, ♦A, ♥4, ♥8, ♥9 | pair
♠8, ♦A, ♥4, ♠3, ♠4 | pair
♠8, ♦A, ♥4, ♠4, ♥9 | pair
♠8, ♦A, ♥8, ♠3, ♠4 | pair
♠8, ♦A, ♥8, ♠3, ♥9 | pair
♠8, ♦A, ♥8, ♠4, ♥9 | pair
♠8, ♠9, ♥4, ♥8, ♠3 | pair
♠8, ♠9, ♥4, ♥8, ♠4 | two pairs
♠8, ♠9, ♥4, ♥8, ♥9 | two pairs
♠8, ♠9, ♥4, ♠3, ♠4 | pair
♠8, ♠9, ♥4, ♠3, ♥9 | pair
♠8, ♠9, ♥4, ♠4, ♥9 | two pairs
♠8, ♠9, ♥8, ♠3, ♠4 | pair
♠8, ♠9, ♥8, ♠3, ♥9 | two pairs
♠8, ♠9, ♥8, ♠4, ♥9 | two pairs
♠8, ♠9, ♠3, ♠4, ♥9 | pair
♠8, ♥4, ♥8, ♠3, ♠4 | two pairs
♠8, ♥4, ♥8, ♠3, ♥9 | pair
♠8, ♥4, ♥8, ♠4, ♥9 | two pairs
♠8, ♥4, ♠3, ♠4, ♥9 | pair
♠8, ♥8, ♠3, ♠4, ♥9 | pair
♥10, ♣A, ♦A, ♠9, ♥4 | pair
♥10, ♣A, ♦A, ♠9, ♥8 | pair
♥10, ♣A, ♦A, ♠9, ♠3 | pair
♥10, ♣A, ♦A, ♠9, ♠4 | pair
♥10, ♣A, ♦A, ♠9, ♥9 | two pairs
♥10, ♣A, ♦A, ♥4, ♥8 | pair
♥10, ♣A, ♦A, ♥4, ♠3 | pair
♥10, ♣A, ♦A, ♥4, ♠4 | two pairs
♥10, ♣A, ♦A, ♥4, ♥9 | pair
♥10, ♣A, ♦A, ♥8, ♠3 | pair
♥10, ♣A, ♦A, ♥8, ♠4 | pair
♥10, ♣A, ♦A, ♥8, ♥9 | pair
♥10, ♣A, ♦A, ♠3, ♠4 | pair
♥10, ♣A, ♦A, ♠3, ♥9 | pair
♥10, ♣A, ♦A, ♠4, ♥9 | pair
♥10, ♣A, ♠9, ♥4, ♠4 | pair
♥10, ♣A, ♠9, ♥4, ♥9 | pair
♥10, ♣A, ♠9, ♥8, ♥9 | pair
♥10, ♣A, ♠9, ♠3, ♥9 | pair
♥10, ♣A, ♠9, ♠4, ♥9 | pair
♥10, ♣A, ♥4, ♥8, ♠4 | pair
♥10, ♣A, ♥4, ♠3, ♠4 | pair
♥10, ♣A, ♥4, ♠4, ♥9 | pair
♥10, ♦A, ♠9, ♥4, ♠4 | pair
♥10, ♦A, ♠9, ♥4, ♥9 | pair
♥10, ♦A, ♠9, ♥8, ♥9 | pair
♥10, ♦A, ♠9, ♠3, ♥9 | pair
♥10, ♦A, ♠9, ♠4, ♥9 | pair
♥10, ♦A, ♥4, ♥8, ♠4 | pair
♥10, ♦A, ♥4, ♠3, ♠4 | pair
♥10, ♦A, ♥4, ♠4, ♥9 | pair
♥10, ♠9, ♥4, ♥8, ♠4 | pair
♥10, ♠9, ♥4, ♥8, ♥9 | pair
♥10, ♠9, ♥4, ♠3, ♠4 | pair
♥10, ♠9, ♥4, ♠3, ♥9 | pair
♥10, ♠9, ♥4, ♠4, ♥9 | two pairs
♥10, ♠9, ♥8, ♠3, ♥9 | pair
♥10, ♠9, ♥8, ♠4, ♥9 | pair
♥10, ♠9, ♠3, ♠4, ♥9 | pair
♥10, ♥4, ♥8, ♠3, ♠4 | pair
♥10, ♥4, ♥8, ♠4, ♥9 | pair
♥10, ♥4, ♠3, ♠4, ♥9 | pair
♣A, ♦A, ♠9, ♥4, ♥8 | pair
♣A, ♦A, ♠9, ♥4, ♠3 | pair
♣A, ♦A, ♠9, ♥4, ♠4 | two pairs
♣A, ♦A, ♠9, ♥4, ♥9 | two pairs
♣A, ♦A, ♠9, ♥8, ♠3 | pair
♣A, ♦A, ♠9, ♥8, ♠4 | pair
♣A, ♦A, ♠9, ♥8, ♥9 | two pairs
♣A, ♦A, ♠9, ♠3, ♠4 | pair
♣A, ♦A, ♠9, ♠3, ♥9 | two pairs
♣A, ♦A, ♠9, ♠4, ♥9 | two pairs
♣A, ♦A, ♥4, ♥8, ♠3 | pair
♣A, ♦A, ♥4, ♥8, ♠4 | two pairs
♣A, ♦A, ♥4, ♥8, ♥9 | pair
♣A, ♦A, ♥4, ♠3, ♠4 | two pairs
♣A, ♦A, ♥4, ♠3, ♥9 | pair
♣A, ♦A, ♥4, ♠4, ♥9 | two pairs
♣A, ♦A, ♥8, ♠3, ♠4 | pair
♣A, ♦A, ♥8, ♠3, ♥9 | pair
♣A, ♦A, ♥8, ♠4, ♥9 | pair
♣A, ♦A, ♠3, ♠4, ♥9 | pair
♣A, ♠9, ♥4, ♥8, ♠4 | pair
♣A, ♠9, ♥4, ♥8, ♥9 | pair
♣A, ♠9, ♥4, ♠3, ♠4 | pair
♣A, ♠9, ♥4, ♠3, ♥9 | pair
♣A, ♠9, ♥4, ♠4, ♥9 | two pairs
♣A, ♠9, ♥8, ♠3, ♥9 | pair
♣A, ♠9, ♥8, ♠4, ♥9 | pair
♣A, ♠9, ♠3, ♠4, ♥9 | pair
♣A, ♥4, ♥8, ♠3, ♠4 | pair
♣A, ♥4, ♥8, ♠4, ♥9 | pair
♣A, ♥4, ♠3, ♠4, ♥9 | pair
♦A, ♠9, ♥4, ♥8, ♠4 | pair
♦A, ♠9, ♥4, ♥8, ♥9 | pair
♦A, ♠9, ♥4, ♠3, ♠4 | pair
♦A, ♠9, ♥4, ♠3, ♥9 | pair
♦A, ♠9, ♥4, ♠4, ♥9 | two pairs
♦A, ♠9, ♥8, ♠3, ♥9 | pair
♦A, ♠9, ♥8, ♠4, ♥9 | pair
♦A, ♠9, ♠3, ♠4, ♥9 | pair
♦A, ♥4, ♥8, ♠3, ♠4 | pair
♦A, ♥4, ♥8, ♠4, ♥9 | pair
♦A, ♥4, ♠3, ♠4, ♥9 | pair
♠9, ♥4, ♥8, ♠3, ♠4 | pair
♠9, ♥4, ♥8, ♠3, ♥9 | pair
♠9, ♥4, ♥8, ♠4, ♥9 | two pairs
♠9, ♥4, ♠3, ♠4, ♥9 | two pairs
♠9, ♥8, ♠3, ♠4, ♥9 | pair
♥4, ♥8, ♠3, ♠4, ♥9 | pair
