♥A, ♥A, ♠7, ♦J, ♣5 | pair
♠7, ♦J, ♣7, ♠K, ♠6 | pair
♠7, ♦J, ♣7, ♣J, ♠6 | two pairs
♠7, ♦J, ♣6, ♠4, ♣J | pair
♠7, ♦J, ♣6, ♠4, ♠6 | pair
♠7, ♦J, ♣6, ♠K, ♣J | pair
♠7, ♦J, ♣6, ♠K, ♠6 | pair
♠7, ♦J, ♣6, ♣J, ♠6 | two pairs
♠7, ♦J, ♠4, ♠K, ♣J | pair
♠7, ♦J, ♠4, ♣J, ♠6 | pair
♠7, ♦J, ♠K, ♣J, ♠6 | pair
♠7, ♣5, ♥3, ♦9, ♣7 | pair
♠7, ♣5, ♥3, ♣8, ♣7 | pair
♠7, ♣5, ♥3, ♣Q, ♣Q | pair
♠7, ♣5, ♥3, ♣Q, ♣7 | pair
♠7, ♣5, ♥3, ♣Q, ♣7 | pair
♠7, ♣5, ♥3, ♣7, ♣6 | pair
♠7, ♣5, ♥3, ♣7, ♠4 | pair
♠7, ♣5, ♥3, ♣7, ♠K | pair
♠7, ♣5, ♥3, ♣7, ♣J | pair
♠7, ♣5, ♥3, ♣7, ♠6 | pair
♠7, ♣5, ♥3, ♣6, ♠4 | straight
♠7, ♣5, ♥3, ♣6, ♠6 | pair
♠7, ♣5, ♥3, ♠4, ♠6 | straight
♠7, ♣5, ♦9, ♣8, ♣7 | pair
♠7, ♣5, ♦9, ♣8, ♣6 | straight
♠7, ♣5, ♦9, ♣8, ♠6 | straight
♠7, ♣5, ♦9, ♣Q, ♣Q | pair
♠7, ♣5, ♦9, ♣Q, ♣7 | pair
♠7, ♣5, ♦9, ♣Q, ♣7 | pair
♠7, ♣5, ♦9, ♣7, ♣6 | pair
♠7, ♣5, ♦9, ♣7, ♠4 | pair
♠7, ♣5, ♦9, ♣7, ♠K | pair
♠7, ♣5, ♦9, ♣7, ♣J | pair
♠7, ♣5, ♦9, ♣7, ♠6 | pair
♠7, ♣5, ♦9, ♣6, ♠6 | pair
♠7, ♣5, ♣8, ♣Q, ♣Q | pair
♠7, ♣5, ♣8, ♣Q, ♣7 | pair
♠7, ♣5, ♣8, ♣Q, ♣7 | pair
♠7, ♣5, ♣8, ♣7, ♣6 | pair
♠7, ♣5, ♣8, ♣7, ♠4 | pair
♠7, ♣5, ♣8, ♣7, ♠K | pair
♠7, ♣5, ♣8, ♣7, ♣J | pair
♠7, ♣5, ♣8, ♣7, ♠6 | pair
♠7, ♣5, ♣8, ♣6, ♠4 | straight
♠7, ♣5, ♣8, ♣6, ♠6 | pair
♠7, ♣5, ♣8, ♠4, ♠6 | straight
♠7, ♣5, ♣Q, ♣Q, ♣7 | two pairs
♠7, ♣5, ♣Q, ♣Q, ♣6 | pair
♠7, ♣5, ♣Q, ♣Q, ♠4 | pair
♠7, ♣5, ♣Q, ♣Q, ♠K | pair
♠7, ♣5, ♣Q, ♣Q, ♣J | pair
♠7, ♣5, ♣Q, ♣Q, ♠6 | pair
♠7, ♣5, ♣Q, ♣7, ♣6 | pair
♠7, ♣5, ♣Q, ♣7, ♠4 | pair
♠7, ♣5, ♣Q, ♣7, ♠K | pair
♠7, ♣5, ♣Q, ♣7, ♣J | pair
♠7, ♣5, ♣Q, ♣7, ♠6 | pair
♠7, ♣5, ♣Q, ♣6, ♠6 | pair
♠7, ♣5, ♣Q, ♣7, ♣6 | pair
♠7, ♣5, ♣Q, ♣7, ♠4 | pair
♠7, ♣5, ♣Q, ♣7, ♠K | pair
♠7, ♣5, ♣Q, ♣7, ♣J | pair
♠7, ♣5, ♣Q, ♣7, ♠6 | pair
♠7, ♣5, ♣Q, ♣6, ♠6 | pair
♠7, ♣5, ♣7, ♣6, ♠4 | pair
♠7, ♣5, ♣7, ♣6, ♠K | pair
♠7, ♣5, ♣7, ♣6, ♣J | pair
♠7, ♣5, ♣7, ♣6, ♠6 | two pairs
♠7, ♣5, ♣7, ♠4, ♠K | pair
♠7, ♣5, ♣7, ♠4, ♣J | pair
♠7, ♣5, ♣7, ♠4, ♠6 | pair
♠7, ♣5, ♣7, ♠K, ♣J | pair
♠7, ♣5, ♣7, ♠K, ♠6 | pair
♠7, ♣5, ♣7, ♣J, ♠6 | pair
♠7, ♣5, ♣6, ♠4, ♠6 | pair
♠7, ♣5, ♣6, ♠K, ♠6 | pair
♠7, ♣5, ♣6, ♣J, ♠6 | pair
♠7, ♥3, ♦9, ♣8, ♣7 | pair
♠7, ♥3, ♦9, ♣Q, ♣Q | pair
♠7, ♥3, ♦9, ♣Q, ♣7 | pair
♠7, ♥3, ♦9, ♣Q, ♣7 | pair
♠7, ♥3, ♦9, ♣7, ♣6 | pair
♠7, ♥3, ♦9, ♣7, ♠4 | pair
♠7, ♥3, ♦9, ♣7, ♠K | pair
♠7, ♥3, ♦9, ♣7, ♣J | pair
♠7, ♥3, ♦9, ♣7, ♠6 | pair
♠7, ♥3, ♦9, ♣6, ♠6 | pair
♠7, ♥3, ♣8, ♣Q, ♣Q | pair
♠7, ♥3, ♣8, ♣Q, ♣7 | pair
♠7, ♥3, ♣8, ♣Q, ♣7 | pair
♠7, ♥3, ♣8, ♣7, ♣6 | pair
♠7, ♥3, ♣8, ♣7, ♠4 | pair
♠7, ♥3, ♣8, ♣7, ♠K | pair
♠7, ♥3, ♣8, ♣7, ♣J | pair
♠7, ♥3, ♣8, ♣7, ♠6 | pair
♠7, ♥3, ♣8, ♣6, ♠6 | pair
♠7, ♥3, ♣Q, ♣Q, ♣7 | two pairs
♠7, ♥3, ♣Q, ♣Q, ♣6 | pair
♠7, ♥3, ♣Q, ♣Q, ♠4 | pair
♠7, ♥3, ♣Q, ♣Q, ♠K | pair
♠7, ♥3, ♣Q, ♣Q, ♣J | pair
♠7, ♥3, ♣Q, ♣Q, ♠6 | pair
♠7, ♥3, ♣Q, ♣7, ♣6 | pair
♠7, ♥3, ♣Q, ♣7, ♠4 | pair
♠7, ♥3, ♣Q, ♣7, ♠K | pair
♠7, ♥3, ♣Q, ♣7, ♣J | pair
♠7, ♥3, ♣Q, ♣7, ♠6 | pair
♠7, ♥3, ♣Q, ♣6, ♠6 | pair
♠7, ♥3, ♣Q, ♣7, ♣6 | pair
♠7, ♥3, ♣Q, ♣7, ♠4 | pair
♠7, ♥3, ♣Q, ♣7, ♠K | pair
♠7, ♥3, ♣Q, ♣7, ♣J | pair
♠7, ♥3, ♣Q, ♣7, ♠6 | pair
♠7, ♥3, ♣Q, ♣6, ♠6 | pair
♠7, ♥3, ♣7, ♣6, ♠4 | pair
♠7, ♥3, ♣7, ♣6, ♠K | pair
♠7, ♥3, ♣7, ♣6, ♣J | pair
♠7, ♥3, ♣7, ♣6, ♠6 | two pairs
♠7, ♥3, ♣7, ♠4, ♠K | pair
♠7, ♥3, ♣7, ♠4, ♣J | pair
♠7, ♥3, ♣7, ♠4, ♠6 | pair
♠7, ♥3, ♣7, ♠K, ♣J | pair
♠7, ♥3, ♣7, ♠K, ♠6 | pair
♠7, ♥3, ♣7, ♣J, ♠6 | pair
♠7, ♥3, ♣6, ♠4, ♠6 | pair
♠7, ♥3, ♣6, ♠K, ♠6 | pair
♠7, ♥3, ♣6, ♣J, ♠6 | pair
♠7, ♦9, ♣8, ♣Q, ♣Q | pair
♠7, ♦9, ♣8, ♣Q, ♣7 | pair
♠7, ♦9, ♣8, ♣Q, ♣7 | pair
♠7, ♦9, ♣8, ♣7, ♣6 | pair
♠7, ♦9, ♣8, ♣7, ♠4 | pair
♠7, ♦9, ♣8, ♣7, ♠K | pair
♠7, ♦9, ♣8, ♣7, ♣J | pair
♠7, ♦9, ♣8, ♣7, ♠6 | pair
♠7, ♦9, ♣8, ♣6, ♠6 | pair
♠7, ♦9, ♣Q, ♣Q, ♣7 | two pairs
♠7, ♦9, ♣Q, ♣Q, ♣6 | pair
♠7, ♦9, ♣Q, ♣Q, ♠4 | pair
♠7, ♦9, ♣Q, ♣Q, ♠K | pair
♠7, ♦9, ♣Q, ♣Q, ♣J | pair
♠7, ♦9, ♣Q, ♣Q, ♠6 | pair
♠7, ♦9, ♣Q, ♣7, ♣6 | pair
♠7, ♦9, ♣Q, ♣7, ♠4 | pair
♠7, ♦9, ♣Q, ♣7, ♠K | pair
♠7, ♦9, ♣Q, ♣7, ♣J | pair
♠7, ♦9, ♣Q, ♣7, ♠6 | pair
♠7, ♦9, ♣Q, ♣6, ♠6 | pair
♠7, ♦9, ♣Q, ♣7, ♣6 | pair
♠7, ♦9, ♣Q, ♣7, ♠4 | pair
♠7, ♦9, ♣Q, ♣7, ♠K | pair
♠7, ♦9, ♣Q, ♣7, ♣J | pair
♠7, ♦9, ♣Q, ♣7, ♠6 | pair
♠7, ♦9, ♣Q, ♣6, ♠6 | pair
♠7, ♦9, ♣7, ♣6, ♠4 | pair
♠7, ♦9, ♣7, ♣6, ♠K | pair
♠7, ♦9, ♣7, ♣6, ♣J | pair
♠7, ♦9, ♣7, ♣6, ♠6 | two pairs
♠7, ♦9, ♣7, ♠4, ♠K | pair
♠7, ♦9, ♣7, ♠4, ♣J | pair
♠7, ♦9, ♣7, ♠4, ♠6 | pair
♠7, ♦9, ♣7, ♠K, ♣J | pair
♠7, ♦9, ♣7, ♠K, ♠6 | pair
♠7, ♦9, ♣7, ♣J, ♠6 | pair
♠7, ♦9, ♣6, ♠4, ♠6 | pair
♠7, ♦9, ♣6, ♠K, ♠6 | pair
♠7, ♦9, ♣6, ♣J, ♠6 | pair
♠7, ♣8, ♣Q, ♣Q, ♣7 | two pairs
♠7, ♣8, ♣Q, ♣Q, ♣6 | pair
♠7, ♣8, ♣Q, ♣Q, ♠4 | pair
♠7, ♣8, ♣Q, ♣Q, ♠K | pair
♠7, ♣8, ♣Q, ♣Q, ♣J | pair
♠7, ♣8, ♣Q, ♣Q, ♠6 | pair
♠7, ♣8, ♣Q, ♣7, ♣6 | pair
♠7, ♣8, ♣Q, ♣7, ♠4 | pair
♠7, ♣8, ♣Q, ♣7, ♠K | pair
♠7, ♣8, ♣Q, ♣7, ♣J | pair
♠7, ♣8, ♣Q, ♣7, ♠6 | pair
♠7, ♣8, ♣Q, ♣6, ♠6 | pair
♠7, ♣8, ♣Q, ♣7, ♣6 | pair
♠7, ♣8, ♣Q, ♣7, ♠4 | pair
♠7, ♣8, ♣Q, ♣7, ♠K | pair
♠7, ♣8, ♣Q, ♣7, ♣J | pair
♠7, ♣8, ♣Q, ♣7, ♠6 | pair
♠7, ♣8, ♣Q, ♣6, ♠6 | pair
♠7, ♣8, ♣7, ♣6, ♠4 | pair
♠7, ♣8, ♣7, ♣6, ♠K | pair
♠7, ♣8, ♣7, ♣6, ♣J | pair
♠7, ♣8, ♣7, ♣6, ♠6 | two pairs
♠7, ♣8, ♣7, ♠4, ♠K | pair
♠7, ♣8, ♣7, ♠4, ♣J | pair
♠7, ♣8, ♣7, ♠4, ♠6 | pair
♠7, ♣8, ♣7, ♠K, ♣J | pair
♠7, ♣8, ♣7, ♠K, ♠6 | pair
♠7, ♣8, ♣7, ♣J, ♠6 | pair
♠7, ♣8, ♣6, ♠4, ♠6 | pair
♠7, ♣8, ♣6, ♠K, ♠6 | pair
♠7, ♣8, ♣6, ♣J, ♠6 | pair
♠7, ♣Q, ♣Q, ♣7, ♣6 | two pairs
♠7, ♣Q, ♣Q, ♣7, ♠4 | two pairs
♠7, ♣Q, ♣Q, ♣7, ♠K | two pairs
♠7, ♣Q, ♣Q, ♣7, ♣J | two pairs
♠7, ♣Q, ♣Q, ♣7, ♠6 | two pairs
♠7, ♣Q, ♣Q, ♣6, ♠4 | pair
♠7, ♣Q, ♣Q, ♣6, ♠K | pair
♠7, ♣Q, ♣Q, ♣6, ♣J | pair
♠7, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♠7, ♣Q, ♣Q, ♠4, ♠K | pair
♠7, ♣Q, ♣Q, ♠4, ♣J | pair
♠7, ♣Q, ♣Q, ♠4, ♠6 | pair
♠7, ♣Q, ♣Q, ♠K, ♣J | pair
♠7, ♣Q, ♣Q, ♠K, ♠6 | pair
♠7, ♣Q, ♣Q, ♣J, ♠6 | pair
♠7, ♣Q, ♣7, ♣6, ♠4 | pair
♠7, ♣Q, ♣7, ♣6, ♠K | pair
♠7, ♣Q, ♣7, ♣6, ♣J | pair
♠7, ♣Q, ♣7, ♣6, ♠6 | two pairs
♠7, ♣Q, ♣7, ♠4, ♠K | pair
♠7, ♣Q, ♣7, ♠4, ♣J | pair
♠7, ♣Q, ♣7, ♠4, ♠6 | pair
♠7, ♣Q, ♣7, ♠K, ♣J | pair
♠7, ♣Q, ♣7, ♠K, ♠6 | pair
♠7, ♣Q, ♣7, ♣J, ♠6 | pair
♠7, ♣Q, ♣6, ♠4, ♠6 | pair
♠7, ♣Q, ♣6, ♠K, ♠6 | pair
♠7, ♣Q, ♣6, ♣J, ♠6 | pair
♠7, ♣Q, ♣7, ♣6, ♠4 | pair
♠7, ♣Q, ♣7, ♣6, ♠K | pair
♠7, ♣Q, ♣7, ♣6, ♣J | pair
♠7, ♣Q, ♣7, ♣6, ♠6 | two pairs
♠7, ♣Q, ♣7, ♠4, ♠K | pair
♠7, ♣Q, ♣7, ♠4, ♣J | pair
♠7, ♣Q, ♣7, ♠4, ♠6 | pair
♠7, ♣Q, ♣7, ♠K, ♣J | pair
♠7, ♣Q, ♣7, ♠K, ♠6 | pair
♠7, ♣Q, ♣7, ♣J, ♠6 | pair
♠7, ♣Q, ♣6, ♠4, ♠6 | pair
♠7, ♣Q, ♣6, ♠K, ♠6 | pair
♠7, ♣Q, ♣6, ♣J, ♠6 | pair
♠7, ♣7, ♣6, ♠4, ♠K | pair
♠7, ♣7, ♣6, ♠4, ♣J | pair
♠7, ♣7, ♣6, ♠4, ♠6 | two pairs
♠7, ♣7, ♣6, ♠K, ♣J | pair
♠7, ♣7, ♣6, ♠K, ♠6 | two pairs
♠7, ♣7, ♣6, ♣J, ♠6 | two pairs
♠7, ♣7, ♠4, ♠K, ♣J | pair
♠7, ♣7, ♠4, ♠K, ♠6 | pair
♠7, ♣7, ♠4, ♣J, ♠6 | pair
♠7, ♣7, ♠K, ♣J, ♠6 | pair
♠7, ♣6, ♠4, ♠K, ♠6 | pair
♠7, ♣6, ♠4, ♣J, ♠6 | pair
♠7, ♣6, ♠K, ♣J, ♠6 | pair
♦J, ♣5, ♥3, ♦9, ♣J | pair
♦J, ♣5, ♥3, ♣8, ♣J | pair
♦J, ♣5, ♥3, ♣Q, ♣Q | pair
♦J, ♣5, ♥3, ♣Q, ♣J | pair
♦J, ♣5, ♥3, ♣Q, ♣J | pair
♦J, ♣5, ♥3, ♣7, ♣J | pair
♦J, ♣5, ♥3, ♣6, ♣J | pair
♦J, ♣5, ♥3, ♣6, ♠6 | pair
♦J, ♣5, ♥3, ♠4, ♣J | pair
♦J, ♣5, ♥3, ♠K, ♣J | pair
♦J, ♣5, ♥3, ♣J, ♠6 | pair
♦J, ♣5, ♦9, ♣8, ♣J | pair
♦J, ♣5, ♦9, ♣Q, ♣Q | pair
♦J, ♣5, ♦9, ♣Q, ♣J | pair
♦J, ♣5, ♦9, ♣Q, ♣J | pair
♦J, ♣5, ♦9, ♣7, ♣J | pair
♦J, ♣5, ♦9, ♣6, ♣J | pair
♦J, ♣5, ♦9, ♣6, ♠6 | pair
♦J, ♣5, ♦9, ♠4, ♣J | pair
♦J, ♣5, ♦9, ♠K, ♣J | pair
♦J, ♣5, ♦9, ♣J, ♠6 | pair
♦J, ♣5, ♣8, ♣Q, ♣Q | pair
♦J, ♣5, ♣8, ♣Q, ♣J | pair
♦J, ♣5, ♣8, ♣Q, ♣J | pair
♦J, ♣5, ♣8, ♣7, ♣J | pair
♦J, ♣5, ♣8, ♣6, ♣J | pair
♦J, ♣5, ♣8, ♣6, ♠6 | pair
♦J, ♣5, ♣8, ♠4, ♣J | pair
♦J, ♣5, ♣8, ♠K, ♣J | pair
♦J, ♣5, ♣8, ♣J, ♠6 | pair
♦J, ♣5, ♣Q, ♣Q, ♣7 | pair
♦J, ♣5, ♣Q, ♣Q, ♣6 | pair
♦J, ♣5, ♣Q, ♣Q, ♠4 | pair
♦J, ♣5, ♣Q, ♣Q, ♠K | pair
♦J, ♣5, ♣Q, ♣Q, ♣J | two pairs
♦J, ♣5, ♣Q, ♣Q, ♠6 | pair
♦J, ♣5, ♣Q, ♣7, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♠6 | pair
♦J, ♣5, ♣Q, ♠4, ♣J | pair
♦J, ♣5, ♣Q, ♠K, ♣J | pair
♦J, ♣5, ♣Q, ♣J, ♠6 | pair
♦J, ♣5, ♣Q, ♣7, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♠6 | pair
♦J, ♣5, ♣Q, ♠4, ♣J | pair
♦J, ♣5, ♣Q, ♠K, ♣J | pair
♦J, ♣5, ♣Q, ♣J, ♠6 | pair
♦J, ♣5, ♣7, ♣6, ♣J | pair
♦J, ♣5, ♣7, ♣6, ♠6 | pair
♦J, ♣5, ♣7, ♠4, ♣J | pair
♦J, ♣5, ♣7, ♠K, ♣J | pair
♦J, ♣5, ♣7, ♣J, ♠6 | pair
♦J, ♣5, ♣6, ♠4, ♣J | pair
♦J, ♣5, ♣6, ♠4, ♠6 | pair
♦J, ♣5, ♣6, ♠K, ♣J | pair
♦J, ♣5, ♣6, ♠K, ♠6 | pair
♦J, ♣5, ♣6, ♣J, ♠6 | two pairs
♦J, ♣5, ♠4, ♠K, ♣J | pair
♦J, ♣5, ♠4, ♣J, ♠6 | pair
♦J, ♣5, ♠K, ♣J, ♠6 | pair
♦J, ♥3, ♦9, ♣8, ♣J | pair
♦J, ♥3, ♦9, ♣Q, ♣Q | pair
♦J, ♥3, ♦9, ♣Q, ♣J | pair
♦J, ♥3, ♦9, ♣Q, ♣J | pair
♦J, ♥3, ♦9, ♣7, ♣J | pair
♦J, ♥3, ♦9, ♣6, ♣J | pair
♦J, ♥3, ♦9, ♣6, ♠6 | pair
♦J, ♥3, ♦9, ♠4, ♣J | pair
♦J, ♥3, ♦9, ♠K, ♣J | pair
♦J, ♥3, ♦9, ♣J, ♠6 | pair
♦J, ♥3, ♣8, ♣Q, ♣Q | pair
♦J, ♥3, ♣8, ♣Q, ♣J | pair
♦J, ♥3, ♣8, ♣Q, ♣J | pair
♦J, ♥3, ♣8, ♣7, ♣J | pair
♦J, ♥3, ♣8, ♣6, ♣J | pair
♦J, ♥3, ♣8, ♣6, ♠6 | pair
♦J, ♥3, ♣8, ♠4, ♣J | pair
♦J, ♥3, ♣8, ♠K, ♣J | pair
♦J, ♥3, ♣8, ♣J, ♠6 | pair
♦J, ♥3, ♣Q, ♣Q, ♣7 | pair
♦J, ♥3, ♣Q, ♣Q, ♣6 | pair
♦J, ♥3, ♣Q, ♣Q, ♠4 | pair
♦J, ♥3, ♣Q, ♣Q, ♠K | pair
♦J, ♥3, ♣Q, ♣Q, ♣J | two pairs
♦J, ♥3, ♣Q, ♣Q, ♠6 | pair
♦J, ♥3, ♣Q, ♣7, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♠6 | pair
♦J, ♥3, ♣Q, ♠4, ♣J | pair
♦J, ♥3, ♣Q, ♠K, ♣J | pair
♦J, ♥3, ♣Q, ♣J, ♠6 | pair
♦J, ♥3, ♣Q, ♣7, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♠6 | pair
♦J, ♥3, ♣Q, ♠4, ♣J | pair
♦J, ♥3, ♣Q, ♠K, ♣J | pair
♦J, ♥3, ♣Q, ♣J, ♠6 | pair
♦J, ♥3, ♣7, ♣6, ♣J | pair
♦J, ♥3, ♣7, ♣6, ♠6 | pair
♦J, ♥3, ♣7, ♠4, ♣J | pair
♦J, ♥3, ♣7, ♠K, ♣J | pair
♦J, ♥3, ♣7, ♣J, ♠6 | pair
♦J, ♥3, ♣6, ♠4, ♣J | pair
♦J, ♥3, ♣6, ♠4, ♠6 | pair
♦J, ♥3, ♣6, ♠K, ♣J | pair
♦J, ♥3, ♣6, ♠K, ♠6 | pair
♦J, ♥3, ♣6, ♣J, ♠6 | two pairs
♦J, ♥3, ♠4, ♠K, ♣J | pair
♦J, ♥3, ♠4, ♣J, ♠6 | pair
♦J, ♥3, ♠K, ♣J, ♠6 | pair
♦J, ♦9, ♣8, ♣Q, ♣Q | pair
♦J, ♦9, ♣8, ♣Q, ♣J | pair
♦J, ♦9, ♣8, ♣Q, ♣J | pair
♦J, ♦9, ♣8, ♣7, ♣J | pair
♦J, ♦9, ♣8, ♣6, ♣J | pair
♦J, ♦9, ♣8, ♣6, ♠6 | pair
♦J, ♦9, ♣8, ♠4, ♣J | pair
♦J, ♦9, ♣8, ♠K, ♣J | pair
♦J, ♦9, ♣8, ♣J, ♠6 | pair
♦J, ♦9, ♣Q, ♣Q, ♣7 | pair
♦J, ♦9, ♣Q, ♣Q, ♣6 | pair
♦J, ♦9, ♣Q, ♣Q, ♠4 | pair
♦J, ♦9, ♣Q, ♣Q, ♠K | pair
♦J, ♦9, ♣Q, ♣Q, ♣J | two pairs
♦J, ♦9, ♣Q, ♣Q, ♠6 | pair
♦J, ♦9, ♣Q, ♣7, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♠6 | pair
♦J, ♦9, ♣Q, ♠4, ♣J | pair
♦J, ♦9, ♣Q, ♠K, ♣J | pair
♦J, ♦9, ♣Q, ♣J, ♠6 | pair
♦J, ♦9, ♣Q, ♣7, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♠6 | pair
♦J, ♦9, ♣Q, ♠4, ♣J | pair
♦J, ♦9, ♣Q, ♠K, ♣J | pair
♦J, ♦9, ♣Q, ♣J, ♠6 | pair
♦J, ♦9, ♣7, ♣6, ♣J | pair
♦J, ♦9, ♣7, ♣6, ♠6 | pair
♦J, ♦9, ♣7, ♠4, ♣J | pair
♦J, ♦9, ♣7, ♠K, ♣J | pair
♦J, ♦9, ♣7, ♣J, ♠6 | pair
♦J, ♦9, ♣6, ♠4, ♣J | pair
♦J, ♦9, ♣6, ♠4, ♠6 | pair
♦J, ♦9, ♣6, ♠K, ♣J | pair
♦J, ♦9, ♣6, ♠K, ♠6 | pair
♦J, ♦9, ♣6, ♣J, ♠6 | two pairs
♦J, ♦9, ♠4, ♠K, ♣J | pair
♦J, ♦9, ♠4, ♣J, ♠6 | pair
♦J, ♦9, ♠K, ♣J, ♠6 | pair
♦J, ♣8, ♣Q, ♣Q, ♣7 | pair
♦J, ♣8, ♣Q, ♣Q, ♣6 | pair
♦J, ♣8, ♣Q, ♣Q, ♠4 | pair
♦J, ♣8, ♣Q, ♣Q, ♠K | pair
♦J, ♣8, ♣Q, ♣Q, ♣J | two pairs
♦J, ♣8, ♣Q, ♣Q, ♠6 | pair
♦J, ♣8, ♣Q, ♣7, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♠6 | pair
♦J, ♣8, ♣Q, ♠4, ♣J | pair
♦J, ♣8, ♣Q, ♠K, ♣J | pair
♦J, ♣8, ♣Q, ♣J, ♠6 | pair
♦J, ♣8, ♣Q, ♣7, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♠6 | pair
♦J, ♣8, ♣Q, ♠4, ♣J | pair
♦J, ♣8, ♣Q, ♠K, ♣J | pair
♦J, ♣8, ♣Q, ♣J, ♠6 | pair
♦J, ♣8, ♣7, ♣6, ♣J | pair
♦J, ♣8, ♣7, ♣6, ♠6 | pair
♦J, ♣8, ♣7, ♠4, ♣J | pair
♦J, ♣8, ♣7, ♠K, ♣J | pair
♦J, ♣8, ♣7, ♣J, ♠6 | pair
♦J, ♣8, ♣6, ♠4, ♣J | pair
♦J, ♣8, ♣6, ♠4, ♠6 | pair
♦J, ♣8, ♣6, ♠K, ♣J | pair
♦J, ♣8, ♣6, ♠K, ♠6 | pair
♦J, ♣8, ♣6, ♣J, ♠6 | two pairs
♦J, ♣8, ♠4, ♠K, ♣J | pair
♦J, ♣8, ♠4, ♣J, ♠6 | pair
♦J, ♣8, ♠K, ♣J, ♠6 | pair
♦J, ♣Q, ♣Q, ♣7, ♣6 | pair
♦J, ♣Q, ♣Q, ♣7, ♠4 | pair
♦J, ♣Q, ♣Q, ♣7, ♠K | pair
♦J, ♣Q, ♣Q, ♣7, ♣J | two pairs
♦J, ♣Q, ♣Q, ♣7, ♠6 | pair
♦J, ♣Q, ♣Q, ♣6, ♠4 | pair
♦J, ♣Q, ♣Q, ♣6, ♠K | pair
♦J, ♣Q, ♣Q, ♣6, ♣J | two pairs
♦J, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♦J, ♣Q, ♣Q, ♠4, ♠K | pair
♦J, ♣Q, ♣Q, ♠4, ♣J | two pairs
♦J, ♣Q, ♣Q, ♠4, ♠6 | pair
♦J, ♣Q, ♣Q, ♠K, ♣J | two pairs
♦J, ♣Q, ♣Q, ♠K, ♠6 | pair
♦J, ♣Q, ♣Q, ♣J, ♠6 | two pairs
♦J, ♣Q, ♣7, ♣6, ♣J | pair
♦J, ♣Q, ♣7, ♣6, ♠6 | pair
♦J, ♣Q, ♣7, ♠4, ♣J | pair
♦J, ♣Q, ♣7, ♠K, ♣J | pair
♦J, ♣Q, ♣7, ♣J, ♠6 | pair
♦J, ♣Q, ♣6, ♠4, ♣J | pair
♦J, ♣Q, ♣6, ♠4, ♠6 | pair
♦J, ♣Q, ♣6, ♠K, ♣J | pair
♦J, ♣Q, ♣6, ♠K, ♠6 | pair
♦J, ♣Q, ♣6, ♣J, ♠6 | two pairs
♦J, ♣Q, ♠4, ♠K, ♣J | pair
♦J, ♣Q, ♠4, ♣J, ♠6 | pair
♦J, ♣Q, ♠K, ♣J, ♠6 | pair
♦J, ♣Q, ♣7, ♣6, ♣J | pair
♦J, ♣Q, ♣7, ♣6, ♠6 | pair
♦J, ♣Q, ♣7, ♠4, ♣J | pair
♦J, ♣Q, ♣7, ♠K, ♣J | pair
♦J, ♣Q, ♣7, ♣J, ♠6 | pair
♦J, ♣Q, ♣6, ♠4, ♣J | pair
♦J, ♣Q, ♣6, ♠4, ♠6 | pair
♦J, ♣Q, ♣6, ♠K, ♣J | pair
♦J, ♣Q, ♣6, ♠K, ♠6 | pair
♦J, ♣Q, ♣6, ♣J, ♠6 | two pairs
♦J, ♣Q, ♠4, ♠K, ♣J | pair
♦J, ♣Q, ♠4, ♣J, ♠6 | pair
♦J, ♣Q, ♠K, ♣J, ♠6 | pair
♦J, ♣7, ♣6, ♠4, ♣J | pair
♦J, ♣7, ♣6, ♠4, ♠6 | pair
♦J, ♣7, ♣6, ♠K, ♣J | pair
♦J, ♣7, ♣6, ♠K, ♠6 | pair
♦J, ♣7, ♣6, ♣J, ♠6 | two pairs
♦J, ♣7, ♠4, ♠K, ♣J | pair
♦J, ♣7, ♠4, ♣J, ♠6 | pair
♦J, ♣7, ♠K, ♣J, ♠6 | pair
♦J, ♣6, ♠4, ♠K, ♣J | pair
♦J, ♣6, ♠4, ♠K, ♠6 | pair
♦J, ♣6, ♠4, ♣J, ♠6 | two pairs
♦J, ♣6, ♠K, ♣J, ♠6 | two pairs
♦J, ♠4, ♠K, ♣J, ♠6 | pair
♣5, ♥3, ♦9, ♣Q, ♣Q | pair
♣5, ♥3, ♦9, ♣6, ♠6 | pair
♣5, ♥3, ♣8, ♣Q, ♣Q | pair
