♣J, ♣3, ♦A, ♣4, ♦3 | pair
♣4, ♦Q, ♣Q, ♣7, ♦Q | three of a kind
♣4, ♦Q, ♣Q, ♣7, ♠9 | pair
♣4, ♦Q, ♣Q, ♣7, ♦K | pair
♣4, ♦Q, ♣Q, ♣7, ♦3 | pair
♣4, ♦Q, ♣Q, ♣6, ♦Q | three of a kind
♣4, ♦Q, ♣Q, ♣6, ♠9 | pair
♣4, ♦Q, ♣Q, ♣6, ♦K | pair
♣4, ♦Q, ♣Q, ♣6, ♦3 | pair
♣4, ♦Q, ♣Q, ♦Q, ♠9 | three of a kind
♣4, ♦Q, ♣Q, ♦Q, ♦K | three of a kind
♣4, ♦Q, ♣Q, ♦Q, ♦3 | three of a kind
♣4, ♦Q, ♣Q, ♠9, ♦K | pair
♣4, ♦Q, ♣Q, ♠9, ♦3 | pair
♣4, ♦Q, ♣Q, ♦K, ♦3 | pair
♣4, ♦Q, ♣7, ♣6, ♦Q | pair
♣4, ♦Q, ♣7, ♦Q, ♠9 | pair
♣4, ♦Q, ♣7, ♦Q, ♦K | pair
♣4, ♦Q, ♣7, ♦Q, ♦3 | pair
♣4, ♦Q, ♣6, ♦Q, ♠9 | pair
♣4, ♦Q, ♣6, ♦Q, ♦K | pair
♣4, ♦Q, ♣6, ♦Q, ♦3 | pair
♣4, ♦Q, ♦Q, ♠9, ♦K | pair
♣4, ♦Q, ♦Q, ♠9, ♦3 | pair
♣4, ♦Q, ♦Q, ♦K, ♦3 | pair
♣4, ♣8, ♣Q, ♣7, ♣6 | flush
♣4, ♣8, ♣Q, ♣7, ♦Q | pair
♣4, ♣8, ♣Q, ♣6, ♦Q | pair
♣4, ♣8, ♣Q, ♦Q, ♠9 | pair
♣4, ♣8, ♣Q, ♦Q, ♦K | pair
♣4, ♣8, ♣Q, ♦Q, ♦3 | pair
♣4, ♣Q, ♣7, ♣6, ♦Q | pair
♣4, ♣Q, ♣7, ♦Q, ♠9 | pair
♣4, ♣Q, ♣7, ♦Q, ♦K | pair
♣4, ♣Q, ♣7, ♦Q, ♦3 | pair
♣4, ♣Q, ♣6, ♦Q, ♠9 | pair
♣4, ♣Q, ♣6, ♦Q, ♦K | pair
♣4, ♣Q, ♣6, ♦Q, ♦3 | pair
♣4, ♣Q, ♦Q, ♠9, ♦K | pair
♣4, ♣Q, ♦Q, ♠9, ♦3 | pair
♣4, ♣Q, ♦Q, ♦K, ♦3 | pair
♠10, ♦6, ♦Q, ♣8, ♣Q | pair
♠10, ♦6, ♦Q, ♣8, ♣6 | pair
♠10, ♦6, ♦Q, ♣8, ♦Q | pair
♠10, ♦6, ♦Q, ♣Q, ♣7 | pair
♠10, ♦6, ♦Q, ♣Q, ♣6 | two pairs
♠10, ♦6, ♦Q, ♣Q, ♦Q | three of a kind
♠10, ♦6, ♦Q, ♣Q, ♠9 | pair
♠10, ♦6, ♦Q, ♣Q, ♦K | pair
♠10, ♦6, ♦Q, ♣Q, ♦3 | pair
♠10, ♦6, ♦Q, ♣7, ♣6 | pair
♠10, ♦6, ♦Q, ♣7, ♦Q | pair
♠10, ♦6, ♦Q, ♣6, ♦Q | two pairs
♠10, ♦6, ♦Q, ♣6, ♠9 | pair
♠10, ♦6, ♦Q, ♣6, ♦K | pair
♠10, ♦6, ♦Q, ♣6, ♦3 | pair
♠10, ♦6, ♦Q, ♦Q, ♠9 | pair
♠10, ♦6, ♦Q, ♦Q, ♦K | pair
♠10, ♦6, ♦Q, ♦Q, ♦3 | pair
♠10, ♦6, ♣8, ♣Q, ♣6 | pair
♠10, ♦6, ♣8, ♣Q, ♦Q | pair
♠10, ♦6, ♣8, ♣7, ♣6 | pair
♠10, ♦6, ♣8, ♣7, ♠9 | straight
♠10, ♦6, ♣8, ♣6, ♦Q | pair
♠10, ♦6, ♣8, ♣6, ♠9 | pair
♠10, ♦6, ♣8, ♣6, ♦K | pair
♠10, ♦6, ♣8, ♣6, ♦3 | pair
♠10, ♦6, ♣Q, ♣7, ♣6 | pair
♠10, ♦6, ♣Q, ♣7, ♦Q | pair
♠10, ♦6, ♣Q, ♣6, ♦Q | two pairs
♠10, ♦6, ♣Q, ♣6, ♠9 | pair
♠10, ♦6, ♣Q, ♣6, ♦K | pair
♠10, ♦6, ♣Q, ♣6, ♦3 | pair
♠10, ♦6, ♣Q, ♦Q, ♠9 | pair
♠10, ♦6, ♣Q, ♦Q, ♦K | pair
♠10, ♦6, ♣Q, ♦Q, ♦3 | pair
♠10, ♦6, ♣7, ♣6, ♦Q | pair
♠10, ♦6, ♣7, ♣6, ♠9 | pair
♠10, ♦6, ♣7, ♣6, ♦K | pair
♠10, ♦6, ♣7, ♣6, ♦3 | pair
♠10, ♦6, ♣6, ♦Q, ♠9 | pair
♠10, ♦6, ♣6, ♦Q, ♦K | pair
♠10, ♦6, ♣6, ♦Q, ♦3 | pair
♠10, ♦6, ♣6, ♠9, ♦K | pair
♠10, ♦6, ♣6, ♠9, ♦3 | pair
♠10, ♦6, ♣6, ♦K, ♦3 | pair
♠10, ♦Q, ♣8, ♣Q, ♣7 | pair
♠10, ♦Q, ♣8, ♣Q, ♣6 | pair
♠10, ♦Q, ♣8, ♣Q, ♦Q | three of a kind
♠10, ♦Q, ♣8, ♣Q, ♠9 | pair
♠10, ♦Q, ♣8, ♣Q, ♦K | pair
♠10, ♦Q, ♣8, ♣Q, ♦3 | pair
♠10, ♦Q, ♣8, ♣7, ♦Q | pair
♠10, ♦Q, ♣8, ♣6, ♦Q | pair
♠10, ♦Q, ♣8, ♦Q, ♠9 | pair
♠10, ♦Q, ♣8, ♦Q, ♦K | pair
♠10, ♦Q, ♣8, ♦Q, ♦3 | pair
♠10, ♦Q, ♣Q, ♣7, ♣6 | pair
♠10, ♦Q, ♣Q, ♣7, ♦Q | three of a kind
♠10, ♦Q, ♣Q, ♣7, ♠9 | pair
♠10, ♦Q, ♣Q, ♣7, ♦K | pair
♠10, ♦Q, ♣Q, ♣7, ♦3 | pair
♠10, ♦Q, ♣Q, ♣6, ♦Q | three of a kind
♠10, ♦Q, ♣Q, ♣6, ♠9 | pair
♠10, ♦Q, ♣Q, ♣6, ♦K | pair
♠10, ♦Q, ♣Q, ♣6, ♦3 | pair
♠10, ♦Q, ♣Q, ♦Q, ♠9 | three of a kind
♠10, ♦Q, ♣Q, ♦Q, ♦K | three of a kind
♠10, ♦Q, ♣Q, ♦Q, ♦3 | three of a kind
♠10, ♦Q, ♣Q, ♠9, ♦K | pair
♠10, ♦Q, ♣Q, ♠9, ♦3 | pair
♠10, ♦Q, ♣Q, ♦K, ♦3 | pair
♠10, ♦Q, ♣7, ♣6, ♦Q | pair
♠10, ♦Q, ♣7, ♦Q, ♠9 | pair
♠10, ♦Q, ♣7, ♦Q, ♦K | pair
♠10, ♦Q, ♣7, ♦Q, ♦3 | pair
♠10, ♦Q, ♣6, ♦Q, ♠9 | pair
♠10, ♦Q, ♣6, ♦Q, ♦K | pair
♠10, ♦Q, ♣6, ♦Q, ♦3 | pair
♠10, ♦Q, ♦Q, ♠9, ♦K | pair
♠10, ♦Q, ♦Q, ♠9, ♦3 | pair
♠10, ♦Q, ♦Q, ♦K, ♦3 | pair
♠10, ♣8, ♣Q, ♣7, ♦Q | pair
♠10, ♣8, ♣Q, ♣6, ♦Q | pair
♠10, ♣8, ♣Q, ♦Q, ♠9 | pair
♠10, ♣8, ♣Q, ♦Q, ♦K | pair
♠10, ♣8, ♣Q, ♦Q, ♦3 | pair
♠10, ♣8, ♣7, ♣6, ♠9 | straight
♠10, ♣Q, ♣7, ♣6, ♦Q | pair
♠10, ♣Q, ♣7, ♦Q, ♠9 | pair
♠10, ♣Q, ♣7, ♦Q, ♦K | pair
♠10, ♣Q, ♣7, ♦Q, ♦3 | pair
♠10, ♣Q, ♣6, ♦Q, ♠9 | pair
♠10, ♣Q, ♣6, ♦Q, ♦K | pair
♠10, ♣Q, ♣6, ♦Q, ♦3 | pair
♠10, ♣Q, ♦Q, ♠9, ♦K | pair
♠10, ♣Q, ♦Q, ♠9, ♦3 | pair
♠10, ♣Q, ♦Q, ♦K, ♦3 | pair
♦6, ♦Q, ♣8, ♣Q, ♣7 | pair
♦6, ♦Q, ♣8, ♣Q, ♣6 | two pairs
♦6, ♦Q, ♣8, ♣Q, ♦Q | three of a kind
♦6, ♦Q, ♣8, ♣Q, ♠9 | pair
♦6, ♦Q, ♣8, ♣Q, ♦K | pair
♦6, ♦Q, ♣8, ♣Q, ♦3 | pair
♦6, ♦Q, ♣8, ♣7, ♣6 | pair
♦6, ♦Q, ♣8, ♣7, ♦Q | pair
♦6, ♦Q, ♣8, ♣6, ♦Q | two pairs
♦6, ♦Q, ♣8, ♣6, ♠9 | pair
♦6, ♦Q, ♣8, ♣6, ♦K | pair
♦6, ♦Q, ♣8, ♣6, ♦3 | pair
♦6, ♦Q, ♣8, ♦Q, ♠9 | pair
♦6, ♦Q, ♣8, ♦Q, ♦K | pair
♦6, ♦Q, ♣8, ♦Q, ♦3 | pair
♦6, ♦Q, ♣Q, ♣7, ♣6 | two pairs
♦6, ♦Q, ♣Q, ♣7, ♦Q | three of a kind
♦6, ♦Q, ♣Q, ♣7, ♠9 | pair
♦6, ♦Q, ♣Q, ♣7, ♦K | pair
♦6, ♦Q, ♣Q, ♣7, ♦3 | pair
♦6, ♦Q, ♣Q, ♣6, ♦Q | fullhouse
♦6, ♦Q, ♣Q, ♣6, ♠9 | two pairs
♦6, ♦Q, ♣Q, ♣6, ♦K | two pairs
♦6, ♦Q, ♣Q, ♣6, ♦3 | two pairs
♦6, ♦Q, ♣Q, ♦Q, ♠9 | three of a kind
♦6, ♦Q, ♣Q, ♦Q, ♦K | three of a kind
♦6, ♦Q, ♣Q, ♦Q, ♦3 | three of a kind
♦6, ♦Q, ♣Q, ♠9, ♦K | pair
♦6, ♦Q, ♣Q, ♠9, ♦3 | pair
♦6, ♦Q, ♣Q, ♦K, ♦3 | pair
♦6, ♦Q, ♣7, ♣6, ♦Q | two pairs
♦6, ♦Q, ♣7, ♣6, ♠9 | pair
♦6, ♦Q, ♣7, ♣6, ♦K | pair
♦6, ♦Q, ♣7, ♣6, ♦3 | pair
♦6, ♦Q, ♣7, ♦Q, ♠9 | pair
♦6, ♦Q, ♣7, ♦Q, ♦K | pair
♦6, ♦Q, ♣7, ♦Q, ♦3 | pair
♦6, ♦Q, ♣6, ♦Q, ♠9 | two pairs
♦6, ♦Q, ♣6, ♦Q, ♦K | two pairs
♦6, ♦Q, ♣6, ♦Q, ♦3 | two pairs
♦6, ♦Q, ♣6, ♠9, ♦K | pair
♦6, ♦Q, ♣6, ♠9, ♦3 | pair
♦6, ♦Q, ♣6, ♦K, ♦3 | pair
♦6, ♦Q, ♦Q, ♠9, ♦K | pair
♦6, ♦Q, ♦Q, ♠9, ♦3 | pair
♦6, ♦Q, ♦Q, ♦K, ♦3 | flush
♦6, ♣8, ♣Q, ♣7, ♣6 | pair
♦6, ♣8, ♣Q, ♣7, ♦Q | pair
♦6, ♣8, ♣Q, ♣6, ♦Q | two pairs
♦6, ♣8, ♣Q, ♣6, ♠9 | pair
♦6, ♣8, ♣Q, ♣6, ♦K | pair
♦6, ♣8, ♣Q, ♣6, ♦3 | pair
♦6, ♣8, ♣Q, ♦Q, ♠9 | pair
♦6, ♣8, ♣Q, ♦Q, ♦K | pair
♦6, ♣8, ♣Q, ♦Q, ♦3 | pair
♦6, ♣8, ♣7, ♣6, ♦Q | pair
♦6, ♣8, ♣7, ♣6, ♠9 | pair
♦6, ♣8, ♣7, ♣6, ♦K | pair
♦6, ♣8, ♣7, ♣6, ♦3 | pair
♦6, ♣8, ♣6, ♦Q, ♠9 | pair
♦6, ♣8, ♣6, ♦Q, ♦K | pair
♦6, ♣8, ♣6, ♦Q, ♦3 | pair
♦6, ♣8, ♣6, ♠9, ♦K | pair
♦6, ♣8, ♣6, ♠9, ♦3 | pair
♦6, ♣8, ♣6, ♦K, ♦3 | pair
♦6, ♣Q, ♣7, ♣6, ♦Q | two pairs
♦6, ♣Q, ♣7, ♣6, ♠9 | pair
♦6, ♣Q, ♣7, ♣6, ♦K | pair
♦6, ♣Q, ♣7, ♣6, ♦3 | pair
♦6, ♣Q, ♣7, ♦Q, ♠9 | pair
♦6, ♣Q, ♣7, ♦Q, ♦K | pair
♦6, ♣Q, ♣7, ♦Q, ♦3 | pair
♦6, ♣Q, ♣6, ♦Q, ♠9 | two pairs
♦6, ♣Q, ♣6, ♦Q, ♦K | two pairs
♦6, ♣Q, ♣6, ♦Q, ♦3 | two pairs
♦6, ♣Q, ♣6, ♠9, ♦K | pair
♦6, ♣Q, ♣6, ♠9, ♦3 | pair
♦6, ♣Q, ♣6, ♦K, ♦3 | pair
♦6, ♣Q, ♦Q, ♠9, ♦K | pair
♦6, ♣Q, ♦Q, ♠9, ♦3 | pair
♦6, ♣Q, ♦Q, ♦K, ♦3 | pair
♦6, ♣7, ♣6, ♦Q, ♠9 | pair
♦6, ♣7, ♣6, ♦Q, ♦K | pair
♦6, ♣7, ♣6, ♦Q, ♦3 | pair
♦6, ♣7, ♣6, ♠9, ♦K | pair
♦6, ♣7, ♣6, ♠9, ♦3 | pair
♦6, ♣7, ♣6, ♦K, ♦3 | pair
♦6, ♣6, ♦Q, ♠9, ♦K | pair
♦6, ♣6, ♦Q, ♠9, ♦3 | pair
♦6, ♣6, ♦Q, ♦K, ♦3 | pair
♦6, ♣6, ♠9, ♦K, ♦3 | pair
♦Q, ♣8, ♣Q, ♣7, ♣6 | pair
♦Q, ♣8, ♣Q, ♣7, ♦Q | three of a kind
♦Q, ♣8, ♣Q, ♣7, ♠9 | pair
♦Q, ♣8, ♣Q, ♣7, ♦K | pair
♦Q, ♣8, ♣Q, ♣7, ♦3 | pair
♦Q, ♣8, ♣Q, ♣6, ♦Q | three of a kind
♦Q, ♣8, ♣Q, ♣6, ♠9 | pair
♦Q, ♣8, ♣Q, ♣6, ♦K | pair
♦Q, ♣8, ♣Q, ♣6, ♦3 | pair
♦Q, ♣8, ♣Q, ♦Q, ♠9 | three of a kind
♦Q, ♣8, ♣Q, ♦Q, ♦K | three of a kind
♦Q, ♣8, ♣Q, ♦Q, ♦3 | three of a kind
♦Q, ♣8, ♣Q, ♠9, ♦K | pair
♦Q, ♣8, ♣Q, ♠9, ♦3 | pair
♦Q, ♣8, ♣Q, ♦K, ♦3 | pair
♦Q, ♣8, ♣7, ♣6, ♦Q | pair
♦Q, ♣8, ♣7, ♦Q, ♠9 | pair
♦Q, ♣8, ♣7, ♦Q, ♦K | pair
♦Q, ♣8, ♣7, ♦Q, ♦3 | pair
♦Q, ♣8, ♣6, ♦Q, ♠9 | pair
♦Q, ♣8, ♣6, ♦Q, ♦K | pair
♦Q, ♣8, ♣6, ♦Q, ♦3 | pair
♦Q, ♣8, ♦Q, ♠9, ♦K | pair
♦Q, ♣8, ♦Q, ♠9, ♦3 | pair
♦Q, ♣8, ♦Q, ♦K, ♦3 | pair
♦Q, ♣Q, ♣7, ♣6, ♦Q | three of a kind
♦Q, ♣Q, ♣7, ♣6, ♠9 | pair
♦Q, ♣Q, ♣7, ♣6, ♦K | pair
♦Q, ♣Q, ♣7, ♣6, ♦3 | pair
♦Q, ♣Q, ♣7, ♦Q, ♠9 | three of a kind
♦Q, ♣Q, ♣7, ♦Q, ♦K | three of a kind
♦Q, ♣Q, ♣7, ♦Q, ♦3 | three of a kind
♦Q, ♣Q, ♣7, ♠9, ♦K | pair
♦Q, ♣Q, ♣7, ♠9, ♦3 | pair
♦Q, ♣Q, ♣7, ♦K, ♦3 | pair
♦Q, ♣Q, ♣6, ♦Q, ♠9 | three of a kind
♦Q, ♣Q, ♣6, ♦Q, ♦K | three of a kind
♦Q, ♣Q, ♣6, ♦Q, ♦3 | three of a kind
♦Q, ♣Q, ♣6, ♠9, ♦K | pair
♦Q, ♣Q, ♣6, ♠9, ♦3 | pair
♦Q, ♣Q, ♣6, ♦K, ♦3 | pair
♦Q, ♣Q, ♦Q, ♠9, ♦K | three of a kind
♦Q, ♣Q, ♦Q, ♠9, ♦3 | three of a kind
♦Q, ♣Q, ♦Q, ♦K, ♦3 | three of a kind
♦Q, ♣Q, ♠9, ♦K, ♦3 | pair
♦Q, ♣7, ♣6, ♦Q, ♠9 | pair
♦Q, ♣7, ♣6, ♦Q, ♦K | pair
♦Q, ♣7, ♣6, ♦Q, ♦3 | pair
♦Q, ♣7, ♦Q, ♠9, ♦K | pair
♦Q, ♣7, ♦Q, ♠9, ♦3 | pair
♦Q, ♣7, ♦Q, ♦K, ♦3 | pair
♦Q, ♣6, ♦Q, ♠9, ♦K | pair
♦Q, ♣6, ♦Q, ♠9, ♦3 | pair
♦Q, ♣6, ♦Q, ♦K, ♦3 | pair
♦Q, ♦Q, ♠9, ♦K, ♦3 | pair
♣8, ♣Q, ♣7, ♣6, ♦Q | pair
♣8, ♣Q, ♣7, ♦Q, ♠9 | pair
♣8, ♣Q, ♣7, ♦Q, ♦K | pair
♣8, ♣Q, ♣7, ♦Q, ♦3 | pair
♣8, ♣Q, ♣6, ♦Q, ♠9 | pair
♣8, ♣Q, ♣6, ♦Q, ♦K | pair
♣8, ♣Q, ♣6, ♦Q, ♦3 | pair
♣8, ♣Q, ♦Q, ♠9, ♦K | pair
♣8, ♣Q, ♦Q, ♠9, ♦3 | pair
♣8, ♣Q, ♦Q, ♦K, ♦3 | pair
♣Q, ♣7, ♣6, ♦Q, ♠9 | pair
♣Q, ♣7, ♣6, ♦Q, ♦K | pair
♣Q, ♣7, ♣6, ♦Q, ♦3 | pair
♣Q, ♣7, ♦Q, ♠9, ♦K | pair
♣Q, ♣7, ♦Q, ♠9, ♦3 | pair
♣Q, ♣7, ♦Q, ♦K, ♦3 | pair
♣Q, ♣6, ♦Q, ♠9, ♦K | pair
♣Q, ♣6, ♦Q, ♠9, ♦3 | pair
♣Q, ♣6, ♦Q, ♦K, ♦3 | pair
♣Q, ♦Q, ♠9, ♦K, ♦3 | pair
