♦Q, ♦7, ♦A, ♠7, ♠2 | pair
♦A, ♣A, ♣6, ♠J, ♦2 | pair
♦A, ♣A, ♣6, ♠J, ♥4 | pair
♦A, ♣A, ♣6, ♠J, ♥3 | pair
♦A, ♣A, ♣6, ♠J, ♦3 | pair
♦A, ♣A, ♣6, ♠J, ♣5 | pair
♦A, ♣A, ♣6, ♦K, ♥A | three of a kind
♦A, ♣A, ♣6, ♦K, ♦2 | pair
♦A, ♣A, ♣6, ♦K, ♥4 | pair
♦A, ♣A, ♣6, ♦K, ♥3 | pair
♦A, ♣A, ♣6, ♦K, ♦3 | pair
♦A, ♣A, ♣6, ♦K, ♣5 | pair
♦A, ♣A, ♣6, ♥A, ♦2 | three of a kind
♦A, ♣A, ♣6, ♥A, ♥4 | three of a kind
♦A, ♣A, ♣6, ♥A, ♥3 | three of a kind
♦A, ♣A, ♣6, ♥A, ♦3 | three of a kind
♦A, ♣A, ♣6, ♥A, ♣5 | three of a kind
♦A, ♣A, ♣6, ♦2, ♥4 | pair
♦A, ♣A, ♣6, ♦2, ♥3 | pair
♦A, ♣A, ♣6, ♦2, ♦3 | pair
♦A, ♣A, ♣6, ♦2, ♣5 | pair
♦A, ♣A, ♣6, ♥4, ♥3 | pair
♦A, ♣A, ♣6, ♥4, ♦3 | pair
♦A, ♣A, ♣6, ♥4, ♣5 | pair
♦A, ♣A, ♣6, ♥3, ♦3 | two pairs
♦A, ♣A, ♣6, ♥3, ♣5 | pair
♦A, ♣A, ♣6, ♦3, ♣5 | pair
♦A, ♣A, ♠J, ♦K, ♥A | three of a kind
♦A, ♣A, ♠J, ♦K, ♦2 | pair
♦A, ♣A, ♠J, ♦K, ♥4 | pair
♦A, ♣A, ♠J, ♦K, ♥3 | pair
♦A, ♣A, ♠J, ♦K, ♦3 | pair
♦A, ♣A, ♠J, ♦K, ♣5 | pair
♦A, ♣A, ♠J, ♥A, ♦2 | three of a kind
♦A, ♣A, ♠J, ♥A, ♥4 | three of a kind
♦A, ♣A, ♠J, ♥A, ♥3 | three of a kind
♦A, ♣A, ♠J, ♥A, ♦3 | three of a kind
♦A, ♣A, ♠J, ♥A, ♣5 | three of a kind
♦A, ♣A, ♠J, ♦2, ♥4 | pair
♦A, ♣A, ♠J, ♦2, ♥3 | pair
♦A, ♣A, ♠J, ♦2, ♦3 | pair
♦A, ♣A, ♠J, ♦2, ♣5 | pair
♦A, ♣A, ♠J, ♥4, ♥3 | pair
♦A, ♣A, ♠J, ♥4, ♦3 | pair
♦A, ♣A, ♠J, ♥4, ♣5 | pair
♦A, ♣A, ♠J, ♥3, ♦3 | two pairs
♦A, ♣A, ♠J, ♥3, ♣5 | pair
♦A, ♣A, ♠J, ♦3, ♣5 | pair
♦A, ♣A, ♦K, ♥A, ♦2 | three of a kind
♦A, ♣A, ♦K, ♥A, ♥4 | three of a kind
♦A, ♣A, ♦K, ♥A, ♥3 | three of a kind
♦A, ♣A, ♦K, ♥A, ♦3 | three of a kind
♦A, ♣A, ♦K, ♥A, ♣5 | three of a kind
♦A, ♣A, ♦K, ♦2, ♥4 | pair
♦A, ♣A, ♦K, ♦2, ♥3 | pair
♦A, ♣A, ♦K, ♦2, ♦3 | pair
♦A, ♣A, ♦K, ♦2, ♣5 | pair
♦A, ♣A, ♦K, ♥4, ♥3 | pair
♦A, ♣A, ♦K, ♥4, ♦3 | pair
♦A, ♣A, ♦K, ♥4, ♣5 | pair
♦A, ♣A, ♦K, ♥3, ♦3 | two pairs
♦A, ♣A, ♦K, ♥3, ♣5 | pair
♦A, ♣A, ♦K, ♦3, ♣5 | pair
♦A, ♣A, ♥A, ♦2, ♥4 | three of a kind
♦A, ♣A, ♥A, ♦2, ♥3 | three of a kind
♦A, ♣A, ♥A, ♦2, ♦3 | three of a kind
♦A, ♣A, ♥A, ♦2, ♣5 | three of a kind
♦A, ♣A, ♥A, ♥4, ♥3 | three of a kind
♦A, ♣A, ♥A, ♥4, ♦3 | three of a kind
♦A, ♣A, ♥A, ♥4, ♣5 | three of a kind
♦A, ♣A, ♥A, ♥3, ♦3 | fullhouse
♦A, ♣A, ♥A, ♥3, ♣5 | three of a kind
♦A, ♣A, ♥A, ♦3, ♣5 | three of a kind
♦A, ♣A, ♦2, ♥4, ♥3 | pair
♦A, ♣A, ♦2, ♥4, ♦3 | pair
♦A, ♣A, ♦2, ♥4, ♣5 | pair
♦A, ♣A, ♦2, ♥3, ♦3 | two pairs
♦A, ♣A, ♦2, ♥3, ♣5 | pair
♦A, ♣A, ♦2, ♦3, ♣5 | pair
♦A, ♣A, ♥4, ♥3, ♦3 | two pairs
♦A, ♣A, ♥4, ♥3, ♣5 | pair
♦A, ♣A, ♥4, ♦3, ♣5 | pair
♦A, ♣A, ♥3, ♦3, ♣5 | two pairs
♦A, ♣6, ♠J, ♦K, ♥A | pair
♦A, ♣6, ♠J, ♥A, ♦2 | pair
♦A, ♣6, ♠J, ♥A, ♥4 | pair
♦A, ♣6, ♠J, ♥A, ♥3 | pair
♦A, ♣6, ♠J, ♥A, ♦3 | pair
♦A, ♣6, ♠J, ♥A, ♣5 | pair
♦A, ♣6, ♠J, ♥3, ♦3 | pair
♦A, ♣6, ♦K, ♥A, ♦2 | pair
♦A, ♣6, ♦K, ♥A, ♥4 | pair
♦A, ♣6, ♦K, ♥A, ♥3 | pair
♦A, ♣6, ♦K, ♥A, ♦3 | pair
♦A, ♣6, ♦K, ♥A, ♣5 | pair
♦A, ♣6, ♦K, ♥3, ♦3 | pair
♦A, ♣6, ♥A, ♦2, ♥4 | pair
♦A, ♣6, ♥A, ♦2, ♥3 | pair
♦A, ♣6, ♥A, ♦2, ♦3 | pair
♦A, ♣6, ♥A, ♦2, ♣5 | pair
♦A, ♣6, ♥A, ♥4, ♥3 | pair
♦A, ♣6, ♥A, ♥4, ♦3 | pair
♦A, ♣6, ♥A, ♥4, ♣5 | pair
♦A, ♣6, ♥A, ♥3, ♦3 | two pairs
♦A, ♣6, ♥A, ♥3, ♣5 | pair
♦A, ♣6, ♥A, ♦3, ♣5 | pair
♦A, ♣6, ♦2, ♥3, ♦3 | pair
♦A, ♣6, ♥4, ♥3, ♦3 | pair
♦A, ♣6, ♥3, ♦3, ♣5 | pair
♦A, ♠J, ♦K, ♥A, ♦2 | pair
♦A, ♠J, ♦K, ♥A, ♥4 | pair
♦A, ♠J, ♦K, ♥A, ♥3 | pair
♦A, ♠J, ♦K, ♥A, ♦3 | pair
♦A, ♠J, ♦K, ♥A, ♣5 | pair
♦A, ♠J, ♦K, ♥3, ♦3 | pair
♦A, ♠J, ♥A, ♦2, ♥4 | pair
♦A, ♠J, ♥A, ♦2, ♥3 | pair
♦A, ♠J, ♥A, ♦2, ♦3 | pair
♦A, ♠J, ♥A, ♦2, ♣5 | pair
♦A, ♠J, ♥A, ♥4, ♥3 | pair
♦A, ♠J, ♥A, ♥4, ♦3 | pair
♦A, ♠J, ♥A, ♥4, ♣5 | pair
♦A, ♠J, ♥A, ♥3, ♦3 | two pairs
♦A, ♠J, ♥A, ♥3, ♣5 | pair
♦A, ♠J, ♥A, ♦3, ♣5 | pair
♦A, ♠J, ♦2, ♥3, ♦3 | pair
♦A, ♠J, ♥4, ♥3, ♦3 | pair
♦A, ♠J, ♥3, ♦3, ♣5 | pair
♦A, ♦K, ♥A, ♦2, ♥4 | pair
♦A, ♦K, ♥A, ♦2, ♥3 | pair
♦A, ♦K, ♥A, ♦2, ♦3 | pair
♦A, ♦K, ♥A, ♦2, ♣5 | pair
♦A, ♦K, ♥A, ♥4, ♥3 | pair
♦A, ♦K, ♥A, ♥4, ♦3 | pair
♦A, ♦K, ♥A, ♥4, ♣5 | pair
♦A, ♦K, ♥A, ♥3, ♦3 | two pairs
♦A, ♦K, ♥A, ♥3, ♣5 | pair
♦A, ♦K, ♥A, ♦3, ♣5 | pair
♦A, ♦K, ♦2, ♥3, ♦3 | pair
♦A, ♦K, ♥4, ♥3, ♦3 | pair
♦A, ♦K, ♥3, ♦3, ♣5 | pair
♦A, ♥A, ♦2, ♥4, ♥3 | pair
♦A, ♥A, ♦2, ♥4, ♦3 | pair
♦A, ♥A, ♦2, ♥4, ♣5 | pair
♦A, ♥A, ♦2, ♥3, ♦3 | two pairs
♦A, ♥A, ♦2, ♥3, ♣5 | pair
♦A, ♥A, ♦2, ♦3, ♣5 | pair
♦A, ♥A, ♥4, ♥3, ♦3 | two pairs
♦A, ♥A, ♥4, ♥3, ♣5 | pair
♦A, ♥A, ♥4, ♦3, ♣5 | pair
♦A, ♥A, ♥3, ♦3, ♣5 | two pairs
♦A, ♦2, ♥4, ♥3, ♦3 | pair
♦A, ♦2, ♥4, ♥3, ♣5 | straight
♦A, ♦2, ♥4, ♦3, ♣5 | straight
♦A, ♦2, ♥3, ♦3, ♣5 | pair
♦A, ♥4, ♥3, ♦3, ♣5 | pair
♠7, ♠2, ♣A, ♣6, ♥A | pair
♠7, ♠2, ♣A, ♣6, ♦2 | pair
♠7, ♠2, ♣A, ♠J, ♥A | pair
♠7, ♠2, ♣A, ♠J, ♦2 | pair
♠7, ♠2, ♣A, ♦K, ♥A | pair
♠7, ♠2, ♣A, ♦K, ♦2 | pair
♠7, ♠2, ♣A, ♥A, ♦2 | two pairs
♠7, ♠2, ♣A, ♥A, ♥4 | pair
♠7, ♠2, ♣A, ♥A, ♥3 | pair
♠7, ♠2, ♣A, ♥A, ♦3 | pair
♠7, ♠2, ♣A, ♥A, ♣5 | pair
♠7, ♠2, ♣A, ♦2, ♥4 | pair
♠7, ♠2, ♣A, ♦2, ♥3 | pair
♠7, ♠2, ♣A, ♦2, ♦3 | pair
♠7, ♠2, ♣A, ♦2, ♣5 | pair
♠7, ♠2, ♣A, ♥3, ♦3 | pair
♠7, ♠2, ♣6, ♠J, ♦2 | pair
♠7, ♠2, ♣6, ♦K, ♦2 | pair
♠7, ♠2, ♣6, ♥A, ♦2 | pair
♠7, ♠2, ♣6, ♦2, ♥4 | pair
♠7, ♠2, ♣6, ♦2, ♥3 | pair
♠7, ♠2, ♣6, ♦2, ♦3 | pair
♠7, ♠2, ♣6, ♦2, ♣5 | pair
♠7, ♠2, ♣6, ♥3, ♦3 | pair
♠7, ♠2, ♠J, ♦K, ♦2 | pair
♠7, ♠2, ♠J, ♥A, ♦2 | pair
♠7, ♠2, ♠J, ♦2, ♥4 | pair
♠7, ♠2, ♠J, ♦2, ♥3 | pair
♠7, ♠2, ♠J, ♦2, ♦3 | pair
♠7, ♠2, ♠J, ♦2, ♣5 | pair
♠7, ♠2, ♠J, ♥3, ♦3 | pair
♠7, ♠2, ♦K, ♥A, ♦2 | pair
♠7, ♠2, ♦K, ♦2, ♥4 | pair
♠7, ♠2, ♦K, ♦2, ♥3 | pair
♠7, ♠2, ♦K, ♦2, ♦3 | pair
♠7, ♠2, ♦K, ♦2, ♣5 | pair
♠7, ♠2, ♦K, ♥3, ♦3 | pair
♠7, ♠2, ♥A, ♦2, ♥4 | pair
♠7, ♠2, ♥A, ♦2, ♥3 | pair
♠7, ♠2, ♥A, ♦2, ♦3 | pair
♠7, ♠2, ♥A, ♦2, ♣5 | pair
♠7, ♠2, ♥A, ♥3, ♦3 | pair
♠7, ♠2, ♦2, ♥4, ♥3 | pair
♠7, ♠2, ♦2, ♥4, ♦3 | pair
♠7, ♠2, ♦2, ♥4, ♣5 | pair
♠7, ♠2, ♦2, ♥3, ♦3 | two pairs
♠7, ♠2, ♦2, ♥3, ♣5 | pair
♠7, ♠2, ♦2, ♦3, ♣5 | pair
♠7, ♠2, ♥4, ♥3, ♦3 | pair
♠7, ♠2, ♥3, ♦3, ♣5 | pair
♠7, ♣A, ♣6, ♠J, ♥A | pair
♠7, ♣A, ♣6, ♦K, ♥A | pair
♠7, ♣A, ♣6, ♥A, ♦2 | pair
♠7, ♣A, ♣6, ♥A, ♥4 | pair
♠7, ♣A, ♣6, ♥A, ♥3 | pair
♠7, ♣A, ♣6, ♥A, ♦3 | pair
♠7, ♣A, ♣6, ♥A, ♣5 | pair
♠7, ♣A, ♣6, ♥3, ♦3 | pair
♠7, ♣A, ♠J, ♦K, ♥A | pair
♠7, ♣A, ♠J, ♥A, ♦2 | pair
♠7, ♣A, ♠J, ♥A, ♥4 | pair
♠7, ♣A, ♠J, ♥A, ♥3 | pair
♠7, ♣A, ♠J, ♥A, ♦3 | pair
♠7, ♣A, ♠J, ♥A, ♣5 | pair
♠7, ♣A, ♠J, ♥3, ♦3 | pair
♠7, ♣A, ♦K, ♥A, ♦2 | pair
♠7, ♣A, ♦K, ♥A, ♥4 | pair
♠7, ♣A, ♦K, ♥A, ♥3 | pair
♠7, ♣A, ♦K, ♥A, ♦3 | pair
♠7, ♣A, ♦K, ♥A, ♣5 | pair
♠7, ♣A, ♦K, ♥3, ♦3 | pair
♠7, ♣A, ♥A, ♦2, ♥4 | pair
♠7, ♣A, ♥A, ♦2, ♥3 | pair
♠7, ♣A, ♥A, ♦2, ♦3 | pair
♠7, ♣A, ♥A, ♦2, ♣5 | pair
♠7, ♣A, ♥A, ♥4, ♥3 | pair
♠7, ♣A, ♥A, ♥4, ♦3 | pair
♠7, ♣A, ♥A, ♥4, ♣5 | pair
♠7, ♣A, ♥A, ♥3, ♦3 | two pairs
♠7, ♣A, ♥A, ♥3, ♣5 | pair
♠7, ♣A, ♥A, ♦3, ♣5 | pair
♠7, ♣A, ♦2, ♥3, ♦3 | pair
♠7, ♣A, ♥4, ♥3, ♦3 | pair
♠7, ♣A, ♥3, ♦3, ♣5 | pair
♠7, ♣6, ♠J, ♥3, ♦3 | pair
♠7, ♣6, ♦K, ♥3, ♦3 | pair
♠7, ♣6, ♥A, ♥3, ♦3 | pair
♠7, ♣6, ♦2, ♥3, ♦3 | pair
♠7, ♣6, ♥4, ♥3, ♦3 | pair
♠7, ♣6, ♥4, ♥3, ♣5 | straight
♠7, ♣6, ♥4, ♦3, ♣5 | straight
♠7, ♣6, ♥3, ♦3, ♣5 | pair
♠7, ♠J, ♦K, ♥3, ♦3 | pair
♠7, ♠J, ♥A, ♥3, ♦3 | pair
♠7, ♠J, ♦2, ♥3, ♦3 | pair
♠7, ♠J, ♥4, ♥3, ♦3 | pair
♠7, ♠J, ♥3, ♦3, ♣5 | pair
♠7, ♦K, ♥A, ♥3, ♦3 | pair
♠7, ♦K, ♦2, ♥3, ♦3 | pair
♠7, ♦K, ♥4, ♥3, ♦3 | pair
♠7, ♦K, ♥3, ♦3, ♣5 | pair
♠7, ♥A, ♦2, ♥3, ♦3 | pair
♠7, ♥A, ♥4, ♥3, ♦3 | pair
♠7, ♥A, ♥3, ♦3, ♣5 | pair
♠7, ♦2, ♥4, ♥3, ♦3 | pair
♠7, ♦2, ♥3, ♦3, ♣5 | pair
♠7, ♥4, ♥3, ♦3, ♣5 | pair
♠2, ♣A, ♣6, ♠J, ♥A | pair
♠2, ♣A, ♣6, ♠J, ♦2 | pair
♠2, ♣A, ♣6, ♦K, ♥A | pair
♠2, ♣A, ♣6, ♦K, ♦2 | pair
♠2, ♣A, ♣6, ♥A, ♦2 | two pairs
♠2, ♣A, ♣6, ♥A, ♥4 | pair
♠2, ♣A, ♣6, ♥A, ♥3 | pair
♠2, ♣A, ♣6, ♥A, ♦3 | pair
♠2, ♣A, ♣6, ♥A, ♣5 | pair
♠2, ♣A, ♣6, ♦2, ♥4 | pair
♠2, ♣A, ♣6, ♦2, ♥3 | pair
♠2, ♣A, ♣6, ♦2, ♦3 | pair
♠2, ♣A, ♣6, ♦2, ♣5 | pair
♠2, ♣A, ♣6, ♥3, ♦3 | pair
♠2, ♣A, ♠J, ♦K, ♥A | pair
♠2, ♣A, ♠J, ♦K, ♦2 | pair
♠2, ♣A, ♠J, ♥A, ♦2 | two pairs
♠2, ♣A, ♠J, ♥A, ♥4 | pair
♠2, ♣A, ♠J, ♥A, ♥3 | pair
♠2, ♣A, ♠J, ♥A, ♦3 | pair
♠2, ♣A, ♠J, ♥A, ♣5 | pair
♠2, ♣A, ♠J, ♦2, ♥4 | pair
♠2, ♣A, ♠J, ♦2, ♥3 | pair
♠2, ♣A, ♠J, ♦2, ♦3 | pair
♠2, ♣A, ♠J, ♦2, ♣5 | pair
♠2, ♣A, ♠J, ♥3, ♦3 | pair
♠2, ♣A, ♦K, ♥A, ♦2 | two pairs
♠2, ♣A, ♦K, ♥A, ♥4 | pair
♠2, ♣A, ♦K, ♥A, ♥3 | pair
♠2, ♣A, ♦K, ♥A, ♦3 | pair
♠2, ♣A, ♦K, ♥A, ♣5 | pair
♠2, ♣A, ♦K, ♦2, ♥4 | pair
♠2, ♣A, ♦K, ♦2, ♥3 | pair
♠2, ♣A, ♦K, ♦2, ♦3 | pair
♠2, ♣A, ♦K, ♦2, ♣5 | pair
♠2, ♣A, ♦K, ♥3, ♦3 | pair
♠2, ♣A, ♥A, ♦2, ♥4 | two pairs
♠2, ♣A, ♥A, ♦2, ♥3 | two pairs
♠2, ♣A, ♥A, ♦2, ♦3 | two pairs
♠2, ♣A, ♥A, ♦2, ♣5 | two pairs
♠2, ♣A, ♥A, ♥4, ♥3 | pair
♠2, ♣A, ♥A, ♥4, ♦3 | pair
♠2, ♣A, ♥A, ♥4, ♣5 | pair
♠2, ♣A, ♥A, ♥3, ♦3 | two pairs
♠2, ♣A, ♥A, ♥3, ♣5 | pair
♠2, ♣A, ♥A, ♦3, ♣5 | pair
♠2, ♣A, ♦2, ♥4, ♥3 | pair
♠2, ♣A, ♦2, ♥4, ♦3 | pair
♠2, ♣A, ♦2, ♥4, ♣5 | pair
♠2, ♣A, ♦2, ♥3, ♦3 | two pairs
♠2, ♣A, ♦2, ♥3, ♣5 | pair
♠2, ♣A, ♦2, ♦3, ♣5 | pair
♠2, ♣A, ♥4, ♥3, ♦3 | pair
♠2, ♣A, ♥4, ♥3, ♣5 | straight
♠2, ♣A, ♥4, ♦3, ♣5 | straight
♠2, ♣A, ♥3, ♦3, ♣5 | pair
♠2, ♣6, ♠J, ♦K, ♦2 | pair
♠2, ♣6, ♠J, ♥A, ♦2 | pair
♠2, ♣6, ♠J, ♦2, ♥4 | pair
♠2, ♣6, ♠J, ♦2, ♥3 | pair
♠2, ♣6, ♠J, ♦2, ♦3 | pair
♠2, ♣6, ♠J, ♦2, ♣5 | pair
♠2, ♣6, ♠J, ♥3, ♦3 | pair
♠2, ♣6, ♦K, ♥A, ♦2 | pair
♠2, ♣6, ♦K, ♦2, ♥4 | pair
♠2, ♣6, ♦K, ♦2, ♥3 | pair
♠2, ♣6, ♦K, ♦2, ♦3 | pair
♠2, ♣6, ♦K, ♦2, ♣5 | pair
♠2, ♣6, ♦K, ♥3, ♦3 | pair
♠2, ♣6, ♥A, ♦2, ♥4 | pair
♠2, ♣6, ♥A, ♦2, ♥3 | pair
♠2, ♣6, ♥A, ♦2, ♦3 | pair
♠2, ♣6, ♥A, ♦2, ♣5 | pair
♠2, ♣6, ♥A, ♥3, ♦3 | pair
♠2, ♣6, ♦2, ♥4, ♥3 | pair
♠2, ♣6, ♦2, ♥4, ♦3 | pair
♠2, ♣6, ♦2, ♥4, ♣5 | pair
♠2, ♣6, ♦2, ♥3, ♦3 | two pairs
♠2, ♣6, ♦2, ♥3, ♣5 | pair
♠2, ♣6, ♦2, ♦3, ♣5 | pair
♠2, ♣6, ♥4, ♥3, ♦3 | pair
♠2, ♣6, ♥4, ♥3, ♣5 | straight
♠2, ♣6, ♥4, ♦3, ♣5 | straight
♠2, ♣6, ♥3, ♦3, ♣5 | pair
♠2, ♠J, ♦K, ♥A, ♦2 | pair
♠2, ♠J, ♦K, ♦2, ♥4 | pair
♠2, ♠J, ♦K, ♦2, ♥3 | pair
♠2, ♠J, ♦K, ♦2, ♦3 | pair
♠2, ♠J, ♦K, ♦2, ♣5 | pair
♠2, ♠J, ♦K, ♥3, ♦3 | pair
♠2, ♠J, ♥A, ♦2, ♥4 | pair
♠2, ♠J, ♥A, ♦2, ♥3 | pair
♠2, ♠J, ♥A, ♦2, ♦3 | pair
♠2, ♠J, ♥A, ♦2, ♣5 | pair
♠2, ♠J, ♥A, ♥3, ♦3 | pair
♠2, ♠J, ♦2, ♥4, ♥3 | pair
♠2, ♠J, ♦2, ♥4, ♦3 | pair
♠2, ♠J, ♦2, ♥4, ♣5 | pair
♠2, ♠J, ♦2, ♥3, ♦3 | two pairs
♠2, ♠J, ♦2, ♥3, ♣5 | pair
♠2, ♠J, ♦2, ♦3, ♣5 | pair
♠2, ♠J, ♥4, ♥3, ♦3 | pair
♠2, ♠J, ♥3, ♦3, ♣5 | pair
♠2, ♦K, ♥A, ♦2, ♥4 | pair
♠2, ♦K, ♥A, ♦2, ♥3 | pair
♠2, ♦K, ♥A, ♦2, ♦3 | pair
♠2, ♦K, ♥A, ♦2, ♣5 | pair
♠2, ♦K, ♥A, ♥3, ♦3 | pair
♠2, ♦K, ♦2, ♥4, ♥3 | pair
♠2, ♦K, ♦2, ♥4, ♦3 | pair
♠2, ♦K, ♦2, ♥4, ♣5 | pair
♠2, ♦K, ♦2, ♥3, ♦3 | two pairs
♠2, ♦K, ♦2, ♥3, ♣5 | pair
♠2, ♦K, ♦2, ♦3, ♣5 | pair
♠2, ♦K, ♥4, ♥3, ♦3 | pair
♠2, ♦K, ♥3, ♦3, ♣5 | pair
♠2, ♥A, ♦2, ♥4, ♥3 | pair
♠2, ♥A, ♦2, ♥4, ♦3 | pair
♠2, ♥A, ♦2, ♥4, ♣5 | pair
♠2, ♥A, ♦2, ♥3, ♦3 | two pairs
♠2, ♥A, ♦2, ♥3, ♣5 | pair
♠2, ♥A, ♦2, ♦3, ♣5 | pair
♠2, ♥A, ♥4, ♥3, ♦3 | pair
♠2, ♥A, ♥4, ♥3, ♣5 | straight
♠2, ♥A, ♥4, ♦3, ♣5 | straight
♠2, ♥A, ♥3, ♦3, ♣5 | pair
♠2, ♦2, ♥4, ♥3, ♦3 | two pairs
♠2, ♦2, ♥4, ♥3, ♣5 | pair
♠2, ♦2, ♥4, ♦3, ♣5 | pair
♠2, ♦2, ♥3, ♦3, ♣5 | two pairs
♠2, ♥4, ♥3, ♦3, ♣5 | pair
♣A, ♣6, ♠J, ♦K, ♥A | pair
♣A, ♣6, ♠J, ♥A, ♦2 | pair
♣A, ♣6, ♠J, ♥A, ♥4 | pair
♣A, ♣6, ♠J, ♥A, ♥3 | pair
♣A, ♣6, ♠J, ♥A, ♦3 | pair
♣A, ♣6, ♠J, ♥A, ♣5 | pair
♣A, ♣6, ♠J, ♥3, ♦3 | pair
♣A, ♣6, ♦K, ♥A, ♦2 | pair
♣A, ♣6, ♦K, ♥A, ♥4 | pair
♣A, ♣6, ♦K, ♥A, ♥3 | pair
♣A, ♣6, ♦K, ♥A, ♦3 | pair
♣A, ♣6, ♦K, ♥A, ♣5 | pair
♣A, ♣6, ♦K, ♥3, ♦3 | pair
♣A, ♣6, ♥A, ♦2, ♥4 | pair
♣A, ♣6, ♥A, ♦2, ♥3 | pair
♣A, ♣6, ♥A, ♦2, ♦3 | pair
♣A, ♣6, ♥A, ♦2, ♣5 | pair
♣A, ♣6, ♥A, ♥4, ♥3 | pair
♣A, ♣6, ♥A, ♥4, ♦3 | pair
♣A, ♣6, ♥A, ♥4, ♣5 | pair
♣A, ♣6, ♥A, ♥3, ♦3 | two pairs
♣A, ♣6, ♥A, ♥3, ♣5 | pair
♣A, ♣6, ♥A, ♦3, ♣5 | pair
♣A, ♣6, ♦2, ♥3, ♦3 | pair
♣A, ♣6, ♥4, ♥3, ♦3 | pair
♣A, ♣6, ♥3, ♦3, ♣5 | pair
♣A, ♠J, ♦K, ♥A, ♦2 | pair
♣A, ♠J, ♦K, ♥A, ♥4 | pair
♣A, ♠J, ♦K, ♥A, ♥3 | pair
♣A, ♠J, ♦K, ♥A, ♦3 | pair
♣A, ♠J, ♦K, ♥A, ♣5 | pair
♣A, ♠J, ♦K, ♥3, ♦3 | pair
♣A, ♠J, ♥A, ♦2, ♥4 | pair
♣A, ♠J, ♥A, ♦2, ♥3 | pair
♣A, ♠J, ♥A, ♦2, ♦3 | pair
♣A, ♠J, ♥A, ♦2, ♣5 | pair
♣A, ♠J, ♥A, ♥4, ♥3 | pair
♣A, ♠J, ♥A, ♥4, ♦3 | pair
♣A, ♠J, ♥A, ♥4, ♣5 | pair
♣A, ♠J, ♥A, ♥3, ♦3 | two pairs
♣A, ♠J, ♥A, ♥3, ♣5 | pair
♣A, ♠J, ♥A, ♦3, ♣5 | pair
♣A, ♠J, ♦2, ♥3, ♦3 | pair
♣A, ♠J, ♥4, ♥3, ♦3 | pair
♣A, ♠J, ♥3, ♦3, ♣5 | pair
♣A, ♦K, ♥A, ♦2, ♥4 | pair
♣A, ♦K, ♥A, ♦2, ♥3 | pair
♣A, ♦K, ♥A, ♦2, ♦3 | pair
♣A, ♦K, ♥A, ♦2, ♣5 | pair
♣A, ♦K, ♥A, ♥4, ♥3 | pair
♣A, ♦K, ♥A, ♥4, ♦3 | pair
♣A, ♦K, ♥A, ♥4, ♣5 | pair
♣A, ♦K, ♥A, ♥3, ♦3 | two pairs
♣A, ♦K, ♥A, ♥3, ♣5 | pair
♣A, ♦K, ♥A, ♦3, ♣5 | pair
♣A, ♦K, ♦2, ♥3, ♦3 | pair
♣A, ♦K, ♥4, ♥3, ♦3 | pair
♣A, ♦K, ♥3, ♦3, ♣5 | pair
♣A, ♥A, ♦2, ♥4, ♥3 | pair
♣A, ♥A, ♦2, ♥4, ♦3 | pair
♣A, ♥A, ♦2, ♥4, ♣5 | pair
♣A, ♥A, ♦2, ♥3, ♦3 | two pairs
♣A, ♥A, ♦2, ♥3, ♣5 | pair
♣A, ♥A, ♦2, ♦3, ♣5 | pair
♣A, ♥A, ♥4, ♥3, ♦3 | two pairs
♣A, ♥A, ♥4, ♥3, ♣5 | pair
♣A, ♥A, ♥4, ♦3, ♣5 | pair
♣A, ♥A, ♥3, ♦3, ♣5 | two pairs
♣A, ♦2, ♥4, ♥3, ♦3 | pair
♣A, ♦2, ♥4, ♥3, ♣5 | straight
♣A, ♦2, ♥4, ♦3, ♣5 | straight
♣A, ♦2, ♥3, ♦3, ♣5 | pair
♣A, ♥4, ♥3, ♦3, ♣5 | pair
♣6, ♠J, ♦K, ♥3, ♦3 | pair
♣6, ♠J, ♥A, ♥3, ♦3 | pair
♣6, ♠J, ♦2, ♥3, ♦3 | pair
♣6, ♠J, ♥4, ♥3, ♦3 | pair
♣6, ♠J, ♥3, ♦3, ♣5 | pair
♣6, ♦K, ♥A, ♥3, ♦3 | pair
♣6, ♦K, ♦2, ♥3, ♦3 | pair
♣6, ♦K, ♥4, ♥3, ♦3 | pair
♣6, ♦K, ♥3, ♦3, ♣5 | pair
♣6, ♥A, ♦2, ♥3, ♦3 | pair
♣6, ♥A, ♥4, ♥3, ♦3 | pair
♣6, ♥A, ♥3, ♦3, ♣5 | pair
♣6, ♦2, ♥4, ♥3, ♦3 | pair
♣6, ♦2, ♥4, ♥3, ♣5 | straight
♣6, ♦2, ♥4, ♦3, ♣5 | straight
♣6, ♦2, ♥3, ♦3, ♣5 | pair
♣6, ♥4, ♥3, ♦3, ♣5 | pair
♠J, ♦K, ♥A, ♥3, ♦3 | pair
♠J, ♦K, ♦2, ♥3, ♦3 | pair
♠J, ♦K, ♥4, ♥3, ♦3 | pair
♠J, ♦K, ♥3, ♦3, ♣5 | pair
♠J, ♥A, ♦2, ♥3, ♦3 | pair
♠J, ♥A, ♥4, ♥3, ♦3 | pair
♠J, ♥A, ♥3, ♦3, ♣5 | pair
♠J, ♦2, ♥4, ♥3, ♦3 | pair
♠J, ♦2, ♥3, ♦3, ♣5 | pair
♠J, ♥4, ♥3, ♦3, ♣5 | pair
