♠A, ♣2, ♥8, ♣Q, ♥2 | pair
♥8, ♣Q, ♥2, ♠8, ♠4 | pair
♥8, ♣Q, ♥2, ♥4, ♠Q | pair
♥8, ♣Q, ♥2, ♥4, ♠4 | pair
♥8, ♣Q, ♥2, ♠Q, ♠4 | pair
♥8, ♣Q, ♥K, ♠8, ♥4 | pair
♥8, ♣Q, ♥K, ♠8, ♠Q | two pairs
♥8, ♣Q, ♥K, ♠8, ♠4 | pair
♥8, ♣Q, ♥K, ♥4, ♠Q | pair
♥8, ♣Q, ♥K, ♥4, ♠4 | pair
♥8, ♣Q, ♥K, ♠Q, ♠4 | pair
♥8, ♣Q, ♠8, ♥4, ♠Q | two pairs
♥8, ♣Q, ♠8, ♥4, ♠4 | two pairs
♥8, ♣Q, ♠8, ♠Q, ♠4 | two pairs
♥8, ♣Q, ♥4, ♠Q, ♠4 | two pairs
♥8, ♦K, ♣5, ♥6, ♥K | pair
♥8, ♦K, ♣5, ♥6, ♠8 | pair
♥8, ♦K, ♣5, ♥10, ♥K | pair
♥8, ♦K, ♣5, ♥10, ♠8 | pair
♥8, ♦K, ♣5, ♣4, ♥K | pair
♥8, ♦K, ♣5, ♣4, ♠8 | pair
♥8, ♦K, ♣5, ♣4, ♥4 | pair
♥8, ♦K, ♣5, ♣4, ♠4 | pair
♥8, ♦K, ♣5, ♥2, ♥K | pair
♥8, ♦K, ♣5, ♥2, ♠8 | pair
♥8, ♦K, ♣5, ♥K, ♠8 | two pairs
♥8, ♦K, ♣5, ♥K, ♥4 | pair
♥8, ♦K, ♣5, ♥K, ♠Q | pair
♥8, ♦K, ♣5, ♥K, ♠4 | pair
♥8, ♦K, ♣5, ♠8, ♥4 | pair
♥8, ♦K, ♣5, ♠8, ♠Q | pair
♥8, ♦K, ♣5, ♠8, ♠4 | pair
♥8, ♦K, ♣5, ♥4, ♠4 | pair
♥8, ♦K, ♥6, ♥10, ♥K | pair
♥8, ♦K, ♥6, ♥10, ♠8 | pair
♥8, ♦K, ♥6, ♣4, ♥K | pair
♥8, ♦K, ♥6, ♣4, ♠8 | pair
♥8, ♦K, ♥6, ♣4, ♥4 | pair
♥8, ♦K, ♥6, ♣4, ♠4 | pair
♥8, ♦K, ♥6, ♥2, ♥K | pair
♥8, ♦K, ♥6, ♥2, ♠8 | pair
♥8, ♦K, ♥6, ♥K, ♠8 | two pairs
♥8, ♦K, ♥6, ♥K, ♥4 | pair
♥8, ♦K, ♥6, ♥K, ♠Q | pair
♥8, ♦K, ♥6, ♥K, ♠4 | pair
♥8, ♦K, ♥6, ♠8, ♥4 | pair
♥8, ♦K, ♥6, ♠8, ♠Q | pair
♥8, ♦K, ♥6, ♠8, ♠4 | pair
♥8, ♦K, ♥6, ♥4, ♠4 | pair
♥8, ♦K, ♥10, ♣4, ♥K | pair
♥8, ♦K, ♥10, ♣4, ♠8 | pair
♥8, ♦K, ♥10, ♣4, ♥4 | pair
♥8, ♦K, ♥10, ♣4, ♠4 | pair
♥8, ♦K, ♥10, ♥2, ♥K | pair
♥8, ♦K, ♥10, ♥2, ♠8 | pair
♥8, ♦K, ♥10, ♥K, ♠8 | two pairs
♥8, ♦K, ♥10, ♥K, ♥4 | pair
♥8, ♦K, ♥10, ♥K, ♠Q | pair
♥8, ♦K, ♥10, ♥K, ♠4 | pair
♥8, ♦K, ♥10, ♠8, ♥4 | pair
♥8, ♦K, ♥10, ♠8, ♠Q | pair
♥8, ♦K, ♥10, ♠8, ♠4 | pair
♥8, ♦K, ♥10, ♥4, ♠4 | pair
♥8, ♦K, ♣4, ♥2, ♥K | pair
♥8, ♦K, ♣4, ♥2, ♠8 | pair
♥8, ♦K, ♣4, ♥2, ♥4 | pair
♥8, ♦K, ♣4, ♥2, ♠4 | pair
♥8, ♦K, ♣4, ♥K, ♠8 | two pairs
♥8, ♦K, ♣4, ♥K, ♥4 | two pairs
♥8, ♦K, ♣4, ♥K, ♠Q | pair
♥8, ♦K, ♣4, ♥K, ♠4 | two pairs
♥8, ♦K, ♣4, ♠8, ♥4 | two pairs
♥8, ♦K, ♣4, ♠8, ♠Q | pair
♥8, ♦K, ♣4, ♠8, ♠4 | two pairs
♥8, ♦K, ♣4, ♥4, ♠Q | pair
♥8, ♦K, ♣4, ♥4, ♠4 | three of a kind
♥8, ♦K, ♣4, ♠Q, ♠4 | pair
♥8, ♦K, ♥2, ♥K, ♠8 | two pairs
♥8, ♦K, ♥2, ♥K, ♥4 | pair
♥8, ♦K, ♥2, ♥K, ♠Q | pair
♥8, ♦K, ♥2, ♥K, ♠4 | pair
♥8, ♦K, ♥2, ♠8, ♥4 | pair
♥8, ♦K, ♥2, ♠8, ♠Q | pair
♥8, ♦K, ♥2, ♠8, ♠4 | pair
♥8, ♦K, ♥2, ♥4, ♠4 | pair
♥8, ♦K, ♥K, ♠8, ♥4 | two pairs
♥8, ♦K, ♥K, ♠8, ♠Q | two pairs
♥8, ♦K, ♥K, ♠8, ♠4 | two pairs
♥8, ♦K, ♥K, ♥4, ♠Q | pair
♥8, ♦K, ♥K, ♥4, ♠4 | two pairs
♥8, ♦K, ♥K, ♠Q, ♠4 | pair
♥8, ♦K, ♠8, ♥4, ♠Q | pair
♥8, ♦K, ♠8, ♥4, ♠4 | two pairs
♥8, ♦K, ♠8, ♠Q, ♠4 | pair
♥8, ♦K, ♥4, ♠Q, ♠4 | pair
♥8, ♣5, ♥6, ♥10, ♠8 | pair
♥8, ♣5, ♥6, ♣4, ♠8 | pair
♥8, ♣5, ♥6, ♣4, ♥4 | pair
♥8, ♣5, ♥6, ♣4, ♠4 | pair
♥8, ♣5, ♥6, ♥2, ♠8 | pair
♥8, ♣5, ♥6, ♥K, ♠8 | pair
♥8, ♣5, ♥6, ♠8, ♥4 | pair
♥8, ♣5, ♥6, ♠8, ♠Q | pair
♥8, ♣5, ♥6, ♠8, ♠4 | pair
♥8, ♣5, ♥6, ♥4, ♠4 | pair
♥8, ♣5, ♥10, ♣4, ♠8 | pair
♥8, ♣5, ♥10, ♣4, ♥4 | pair
♥8, ♣5, ♥10, ♣4, ♠4 | pair
♥8, ♣5, ♥10, ♥2, ♠8 | pair
♥8, ♣5, ♥10, ♥K, ♠8 | pair
♥8, ♣5, ♥10, ♠8, ♥4 | pair
♥8, ♣5, ♥10, ♠8, ♠Q | pair
♥8, ♣5, ♥10, ♠8, ♠4 | pair
♥8, ♣5, ♥10, ♥4, ♠4 | pair
♥8, ♣5, ♣4, ♥2, ♠8 | pair
♥8, ♣5, ♣4, ♥2, ♥4 | pair
♥8, ♣5, ♣4, ♥2, ♠4 | pair
♥8, ♣5, ♣4, ♥K, ♠8 | pair
♥8, ♣5, ♣4, ♥K, ♥4 | pair
♥8, ♣5, ♣4, ♥K, ♠4 | pair
♥8, ♣5, ♣4, ♠8, ♥4 | two pairs
♥8, ♣5, ♣4, ♠8, ♠Q | pair
♥8, ♣5, ♣4, ♠8, ♠4 | two pairs
♥8, ♣5, ♣4, ♥4, ♠Q | pair
♥8, ♣5, ♣4, ♥4, ♠4 | three of a kind
♥8, ♣5, ♣4, ♠Q, ♠4 | pair
♥8, ♣5, ♥2, ♥K, ♠8 | pair
♥8, ♣5, ♥2, ♠8, ♥4 | pair
♥8, ♣5, ♥2, ♠8, ♠Q | pair
♥8, ♣5, ♥2, ♠8, ♠4 | pair
♥8, ♣5, ♥2, ♥4, ♠4 | pair
♥8, ♣5, ♥K, ♠8, ♥4 | pair
♥8, ♣5, ♥K, ♠8, ♠Q | pair
♥8, ♣5, ♥K, ♠8, ♠4 | pair
♥8, ♣5, ♥K, ♥4, ♠4 | pair
♥8, ♣5, ♠8, ♥4, ♠Q | pair
♥8, ♣5, ♠8, ♥4, ♠4 | two pairs
♥8, ♣5, ♠8, ♠Q, ♠4 | pair
♥8, ♣5, ♥4, ♠Q, ♠4 | pair
♥8, ♥6, ♥10, ♣4, ♠8 | pair
♥8, ♥6, ♥10, ♣4, ♥4 | pair
♥8, ♥6, ♥10, ♣4, ♠4 | pair
♥8, ♥6, ♥10, ♥2, ♥K | flush
♥8, ♥6, ♥10, ♥2, ♠8 | pair
♥8, ♥6, ♥10, ♥2, ♥4 | flush
♥8, ♥6, ♥10, ♥K, ♠8 | pair
♥8, ♥6, ♥10, ♥K, ♥4 | flush
♥8, ♥6, ♥10, ♠8, ♥4 | pair
♥8, ♥6, ♥10, ♠8, ♠Q | pair
♥8, ♥6, ♥10, ♠8, ♠4 | pair
♥8, ♥6, ♥10, ♥4, ♠4 | pair
♥8, ♥6, ♣4, ♥2, ♠8 | pair
♥8, ♥6, ♣4, ♥2, ♥4 | pair
♥8, ♥6, ♣4, ♥2, ♠4 | pair
♥8, ♥6, ♣4, ♥K, ♠8 | pair
♥8, ♥6, ♣4, ♥K, ♥4 | pair
♥8, ♥6, ♣4, ♥K, ♠4 | pair
♥8, ♥6, ♣4, ♠8, ♥4 | two pairs
♥8, ♥6, ♣4, ♠8, ♠Q | pair
♥8, ♥6, ♣4, ♠8, ♠4 | two pairs
♥8, ♥6, ♣4, ♥4, ♠Q | pair
♥8, ♥6, ♣4, ♥4, ♠4 | three of a kind
♥8, ♥6, ♣4, ♠Q, ♠4 | pair
♥8, ♥6, ♥2, ♥K, ♠8 | pair
♥8, ♥6, ♥2, ♥K, ♥4 | flush
♥8, ♥6, ♥2, ♠8, ♥4 | pair
♥8, ♥6, ♥2, ♠8, ♠Q | pair
♥8, ♥6, ♥2, ♠8, ♠4 | pair
♥8, ♥6, ♥2, ♥4, ♠4 | pair
♥8, ♥6, ♥K, ♠8, ♥4 | pair
♥8, ♥6, ♥K, ♠8, ♠Q | pair
♥8, ♥6, ♥K, ♠8, ♠4 | pair
♥8, ♥6, ♥K, ♥4, ♠4 | pair
♥8, ♥6, ♠8, ♥4, ♠Q | pair
♥8, ♥6, ♠8, ♥4, ♠4 | two pairs
♥8, ♥6, ♠8, ♠Q, ♠4 | pair
♥8, ♥6, ♥4, ♠Q, ♠4 | pair
♥8, ♥10, ♣4, ♥2, ♠8 | pair
♥8, ♥10, ♣4, ♥2, ♥4 | pair
♥8, ♥10, ♣4, ♥2, ♠4 | pair
♥8, ♥10, ♣4, ♥K, ♠8 | pair
♥8, ♥10, ♣4, ♥K, ♥4 | pair
♥8, ♥10, ♣4, ♥K, ♠4 | pair
♥8, ♥10, ♣4, ♠8, ♥4 | two pairs
♥8, ♥10, ♣4, ♠8, ♠Q | pair
♥8, ♥10, ♣4, ♠8, ♠4 | two pairs
♥8, ♥10, ♣4, ♥4, ♠Q | pair
♥8, ♥10, ♣4, ♥4, ♠4 | three of a kind
♥8, ♥10, ♣4, ♠Q, ♠4 | pair
♥8, ♥10, ♥2, ♥K, ♠8 | pair
♥8, ♥10, ♥2, ♥K, ♥4 | flush
♥8, ♥10, ♥2, ♠8, ♥4 | pair
♥8, ♥10, ♥2, ♠8, ♠Q | pair
♥8, ♥10, ♥2, ♠8, ♠4 | pair
♥8, ♥10, ♥2, ♥4, ♠4 | pair
♥8, ♥10, ♥K, ♠8, ♥4 | pair
♥8, ♥10, ♥K, ♠8, ♠Q | pair
♥8, ♥10, ♥K, ♠8, ♠4 | pair
♥8, ♥10, ♥K, ♥4, ♠4 | pair
♥8, ♥10, ♠8, ♥4, ♠Q | pair
♥8, ♥10, ♠8, ♥4, ♠4 | two pairs
♥8, ♥10, ♠8, ♠Q, ♠4 | pair
♥8, ♥10, ♥4, ♠Q, ♠4 | pair
♥8, ♣4, ♥2, ♥K, ♠8 | pair
♥8, ♣4, ♥2, ♥K, ♥4 | pair
♥8, ♣4, ♥2, ♥K, ♠4 | pair
♥8, ♣4, ♥2, ♠8, ♥4 | two pairs
♥8, ♣4, ♥2, ♠8, ♠Q | pair
♥8, ♣4, ♥2, ♠8, ♠4 | two pairs
♥8, ♣4, ♥2, ♥4, ♠Q | pair
♥8, ♣4, ♥2, ♥4, ♠4 | three of a kind
♥8, ♣4, ♥2, ♠Q, ♠4 | pair
♥8, ♣4, ♥K, ♠8, ♥4 | two pairs
♥8, ♣4, ♥K, ♠8, ♠Q | pair
♥8, ♣4, ♥K, ♠8, ♠4 | two pairs
♥8, ♣4, ♥K, ♥4, ♠Q | pair
♥8, ♣4, ♥K, ♥4, ♠4 | three of a kind
♥8, ♣4, ♥K, ♠Q, ♠4 | pair
♥8, ♣4, ♠8, ♥4, ♠Q | two pairs
♥8, ♣4, ♠8, ♥4, ♠4 | fullhouse
♥8, ♣4, ♠8, ♠Q, ♠4 | two pairs
♥8, ♣4, ♥4, ♠Q, ♠4 | three of a kind
♥8, ♥2, ♥K, ♠8, ♥4 | pair
♥8, ♥2, ♥K, ♠8, ♠Q | pair
♥8, ♥2, ♥K, ♠8, ♠4 | pair
♥8, ♥2, ♥K, ♥4, ♠4 | pair
♥8, ♥2, ♠8, ♥4, ♠Q | pair
♥8, ♥2, ♠8, ♥4, ♠4 | two pairs
♥8, ♥2, ♠8, ♠Q, ♠4 | pair
♥8, ♥2, ♥4, ♠Q, ♠4 | pair
♥8, ♥K, ♠8, ♥4, ♠Q | pair
♥8, ♥K, ♠8, ♥4, ♠4 | two pairs
♥8, ♥K, ♠8, ♠Q, ♠4 | pair
♥8, ♥K, ♥4, ♠Q, ♠4 | pair
♥8, ♠8, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♦K, ♣5, ♥6, ♥K | pair
♣Q, ♦K, ♣5, ♥6, ♠Q | pair
♣Q, ♦K, ♣5, ♥10, ♥K | pair
♣Q, ♦K, ♣5, ♥10, ♠Q | pair
♣Q, ♦K, ♣5, ♣4, ♥K | pair
♣Q, ♦K, ♣5, ♣4, ♥4 | pair
♣Q, ♦K, ♣5, ♣4, ♠Q | pair
♣Q, ♦K, ♣5, ♣4, ♠4 | pair
♣Q, ♦K, ♣5, ♥2, ♥K | pair
♣Q, ♦K, ♣5, ♥2, ♠Q | pair
♣Q, ♦K, ♣5, ♥K, ♠8 | pair
♣Q, ♦K, ♣5, ♥K, ♥4 | pair
♣Q, ♦K, ♣5, ♥K, ♠Q | two pairs
♣Q, ♦K, ♣5, ♥K, ♠4 | pair
♣Q, ♦K, ♣5, ♠8, ♠Q | pair
♣Q, ♦K, ♣5, ♥4, ♠Q | pair
♣Q, ♦K, ♣5, ♥4, ♠4 | pair
♣Q, ♦K, ♣5, ♠Q, ♠4 | pair
♣Q, ♦K, ♥6, ♥10, ♥K | pair
♣Q, ♦K, ♥6, ♥10, ♠Q | pair
♣Q, ♦K, ♥6, ♣4, ♥K | pair
♣Q, ♦K, ♥6, ♣4, ♥4 | pair
♣Q, ♦K, ♥6, ♣4, ♠Q | pair
♣Q, ♦K, ♥6, ♣4, ♠4 | pair
♣Q, ♦K, ♥6, ♥2, ♥K | pair
♣Q, ♦K, ♥6, ♥2, ♠Q | pair
♣Q, ♦K, ♥6, ♥K, ♠8 | pair
♣Q, ♦K, ♥6, ♥K, ♥4 | pair
♣Q, ♦K, ♥6, ♥K, ♠Q | two pairs
♣Q, ♦K, ♥6, ♥K, ♠4 | pair
♣Q, ♦K, ♥6, ♠8, ♠Q | pair
♣Q, ♦K, ♥6, ♥4, ♠Q | pair
♣Q, ♦K, ♥6, ♥4, ♠4 | pair
♣Q, ♦K, ♥6, ♠Q, ♠4 | pair
♣Q, ♦K, ♥10, ♣4, ♥K | pair
♣Q, ♦K, ♥10, ♣4, ♥4 | pair
♣Q, ♦K, ♥10, ♣4, ♠Q | pair
♣Q, ♦K, ♥10, ♣4, ♠4 | pair
♣Q, ♦K, ♥10, ♥2, ♥K | pair
♣Q, ♦K, ♥10, ♥2, ♠Q | pair
♣Q, ♦K, ♥10, ♥K, ♠8 | pair
♣Q, ♦K, ♥10, ♥K, ♥4 | pair
♣Q, ♦K, ♥10, ♥K, ♠Q | two pairs
♣Q, ♦K, ♥10, ♥K, ♠4 | pair
♣Q, ♦K, ♥10, ♠8, ♠Q | pair
♣Q, ♦K, ♥10, ♥4, ♠Q | pair
♣Q, ♦K, ♥10, ♥4, ♠4 | pair
♣Q, ♦K, ♥10, ♠Q, ♠4 | pair
♣Q, ♦K, ♣4, ♥2, ♥K | pair
♣Q, ♦K, ♣4, ♥2, ♥4 | pair
♣Q, ♦K, ♣4, ♥2, ♠Q | pair
♣Q, ♦K, ♣4, ♥2, ♠4 | pair
♣Q, ♦K, ♣4, ♥K, ♠8 | pair
♣Q, ♦K, ♣4, ♥K, ♥4 | two pairs
♣Q, ♦K, ♣4, ♥K, ♠Q | two pairs
♣Q, ♦K, ♣4, ♥K, ♠4 | two pairs
♣Q, ♦K, ♣4, ♠8, ♥4 | pair
♣Q, ♦K, ♣4, ♠8, ♠Q | pair
♣Q, ♦K, ♣4, ♠8, ♠4 | pair
♣Q, ♦K, ♣4, ♥4, ♠Q | two pairs
♣Q, ♦K, ♣4, ♥4, ♠4 | three of a kind
♣Q, ♦K, ♣4, ♠Q, ♠4 | two pairs
♣Q, ♦K, ♥2, ♥K, ♠8 | pair
♣Q, ♦K, ♥2, ♥K, ♥4 | pair
♣Q, ♦K, ♥2, ♥K, ♠Q | two pairs
♣Q, ♦K, ♥2, ♥K, ♠4 | pair
♣Q, ♦K, ♥2, ♠8, ♠Q | pair
♣Q, ♦K, ♥2, ♥4, ♠Q | pair
♣Q, ♦K, ♥2, ♥4, ♠4 | pair
♣Q, ♦K, ♥2, ♠Q, ♠4 | pair
♣Q, ♦K, ♥K, ♠8, ♥4 | pair
♣Q, ♦K, ♥K, ♠8, ♠Q | two pairs
♣Q, ♦K, ♥K, ♠8, ♠4 | pair
♣Q, ♦K, ♥K, ♥4, ♠Q | two pairs
♣Q, ♦K, ♥K, ♥4, ♠4 | two pairs
♣Q, ♦K, ♥K, ♠Q, ♠4 | two pairs
♣Q, ♦K, ♠8, ♥4, ♠Q | pair
♣Q, ♦K, ♠8, ♥4, ♠4 | pair
♣Q, ♦K, ♠8, ♠Q, ♠4 | pair
♣Q, ♦K, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♣5, ♥6, ♥10, ♠Q | pair
♣Q, ♣5, ♥6, ♣4, ♥4 | pair
♣Q, ♣5, ♥6, ♣4, ♠Q | pair
♣Q, ♣5, ♥6, ♣4, ♠4 | pair
♣Q, ♣5, ♥6, ♥2, ♠Q | pair
♣Q, ♣5, ♥6, ♥K, ♠Q | pair
♣Q, ♣5, ♥6, ♠8, ♠Q | pair
♣Q, ♣5, ♥6, ♥4, ♠Q | pair
♣Q, ♣5, ♥6, ♥4, ♠4 | pair
♣Q, ♣5, ♥6, ♠Q, ♠4 | pair
♣Q, ♣5, ♥10, ♣4, ♥4 | pair
♣Q, ♣5, ♥10, ♣4, ♠Q | pair
♣Q, ♣5, ♥10, ♣4, ♠4 | pair
♣Q, ♣5, ♥10, ♥2, ♠Q | pair
♣Q, ♣5, ♥10, ♥K, ♠Q | pair
♣Q, ♣5, ♥10, ♠8, ♠Q | pair
♣Q, ♣5, ♥10, ♥4, ♠Q | pair
♣Q, ♣5, ♥10, ♥4, ♠4 | pair
♣Q, ♣5, ♥10, ♠Q, ♠4 | pair
♣Q, ♣5, ♣4, ♥2, ♥4 | pair
♣Q, ♣5, ♣4, ♥2, ♠Q | pair
♣Q, ♣5, ♣4, ♥2, ♠4 | pair
♣Q, ♣5, ♣4, ♥K, ♥4 | pair
♣Q, ♣5, ♣4, ♥K, ♠Q | pair
♣Q, ♣5, ♣4, ♥K, ♠4 | pair
♣Q, ♣5, ♣4, ♠8, ♥4 | pair
♣Q, ♣5, ♣4, ♠8, ♠Q | pair
♣Q, ♣5, ♣4, ♠8, ♠4 | pair
♣Q, ♣5, ♣4, ♥4, ♠Q | two pairs
♣Q, ♣5, ♣4, ♥4, ♠4 | three of a kind
♣Q, ♣5, ♣4, ♠Q, ♠4 | two pairs
♣Q, ♣5, ♥2, ♥K, ♠Q | pair
♣Q, ♣5, ♥2, ♠8, ♠Q | pair
♣Q, ♣5, ♥2, ♥4, ♠Q | pair
♣Q, ♣5, ♥2, ♥4, ♠4 | pair
♣Q, ♣5, ♥2, ♠Q, ♠4 | pair
♣Q, ♣5, ♥K, ♠8, ♠Q | pair
♣Q, ♣5, ♥K, ♥4, ♠Q | pair
♣Q, ♣5, ♥K, ♥4, ♠4 | pair
♣Q, ♣5, ♥K, ♠Q, ♠4 | pair
♣Q, ♣5, ♠8, ♥4, ♠Q | pair
♣Q, ♣5, ♠8, ♥4, ♠4 | pair
♣Q, ♣5, ♠8, ♠Q, ♠4 | pair
♣Q, ♣5, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♥6, ♥10, ♣4, ♥4 | pair
♣Q, ♥6, ♥10, ♣4, ♠Q | pair
♣Q, ♥6, ♥10, ♣4, ♠4 | pair
♣Q, ♥6, ♥10, ♥2, ♠Q | pair
♣Q, ♥6, ♥10, ♥K, ♠Q | pair
♣Q, ♥6, ♥10, ♠8, ♠Q | pair
♣Q, ♥6, ♥10, ♥4, ♠Q | pair
♣Q, ♥6, ♥10, ♥4, ♠4 | pair
♣Q, ♥6, ♥10, ♠Q, ♠4 | pair
♣Q, ♥6, ♣4, ♥2, ♥4 | pair
♣Q, ♥6, ♣4, ♥2, ♠Q | pair
♣Q, ♥6, ♣4, ♥2, ♠4 | pair
♣Q, ♥6, ♣4, ♥K, ♥4 | pair
♣Q, ♥6, ♣4, ♥K, ♠Q | pair
♣Q, ♥6, ♣4, ♥K, ♠4 | pair
♣Q, ♥6, ♣4, ♠8, ♥4 | pair
♣Q, ♥6, ♣4, ♠8, ♠Q | pair
♣Q, ♥6, ♣4, ♠8, ♠4 | pair
♣Q, ♥6, ♣4, ♥4, ♠Q | two pairs
♣Q, ♥6, ♣4, ♥4, ♠4 | three of a kind
♣Q, ♥6, ♣4, ♠Q, ♠4 | two pairs
♣Q, ♥6, ♥2, ♥K, ♠Q | pair
♣Q, ♥6, ♥2, ♠8, ♠Q | pair
♣Q, ♥6, ♥2, ♥4, ♠Q | pair
♣Q, ♥6, ♥2, ♥4, ♠4 | pair
♣Q, ♥6, ♥2, ♠Q, ♠4 | pair
♣Q, ♥6, ♥K, ♠8, ♠Q | pair
♣Q, ♥6, ♥K, ♥4, ♠Q | pair
♣Q, ♥6, ♥K, ♥4, ♠4 | pair
♣Q, ♥6, ♥K, ♠Q, ♠4 | pair
♣Q, ♥6, ♠8, ♥4, ♠Q | pair
♣Q, ♥6, ♠8, ♥4, ♠4 | pair
♣Q, ♥6, ♠8, ♠Q, ♠4 | pair
♣Q, ♥6, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♥10, ♣4, ♥2, ♥4 | pair
♣Q, ♥10, ♣4, ♥2, ♠Q | pair
♣Q, ♥10, ♣4, ♥2, ♠4 | pair
♣Q, ♥10, ♣4, ♥K, ♥4 | pair
♣Q, ♥10, ♣4, ♥K, ♠Q | pair
♣Q, ♥10, ♣4, ♥K, ♠4 | pair
♣Q, ♥10, ♣4, ♠8, ♥4 | pair
♣Q, ♥10, ♣4, ♠8, ♠Q | pair
♣Q, ♥10, ♣4, ♠8, ♠4 | pair
♣Q, ♥10, ♣4, ♥4, ♠Q | two pairs
♣Q, ♥10, ♣4, ♥4, ♠4 | three of a kind
♣Q, ♥10, ♣4, ♠Q, ♠4 | two pairs
♣Q, ♥10, ♥2, ♥K, ♠Q | pair
♣Q, ♥10, ♥2, ♠8, ♠Q | pair
♣Q, ♥10, ♥2, ♥4, ♠Q | pair
♣Q, ♥10, ♥2, ♥4, ♠4 | pair
♣Q, ♥10, ♥2, ♠Q, ♠4 | pair
♣Q, ♥10, ♥K, ♠8, ♠Q | pair
♣Q, ♥10, ♥K, ♥4, ♠Q | pair
♣Q, ♥10, ♥K, ♥4, ♠4 | pair
♣Q, ♥10, ♥K, ♠Q, ♠4 | pair
♣Q, ♥10, ♠8, ♥4, ♠Q | pair
♣Q, ♥10, ♠8, ♥4, ♠4 | pair
♣Q, ♥10, ♠8, ♠Q, ♠4 | pair
♣Q, ♥10, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♣4, ♥2, ♥K, ♥4 | pair
♣Q, ♣4, ♥2, ♥K, ♠Q | pair
♣Q, ♣4, ♥2, ♥K, ♠4 | pair
♣Q, ♣4, ♥2, ♠8, ♥4 | pair
♣Q, ♣4, ♥2, ♠8, ♠Q | pair
♣Q, ♣4, ♥2, ♠8, ♠4 | pair
♣Q, ♣4, ♥2, ♥4, ♠Q | two pairs
♣Q, ♣4, ♥2, ♥4, ♠4 | three of a kind
♣Q, ♣4, ♥2, ♠Q, ♠4 | two pairs
♣Q, ♣4, ♥K, ♠8, ♥4 | pair
♣Q, ♣4, ♥K, ♠8, ♠Q | pair
♣Q, ♣4, ♥K, ♠8, ♠4 | pair
♣Q, ♣4, ♥K, ♥4, ♠Q | two pairs
♣Q, ♣4, ♥K, ♥4, ♠4 | three of a kind
♣Q, ♣4, ♥K, ♠Q, ♠4 | two pairs
♣Q, ♣4, ♠8, ♥4, ♠Q | two pairs
♣Q, ♣4, ♠8, ♥4, ♠4 | three of a kind
♣Q, ♣4, ♠8, ♠Q, ♠4 | two pairs
♣Q, ♣4, ♥4, ♠Q, ♠4 | fullhouse
♣Q, ♥2, ♥K, ♠8, ♠Q | pair
♣Q, ♥2, ♥K, ♥4, ♠Q | pair
♣Q, ♥2, ♥K, ♥4, ♠4 | pair
♣Q, ♥2, ♥K, ♠Q, ♠4 | pair
♣Q, ♥2, ♠8, ♥4, ♠Q | pair
♣Q, ♥2, ♠8, ♥4, ♠4 | pair
♣Q, ♥2, ♠8, ♠Q, ♠4 | pair
♣Q, ♥2, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♥K, ♠8, ♥4, ♠Q | pair
♣Q, ♥K, ♠8, ♥4, ♠4 | pair
♣Q, ♥K, ♠8, ♠Q, ♠4 | pair
♣Q, ♥K, ♥4, ♠Q, ♠4 | two pairs
♣Q, ♠8, ♥4, ♠Q, ♠4 | two pairs
♦K, ♣5, ♥6, ♥10, ♥K | pair
♦K, ♣5, ♥6, ♣4, ♥K | pair
♦K, ♣5, ♥6, ♣4, ♥4 | pair
♦K, ♣5, ♥6, ♣4, ♠4 | pair
♦K, ♣5, ♥6, ♥2, ♥K | pair
♦K, ♣5, ♥6, ♥K, ♠8 | pair
♦K, ♣5, ♥6, ♥K, ♥4 | pair
♦K, ♣5, ♥6, ♥K, ♠Q | pair
♦K, ♣5, ♥6, ♥K, ♠4 | pair
♦K, ♣5, ♥6, ♥4, ♠4 | pair
♦K, ♣5, ♥10, ♣4, ♥K | pair
♦K, ♣5, ♥10, ♣4, ♥4 | pair
♦K, ♣5, ♥10, ♣4, ♠4 | pair
♦K, ♣5, ♥10, ♥2, ♥K | pair
♦K, ♣5, ♥10, ♥K, ♠8 | pair
♦K, ♣5, ♥10, ♥K, ♥4 | pair
♦K, ♣5, ♥10, ♥K, ♠Q | pair
♦K, ♣5, ♥10, ♥K, ♠4 | pair
♦K, ♣5, ♥10, ♥4, ♠4 | pair
♦K, ♣5, ♣4, ♥2, ♥K | pair
♦K, ♣5, ♣4, ♥2, ♥4 | pair
♦K, ♣5, ♣4, ♥2, ♠4 | pair
♦K, ♣5, ♣4, ♥K, ♠8 | pair
♦K, ♣5, ♣4, ♥K, ♥4 | two pairs
♦K, ♣5, ♣4, ♥K, ♠Q | pair
♦K, ♣5, ♣4, ♥K, ♠4 | two pairs
♦K, ♣5, ♣4, ♠8, ♥4 | pair
♦K, ♣5, ♣4, ♠8, ♠4 | pair
♦K, ♣5, ♣4, ♥4, ♠Q | pair
♦K, ♣5, ♣4, ♥4, ♠4 | three of a kind
♦K, ♣5, ♣4, ♠Q, ♠4 | pair
♦K, ♣5, ♥2, ♥K, ♠8 | pair
♦K, ♣5, ♥2, ♥K, ♥4 | pair
