♠A, ♥J, ♦5, ♦7, ♦A | pair
♦A, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦A, ♦10, ♥7, ♠A, ♣10 | two pairs
♦A, ♦10, ♣10, ♠A, ♣10 | fullhouse
♦A, ♥7, ♣10, ♠A, ♣10 | two pairs
♥K, ♦9, ♦10, ♦10, ♥7 | pair
♥K, ♦9, ♦10, ♦10, ♣10 | three of a kind
♥K, ♦9, ♦10, ♦10, ♠A | pair
♥K, ♦9, ♦10, ♦10, ♣10 | three of a kind
♥K, ♦9, ♦10, ♥7, ♣10 | pair
♥K, ♦9, ♦10, ♥7, ♣10 | pair
♥K, ♦9, ♦10, ♣10, ♠A | pair
♥K, ♦9, ♦10, ♣10, ♣10 | three of a kind
♥K, ♦9, ♦10, ♠A, ♣10 | pair
♥K, ♦9, ♦10, ♥7, ♣10 | pair
♥K, ♦9, ♦10, ♥7, ♣10 | pair
♥K, ♦9, ♦10, ♣10, ♠A | pair
♥K, ♦9, ♦10, ♣10, ♣10 | three of a kind
♥K, ♦9, ♦10, ♠A, ♣10 | pair
♥K, ♦9, ♥7, ♣10, ♣10 | pair
♥K, ♦9, ♣10, ♠A, ♣10 | pair
♥K, ♦10, ♦10, ♥7, ♣10 | three of a kind
♥K, ♦10, ♦10, ♥7, ♠A | pair
♥K, ♦10, ♦10, ♥7, ♣10 | three of a kind
♥K, ♦10, ♦10, ♣10, ♠A | three of a kind
♥K, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♥K, ♦10, ♦10, ♠A, ♣10 | three of a kind
♥K, ♦10, ♥7, ♣10, ♠A | pair
♥K, ♦10, ♥7, ♣10, ♣10 | three of a kind
♥K, ♦10, ♥7, ♠A, ♣10 | pair
♥K, ♦10, ♣10, ♠A, ♣10 | three of a kind
♥K, ♦10, ♥7, ♣10, ♠A | pair
♥K, ♦10, ♥7, ♣10, ♣10 | three of a kind
♥K, ♦10, ♥7, ♠A, ♣10 | pair
♥K, ♦10, ♣10, ♠A, ♣10 | three of a kind
♥K, ♥7, ♣10, ♠A, ♣10 | pair
♦9, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦9, ♦10, ♦10, ♥7, ♠A | pair
♦9, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦9, ♦10, ♦10, ♣10, ♠A | three of a kind
♦9, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♦9, ♦10, ♦10, ♠A, ♣10 | three of a kind
♦9, ♦10, ♥7, ♣10, ♠A | pair
♦9, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦9, ♦10, ♥7, ♠A, ♣10 | pair
♦9, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦9, ♦10, ♥7, ♣10, ♠A | pair
♦9, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦9, ♦10, ♥7, ♠A, ♣10 | pair
♦9, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦9, ♥7, ♣10, ♠A, ♣10 | pair
♦10, ♦10, ♥7, ♣10, ♠A | three of a kind
♦10, ♦10, ♥7, ♣10, ♣10 | four of a kind!
♦10, ♦10, ♥7, ♠A, ♣10 | three of a kind
♦10, ♦10, ♣10, ♠A, ♣10 | four of a kind!
♦10, ♥7, ♣10, ♠A, ♣10 | three of a kind
♦10, ♥7, ♣10, ♠A, ♣10 | three of a kind
