♥8, ♥8, ♦10, ♦10, ♥10 | fullhouse
♥8, ♦10, ♥10, ♣10, ♣K | three of a kind
♥8, ♦10, ♥10, ♣10, ♥K | three of a kind
♥8, ♦10, ♥10, ♣10, ♠3 | three of a kind
♥8, ♦10, ♥10, ♣2, ♦A | pair
♥8, ♦10, ♥10, ♣2, ♣K | pair
♥8, ♦10, ♥10, ♣2, ♥K | pair
♥8, ♦10, ♥10, ♣2, ♠3 | pair
♥8, ♦10, ♥10, ♦A, ♣K | pair
♥8, ♦10, ♥10, ♦A, ♥K | pair
♥8, ♦10, ♥10, ♦A, ♠3 | pair
♥8, ♦10, ♥10, ♣K, ♥K | two pairs
♥8, ♦10, ♥10, ♣K, ♠3 | pair
♥8, ♦10, ♥10, ♥K, ♠3 | pair
♥8, ♦10, ♠6, ♥9, ♣6 | pair
♥8, ♦10, ♠6, ♥9, ♣10 | pair
♥8, ♦10, ♠6, ♣J, ♣6 | pair
♥8, ♦10, ♠6, ♣J, ♣10 | pair
♥8, ♦10, ♠6, ♣6, ♥K | pair
♥8, ♦10, ♠6, ♣6, ♣10 | two pairs
♥8, ♦10, ♠6, ♣6, ♣2 | pair
♥8, ♦10, ♠6, ♣6, ♦A | pair
♥8, ♦10, ♠6, ♣6, ♣K | pair
♥8, ♦10, ♠6, ♣6, ♥K | pair
♥8, ♦10, ♠6, ♣6, ♠3 | pair
♥8, ♦10, ♠6, ♥K, ♣10 | pair
♥8, ♦10, ♠6, ♥K, ♣K | pair
♥8, ♦10, ♠6, ♥K, ♥K | pair
♥8, ♦10, ♠6, ♣10, ♣2 | pair
♥8, ♦10, ♠6, ♣10, ♦A | pair
♥8, ♦10, ♠6, ♣10, ♣K | pair
♥8, ♦10, ♠6, ♣10, ♥K | pair
♥8, ♦10, ♠6, ♣10, ♠3 | pair
♥8, ♦10, ♠6, ♣K, ♥K | pair
♥8, ♦10, ♥9, ♣J, ♣10 | pair
♥8, ♦10, ♥9, ♣6, ♣10 | pair
♥8, ♦10, ♥9, ♥K, ♣10 | pair
♥8, ♦10, ♥9, ♥K, ♣K | pair
♥8, ♦10, ♥9, ♥K, ♥K | pair
♥8, ♦10, ♥9, ♣10, ♣2 | pair
♥8, ♦10, ♥9, ♣10, ♦A | pair
♥8, ♦10, ♥9, ♣10, ♣K | pair
♥8, ♦10, ♥9, ♣10, ♥K | pair
♥8, ♦10, ♥9, ♣10, ♠3 | pair
♥8, ♦10, ♥9, ♣K, ♥K | pair
♥8, ♦10, ♣J, ♣6, ♣10 | pair
♥8, ♦10, ♣J, ♥K, ♣10 | pair
♥8, ♦10, ♣J, ♥K, ♣K | pair
♥8, ♦10, ♣J, ♥K, ♥K | pair
♥8, ♦10, ♣J, ♣10, ♣2 | pair
♥8, ♦10, ♣J, ♣10, ♦A | pair
♥8, ♦10, ♣J, ♣10, ♣K | pair
♥8, ♦10, ♣J, ♣10, ♥K | pair
♥8, ♦10, ♣J, ♣10, ♠3 | pair
♥8, ♦10, ♣J, ♣K, ♥K | pair
♥8, ♦10, ♣6, ♥K, ♣10 | pair
♥8, ♦10, ♣6, ♥K, ♣K | pair
♥8, ♦10, ♣6, ♥K, ♥K | pair
♥8, ♦10, ♣6, ♣10, ♣2 | pair
♥8, ♦10, ♣6, ♣10, ♦A | pair
♥8, ♦10, ♣6, ♣10, ♣K | pair
♥8, ♦10, ♣6, ♣10, ♥K | pair
♥8, ♦10, ♣6, ♣10, ♠3 | pair
♥8, ♦10, ♣6, ♣K, ♥K | pair
♥8, ♦10, ♥K, ♣10, ♣2 | pair
♥8, ♦10, ♥K, ♣10, ♦A | pair
♥8, ♦10, ♥K, ♣10, ♣K | two pairs
♥8, ♦10, ♥K, ♣10, ♥K | two pairs
♥8, ♦10, ♥K, ♣10, ♠3 | pair
♥8, ♦10, ♥K, ♣2, ♣K | pair
♥8, ♦10, ♥K, ♣2, ♥K | pair
♥8, ♦10, ♥K, ♦A, ♣K | pair
♥8, ♦10, ♥K, ♦A, ♥K | pair
♥8, ♦10, ♥K, ♣K, ♥K | three of a kind
♥8, ♦10, ♥K, ♣K, ♠3 | pair
♥8, ♦10, ♥K, ♥K, ♠3 | pair
♥8, ♦10, ♣10, ♣2, ♦A | pair
♥8, ♦10, ♣10, ♣2, ♣K | pair
♥8, ♦10, ♣10, ♣2, ♥K | pair
♥8, ♦10, ♣10, ♣2, ♠3 | pair
♥8, ♦10, ♣10, ♦A, ♣K | pair
♥8, ♦10, ♣10, ♦A, ♥K | pair
♥8, ♦10, ♣10, ♦A, ♠3 | pair
♥8, ♦10, ♣10, ♣K, ♥K | two pairs
♥8, ♦10, ♣10, ♣K, ♠3 | pair
♥8, ♦10, ♣10, ♥K, ♠3 | pair
♥8, ♦10, ♣2, ♣K, ♥K | pair
♥8, ♦10, ♦A, ♣K, ♥K | pair
♥8, ♦10, ♣K, ♥K, ♠3 | pair
♥8, ♦10, ♥10, ♠6, ♥9 | pair
♥8, ♦10, ♥10, ♠6, ♣J | pair
♥8, ♦10, ♥10, ♠6, ♣6 | two pairs
♥8, ♦10, ♥10, ♠6, ♥K | pair
♥8, ♦10, ♥10, ♠6, ♣10 | three of a kind
♥8, ♦10, ♥10, ♠6, ♣2 | pair
♥8, ♦10, ♥10, ♠6, ♦A | pair
♥8, ♦10, ♥10, ♠6, ♣K | pair
♥8, ♦10, ♥10, ♠6, ♥K | pair
♥8, ♦10, ♥10, ♠6, ♠3 | pair
♥8, ♦10, ♥10, ♥9, ♣J | pair
♥8, ♦10, ♥10, ♥9, ♣6 | pair
♥8, ♦10, ♥10, ♥9, ♥K | pair
♥8, ♦10, ♥10, ♥9, ♣10 | three of a kind
♥8, ♦10, ♥10, ♥9, ♣2 | pair
♥8, ♦10, ♥10, ♥9, ♦A | pair
♥8, ♦10, ♥10, ♥9, ♣K | pair
♥8, ♦10, ♥10, ♥9, ♥K | pair
♥8, ♦10, ♥10, ♥9, ♠3 | pair
♥8, ♦10, ♥10, ♣J, ♣6 | pair
♥8, ♦10, ♥10, ♣J, ♥K | pair
♥8, ♦10, ♥10, ♣J, ♣10 | three of a kind
♥8, ♦10, ♥10, ♣J, ♣2 | pair
♥8, ♦10, ♥10, ♣J, ♦A | pair
♥8, ♦10, ♥10, ♣J, ♣K | pair
♥8, ♦10, ♥10, ♣J, ♥K | pair
♥8, ♦10, ♥10, ♣J, ♠3 | pair
♥8, ♦10, ♥10, ♣6, ♥K | pair
♥8, ♦10, ♥10, ♣6, ♣10 | three of a kind
♥8, ♦10, ♥10, ♣6, ♣2 | pair
♥8, ♦10, ♥10, ♣6, ♦A | pair
♥8, ♦10, ♥10, ♣6, ♣K | pair
♥8, ♦10, ♥10, ♣6, ♥K | pair
♥8, ♦10, ♥10, ♣6, ♠3 | pair
♥8, ♦10, ♥10, ♥K, ♣10 | three of a kind
♥8, ♦10, ♥10, ♥K, ♣2 | pair
♥8, ♦10, ♥10, ♥K, ♦A | pair
♥8, ♦10, ♥10, ♥K, ♣K | two pairs
♥8, ♦10, ♥10, ♥K, ♥K | two pairs
♥8, ♦10, ♥10, ♥K, ♠3 | pair
♥8, ♦10, ♥10, ♣10, ♣2 | three of a kind
♥8, ♦10, ♥10, ♣10, ♦A | three of a kind
♥8, ♦10, ♥10, ♣10, ♣K | three of a kind
♥8, ♦10, ♥10, ♣10, ♥K | three of a kind
♥8, ♦10, ♥10, ♣10, ♠3 | three of a kind
♥8, ♦10, ♥10, ♣2, ♦A | pair
♥8, ♦10, ♥10, ♣2, ♣K | pair
♥8, ♦10, ♥10, ♣2, ♥K | pair
♥8, ♦10, ♥10, ♣2, ♠3 | pair
♥8, ♦10, ♥10, ♦A, ♣K | pair
♥8, ♦10, ♥10, ♦A, ♥K | pair
♥8, ♦10, ♥10, ♦A, ♠3 | pair
♥8, ♦10, ♥10, ♣K, ♥K | two pairs
♥8, ♦10, ♥10, ♣K, ♠3 | pair
♥8, ♦10, ♥10, ♥K, ♠3 | pair
♥8, ♦10, ♠6, ♥9, ♣6 | pair
♥8, ♦10, ♠6, ♥9, ♣10 | pair
♥8, ♦10, ♠6, ♣J, ♣6 | pair
♥8, ♦10, ♠6, ♣J, ♣10 | pair
♥8, ♦10, ♠6, ♣6, ♥K | pair
♥8, ♦10, ♠6, ♣6, ♣10 | two pairs
♥8, ♦10, ♠6, ♣6, ♣2 | pair
♥8, ♦10, ♠6, ♣6, ♦A | pair
♥8, ♦10, ♠6, ♣6, ♣K | pair
♥8, ♦10, ♠6, ♣6, ♥K | pair
♥8, ♦10, ♠6, ♣6, ♠3 | pair
♥8, ♦10, ♠6, ♥K, ♣10 | pair
♥8, ♦10, ♠6, ♥K, ♣K | pair
♥8, ♦10, ♠6, ♥K, ♥K | pair
♥8, ♦10, ♠6, ♣10, ♣2 | pair
♥8, ♦10, ♠6, ♣10, ♦A | pair
♥8, ♦10, ♠6, ♣10, ♣K | pair
♥8, ♦10, ♠6, ♣10, ♥K | pair
♥8, ♦10, ♠6, ♣10, ♠3 | pair
♥8, ♦10, ♠6, ♣K, ♥K | pair
♥8, ♦10, ♥9, ♣J, ♣10 | pair
♥8, ♦10, ♥9, ♣6, ♣10 | pair
♥8, ♦10, ♥9, ♥K, ♣10 | pair
♥8, ♦10, ♥9, ♥K, ♣K | pair
♥8, ♦10, ♥9, ♥K, ♥K | pair
♥8, ♦10, ♥9, ♣10, ♣2 | pair
♥8, ♦10, ♥9, ♣10, ♦A | pair
♥8, ♦10, ♥9, ♣10, ♣K | pair
♥8, ♦10, ♥9, ♣10, ♥K | pair
♥8, ♦10, ♥9, ♣10, ♠3 | pair
♥8, ♦10, ♥9, ♣K, ♥K | pair
♥8, ♦10, ♣J, ♣6, ♣10 | pair
♥8, ♦10, ♣J, ♥K, ♣10 | pair
♥8, ♦10, ♣J, ♥K, ♣K | pair
♥8, ♦10, ♣J, ♥K, ♥K | pair
♥8, ♦10, ♣J, ♣10, ♣2 | pair
♥8, ♦10, ♣J, ♣10, ♦A | pair
♥8, ♦10, ♣J, ♣10, ♣K | pair
♥8, ♦10, ♣J, ♣10, ♥K | pair
♥8, ♦10, ♣J, ♣10, ♠3 | pair
♥8, ♦10, ♣J, ♣K, ♥K | pair
♥8, ♦10, ♣6, ♥K, ♣10 | pair
♥8, ♦10, ♣6, ♥K, ♣K | pair
♥8, ♦10, ♣6, ♥K, ♥K | pair
♥8, ♦10, ♣6, ♣10, ♣2 | pair
♥8, ♦10, ♣6, ♣10, ♦A | pair
♥8, ♦10, ♣6, ♣10, ♣K | pair
♥8, ♦10, ♣6, ♣10, ♥K | pair
♥8, ♦10, ♣6, ♣10, ♠3 | pair
♥8, ♦10, ♣6, ♣K, ♥K | pair
♥8, ♦10, ♥K, ♣10, ♣2 | pair
♥8, ♦10, ♥K, ♣10, ♦A | pair
♥8, ♦10, ♥K, ♣10, ♣K | two pairs
♥8, ♦10, ♥K, ♣10, ♥K | two pairs
♥8, ♦10, ♥K, ♣10, ♠3 | pair
♥8, ♦10, ♥K, ♣2, ♣K | pair
♥8, ♦10, ♥K, ♣2, ♥K | pair
♥8, ♦10, ♥K, ♦A, ♣K | pair
♥8, ♦10, ♥K, ♦A, ♥K | pair
♥8, ♦10, ♥K, ♣K, ♥K | three of a kind
♥8, ♦10, ♥K, ♣K, ♠3 | pair
♥8, ♦10, ♥K, ♥K, ♠3 | pair
♥8, ♦10, ♣10, ♣2, ♦A | pair
♥8, ♦10, ♣10, ♣2, ♣K | pair
♥8, ♦10, ♣10, ♣2, ♥K | pair
♥8, ♦10, ♣10, ♣2, ♠3 | pair
♥8, ♦10, ♣10, ♦A, ♣K | pair
♥8, ♦10, ♣10, ♦A, ♥K | pair
♥8, ♦10, ♣10, ♦A, ♠3 | pair
♥8, ♦10, ♣10, ♣K, ♥K | two pairs
♥8, ♦10, ♣10, ♣K, ♠3 | pair
♥8, ♦10, ♣10, ♥K, ♠3 | pair
♥8, ♦10, ♣2, ♣K, ♥K | pair
♥8, ♦10, ♦A, ♣K, ♥K | pair
♥8, ♦10, ♣K, ♥K, ♠3 | pair
♥8, ♥10, ♠6, ♥9, ♣6 | pair
♥8, ♥10, ♠6, ♥9, ♣10 | pair
♥8, ♥10, ♠6, ♣J, ♣6 | pair
♥8, ♥10, ♠6, ♣J, ♣10 | pair
♥8, ♥10, ♠6, ♣6, ♥K | pair
♥8, ♥10, ♠6, ♣6, ♣10 | two pairs
♥8, ♥10, ♠6, ♣6, ♣2 | pair
♥8, ♥10, ♠6, ♣6, ♦A | pair
♥8, ♥10, ♠6, ♣6, ♣K | pair
♥8, ♥10, ♠6, ♣6, ♥K | pair
♥8, ♥10, ♠6, ♣6, ♠3 | pair
♥8, ♥10, ♠6, ♥K, ♣10 | pair
♥8, ♥10, ♠6, ♥K, ♣K | pair
♥8, ♥10, ♠6, ♥K, ♥K | pair
♥8, ♥10, ♠6, ♣10, ♣2 | pair
♥8, ♥10, ♠6, ♣10, ♦A | pair
♥8, ♥10, ♠6, ♣10, ♣K | pair
♥8, ♥10, ♠6, ♣10, ♥K | pair
♥8, ♥10, ♠6, ♣10, ♠3 | pair
♥8, ♥10, ♠6, ♣K, ♥K | pair
♥8, ♥10, ♥9, ♣J, ♣10 | pair
♥8, ♥10, ♥9, ♣6, ♣10 | pair
♥8, ♥10, ♥9, ♥K, ♣10 | pair
♥8, ♥10, ♥9, ♥K, ♣K | pair
♥8, ♥10, ♥9, ♥K, ♥K | flush
♥8, ♥10, ♥9, ♣10, ♣2 | pair
♥8, ♥10, ♥9, ♣10, ♦A | pair
♥8, ♥10, ♥9, ♣10, ♣K | pair
♥8, ♥10, ♥9, ♣10, ♥K | pair
♥8, ♥10, ♥9, ♣10, ♠3 | pair
♥8, ♥10, ♥9, ♣K, ♥K | pair
♥8, ♥10, ♣J, ♣6, ♣10 | pair
♥8, ♥10, ♣J, ♥K, ♣10 | pair
♥8, ♥10, ♣J, ♥K, ♣K | pair
♥8, ♥10, ♣J, ♥K, ♥K | pair
♥8, ♥10, ♣J, ♣10, ♣2 | pair
♥8, ♥10, ♣J, ♣10, ♦A | pair
♥8, ♥10, ♣J, ♣10, ♣K | pair
♥8, ♥10, ♣J, ♣10, ♥K | pair
♥8, ♥10, ♣J, ♣10, ♠3 | pair
♥8, ♥10, ♣J, ♣K, ♥K | pair
♥8, ♥10, ♣6, ♥K, ♣10 | pair
♥8, ♥10, ♣6, ♥K, ♣K | pair
♥8, ♥10, ♣6, ♥K, ♥K | pair
♥8, ♥10, ♣6, ♣10, ♣2 | pair
♥8, ♥10, ♣6, ♣10, ♦A | pair
♥8, ♥10, ♣6, ♣10, ♣K | pair
♥8, ♥10, ♣6, ♣10, ♥K | pair
♥8, ♥10, ♣6, ♣10, ♠3 | pair
♥8, ♥10, ♣6, ♣K, ♥K | pair
♥8, ♥10, ♥K, ♣10, ♣2 | pair
♥8, ♥10, ♥K, ♣10, ♦A | pair
♥8, ♥10, ♥K, ♣10, ♣K | two pairs
♥8, ♥10, ♥K, ♣10, ♥K | two pairs
♥8, ♥10, ♥K, ♣10, ♠3 | pair
♥8, ♥10, ♥K, ♣2, ♣K | pair
♥8, ♥10, ♥K, ♣2, ♥K | pair
♥8, ♥10, ♥K, ♦A, ♣K | pair
♥8, ♥10, ♥K, ♦A, ♥K | pair
♥8, ♥10, ♥K, ♣K, ♥K | three of a kind
♥8, ♥10, ♥K, ♣K, ♠3 | pair
♥8, ♥10, ♥K, ♥K, ♠3 | pair
♥8, ♥10, ♣10, ♣2, ♦A | pair
♥8, ♥10, ♣10, ♣2, ♣K | pair
♥8, ♥10, ♣10, ♣2, ♥K | pair
♥8, ♥10, ♣10, ♣2, ♠3 | pair
♥8, ♥10, ♣10, ♦A, ♣K | pair
♥8, ♥10, ♣10, ♦A, ♥K | pair
♥8, ♥10, ♣10, ♦A, ♠3 | pair
♥8, ♥10, ♣10, ♣K, ♥K | two pairs
♥8, ♥10, ♣10, ♣K, ♠3 | pair
♥8, ♥10, ♣10, ♥K, ♠3 | pair
♥8, ♥10, ♣2, ♣K, ♥K | pair
♥8, ♥10, ♦A, ♣K, ♥K | pair
♥8, ♥10, ♣K, ♥K, ♠3 | pair
♥8, ♠6, ♥9, ♣J, ♣6 | pair
♥8, ♠6, ♥9, ♣6, ♥K | pair
♥8, ♠6, ♥9, ♣6, ♣10 | pair
♥8, ♠6, ♥9, ♣6, ♣2 | pair
♥8, ♠6, ♥9, ♣6, ♦A | pair
♥8, ♠6, ♥9, ♣6, ♣K | pair
♥8, ♠6, ♥9, ♣6, ♥K | pair
♥8, ♠6, ♥9, ♣6, ♠3 | pair
♥8, ♠6, ♥9, ♥K, ♣K | pair
♥8, ♠6, ♥9, ♥K, ♥K | pair
♥8, ♠6, ♥9, ♣K, ♥K | pair
♥8, ♠6, ♣J, ♣6, ♥K | pair
♥8, ♠6, ♣J, ♣6, ♣10 | pair
♥8, ♠6, ♣J, ♣6, ♣2 | pair
♥8, ♠6, ♣J, ♣6, ♦A | pair
♥8, ♠6, ♣J, ♣6, ♣K | pair
♥8, ♠6, ♣J, ♣6, ♥K | pair
♥8, ♠6, ♣J, ♣6, ♠3 | pair
♥8, ♠6, ♣J, ♥K, ♣K | pair
♥8, ♠6, ♣J, ♥K, ♥K | pair
♥8, ♠6, ♣J, ♣K, ♥K | pair
♥8, ♠6, ♣6, ♥K, ♣10 | pair
♥8, ♠6, ♣6, ♥K, ♣2 | pair
♥8, ♠6, ♣6, ♥K, ♦A | pair
♥8, ♠6, ♣6, ♥K, ♣K | two pairs
♥8, ♠6, ♣6, ♥K, ♥K | two pairs
♥8, ♠6, ♣6, ♥K, ♠3 | pair
♥8, ♠6, ♣6, ♣10, ♣2 | pair
♥8, ♠6, ♣6, ♣10, ♦A | pair
♥8, ♠6, ♣6, ♣10, ♣K | pair
♥8, ♠6, ♣6, ♣10, ♥K | pair
♥8, ♠6, ♣6, ♣10, ♠3 | pair
♥8, ♠6, ♣6, ♣2, ♦A | pair
♥8, ♠6, ♣6, ♣2, ♣K | pair
♥8, ♠6, ♣6, ♣2, ♥K | pair
♥8, ♠6, ♣6, ♣2, ♠3 | pair
♥8, ♠6, ♣6, ♦A, ♣K | pair
♥8, ♠6, ♣6, ♦A, ♥K | pair
♥8, ♠6, ♣6, ♦A, ♠3 | pair
♥8, ♠6, ♣6, ♣K, ♥K | two pairs
♥8, ♠6, ♣6, ♣K, ♠3 | pair
♥8, ♠6, ♣6, ♥K, ♠3 | pair
♥8, ♠6, ♥K, ♣10, ♣K | pair
♥8, ♠6, ♥K, ♣10, ♥K | pair
♥8, ♠6, ♥K, ♣2, ♣K | pair
♥8, ♠6, ♥K, ♣2, ♥K | pair
♥8, ♠6, ♥K, ♦A, ♣K | pair
♥8, ♠6, ♥K, ♦A, ♥K | pair
♥8, ♠6, ♥K, ♣K, ♥K | three of a kind
♥8, ♠6, ♥K, ♣K, ♠3 | pair
♥8, ♠6, ♥K, ♥K, ♠3 | pair
♥8, ♠6, ♣10, ♣K, ♥K | pair
♥8, ♠6, ♣2, ♣K, ♥K | pair
♥8, ♠6, ♦A, ♣K, ♥K | pair
♥8, ♠6, ♣K, ♥K, ♠3 | pair
♥8, ♥9, ♣J, ♥K, ♣K | pair
♥8, ♥9, ♣J, ♥K, ♥K | pair
♥8, ♥9, ♣J, ♣K, ♥K | pair
♥8, ♥9, ♣6, ♥K, ♣K | pair
♥8, ♥9, ♣6, ♥K, ♥K | pair
♥8, ♥9, ♣6, ♣K, ♥K | pair
♥8, ♥9, ♥K, ♣10, ♣K | pair
♥8, ♥9, ♥K, ♣10, ♥K | pair
♥8, ♥9, ♥K, ♣2, ♣K | pair
♥8, ♥9, ♥K, ♣2, ♥K | pair
♥8, ♥9, ♥K, ♦A, ♣K | pair
♥8, ♥9, ♥K, ♦A, ♥K | pair
♥8, ♥9, ♥K, ♣K, ♥K | three of a kind
♥8, ♥9, ♥K, ♣K, ♠3 | pair
♥8, ♥9, ♥K, ♥K, ♠3 | pair
♥8, ♥9, ♣10, ♣K, ♥K | pair
♥8, ♥9, ♣2, ♣K, ♥K | pair
♥8, ♥9, ♦A, ♣K, ♥K | pair
♥8, ♥9, ♣K, ♥K, ♠3 | pair
♥8, ♣J, ♣6, ♥K, ♣K | pair
♥8, ♣J, ♣6, ♥K, ♥K | pair
♥8, ♣J, ♣6, ♣K, ♥K | pair
♥8, ♣J, ♥K, ♣10, ♣K | pair
♥8, ♣J, ♥K, ♣10, ♥K | pair
♥8, ♣J, ♥K, ♣2, ♣K | pair
♥8, ♣J, ♥K, ♣2, ♥K | pair
♥8, ♣J, ♥K, ♦A, ♣K | pair
♥8, ♣J, ♥K, ♦A, ♥K | pair
♥8, ♣J, ♥K, ♣K, ♥K | three of a kind
♥8, ♣J, ♥K, ♣K, ♠3 | pair
♥8, ♣J, ♥K, ♥K, ♠3 | pair
♥8, ♣J, ♣10, ♣K, ♥K | pair
♥8, ♣J, ♣2, ♣K, ♥K | pair
♥8, ♣J, ♦A, ♣K, ♥K | pair
♥8, ♣J, ♣K, ♥K, ♠3 | pair
♥8, ♣6, ♥K, ♣10, ♣K | pair
♥8, ♣6, ♥K, ♣10, ♥K | pair
♥8, ♣6, ♥K, ♣2, ♣K | pair
♥8, ♣6, ♥K, ♣2, ♥K | pair
♥8, ♣6, ♥K, ♦A, ♣K | pair
♥8, ♣6, ♥K, ♦A, ♥K | pair
♥8, ♣6, ♥K, ♣K, ♥K | three of a kind
♥8, ♣6, ♥K, ♣K, ♠3 | pair
♥8, ♣6, ♥K, ♥K, ♠3 | pair
♥8, ♣6, ♣10, ♣K, ♥K | pair
♥8, ♣6, ♣2, ♣K, ♥K | pair
♥8, ♣6, ♦A, ♣K, ♥K | pair
♥8, ♣6, ♣K, ♥K, ♠3 | pair
♥8, ♥K, ♣10, ♣2, ♣K | pair
♥8, ♥K, ♣10, ♣2, ♥K | pair
♥8, ♥K, ♣10, ♦A, ♣K | pair
♥8, ♥K, ♣10, ♦A, ♥K | pair
♥8, ♥K, ♣10, ♣K, ♥K | three of a kind
♥8, ♥K, ♣10, ♣K, ♠3 | pair
♥8, ♥K, ♣10, ♥K, ♠3 | pair
♥8, ♥K, ♣2, ♦A, ♣K | pair
♥8, ♥K, ♣2, ♦A, ♥K | pair
♥8, ♥K, ♣2, ♣K, ♥K | three of a kind
♥8, ♥K, ♣2, ♣K, ♠3 | pair
♥8, ♥K, ♣2, ♥K, ♠3 | pair
♥8, ♥K, ♦A, ♣K, ♥K | three of a kind
♥8, ♥K, ♦A, ♣K, ♠3 | pair
♥8, ♥K, ♦A, ♥K, ♠3 | pair
♥8, ♥K, ♣K, ♥K, ♠3 | three of a kind
♥8, ♣10, ♣2, ♣K, ♥K | pair
♥8, ♣10, ♦A, ♣K, ♥K | pair
♥8, ♣10, ♣K, ♥K, ♠3 | pair
♥8, ♣2, ♦A, ♣K, ♥K | pair
♥8, ♣2, ♣K, ♥K, ♠3 | pair
♥8, ♦A, ♣K, ♥K, ♠3 | pair
♦10, ♦10, ♥10, ♠6, ♥9 | three of a kind
♦10, ♦10, ♥10, ♠6, ♣J | three of a kind
♦10, ♦10, ♥10, ♠6, ♣6 | fullhouse
♦10, ♦10, ♥10, ♠6, ♥K | three of a kind
♦10, ♦10, ♥10, ♠6, ♣10 | four of a kind!
♦10, ♦10, ♥10, ♠6, ♣2 | three of a kind
♦10, ♦10, ♥10, ♠6, ♦A | three of a kind
♦10, ♦10, ♥10, ♠6, ♣K | three of a kind
♦10, ♦10, ♥10, ♠6, ♥K | three of a kind
♦10, ♦10, ♥10, ♠6, ♠3 | three of a kind
♦10, ♦10, ♥10, ♥9, ♣J | three of a kind
♦10, ♦10, ♥10, ♥9, ♣6 | three of a kind
♦10, ♦10, ♥10, ♥9, ♥K | three of a kind
♦10, ♦10, ♥10, ♥9, ♣10 | four of a kind!
♦10, ♦10, ♥10, ♥9, ♣2 | three of a kind
♦10, ♦10, ♥10, ♥9, ♦A | three of a kind
♦10, ♦10, ♥10, ♥9, ♣K | three of a kind
♦10, ♦10, ♥10, ♥9, ♥K | three of a kind
♦10, ♦10, ♥10, ♥9, ♠3 | three of a kind
♦10, ♦10, ♥10, ♣J, ♣6 | three of a kind
♦10, ♦10, ♥10, ♣J, ♥K | three of a kind
♦10, ♦10, ♥10, ♣J, ♣10 | four of a kind!
♦10, ♦10, ♥10, ♣J, ♣2 | three of a kind
♦10, ♦10, ♥10, ♣J, ♦A | three of a kind
♦10, ♦10, ♥10, ♣J, ♣K | three of a kind
♦10, ♦10, ♥10, ♣J, ♥K | three of a kind
♦10, ♦10, ♥10, ♣J, ♠3 | three of a kind
♦10, ♦10, ♥10, ♣6, ♥K | three of a kind
♦10, ♦10, ♥10, ♣6, ♣10 | four of a kind!
♦10, ♦10, ♥10, ♣6, ♣2 | three of a kind
♦10, ♦10, ♥10, ♣6, ♦A | three of a kind
♦10, ♦10, ♥10, ♣6, ♣K | three of a kind
♦10, ♦10, ♥10, ♣6, ♥K | three of a kind
♦10, ♦10, ♥10, ♣6, ♠3 | three of a kind
♦10, ♦10, ♥10, ♥K, ♣10 | four of a kind!
♦10, ♦10, ♥10, ♥K, ♣2 | three of a kind
♦10, ♦10, ♥10, ♥K, ♦A | three of a kind
♦10, ♦10, ♥10, ♥K, ♣K | fullhouse
♦10, ♦10, ♥10, ♥K, ♥K | fullhouse
♦10, ♦10, ♥10, ♥K, ♠3 | three of a kind
♦10, ♦10, ♥10, ♣10, ♣2 | four of a kind!
♦10, ♦10, ♥10, ♣10, ♦A | four of a kind!
♦10, ♦10, ♥10, ♣10, ♣K | four of a kind!
♦10, ♦10, ♥10, ♣10, ♥K | four of a kind!
♦10, ♦10, ♥10, ♣10, ♠3 | four of a kind!
♦10, ♦10, ♥10, ♣2, ♦A | three of a kind
♦10, ♦10, ♥10, ♣2, ♣K | three of a kind
♦10, ♦10, ♥10, ♣2, ♥K | three of a kind
♦10, ♦10, ♥10, ♣2, ♠3 | three of a kind
♦10, ♦10, ♥10, ♦A, ♣K | three of a kind
♦10, ♦10, ♥10, ♦A, ♥K | three of a kind
♦10, ♦10, ♥10, ♦A, ♠3 | three of a kind
♦10, ♦10, ♥10, ♣K, ♥K | fullhouse
♦10, ♦10, ♥10, ♣K, ♠3 | three of a kind
♦10, ♦10, ♥10, ♥K, ♠3 | three of a kind
♦10, ♦10, ♠6, ♥9, ♣J | pair
♦10, ♦10, ♠6, ♥9, ♣6 | two pairs
♦10, ♦10, ♠6, ♥9, ♥K | pair
♦10, ♦10, ♠6, ♥9, ♣10 | three of a kind
♦10, ♦10, ♠6, ♥9, ♣2 | pair
♦10, ♦10, ♠6, ♥9, ♦A | pair
♦10, ♦10, ♠6, ♥9, ♣K | pair
♦10, ♦10, ♠6, ♥9, ♥K | pair
♦10, ♦10, ♠6, ♥9, ♠3 | pair
♦10, ♦10, ♠6, ♣J, ♣6 | two pairs
♦10, ♦10, ♠6, ♣J, ♥K | pair
♦10, ♦10, ♠6, ♣J, ♣10 | three of a kind
♦10, ♦10, ♠6, ♣J, ♣2 | pair
♦10, ♦10, ♠6, ♣J, ♦A | pair
♦10, ♦10, ♠6, ♣J, ♣K | pair
♦10, ♦10, ♠6, ♣J, ♥K | pair
♦10, ♦10, ♠6, ♣J, ♠3 | pair
♦10, ♦10, ♠6, ♣6, ♥K | two pairs
♦10, ♦10, ♠6, ♣6, ♣10 | fullhouse
♦10, ♦10, ♠6, ♣6, ♣2 | two pairs
♦10, ♦10, ♠6, ♣6, ♦A | two pairs
♦10, ♦10, ♠6, ♣6, ♣K | two pairs
♦10, ♦10, ♠6, ♣6, ♥K | two pairs
♦10, ♦10, ♠6, ♣6, ♠3 | two pairs
♦10, ♦10, ♠6, ♥K, ♣10 | three of a kind
