♣2, ♦J, ♠10, ♦J, ♥5 | pair
♠10, ♦J, ♥Q, ♦10, ♦6 | pair
♠10, ♦J, ♥Q, ♦10, ♦3 | pair
♠10, ♦J, ♥Q, ♦10, ♦4 | pair
♠10, ♦J, ♥Q, ♦10, ♦6 | pair
♠10, ♦J, ♥Q, ♥4, ♦4 | pair
♠10, ♦J, ♥Q, ♦6, ♦6 | pair
♠10, ♦J, ♥3, ♣2, ♦10 | pair
♠10, ♦J, ♥3, ♣2, ♦3 | pair
♠10, ♦J, ♥3, ♦10, ♥4 | pair
♠10, ♦J, ♥3, ♦10, ♦6 | pair
♠10, ♦J, ♥3, ♦10, ♦3 | two pairs
♠10, ♦J, ♥3, ♦10, ♦4 | pair
♠10, ♦J, ♥3, ♦10, ♦6 | pair
♠10, ♦J, ♥3, ♥4, ♦3 | pair
♠10, ♦J, ♥3, ♥4, ♦4 | pair
♠10, ♦J, ♥3, ♦6, ♦3 | pair
♠10, ♦J, ♥3, ♦6, ♦6 | pair
♠10, ♦J, ♥3, ♦3, ♦4 | pair
♠10, ♦J, ♥3, ♦3, ♦6 | pair
♠10, ♦J, ♣2, ♦10, ♥4 | pair
♠10, ♦J, ♣2, ♦10, ♦6 | pair
♠10, ♦J, ♣2, ♦10, ♦3 | pair
♠10, ♦J, ♣2, ♦10, ♦4 | pair
♠10, ♦J, ♣2, ♦10, ♦6 | pair
♠10, ♦J, ♣2, ♥4, ♦4 | pair
♠10, ♦J, ♣2, ♦6, ♦6 | pair
♠10, ♦J, ♦10, ♥4, ♦6 | pair
♠10, ♦J, ♦10, ♥4, ♦3 | pair
♠10, ♦J, ♦10, ♥4, ♦4 | two pairs
♠10, ♦J, ♦10, ♥4, ♦6 | pair
♠10, ♦J, ♦10, ♦6, ♦3 | pair
♠10, ♦J, ♦10, ♦6, ♦4 | pair
♠10, ♦J, ♦10, ♦6, ♦6 | two pairs
♠10, ♦J, ♦10, ♦3, ♦4 | pair
♠10, ♦J, ♦10, ♦3, ♦6 | pair
♠10, ♦J, ♦10, ♦4, ♦6 | pair
♠10, ♦J, ♥4, ♦6, ♦4 | pair
♠10, ♦J, ♥4, ♦6, ♦6 | pair
♠10, ♦J, ♥4, ♦3, ♦4 | pair
♠10, ♦J, ♥4, ♦4, ♦6 | pair
♠10, ♦J, ♦6, ♦3, ♦6 | pair
♠10, ♦J, ♦6, ♦4, ♦6 | pair
♠10, ♥5, ♠9, ♥Q, ♦10 | pair
♠10, ♥5, ♠9, ♥3, ♦10 | pair
♠10, ♥5, ♠9, ♥3, ♦3 | pair
♠10, ♥5, ♠9, ♣2, ♦10 | pair
♠10, ♥5, ♠9, ♦10, ♥4 | pair
♠10, ♥5, ♠9, ♦10, ♦6 | pair
♠10, ♥5, ♠9, ♦10, ♦3 | pair
♠10, ♥5, ♠9, ♦10, ♦4 | pair
♠10, ♥5, ♠9, ♦10, ♦6 | pair
♠10, ♥5, ♠9, ♥4, ♦4 | pair
♠10, ♥5, ♠9, ♦6, ♦6 | pair
♠10, ♥5, ♥Q, ♥3, ♦10 | pair
♠10, ♥5, ♥Q, ♥3, ♦3 | pair
♠10, ♥5, ♥Q, ♣2, ♦10 | pair
♠10, ♥5, ♥Q, ♦10, ♥4 | pair
♠10, ♥5, ♥Q, ♦10, ♦6 | pair
♠10, ♥5, ♥Q, ♦10, ♦3 | pair
♠10, ♥5, ♥Q, ♦10, ♦4 | pair
♠10, ♥5, ♥Q, ♦10, ♦6 | pair
♠10, ♥5, ♥Q, ♥4, ♦4 | pair
♠10, ♥5, ♥Q, ♦6, ♦6 | pair
♠10, ♥5, ♥3, ♣2, ♦10 | pair
♠10, ♥5, ♥3, ♣2, ♦3 | pair
♠10, ♥5, ♥3, ♦10, ♥4 | pair
♠10, ♥5, ♥3, ♦10, ♦6 | pair
♠10, ♥5, ♥3, ♦10, ♦3 | two pairs
♠10, ♥5, ♥3, ♦10, ♦4 | pair
♠10, ♥5, ♥3, ♦10, ♦6 | pair
♠10, ♥5, ♥3, ♥4, ♦3 | pair
♠10, ♥5, ♥3, ♥4, ♦4 | pair
♠10, ♥5, ♥3, ♦6, ♦3 | pair
♠10, ♥5, ♥3, ♦6, ♦6 | pair
♠10, ♥5, ♥3, ♦3, ♦4 | pair
♠10, ♥5, ♥3, ♦3, ♦6 | pair
♠10, ♥5, ♣2, ♦10, ♥4 | pair
♠10, ♥5, ♣2, ♦10, ♦6 | pair
♠10, ♥5, ♣2, ♦10, ♦3 | pair
♠10, ♥5, ♣2, ♦10, ♦4 | pair
♠10, ♥5, ♣2, ♦10, ♦6 | pair
♠10, ♥5, ♣2, ♥4, ♦4 | pair
♠10, ♥5, ♣2, ♦6, ♦6 | pair
♠10, ♥5, ♦10, ♥4, ♦6 | pair
♠10, ♥5, ♦10, ♥4, ♦3 | pair
♠10, ♥5, ♦10, ♥4, ♦4 | two pairs
♠10, ♥5, ♦10, ♥4, ♦6 | pair
♠10, ♥5, ♦10, ♦6, ♦3 | pair
♠10, ♥5, ♦10, ♦6, ♦4 | pair
♠10, ♥5, ♦10, ♦6, ♦6 | two pairs
♠10, ♥5, ♦10, ♦3, ♦4 | pair
♠10, ♥5, ♦10, ♦3, ♦6 | pair
♠10, ♥5, ♦10, ♦4, ♦6 | pair
♠10, ♥5, ♥4, ♦6, ♦4 | pair
♠10, ♥5, ♥4, ♦6, ♦6 | pair
♠10, ♥5, ♥4, ♦3, ♦4 | pair
♠10, ♥5, ♥4, ♦4, ♦6 | pair
♠10, ♥5, ♦6, ♦3, ♦6 | pair
♠10, ♥5, ♦6, ♦4, ♦6 | pair
♠10, ♠9, ♥Q, ♥3, ♦10 | pair
♠10, ♠9, ♥Q, ♥3, ♦3 | pair
♠10, ♠9, ♥Q, ♣2, ♦10 | pair
♠10, ♠9, ♥Q, ♦10, ♥4 | pair
♠10, ♠9, ♥Q, ♦10, ♦6 | pair
♠10, ♠9, ♥Q, ♦10, ♦3 | pair
♠10, ♠9, ♥Q, ♦10, ♦4 | pair
♠10, ♠9, ♥Q, ♦10, ♦6 | pair
♠10, ♠9, ♥Q, ♥4, ♦4 | pair
♠10, ♠9, ♥Q, ♦6, ♦6 | pair
♠10, ♠9, ♥3, ♣2, ♦10 | pair
♠10, ♠9, ♥3, ♣2, ♦3 | pair
♠10, ♠9, ♥3, ♦10, ♥4 | pair
♠10, ♠9, ♥3, ♦10, ♦6 | pair
♠10, ♠9, ♥3, ♦10, ♦3 | two pairs
♠10, ♠9, ♥3, ♦10, ♦4 | pair
♠10, ♠9, ♥3, ♦10, ♦6 | pair
♠10, ♠9, ♥3, ♥4, ♦3 | pair
♠10, ♠9, ♥3, ♥4, ♦4 | pair
♠10, ♠9, ♥3, ♦6, ♦3 | pair
♠10, ♠9, ♥3, ♦6, ♦6 | pair
♠10, ♠9, ♥3, ♦3, ♦4 | pair
♠10, ♠9, ♥3, ♦3, ♦6 | pair
♠10, ♠9, ♣2, ♦10, ♥4 | pair
♠10, ♠9, ♣2, ♦10, ♦6 | pair
♠10, ♠9, ♣2, ♦10, ♦3 | pair
♠10, ♠9, ♣2, ♦10, ♦4 | pair
♠10, ♠9, ♣2, ♦10, ♦6 | pair
♠10, ♠9, ♣2, ♥4, ♦4 | pair
♠10, ♠9, ♣2, ♦6, ♦6 | pair
♠10, ♠9, ♦10, ♥4, ♦6 | pair
♠10, ♠9, ♦10, ♥4, ♦3 | pair
♠10, ♠9, ♦10, ♥4, ♦4 | two pairs
♠10, ♠9, ♦10, ♥4, ♦6 | pair
♠10, ♠9, ♦10, ♦6, ♦3 | pair
♠10, ♠9, ♦10, ♦6, ♦4 | pair
♠10, ♠9, ♦10, ♦6, ♦6 | two pairs
♠10, ♠9, ♦10, ♦3, ♦4 | pair
♠10, ♠9, ♦10, ♦3, ♦6 | pair
♠10, ♠9, ♦10, ♦4, ♦6 | pair
♠10, ♠9, ♥4, ♦6, ♦4 | pair
♠10, ♠9, ♥4, ♦6, ♦6 | pair
♠10, ♠9, ♥4, ♦3, ♦4 | pair
♠10, ♠9, ♥4, ♦4, ♦6 | pair
♠10, ♠9, ♦6, ♦3, ♦6 | pair
♠10, ♠9, ♦6, ♦4, ♦6 | pair
♠10, ♥Q, ♥3, ♣2, ♦10 | pair
♠10, ♥Q, ♥3, ♣2, ♦3 | pair
♠10, ♥Q, ♥3, ♦10, ♥4 | pair
♠10, ♥Q, ♥3, ♦10, ♦6 | pair
♠10, ♥Q, ♥3, ♦10, ♦3 | two pairs
♠10, ♥Q, ♥3, ♦10, ♦4 | pair
♠10, ♥Q, ♥3, ♦10, ♦6 | pair
♠10, ♥Q, ♥3, ♥4, ♦3 | pair
♠10, ♥Q, ♥3, ♥4, ♦4 | pair
♠10, ♥Q, ♥3, ♦6, ♦3 | pair
♠10, ♥Q, ♥3, ♦6, ♦6 | pair
♠10, ♥Q, ♥3, ♦3, ♦4 | pair
♠10, ♥Q, ♥3, ♦3, ♦6 | pair
♠10, ♥Q, ♣2, ♦10, ♥4 | pair
♠10, ♥Q, ♣2, ♦10, ♦6 | pair
♠10, ♥Q, ♣2, ♦10, ♦3 | pair
♠10, ♥Q, ♣2, ♦10, ♦4 | pair
♠10, ♥Q, ♣2, ♦10, ♦6 | pair
♠10, ♥Q, ♣2, ♥4, ♦4 | pair
♠10, ♥Q, ♣2, ♦6, ♦6 | pair
♠10, ♥Q, ♦10, ♥4, ♦6 | pair
♠10, ♥Q, ♦10, ♥4, ♦3 | pair
♠10, ♥Q, ♦10, ♥4, ♦4 | two pairs
♠10, ♥Q, ♦10, ♥4, ♦6 | pair
♠10, ♥Q, ♦10, ♦6, ♦3 | pair
♠10, ♥Q, ♦10, ♦6, ♦4 | pair
♠10, ♥Q, ♦10, ♦6, ♦6 | two pairs
♠10, ♥Q, ♦10, ♦3, ♦4 | pair
♠10, ♥Q, ♦10, ♦3, ♦6 | pair
♠10, ♥Q, ♦10, ♦4, ♦6 | pair
♠10, ♥Q, ♥4, ♦6, ♦4 | pair
♠10, ♥Q, ♥4, ♦6, ♦6 | pair
♠10, ♥Q, ♥4, ♦3, ♦4 | pair
♠10, ♥Q, ♥4, ♦4, ♦6 | pair
♠10, ♥Q, ♦6, ♦3, ♦6 | pair
♠10, ♥Q, ♦6, ♦4, ♦6 | pair
♠10, ♥3, ♣2, ♦10, ♥4 | pair
♠10, ♥3, ♣2, ♦10, ♦6 | pair
♠10, ♥3, ♣2, ♦10, ♦3 | two pairs
♠10, ♥3, ♣2, ♦10, ♦4 | pair
♠10, ♥3, ♣2, ♦10, ♦6 | pair
♠10, ♥3, ♣2, ♥4, ♦3 | pair
♠10, ♥3, ♣2, ♥4, ♦4 | pair
♠10, ♥3, ♣2, ♦6, ♦3 | pair
♠10, ♥3, ♣2, ♦6, ♦6 | pair
♠10, ♥3, ♣2, ♦3, ♦4 | pair
♠10, ♥3, ♣2, ♦3, ♦6 | pair
♠10, ♥3, ♦10, ♥4, ♦6 | pair
♠10, ♥3, ♦10, ♥4, ♦3 | two pairs
♠10, ♥3, ♦10, ♥4, ♦4 | two pairs
♠10, ♥3, ♦10, ♥4, ♦6 | pair
♠10, ♥3, ♦10, ♦6, ♦3 | two pairs
♠10, ♥3, ♦10, ♦6, ♦4 | pair
♠10, ♥3, ♦10, ♦6, ♦6 | two pairs
♠10, ♥3, ♦10, ♦3, ♦4 | two pairs
♠10, ♥3, ♦10, ♦3, ♦6 | two pairs
♠10, ♥3, ♦10, ♦4, ♦6 | pair
♠10, ♥3, ♥4, ♦6, ♦3 | pair
♠10, ♥3, ♥4, ♦6, ♦4 | pair
♠10, ♥3, ♥4, ♦6, ♦6 | pair
♠10, ♥3, ♥4, ♦3, ♦4 | two pairs
♠10, ♥3, ♥4, ♦3, ♦6 | pair
♠10, ♥3, ♥4, ♦4, ♦6 | pair
♠10, ♥3, ♦6, ♦3, ♦4 | pair
♠10, ♥3, ♦6, ♦3, ♦6 | two pairs
♠10, ♥3, ♦6, ♦4, ♦6 | pair
♠10, ♥3, ♦3, ♦4, ♦6 | pair
♠10, ♣2, ♦10, ♥4, ♦6 | pair
♠10, ♣2, ♦10, ♥4, ♦3 | pair
♠10, ♣2, ♦10, ♥4, ♦4 | two pairs
♠10, ♣2, ♦10, ♥4, ♦6 | pair
♠10, ♣2, ♦10, ♦6, ♦3 | pair
♠10, ♣2, ♦10, ♦6, ♦4 | pair
♠10, ♣2, ♦10, ♦6, ♦6 | two pairs
♠10, ♣2, ♦10, ♦3, ♦4 | pair
♠10, ♣2, ♦10, ♦3, ♦6 | pair
♠10, ♣2, ♦10, ♦4, ♦6 | pair
♠10, ♣2, ♥4, ♦6, ♦4 | pair
♠10, ♣2, ♥4, ♦6, ♦6 | pair
♠10, ♣2, ♥4, ♦3, ♦4 | pair
♠10, ♣2, ♥4, ♦4, ♦6 | pair
♠10, ♣2, ♦6, ♦3, ♦6 | pair
♠10, ♣2, ♦6, ♦4, ♦6 | pair
♠10, ♦10, ♥4, ♦6, ♦3 | pair
♠10, ♦10, ♥4, ♦6, ♦4 | two pairs
♠10, ♦10, ♥4, ♦6, ♦6 | two pairs
♠10, ♦10, ♥4, ♦3, ♦4 | two pairs
♠10, ♦10, ♥4, ♦3, ♦6 | pair
♠10, ♦10, ♥4, ♦4, ♦6 | two pairs
♠10, ♦10, ♦6, ♦3, ♦4 | pair
♠10, ♦10, ♦6, ♦3, ♦6 | two pairs
♠10, ♦10, ♦6, ♦4, ♦6 | two pairs
♠10, ♦10, ♦3, ♦4, ♦6 | pair
♠10, ♥4, ♦6, ♦3, ♦4 | pair
♠10, ♥4, ♦6, ♦3, ♦6 | pair
♠10, ♥4, ♦6, ♦4, ♦6 | two pairs
♠10, ♥4, ♦3, ♦4, ♦6 | pair
♠10, ♦6, ♦3, ♦4, ♦6 | pair
♦J, ♥5, ♠9, ♥3, ♦3 | pair
♦J, ♥5, ♠9, ♥4, ♦4 | pair
♦J, ♥5, ♠9, ♦6, ♦6 | pair
♦J, ♥5, ♥Q, ♥3, ♦3 | pair
♦J, ♥5, ♥Q, ♥4, ♦4 | pair
♦J, ♥5, ♥Q, ♦6, ♦6 | pair
♦J, ♥5, ♥3, ♣2, ♦3 | pair
♦J, ♥5, ♥3, ♦10, ♦3 | pair
♦J, ♥5, ♥3, ♥4, ♦3 | pair
♦J, ♥5, ♥3, ♥4, ♦4 | pair
♦J, ♥5, ♥3, ♦6, ♦3 | pair
♦J, ♥5, ♥3, ♦6, ♦6 | pair
♦J, ♥5, ♥3, ♦3, ♦4 | pair
♦J, ♥5, ♥3, ♦3, ♦6 | pair
♦J, ♥5, ♣2, ♥4, ♦4 | pair
♦J, ♥5, ♣2, ♦6, ♦6 | pair
♦J, ♥5, ♦10, ♥4, ♦4 | pair
♦J, ♥5, ♦10, ♦6, ♦6 | pair
♦J, ♥5, ♥4, ♦6, ♦4 | pair
♦J, ♥5, ♥4, ♦6, ♦6 | pair
♦J, ♥5, ♥4, ♦3, ♦4 | pair
♦J, ♥5, ♥4, ♦4, ♦6 | pair
♦J, ♥5, ♦6, ♦3, ♦6 | pair
♦J, ♥5, ♦6, ♦4, ♦6 | pair
♦J, ♠9, ♥Q, ♥3, ♦3 | pair
♦J, ♠9, ♥Q, ♥4, ♦4 | pair
♦J, ♠9, ♥Q, ♦6, ♦6 | pair
♦J, ♠9, ♥3, ♣2, ♦3 | pair
♦J, ♠9, ♥3, ♦10, ♦3 | pair
♦J, ♠9, ♥3, ♥4, ♦3 | pair
♦J, ♠9, ♥3, ♥4, ♦4 | pair
♦J, ♠9, ♥3, ♦6, ♦3 | pair
♦J, ♠9, ♥3, ♦6, ♦6 | pair
♦J, ♠9, ♥3, ♦3, ♦4 | pair
♦J, ♠9, ♥3, ♦3, ♦6 | pair
♦J, ♠9, ♣2, ♥4, ♦4 | pair
♦J, ♠9, ♣2, ♦6, ♦6 | pair
♦J, ♠9, ♦10, ♥4, ♦4 | pair
♦J, ♠9, ♦10, ♦6, ♦6 | pair
♦J, ♠9, ♥4, ♦6, ♦4 | pair
♦J, ♠9, ♥4, ♦6, ♦6 | pair
♦J, ♠9, ♥4, ♦3, ♦4 | pair
♦J, ♠9, ♥4, ♦4, ♦6 | pair
♦J, ♠9, ♦6, ♦3, ♦6 | pair
♦J, ♠9, ♦6, ♦4, ♦6 | pair
♦J, ♥Q, ♥3, ♣2, ♦3 | pair
♦J, ♥Q, ♥3, ♦10, ♦3 | pair
♦J, ♥Q, ♥3, ♥4, ♦3 | pair
♦J, ♥Q, ♥3, ♥4, ♦4 | pair
♦J, ♥Q, ♥3, ♦6, ♦3 | pair
♦J, ♥Q, ♥3, ♦6, ♦6 | pair
♦J, ♥Q, ♥3, ♦3, ♦4 | pair
♦J, ♥Q, ♥3, ♦3, ♦6 | pair
♦J, ♥Q, ♣2, ♥4, ♦4 | pair
♦J, ♥Q, ♣2, ♦6, ♦6 | pair
♦J, ♥Q, ♦10, ♥4, ♦4 | pair
♦J, ♥Q, ♦10, ♦6, ♦6 | pair
♦J, ♥Q, ♥4, ♦6, ♦4 | pair
♦J, ♥Q, ♥4, ♦6, ♦6 | pair
♦J, ♥Q, ♥4, ♦3, ♦4 | pair
♦J, ♥Q, ♥4, ♦4, ♦6 | pair
♦J, ♥Q, ♦6, ♦3, ♦6 | pair
♦J, ♥Q, ♦6, ♦4, ♦6 | pair
♦J, ♥3, ♣2, ♦10, ♦3 | pair
♦J, ♥3, ♣2, ♥4, ♦3 | pair
♦J, ♥3, ♣2, ♥4, ♦4 | pair
♦J, ♥3, ♣2, ♦6, ♦3 | pair
♦J, ♥3, ♣2, ♦6, ♦6 | pair
♦J, ♥3, ♣2, ♦3, ♦4 | pair
♦J, ♥3, ♣2, ♦3, ♦6 | pair
♦J, ♥3, ♦10, ♥4, ♦3 | pair
♦J, ♥3, ♦10, ♥4, ♦4 | pair
♦J, ♥3, ♦10, ♦6, ♦3 | pair
♦J, ♥3, ♦10, ♦6, ♦6 | pair
♦J, ♥3, ♦10, ♦3, ♦4 | pair
♦J, ♥3, ♦10, ♦3, ♦6 | pair
♦J, ♥3, ♥4, ♦6, ♦3 | pair
♦J, ♥3, ♥4, ♦6, ♦4 | pair
♦J, ♥3, ♥4, ♦6, ♦6 | pair
♦J, ♥3, ♥4, ♦3, ♦4 | two pairs
♦J, ♥3, ♥4, ♦3, ♦6 | pair
♦J, ♥3, ♥4, ♦4, ♦6 | pair
♦J, ♥3, ♦6, ♦3, ♦4 | pair
♦J, ♥3, ♦6, ♦3, ♦6 | two pairs
♦J, ♥3, ♦6, ♦4, ♦6 | pair
♦J, ♥3, ♦3, ♦4, ♦6 | pair
♦J, ♣2, ♦10, ♥4, ♦4 | pair
♦J, ♣2, ♦10, ♦6, ♦6 | pair
♦J, ♣2, ♥4, ♦6, ♦4 | pair
♦J, ♣2, ♥4, ♦6, ♦6 | pair
♦J, ♣2, ♥4, ♦3, ♦4 | pair
♦J, ♣2, ♥4, ♦4, ♦6 | pair
♦J, ♣2, ♦6, ♦3, ♦6 | pair
♦J, ♣2, ♦6, ♦4, ♦6 | pair
♦J, ♦10, ♥4, ♦6, ♦4 | pair
♦J, ♦10, ♥4, ♦6, ♦6 | pair
♦J, ♦10, ♥4, ♦3, ♦4 | pair
♦J, ♦10, ♥4, ♦4, ♦6 | pair
♦J, ♦10, ♦6, ♦3, ♦4 | flush
♦J, ♦10, ♦6, ♦3, ♦6 | flush
♦J, ♦10, ♦6, ♦4, ♦6 | flush
♦J, ♦10, ♦3, ♦4, ♦6 | flush
♦J, ♥4, ♦6, ♦3, ♦4 | pair
♦J, ♥4, ♦6, ♦3, ♦6 | pair
♦J, ♥4, ♦6, ♦4, ♦6 | two pairs
♦J, ♥4, ♦3, ♦4, ♦6 | pair
♦J, ♦6, ♦3, ♦4, ♦6 | flush
♥5, ♠9, ♥Q, ♥3, ♦3 | pair
♥5, ♠9, ♥Q, ♥4, ♦4 | pair
♥5, ♠9, ♥Q, ♦6, ♦6 | pair
♥5, ♠9, ♥3, ♣2, ♦3 | pair
♥5, ♠9, ♥3, ♦10, ♦3 | pair
♥5, ♠9, ♥3, ♥4, ♦3 | pair
♥5, ♠9, ♥3, ♥4, ♦4 | pair
♥5, ♠9, ♥3, ♦6, ♦3 | pair
♥5, ♠9, ♥3, ♦6, ♦6 | pair
♥5, ♠9, ♥3, ♦3, ♦4 | pair
♥5, ♠9, ♥3, ♦3, ♦6 | pair
♥5, ♠9, ♣2, ♥4, ♦4 | pair
♥5, ♠9, ♣2, ♦6, ♦6 | pair
♥5, ♠9, ♦10, ♥4, ♦4 | pair
♥5, ♠9, ♦10, ♦6, ♦6 | pair
♥5, ♠9, ♥4, ♦6, ♦4 | pair
♥5, ♠9, ♥4, ♦6, ♦6 | pair
♥5, ♠9, ♥4, ♦3, ♦4 | pair
♥5, ♠9, ♥4, ♦4, ♦6 | pair
♥5, ♠9, ♦6, ♦3, ♦6 | pair
♥5, ♠9, ♦6, ♦4, ♦6 | pair
♥5, ♥Q, ♥3, ♣2, ♦3 | pair
♥5, ♥Q, ♥3, ♦10, ♦3 | pair
♥5, ♥Q, ♥3, ♥4, ♦3 | pair
♥5, ♥Q, ♥3, ♥4, ♦4 | pair
♥5, ♥Q, ♥3, ♦6, ♦3 | pair
♥5, ♥Q, ♥3, ♦6, ♦6 | pair
♥5, ♥Q, ♥3, ♦3, ♦4 | pair
♥5, ♥Q, ♥3, ♦3, ♦6 | pair
♥5, ♥Q, ♣2, ♥4, ♦4 | pair
♥5, ♥Q, ♣2, ♦6, ♦6 | pair
♥5, ♥Q, ♦10, ♥4, ♦4 | pair
♥5, ♥Q, ♦10, ♦6, ♦6 | pair
♥5, ♥Q, ♥4, ♦6, ♦4 | pair
♥5, ♥Q, ♥4, ♦6, ♦6 | pair
♥5, ♥Q, ♥4, ♦3, ♦4 | pair
♥5, ♥Q, ♥4, ♦4, ♦6 | pair
♥5, ♥Q, ♦6, ♦3, ♦6 | pair
♥5, ♥Q, ♦6, ♦4, ♦6 | pair
♥5, ♥3, ♣2, ♦10, ♦3 | pair
♥5, ♥3, ♣2, ♥4, ♦6 | straight
♥5, ♥3, ♣2, ♥4, ♦3 | pair
♥5, ♥3, ♣2, ♥4, ♦4 | pair
♥5, ♥3, ♣2, ♥4, ♦6 | straight
♥5, ♥3, ♣2, ♦6, ♦3 | pair
♥5, ♥3, ♣2, ♦6, ♦4 | straight
♥5, ♥3, ♣2, ♦6, ♦6 | pair
♥5, ♥3, ♣2, ♦3, ♦4 | pair
♥5, ♥3, ♣2, ♦3, ♦6 | pair
♥5, ♥3, ♣2, ♦4, ♦6 | straight
♥5, ♥3, ♦10, ♥4, ♦3 | pair
♥5, ♥3, ♦10, ♥4, ♦4 | pair
♥5, ♥3, ♦10, ♦6, ♦3 | pair
♥5, ♥3, ♦10, ♦6, ♦6 | pair
♥5, ♥3, ♦10, ♦3, ♦4 | pair
♥5, ♥3, ♦10, ♦3, ♦6 | pair
♥5, ♥3, ♥4, ♦6, ♦3 | pair
♥5, ♥3, ♥4, ♦6, ♦4 | pair
♥5, ♥3, ♥4, ♦6, ♦6 | pair
♥5, ♥3, ♥4, ♦3, ♦4 | two pairs
♥5, ♥3, ♥4, ♦3, ♦6 | pair
♥5, ♥3, ♥4, ♦4, ♦6 | pair
♥5, ♥3, ♦6, ♦3, ♦4 | pair
♥5, ♥3, ♦6, ♦3, ♦6 | two pairs
♥5, ♥3, ♦6, ♦4, ♦6 | pair
♥5, ♥3, ♦3, ♦4, ♦6 | pair
♥5, ♣2, ♦10, ♥4, ♦4 | pair
♥5, ♣2, ♦10, ♦6, ♦6 | pair
♥5, ♣2, ♥4, ♦6, ♦3 | straight
♥5, ♣2, ♥4, ♦6, ♦4 | pair
♥5, ♣2, ♥4, ♦6, ♦6 | pair
♥5, ♣2, ♥4, ♦3, ♦4 | pair
♥5, ♣2, ♥4, ♦3, ♦6 | straight
♥5, ♣2, ♥4, ♦4, ♦6 | pair
♥5, ♣2, ♦6, ♦3, ♦4 | straight
♥5, ♣2, ♦6, ♦3, ♦6 | pair
♥5, ♣2, ♦6, ♦4, ♦6 | pair
♥5, ♣2, ♦3, ♦4, ♦6 | straight
♥5, ♦10, ♥4, ♦6, ♦4 | pair
♥5, ♦10, ♥4, ♦6, ♦6 | pair
♥5, ♦10, ♥4, ♦3, ♦4 | pair
♥5, ♦10, ♥4, ♦4, ♦6 | pair
♥5, ♦10, ♦6, ♦3, ♦6 | pair
♥5, ♦10, ♦6, ♦4, ♦6 | pair
♥5, ♥4, ♦6, ♦3, ♦4 | pair
♥5, ♥4, ♦6, ♦3, ♦6 | pair
♥5, ♥4, ♦6, ♦4, ♦6 | two pairs
♥5, ♥4, ♦3, ♦4, ♦6 | pair
♥5, ♦6, ♦3, ♦4, ♦6 | pair
♠9, ♥Q, ♥3, ♣2, ♦3 | pair
♠9, ♥Q, ♥3, ♦10, ♦3 | pair
♠9, ♥Q, ♥3, ♥4, ♦3 | pair
♠9, ♥Q, ♥3, ♥4, ♦4 | pair
♠9, ♥Q, ♥3, ♦6, ♦3 | pair
♠9, ♥Q, ♥3, ♦6, ♦6 | pair
♠9, ♥Q, ♥3, ♦3, ♦4 | pair
♠9, ♥Q, ♥3, ♦3, ♦6 | pair
♠9, ♥Q, ♣2, ♥4, ♦4 | pair
♠9, ♥Q, ♣2, ♦6, ♦6 | pair
♠9, ♥Q, ♦10, ♥4, ♦4 | pair
♠9, ♥Q, ♦10, ♦6, ♦6 | pair
♠9, ♥Q, ♥4, ♦6, ♦4 | pair
♠9, ♥Q, ♥4, ♦6, ♦6 | pair
♠9, ♥Q, ♥4, ♦3, ♦4 | pair
♠9, ♥Q, ♥4, ♦4, ♦6 | pair
♠9, ♥Q, ♦6, ♦3, ♦6 | pair
♠9, ♥Q, ♦6, ♦4, ♦6 | pair
♠9, ♥3, ♣2, ♦10, ♦3 | pair
♠9, ♥3, ♣2, ♥4, ♦3 | pair
♠9, ♥3, ♣2, ♥4, ♦4 | pair
♠9, ♥3, ♣2, ♦6, ♦3 | pair
♠9, ♥3, ♣2, ♦6, ♦6 | pair
♠9, ♥3, ♣2, ♦3, ♦4 | pair
♠9, ♥3, ♣2, ♦3, ♦6 | pair
♠9, ♥3, ♦10, ♥4, ♦3 | pair
♠9, ♥3, ♦10, ♥4, ♦4 | pair
♠9, ♥3, ♦10, ♦6, ♦3 | pair
♠9, ♥3, ♦10, ♦6, ♦6 | pair
♠9, ♥3, ♦10, ♦3, ♦4 | pair
♠9, ♥3, ♦10, ♦3, ♦6 | pair
♠9, ♥3, ♥4, ♦6, ♦3 | pair
♠9, ♥3, ♥4, ♦6, ♦4 | pair
♠9, ♥3, ♥4, ♦6, ♦6 | pair
♠9, ♥3, ♥4, ♦3, ♦4 | two pairs
♠9, ♥3, ♥4, ♦3, ♦6 | pair
♠9, ♥3, ♥4, ♦4, ♦6 | pair
♠9, ♥3, ♦6, ♦3, ♦4 | pair
♠9, ♥3, ♦6, ♦3, ♦6 | two pairs
♠9, ♥3, ♦6, ♦4, ♦6 | pair
♠9, ♥3, ♦3, ♦4, ♦6 | pair
♠9, ♣2, ♦10, ♥4, ♦4 | pair
♠9, ♣2, ♦10, ♦6, ♦6 | pair
♠9, ♣2, ♥4, ♦6, ♦4 | pair
♠9, ♣2, ♥4, ♦6, ♦6 | pair
♠9, ♣2, ♥4, ♦3, ♦4 | pair
♠9, ♣2, ♥4, ♦4, ♦6 | pair
♠9, ♣2, ♦6, ♦3, ♦6 | pair
♠9, ♣2, ♦6, ♦4, ♦6 | pair
♠9, ♦10, ♥4, ♦6, ♦4 | pair
♠9, ♦10, ♥4, ♦6, ♦6 | pair
♠9, ♦10, ♥4, ♦3, ♦4 | pair
