♣8, ♦4, ♥A, ♦3, ♦4 | pair
♥A, ♠2, ♦2, ♦3, ♥6 | pair
♥A, ♠9, ♦4, ♠A, ♦9 | two pairs
♥A, ♠9, ♦4, ♠A, ♠2 | pair
♥A, ♠9, ♦4, ♠A, ♦2 | pair
♥A, ♠9, ♦4, ♠A, ♦3 | pair
♥A, ♠9, ♦4, ♠A, ♥6 | pair
♥A, ♠9, ♦4, ♦9, ♠2 | pair
♥A, ♠9, ♦4, ♦9, ♦2 | pair
♥A, ♠9, ♦4, ♦9, ♦3 | pair
♥A, ♠9, ♦4, ♦9, ♥6 | pair
♥A, ♠9, ♦4, ♠2, ♦2 | pair
♥A, ♠9, ♠A, ♦9, ♠2 | two pairs
♥A, ♠9, ♠A, ♦9, ♦2 | two pairs
♥A, ♠9, ♠A, ♦9, ♦3 | two pairs
♥A, ♠9, ♠A, ♦9, ♥6 | two pairs
♥A, ♠9, ♠A, ♠2, ♦2 | two pairs
♥A, ♠9, ♠A, ♠2, ♦3 | pair
♥A, ♠9, ♠A, ♠2, ♥6 | pair
♥A, ♠9, ♠A, ♦2, ♦3 | pair
♥A, ♠9, ♠A, ♦2, ♥6 | pair
♥A, ♠9, ♠A, ♦3, ♥6 | pair
♥A, ♠9, ♦9, ♠2, ♦2 | two pairs
♥A, ♠9, ♦9, ♠2, ♦3 | pair
♥A, ♠9, ♦9, ♠2, ♥6 | pair
♥A, ♠9, ♦9, ♦2, ♦3 | pair
♥A, ♠9, ♦9, ♦2, ♥6 | pair
♥A, ♠9, ♦9, ♦3, ♥6 | pair
♥A, ♠9, ♠2, ♦2, ♦3 | pair
♥A, ♠9, ♠2, ♦2, ♥6 | pair
♥A, ♦4, ♠A, ♦9, ♠2 | pair
♥A, ♦4, ♠A, ♦9, ♦2 | pair
♥A, ♦4, ♠A, ♦9, ♦3 | pair
♥A, ♦4, ♠A, ♦9, ♥6 | pair
♥A, ♦4, ♠A, ♠2, ♦2 | two pairs
♥A, ♦4, ♠A, ♠2, ♦3 | pair
♥A, ♦4, ♠A, ♠2, ♥6 | pair
♥A, ♦4, ♠A, ♦2, ♦3 | pair
♥A, ♦4, ♠A, ♦2, ♥6 | pair
♥A, ♦4, ♠A, ♦3, ♥6 | pair
♥A, ♦4, ♦9, ♠2, ♦2 | pair
♥A, ♦4, ♠2, ♦2, ♦3 | pair
♥A, ♦4, ♠2, ♦2, ♥6 | pair
♥A, ♠A, ♦9, ♠2, ♦2 | two pairs
♥A, ♠A, ♦9, ♠2, ♦3 | pair
♥A, ♠A, ♦9, ♠2, ♥6 | pair
♥A, ♠A, ♦9, ♦2, ♦3 | pair
♥A, ♠A, ♦9, ♦2, ♥6 | pair
♥A, ♠A, ♦9, ♦3, ♥6 | pair
♥A, ♠A, ♠2, ♦2, ♦3 | two pairs
♥A, ♠A, ♠2, ♦2, ♥6 | two pairs
♥A, ♠A, ♠2, ♦3, ♥6 | pair
♥A, ♠A, ♦2, ♦3, ♥6 | pair
♥A, ♦9, ♠2, ♦2, ♦3 | pair
♥A, ♦9, ♠2, ♦2, ♥6 | pair
♥A, ♠2, ♦2, ♦3, ♥6 | pair
♦3, ♠6, ♠2, ♠9, ♦9 | pair
♦3, ♠6, ♠2, ♠9, ♠2 | pair
♦3, ♠6, ♠2, ♠9, ♦2 | pair
♦3, ♠6, ♠2, ♠9, ♦3 | pair
♦3, ♠6, ♠2, ♠9, ♥6 | pair
♦3, ♠6, ♠2, ♦4, ♠2 | pair
♦3, ♠6, ♠2, ♦4, ♦2 | pair
♦3, ♠6, ♠2, ♦4, ♦3 | pair
♦3, ♠6, ♠2, ♦4, ♥6 | pair
♦3, ♠6, ♠2, ♠A, ♠2 | pair
♦3, ♠6, ♠2, ♠A, ♦2 | pair
♦3, ♠6, ♠2, ♠A, ♦3 | pair
♦3, ♠6, ♠2, ♠A, ♥6 | pair
♦3, ♠6, ♠2, ♦9, ♠2 | pair
♦3, ♠6, ♠2, ♦9, ♦2 | pair
♦3, ♠6, ♠2, ♦9, ♦3 | pair
♦3, ♠6, ♠2, ♦9, ♥6 | pair
♦3, ♠6, ♠2, ♠2, ♦2 | three of a kind
♦3, ♠6, ♠2, ♠2, ♦3 | two pairs
♦3, ♠6, ♠2, ♠2, ♥6 | two pairs
♦3, ♠6, ♠2, ♦2, ♦3 | two pairs
♦3, ♠6, ♠2, ♦2, ♥6 | two pairs
♦3, ♠6, ♠2, ♦3, ♥6 | two pairs
♦3, ♠6, ♠9, ♦4, ♦9 | pair
♦3, ♠6, ♠9, ♦4, ♦3 | pair
♦3, ♠6, ♠9, ♦4, ♥6 | pair
♦3, ♠6, ♠9, ♠A, ♦9 | pair
♦3, ♠6, ♠9, ♠A, ♦3 | pair
♦3, ♠6, ♠9, ♠A, ♥6 | pair
♦3, ♠6, ♠9, ♦9, ♠2 | pair
♦3, ♠6, ♠9, ♦9, ♦2 | pair
♦3, ♠6, ♠9, ♦9, ♦3 | two pairs
♦3, ♠6, ♠9, ♦9, ♥6 | two pairs
♦3, ♠6, ♠9, ♠2, ♦2 | pair
♦3, ♠6, ♠9, ♠2, ♦3 | pair
♦3, ♠6, ♠9, ♠2, ♥6 | pair
♦3, ♠6, ♠9, ♦2, ♦3 | pair
♦3, ♠6, ♠9, ♦2, ♥6 | pair
♦3, ♠6, ♠9, ♦3, ♥6 | two pairs
♦3, ♠6, ♦4, ♠A, ♦3 | pair
♦3, ♠6, ♦4, ♠A, ♥6 | pair
♦3, ♠6, ♦4, ♦9, ♦3 | pair
♦3, ♠6, ♦4, ♦9, ♥6 | pair
♦3, ♠6, ♦4, ♠2, ♦2 | pair
♦3, ♠6, ♦4, ♠2, ♦3 | pair
♦3, ♠6, ♦4, ♠2, ♥6 | pair
♦3, ♠6, ♦4, ♦2, ♦3 | pair
♦3, ♠6, ♦4, ♦2, ♥6 | pair
♦3, ♠6, ♦4, ♦3, ♥6 | two pairs
♦3, ♠6, ♠A, ♦9, ♦3 | pair
♦3, ♠6, ♠A, ♦9, ♥6 | pair
♦3, ♠6, ♠A, ♠2, ♦2 | pair
♦3, ♠6, ♠A, ♠2, ♦3 | pair
♦3, ♠6, ♠A, ♠2, ♥6 | pair
♦3, ♠6, ♠A, ♦2, ♦3 | pair
♦3, ♠6, ♠A, ♦2, ♥6 | pair
♦3, ♠6, ♠A, ♦3, ♥6 | two pairs
♦3, ♠6, ♦9, ♠2, ♦2 | pair
♦3, ♠6, ♦9, ♠2, ♦3 | pair
♦3, ♠6, ♦9, ♠2, ♥6 | pair
♦3, ♠6, ♦9, ♦2, ♦3 | pair
♦3, ♠6, ♦9, ♦2, ♥6 | pair
♦3, ♠6, ♦9, ♦3, ♥6 | two pairs
♦3, ♠6, ♠2, ♦2, ♦3 | two pairs
♦3, ♠6, ♠2, ♦2, ♥6 | two pairs
♦3, ♠6, ♠2, ♦3, ♥6 | two pairs
♦3, ♠6, ♦2, ♦3, ♥6 | two pairs
♦3, ♠2, ♠9, ♦4, ♦9 | pair
♦3, ♠2, ♠9, ♦4, ♠2 | pair
♦3, ♠2, ♠9, ♦4, ♦2 | pair
♦3, ♠2, ♠9, ♦4, ♦3 | pair
♦3, ♠2, ♠9, ♠A, ♦9 | pair
♦3, ♠2, ♠9, ♠A, ♠2 | pair
♦3, ♠2, ♠9, ♠A, ♦2 | pair
♦3, ♠2, ♠9, ♠A, ♦3 | pair
♦3, ♠2, ♠9, ♦9, ♠2 | two pairs
♦3, ♠2, ♠9, ♦9, ♦2 | two pairs
♦3, ♠2, ♠9, ♦9, ♦3 | two pairs
♦3, ♠2, ♠9, ♦9, ♥6 | pair
♦3, ♠2, ♠9, ♠2, ♦2 | three of a kind
♦3, ♠2, ♠9, ♠2, ♦3 | two pairs
♦3, ♠2, ♠9, ♠2, ♥6 | pair
♦3, ♠2, ♠9, ♦2, ♦3 | two pairs
♦3, ♠2, ♠9, ♦2, ♥6 | pair
♦3, ♠2, ♠9, ♦3, ♥6 | pair
♦3, ♠2, ♦4, ♠A, ♠2 | pair
♦3, ♠2, ♦4, ♠A, ♦2 | pair
♦3, ♠2, ♦4, ♠A, ♦3 | pair
♦3, ♠2, ♦4, ♦9, ♠2 | pair
♦3, ♠2, ♦4, ♦9, ♦2 | pair
♦3, ♠2, ♦4, ♦9, ♦3 | pair
♦3, ♠2, ♦4, ♠2, ♦2 | three of a kind
♦3, ♠2, ♦4, ♠2, ♦3 | two pairs
♦3, ♠2, ♦4, ♠2, ♥6 | pair
♦3, ♠2, ♦4, ♦2, ♦3 | two pairs
♦3, ♠2, ♦4, ♦2, ♥6 | pair
♦3, ♠2, ♦4, ♦3, ♥6 | pair
♦3, ♠2, ♠A, ♦9, ♠2 | pair
♦3, ♠2, ♠A, ♦9, ♦2 | pair
♦3, ♠2, ♠A, ♦9, ♦3 | pair
♦3, ♠2, ♠A, ♠2, ♦2 | three of a kind
♦3, ♠2, ♠A, ♠2, ♦3 | two pairs
♦3, ♠2, ♠A, ♠2, ♥6 | pair
♦3, ♠2, ♠A, ♦2, ♦3 | two pairs
♦3, ♠2, ♠A, ♦2, ♥6 | pair
♦3, ♠2, ♠A, ♦3, ♥6 | pair
♦3, ♠2, ♦9, ♠2, ♦2 | three of a kind
♦3, ♠2, ♦9, ♠2, ♦3 | two pairs
♦3, ♠2, ♦9, ♠2, ♥6 | pair
♦3, ♠2, ♦9, ♦2, ♦3 | two pairs
♦3, ♠2, ♦9, ♦2, ♥6 | pair
♦3, ♠2, ♦9, ♦3, ♥6 | pair
♦3, ♠2, ♠2, ♦2, ♦3 | fullhouse
♦3, ♠2, ♠2, ♦2, ♥6 | three of a kind
♦3, ♠2, ♠2, ♦3, ♥6 | two pairs
♦3, ♠2, ♦2, ♦3, ♥6 | two pairs
♦3, ♠9, ♦4, ♠A, ♦9 | pair
♦3, ♠9, ♦4, ♠A, ♦3 | pair
♦3, ♠9, ♦4, ♦9, ♠2 | pair
♦3, ♠9, ♦4, ♦9, ♦2 | pair
♦3, ♠9, ♦4, ♦9, ♦3 | two pairs
♦3, ♠9, ♦4, ♦9, ♥6 | pair
♦3, ♠9, ♦4, ♠2, ♦2 | pair
♦3, ♠9, ♦4, ♠2, ♦3 | pair
♦3, ♠9, ♦4, ♦2, ♦3 | pair
♦3, ♠9, ♦4, ♦3, ♥6 | pair
♦3, ♠9, ♠A, ♦9, ♠2 | pair
♦3, ♠9, ♠A, ♦9, ♦2 | pair
♦3, ♠9, ♠A, ♦9, ♦3 | two pairs
♦3, ♠9, ♠A, ♦9, ♥6 | pair
♦3, ♠9, ♠A, ♠2, ♦2 | pair
♦3, ♠9, ♠A, ♠2, ♦3 | pair
♦3, ♠9, ♠A, ♦2, ♦3 | pair
♦3, ♠9, ♠A, ♦3, ♥6 | pair
♦3, ♠9, ♦9, ♠2, ♦2 | two pairs
♦3, ♠9, ♦9, ♠2, ♦3 | two pairs
♦3, ♠9, ♦9, ♠2, ♥6 | pair
♦3, ♠9, ♦9, ♦2, ♦3 | two pairs
♦3, ♠9, ♦9, ♦2, ♥6 | pair
♦3, ♠9, ♦9, ♦3, ♥6 | two pairs
♦3, ♠9, ♠2, ♦2, ♦3 | two pairs
♦3, ♠9, ♠2, ♦2, ♥6 | pair
♦3, ♠9, ♠2, ♦3, ♥6 | pair
♦3, ♠9, ♦2, ♦3, ♥6 | pair
♦3, ♦4, ♠A, ♦9, ♦3 | pair
♦3, ♦4, ♠A, ♠2, ♦2 | pair
♦3, ♦4, ♠A, ♠2, ♦3 | pair
♦3, ♦4, ♠A, ♦2, ♦3 | pair
♦3, ♦4, ♠A, ♦3, ♥6 | pair
♦3, ♦4, ♦9, ♠2, ♦2 | pair
♦3, ♦4, ♦9, ♠2, ♦3 | pair
♦3, ♦4, ♦9, ♦2, ♦3 | flush
♦3, ♦4, ♦9, ♦3, ♥6 | pair
♦3, ♦4, ♠2, ♦2, ♦3 | two pairs
♦3, ♦4, ♠2, ♦2, ♥6 | pair
♦3, ♦4, ♠2, ♦3, ♥6 | pair
♦3, ♦4, ♦2, ♦3, ♥6 | pair
♦3, ♠A, ♦9, ♠2, ♦2 | pair
♦3, ♠A, ♦9, ♠2, ♦3 | pair
♦3, ♠A, ♦9, ♦2, ♦3 | pair
♦3, ♠A, ♦9, ♦3, ♥6 | pair
♦3, ♠A, ♠2, ♦2, ♦3 | two pairs
♦3, ♠A, ♠2, ♦2, ♥6 | pair
♦3, ♠A, ♠2, ♦3, ♥6 | pair
♦3, ♠A, ♦2, ♦3, ♥6 | pair
♦3, ♦9, ♠2, ♦2, ♦3 | two pairs
♦3, ♦9, ♠2, ♦2, ♥6 | pair
♦3, ♦9, ♠2, ♦3, ♥6 | pair
♦3, ♦9, ♦2, ♦3, ♥6 | pair
♦3, ♠2, ♦2, ♦3, ♥6 | two pairs
♠6, ♠2, ♠9, ♦4, ♦9 | pair
♠6, ♠2, ♠9, ♦4, ♠2 | pair
♠6, ♠2, ♠9, ♦4, ♦2 | pair
♠6, ♠2, ♠9, ♦4, ♥6 | pair
♠6, ♠2, ♠9, ♠A, ♦9 | pair
♠6, ♠2, ♠9, ♠A, ♠2 | flush
♠6, ♠2, ♠9, ♠A, ♦2 | pair
♠6, ♠2, ♠9, ♠A, ♥6 | pair
♠6, ♠2, ♠9, ♦9, ♠2 | two pairs
♠6, ♠2, ♠9, ♦9, ♦2 | two pairs
♠6, ♠2, ♠9, ♦9, ♦3 | pair
♠6, ♠2, ♠9, ♦9, ♥6 | two pairs
♠6, ♠2, ♠9, ♠2, ♦2 | three of a kind
♠6, ♠2, ♠9, ♠2, ♦3 | pair
♠6, ♠2, ♠9, ♠2, ♥6 | two pairs
♠6, ♠2, ♠9, ♦2, ♦3 | pair
♠6, ♠2, ♠9, ♦2, ♥6 | two pairs
♠6, ♠2, ♠9, ♦3, ♥6 | pair
♠6, ♠2, ♦4, ♠A, ♠2 | pair
♠6, ♠2, ♦4, ♠A, ♦2 | pair
♠6, ♠2, ♦4, ♠A, ♥6 | pair
♠6, ♠2, ♦4, ♦9, ♠2 | pair
♠6, ♠2, ♦4, ♦9, ♦2 | pair
♠6, ♠2, ♦4, ♦9, ♥6 | pair
♠6, ♠2, ♦4, ♠2, ♦2 | three of a kind
♠6, ♠2, ♦4, ♠2, ♦3 | pair
♠6, ♠2, ♦4, ♠2, ♥6 | two pairs
♠6, ♠2, ♦4, ♦2, ♦3 | pair
♠6, ♠2, ♦4, ♦2, ♥6 | two pairs
♠6, ♠2, ♦4, ♦3, ♥6 | pair
♠6, ♠2, ♠A, ♦9, ♠2 | pair
♠6, ♠2, ♠A, ♦9, ♦2 | pair
♠6, ♠2, ♠A, ♦9, ♥6 | pair
♠6, ♠2, ♠A, ♠2, ♦2 | three of a kind
♠6, ♠2, ♠A, ♠2, ♦3 | pair
♠6, ♠2, ♠A, ♠2, ♥6 | two pairs
♠6, ♠2, ♠A, ♦2, ♦3 | pair
♠6, ♠2, ♠A, ♦2, ♥6 | two pairs
♠6, ♠2, ♠A, ♦3, ♥6 | pair
♠6, ♠2, ♦9, ♠2, ♦2 | three of a kind
♠6, ♠2, ♦9, ♠2, ♦3 | pair
♠6, ♠2, ♦9, ♠2, ♥6 | two pairs
♠6, ♠2, ♦9, ♦2, ♦3 | pair
♠6, ♠2, ♦9, ♦2, ♥6 | two pairs
♠6, ♠2, ♦9, ♦3, ♥6 | pair
♠6, ♠2, ♠2, ♦2, ♦3 | three of a kind
♠6, ♠2, ♠2, ♦2, ♥6 | fullhouse
♠6, ♠2, ♠2, ♦3, ♥6 | two pairs
♠6, ♠2, ♦2, ♦3, ♥6 | two pairs
♠6, ♠9, ♦4, ♠A, ♦9 | pair
♠6, ♠9, ♦4, ♠A, ♥6 | pair
♠6, ♠9, ♦4, ♦9, ♠2 | pair
♠6, ♠9, ♦4, ♦9, ♦2 | pair
♠6, ♠9, ♦4, ♦9, ♦3 | pair
♠6, ♠9, ♦4, ♦9, ♥6 | two pairs
♠6, ♠9, ♦4, ♠2, ♦2 | pair
♠6, ♠9, ♦4, ♠2, ♥6 | pair
♠6, ♠9, ♦4, ♦2, ♥6 | pair
♠6, ♠9, ♦4, ♦3, ♥6 | pair
♠6, ♠9, ♠A, ♦9, ♠2 | pair
♠6, ♠9, ♠A, ♦9, ♦2 | pair
♠6, ♠9, ♠A, ♦9, ♦3 | pair
♠6, ♠9, ♠A, ♦9, ♥6 | two pairs
♠6, ♠9, ♠A, ♠2, ♦2 | pair
♠6, ♠9, ♠A, ♠2, ♥6 | pair
♠6, ♠9, ♠A, ♦2, ♥6 | pair
♠6, ♠9, ♠A, ♦3, ♥6 | pair
♠6, ♠9, ♦9, ♠2, ♦2 | two pairs
♠6, ♠9, ♦9, ♠2, ♦3 | pair
♠6, ♠9, ♦9, ♠2, ♥6 | two pairs
♠6, ♠9, ♦9, ♦2, ♦3 | pair
♠6, ♠9, ♦9, ♦2, ♥6 | two pairs
♠6, ♠9, ♦9, ♦3, ♥6 | two pairs
♠6, ♠9, ♠2, ♦2, ♦3 | pair
♠6, ♠9, ♠2, ♦2, ♥6 | two pairs
♠6, ♠9, ♠2, ♦3, ♥6 | pair
♠6, ♠9, ♦2, ♦3, ♥6 | pair
♠6, ♦4, ♠A, ♦9, ♥6 | pair
♠6, ♦4, ♠A, ♠2, ♦2 | pair
♠6, ♦4, ♠A, ♠2, ♥6 | pair
♠6, ♦4, ♠A, ♦2, ♥6 | pair
♠6, ♦4, ♠A, ♦3, ♥6 | pair
♠6, ♦4, ♦9, ♠2, ♦2 | pair
♠6, ♦4, ♦9, ♠2, ♥6 | pair
♠6, ♦4, ♦9, ♦2, ♥6 | pair
♠6, ♦4, ♦9, ♦3, ♥6 | pair
♠6, ♦4, ♠2, ♦2, ♦3 | pair
♠6, ♦4, ♠2, ♦2, ♥6 | two pairs
♠6, ♦4, ♠2, ♦3, ♥6 | pair
♠6, ♦4, ♦2, ♦3, ♥6 | pair
♠6, ♠A, ♦9, ♠2, ♦2 | pair
♠6, ♠A, ♦9, ♠2, ♥6 | pair
♠6, ♠A, ♦9, ♦2, ♥6 | pair
♠6, ♠A, ♦9, ♦3, ♥6 | pair
♠6, ♠A, ♠2, ♦2, ♦3 | pair
♠6, ♠A, ♠2, ♦2, ♥6 | two pairs
♠6, ♠A, ♠2, ♦3, ♥6 | pair
♠6, ♠A, ♦2, ♦3, ♥6 | pair
♠6, ♦9, ♠2, ♦2, ♦3 | pair
♠6, ♦9, ♠2, ♦2, ♥6 | two pairs
♠6, ♦9, ♠2, ♦3, ♥6 | pair
♠6, ♦9, ♦2, ♦3, ♥6 | pair
♠6, ♠2, ♦2, ♦3, ♥6 | two pairs
♠2, ♠9, ♦4, ♠A, ♦9 | pair
♠2, ♠9, ♦4, ♠A, ♠2 | pair
♠2, ♠9, ♦4, ♠A, ♦2 | pair
♠2, ♠9, ♦4, ♦9, ♠2 | two pairs
♠2, ♠9, ♦4, ♦9, ♦2 | two pairs
♠2, ♠9, ♦4, ♦9, ♦3 | pair
♠2, ♠9, ♦4, ♦9, ♥6 | pair
♠2, ♠9, ♦4, ♠2, ♦2 | three of a kind
♠2, ♠9, ♦4, ♠2, ♦3 | pair
♠2, ♠9, ♦4, ♠2, ♥6 | pair
♠2, ♠9, ♦4, ♦2, ♦3 | pair
♠2, ♠9, ♦4, ♦2, ♥6 | pair
♠2, ♠9, ♠A, ♦9, ♠2 | two pairs
♠2, ♠9, ♠A, ♦9, ♦2 | two pairs
♠2, ♠9, ♠A, ♦9, ♦3 | pair
♠2, ♠9, ♠A, ♦9, ♥6 | pair
♠2, ♠9, ♠A, ♠2, ♦2 | three of a kind
♠2, ♠9, ♠A, ♠2, ♦3 | pair
♠2, ♠9, ♠A, ♠2, ♥6 | pair
♠2, ♠9, ♠A, ♦2, ♦3 | pair
♠2, ♠9, ♠A, ♦2, ♥6 | pair
♠2, ♠9, ♦9, ♠2, ♦2 | fullhouse
♠2, ♠9, ♦9, ♠2, ♦3 | two pairs
♠2, ♠9, ♦9, ♠2, ♥6 | two pairs
♠2, ♠9, ♦9, ♦2, ♦3 | two pairs
♠2, ♠9, ♦9, ♦2, ♥6 | two pairs
♠2, ♠9, ♦9, ♦3, ♥6 | pair
♠2, ♠9, ♠2, ♦2, ♦3 | three of a kind
♠2, ♠9, ♠2, ♦2, ♥6 | three of a kind
♠2, ♠9, ♠2, ♦3, ♥6 | pair
♠2, ♠9, ♦2, ♦3, ♥6 | pair
♠2, ♦4, ♠A, ♦9, ♠2 | pair
♠2, ♦4, ♠A, ♦9, ♦2 | pair
♠2, ♦4, ♠A, ♠2, ♦2 | three of a kind
♠2, ♦4, ♠A, ♠2, ♦3 | pair
♠2, ♦4, ♠A, ♠2, ♥6 | pair
♠2, ♦4, ♠A, ♦2, ♦3 | pair
♠2, ♦4, ♠A, ♦2, ♥6 | pair
♠2, ♦4, ♦9, ♠2, ♦2 | three of a kind
♠2, ♦4, ♦9, ♠2, ♦3 | pair
♠2, ♦4, ♦9, ♠2, ♥6 | pair
♠2, ♦4, ♦9, ♦2, ♦3 | pair
♠2, ♦4, ♦9, ♦2, ♥6 | pair
♠2, ♦4, ♠2, ♦2, ♦3 | three of a kind
♠2, ♦4, ♠2, ♦2, ♥6 | three of a kind
♠2, ♦4, ♠2, ♦3, ♥6 | pair
♠2, ♦4, ♦2, ♦3, ♥6 | pair
♠2, ♠A, ♦9, ♠2, ♦2 | three of a kind
♠2, ♠A, ♦9, ♠2, ♦3 | pair
♠2, ♠A, ♦9, ♠2, ♥6 | pair
♠2, ♠A, ♦9, ♦2, ♦3 | pair
♠2, ♠A, ♦9, ♦2, ♥6 | pair
♠2, ♠A, ♠2, ♦2, ♦3 | three of a kind
♠2, ♠A, ♠2, ♦2, ♥6 | three of a kind
♠2, ♠A, ♠2, ♦3, ♥6 | pair
♠2, ♠A, ♦2, ♦3, ♥6 | pair
♠2, ♦9, ♠2, ♦2, ♦3 | three of a kind
♠2, ♦9, ♠2, ♦2, ♥6 | three of a kind
♠2, ♦9, ♠2, ♦3, ♥6 | pair
♠2, ♦9, ♦2, ♦3, ♥6 | pair
♠2, ♠2, ♦2, ♦3, ♥6 | three of a kind
♠9, ♦4, ♠A, ♦9, ♠2 | pair
♠9, ♦4, ♠A, ♦9, ♦2 | pair
♠9, ♦4, ♠A, ♦9, ♦3 | pair
♠9, ♦4, ♠A, ♦9, ♥6 | pair
♠9, ♦4, ♠A, ♠2, ♦2 | pair
♠9, ♦4, ♦9, ♠2, ♦2 | two pairs
♠9, ♦4, ♦9, ♠2, ♦3 | pair
♠9, ♦4, ♦9, ♠2, ♥6 | pair
♠9, ♦4, ♦9, ♦2, ♦3 | pair
♠9, ♦4, ♦9, ♦2, ♥6 | pair
♠9, ♦4, ♦9, ♦3, ♥6 | pair
♠9, ♦4, ♠2, ♦2, ♦3 | pair
♠9, ♦4, ♠2, ♦2, ♥6 | pair
♠9, ♠A, ♦9, ♠2, ♦2 | two pairs
♠9, ♠A, ♦9, ♠2, ♦3 | pair
♠9, ♠A, ♦9, ♠2, ♥6 | pair
♠9, ♠A, ♦9, ♦2, ♦3 | pair
♠9, ♠A, ♦9, ♦2, ♥6 | pair
♠9, ♠A, ♦9, ♦3, ♥6 | pair
♠9, ♠A, ♠2, ♦2, ♦3 | pair
♠9, ♠A, ♠2, ♦2, ♥6 | pair
♠9, ♦9, ♠2, ♦2, ♦3 | two pairs
♠9, ♦9, ♠2, ♦2, ♥6 | two pairs
♠9, ♦9, ♠2, ♦3, ♥6 | pair
♠9, ♦9, ♦2, ♦3, ♥6 | pair
♠9, ♠2, ♦2, ♦3, ♥6 | pair
♦4, ♠A, ♦9, ♠2, ♦2 | pair
♦4, ♠A, ♠2, ♦2, ♦3 | pair
♦4, ♠A, ♠2, ♦2, ♥6 | pair
♦4, ♦9, ♠2, ♦2, ♦3 | pair
♦4, ♦9, ♠2, ♦2, ♥6 | pair
♦4, ♠2, ♦2, ♦3, ♥6 | pair
♠A, ♦9, ♠2, ♦2, ♦3 | pair
♠A, ♦9, ♠2, ♦2, ♥6 | pair
♠A, ♠2, ♦2, ♦3, ♥6 | pair
♦9, ♠2, ♦2, ♦3, ♥6 | pair
