♣10, ♥A, ♠7, ♥J, ♦7 | pair
♥A, ♣5, ♣9, ♦K, ♠9 | pair
♥A, ♣5, ♣9, ♣3, ♦3 | pair
♥A, ♣5, ♣9, ♣3, ♦9 | pair
♥A, ♣5, ♣9, ♣3, ♠9 | pair
♥A, ♣5, ♣9, ♣7, ♦9 | pair
♥A, ♣5, ♣9, ♣7, ♠9 | pair
♥A, ♣5, ♣9, ♥Q, ♦9 | pair
♥A, ♣5, ♣9, ♥Q, ♠9 | pair
♥A, ♣5, ♣9, ♦3, ♦9 | pair
♥A, ♣5, ♣9, ♦3, ♠9 | pair
♥A, ♣5, ♣9, ♥10, ♦9 | pair
♥A, ♣5, ♣9, ♥10, ♠9 | pair
♥A, ♣5, ♣9, ♦9, ♠9 | three of a kind
♥A, ♣5, ♣9, ♦9, ♠6 | pair
♥A, ♣5, ♣9, ♠9, ♠6 | pair
♥A, ♣5, ♦7, ♦K, ♣7 | pair
♥A, ♣5, ♦7, ♣3, ♣7 | pair
♥A, ♣5, ♦7, ♣3, ♦3 | pair
♥A, ♣5, ♦7, ♣7, ♥Q | pair
♥A, ♣5, ♦7, ♣7, ♦3 | pair
♥A, ♣5, ♦7, ♣7, ♥10 | pair
♥A, ♣5, ♦7, ♣7, ♦9 | pair
♥A, ♣5, ♦7, ♣7, ♠9 | pair
♥A, ♣5, ♦7, ♣7, ♠6 | pair
♥A, ♣5, ♦7, ♦9, ♠9 | pair
♥A, ♣5, ♦K, ♣3, ♦3 | pair
♥A, ♣5, ♦K, ♦9, ♠9 | pair
♥A, ♣5, ♣3, ♣7, ♦3 | pair
♥A, ♣5, ♣3, ♥Q, ♦3 | pair
♥A, ♣5, ♣3, ♦3, ♥10 | pair
♥A, ♣5, ♣3, ♦3, ♦9 | pair
♥A, ♣5, ♣3, ♦3, ♠9 | pair
♥A, ♣5, ♣3, ♦3, ♠6 | pair
♥A, ♣5, ♣3, ♦9, ♠9 | pair
♥A, ♣5, ♣7, ♦9, ♠9 | pair
♥A, ♣5, ♥Q, ♦9, ♠9 | pair
♥A, ♣5, ♦3, ♦9, ♠9 | pair
♥A, ♣5, ♥10, ♦9, ♠9 | pair
♥A, ♣5, ♦9, ♠9, ♠6 | pair
♥A, ♣9, ♦7, ♦K, ♣7 | pair
♥A, ♣9, ♦7, ♦K, ♦9 | pair
♥A, ♣9, ♦7, ♦K, ♠9 | pair
♥A, ♣9, ♦7, ♣3, ♣7 | pair
♥A, ♣9, ♦7, ♣3, ♦3 | pair
♥A, ♣9, ♦7, ♣3, ♦9 | pair
♥A, ♣9, ♦7, ♣3, ♠9 | pair
♥A, ♣9, ♦7, ♣7, ♥Q | pair
♥A, ♣9, ♦7, ♣7, ♦3 | pair
♥A, ♣9, ♦7, ♣7, ♥10 | pair
♥A, ♣9, ♦7, ♣7, ♦9 | two pairs
♥A, ♣9, ♦7, ♣7, ♠9 | two pairs
♥A, ♣9, ♦7, ♣7, ♠6 | pair
♥A, ♣9, ♦7, ♥Q, ♦9 | pair
♥A, ♣9, ♦7, ♥Q, ♠9 | pair
♥A, ♣9, ♦7, ♦3, ♦9 | pair
♥A, ♣9, ♦7, ♦3, ♠9 | pair
♥A, ♣9, ♦7, ♥10, ♦9 | pair
♥A, ♣9, ♦7, ♥10, ♠9 | pair
♥A, ♣9, ♦7, ♦9, ♠9 | three of a kind
♥A, ♣9, ♦7, ♦9, ♠6 | pair
♥A, ♣9, ♦7, ♠9, ♠6 | pair
♥A, ♣9, ♦K, ♣3, ♦3 | pair
♥A, ♣9, ♦K, ♣3, ♦9 | pair
♥A, ♣9, ♦K, ♣3, ♠9 | pair
♥A, ♣9, ♦K, ♣7, ♦9 | pair
♥A, ♣9, ♦K, ♣7, ♠9 | pair
♥A, ♣9, ♦K, ♥Q, ♦9 | pair
♥A, ♣9, ♦K, ♥Q, ♠9 | pair
♥A, ♣9, ♦K, ♦3, ♦9 | pair
♥A, ♣9, ♦K, ♦3, ♠9 | pair
♥A, ♣9, ♦K, ♥10, ♦9 | pair
♥A, ♣9, ♦K, ♥10, ♠9 | pair
♥A, ♣9, ♦K, ♦9, ♠9 | three of a kind
♥A, ♣9, ♦K, ♦9, ♠6 | pair
♥A, ♣9, ♦K, ♠9, ♠6 | pair
♥A, ♣9, ♣3, ♣7, ♦3 | pair
♥A, ♣9, ♣3, ♣7, ♦9 | pair
♥A, ♣9, ♣3, ♣7, ♠9 | pair
♥A, ♣9, ♣3, ♥Q, ♦3 | pair
♥A, ♣9, ♣3, ♥Q, ♦9 | pair
♥A, ♣9, ♣3, ♥Q, ♠9 | pair
♥A, ♣9, ♣3, ♦3, ♥10 | pair
♥A, ♣9, ♣3, ♦3, ♦9 | two pairs
♥A, ♣9, ♣3, ♦3, ♠9 | two pairs
♥A, ♣9, ♣3, ♦3, ♠6 | pair
♥A, ♣9, ♣3, ♥10, ♦9 | pair
♥A, ♣9, ♣3, ♥10, ♠9 | pair
♥A, ♣9, ♣3, ♦9, ♠9 | three of a kind
♥A, ♣9, ♣3, ♦9, ♠6 | pair
♥A, ♣9, ♣3, ♠9, ♠6 | pair
♥A, ♣9, ♣7, ♥Q, ♦9 | pair
♥A, ♣9, ♣7, ♥Q, ♠9 | pair
♥A, ♣9, ♣7, ♦3, ♦9 | pair
♥A, ♣9, ♣7, ♦3, ♠9 | pair
♥A, ♣9, ♣7, ♥10, ♦9 | pair
♥A, ♣9, ♣7, ♥10, ♠9 | pair
♥A, ♣9, ♣7, ♦9, ♠9 | three of a kind
♥A, ♣9, ♣7, ♦9, ♠6 | pair
♥A, ♣9, ♣7, ♠9, ♠6 | pair
♥A, ♣9, ♥Q, ♦3, ♦9 | pair
♥A, ♣9, ♥Q, ♦3, ♠9 | pair
♥A, ♣9, ♥Q, ♥10, ♦9 | pair
♥A, ♣9, ♥Q, ♥10, ♠9 | pair
♥A, ♣9, ♥Q, ♦9, ♠9 | three of a kind
♥A, ♣9, ♥Q, ♦9, ♠6 | pair
♥A, ♣9, ♥Q, ♠9, ♠6 | pair
♥A, ♣9, ♦3, ♥10, ♦9 | pair
♥A, ♣9, ♦3, ♥10, ♠9 | pair
♥A, ♣9, ♦3, ♦9, ♠9 | three of a kind
♥A, ♣9, ♦3, ♦9, ♠6 | pair
♥A, ♣9, ♦3, ♠9, ♠6 | pair
♥A, ♣9, ♥10, ♦9, ♠9 | three of a kind
♥A, ♣9, ♥10, ♦9, ♠6 | pair
♥A, ♣9, ♥10, ♠9, ♠6 | pair
♥A, ♣9, ♦9, ♠9, ♠6 | three of a kind
♥A, ♦7, ♦K, ♣3, ♣7 | pair
♥A, ♦7, ♦K, ♣3, ♦3 | pair
♥A, ♦7, ♦K, ♣7, ♥Q | pair
♥A, ♦7, ♦K, ♣7, ♦3 | pair
♥A, ♦7, ♦K, ♣7, ♥10 | pair
♥A, ♦7, ♦K, ♣7, ♦9 | pair
♥A, ♦7, ♦K, ♣7, ♠9 | pair
♥A, ♦7, ♦K, ♣7, ♠6 | pair
♥A, ♦7, ♦K, ♦9, ♠9 | pair
♥A, ♦7, ♣3, ♣7, ♥Q | pair
♥A, ♦7, ♣3, ♣7, ♦3 | two pairs
♥A, ♦7, ♣3, ♣7, ♥10 | pair
♥A, ♦7, ♣3, ♣7, ♦9 | pair
♥A, ♦7, ♣3, ♣7, ♠9 | pair
♥A, ♦7, ♣3, ♣7, ♠6 | pair
♥A, ♦7, ♣3, ♥Q, ♦3 | pair
♥A, ♦7, ♣3, ♦3, ♥10 | pair
♥A, ♦7, ♣3, ♦3, ♦9 | pair
♥A, ♦7, ♣3, ♦3, ♠9 | pair
♥A, ♦7, ♣3, ♦3, ♠6 | pair
♥A, ♦7, ♣3, ♦9, ♠9 | pair
♥A, ♦7, ♣7, ♥Q, ♦3 | pair
♥A, ♦7, ♣7, ♥Q, ♥10 | pair
♥A, ♦7, ♣7, ♥Q, ♦9 | pair
♥A, ♦7, ♣7, ♥Q, ♠9 | pair
♥A, ♦7, ♣7, ♥Q, ♠6 | pair
♥A, ♦7, ♣7, ♦3, ♥10 | pair
♥A, ♦7, ♣7, ♦3, ♦9 | pair
♥A, ♦7, ♣7, ♦3, ♠9 | pair
♥A, ♦7, ♣7, ♦3, ♠6 | pair
♥A, ♦7, ♣7, ♥10, ♦9 | pair
♥A, ♦7, ♣7, ♥10, ♠9 | pair
♥A, ♦7, ♣7, ♥10, ♠6 | pair
♥A, ♦7, ♣7, ♦9, ♠9 | two pairs
♥A, ♦7, ♣7, ♦9, ♠6 | pair
♥A, ♦7, ♣7, ♠9, ♠6 | pair
♥A, ♦7, ♥Q, ♦9, ♠9 | pair
♥A, ♦7, ♦3, ♦9, ♠9 | pair
♥A, ♦7, ♥10, ♦9, ♠9 | pair
♥A, ♦7, ♦9, ♠9, ♠6 | pair
♥A, ♦K, ♣3, ♣7, ♦3 | pair
♥A, ♦K, ♣3, ♥Q, ♦3 | pair
♥A, ♦K, ♣3, ♦3, ♥10 | pair
♥A, ♦K, ♣3, ♦3, ♦9 | pair
♥A, ♦K, ♣3, ♦3, ♠9 | pair
♥A, ♦K, ♣3, ♦3, ♠6 | pair
♥A, ♦K, ♣3, ♦9, ♠9 | pair
♥A, ♦K, ♣7, ♦9, ♠9 | pair
♥A, ♦K, ♥Q, ♦9, ♠9 | pair
♥A, ♦K, ♦3, ♦9, ♠9 | pair
♥A, ♦K, ♥10, ♦9, ♠9 | pair
♥A, ♦K, ♦9, ♠9, ♠6 | pair
♥A, ♣3, ♣7, ♥Q, ♦3 | pair
♥A, ♣3, ♣7, ♦3, ♥10 | pair
♥A, ♣3, ♣7, ♦3, ♦9 | pair
♥A, ♣3, ♣7, ♦3, ♠9 | pair
♥A, ♣3, ♣7, ♦3, ♠6 | pair
♥A, ♣3, ♣7, ♦9, ♠9 | pair
♥A, ♣3, ♥Q, ♦3, ♥10 | pair
♥A, ♣3, ♥Q, ♦3, ♦9 | pair
♥A, ♣3, ♥Q, ♦3, ♠9 | pair
♥A, ♣3, ♥Q, ♦3, ♠6 | pair
♥A, ♣3, ♥Q, ♦9, ♠9 | pair
♥A, ♣3, ♦3, ♥10, ♦9 | pair
♥A, ♣3, ♦3, ♥10, ♠9 | pair
♥A, ♣3, ♦3, ♥10, ♠6 | pair
♥A, ♣3, ♦3, ♦9, ♠9 | two pairs
♥A, ♣3, ♦3, ♦9, ♠6 | pair
♥A, ♣3, ♦3, ♠9, ♠6 | pair
♥A, ♣3, ♥10, ♦9, ♠9 | pair
♥A, ♣3, ♦9, ♠9, ♠6 | pair
♥A, ♣7, ♥Q, ♦9, ♠9 | pair
♥A, ♣7, ♦3, ♦9, ♠9 | pair
♥A, ♣7, ♥10, ♦9, ♠9 | pair
♥A, ♣7, ♦9, ♠9, ♠6 | pair
♥A, ♥Q, ♦3, ♦9, ♠9 | pair
♥A, ♥Q, ♥10, ♦9, ♠9 | pair
♥A, ♥Q, ♦9, ♠9, ♠6 | pair
♥A, ♦3, ♥10, ♦9, ♠9 | pair
♥A, ♦3, ♦9, ♠9, ♠6 | pair
♥A, ♥10, ♦9, ♠9, ♠6 | pair
♠7, ♥J, ♣5, ♣9, ♦7 | pair
♠7, ♥J, ♣5, ♣9, ♣7 | pair
♠7, ♥J, ♣5, ♣9, ♦9 | pair
♠7, ♥J, ♣5, ♣9, ♠9 | pair
♠7, ♥J, ♣5, ♦7, ♦K | pair
♠7, ♥J, ♣5, ♦7, ♣3 | pair
♠7, ♥J, ♣5, ♦7, ♣7 | three of a kind
♠7, ♥J, ♣5, ♦7, ♥Q | pair
♠7, ♥J, ♣5, ♦7, ♦3 | pair
♠7, ♥J, ♣5, ♦7, ♥10 | pair
♠7, ♥J, ♣5, ♦7, ♦9 | pair
♠7, ♥J, ♣5, ♦7, ♠9 | pair
♠7, ♥J, ♣5, ♦7, ♠6 | pair
♠7, ♥J, ♣5, ♦K, ♣7 | pair
♠7, ♥J, ♣5, ♣3, ♣7 | pair
♠7, ♥J, ♣5, ♣3, ♦3 | pair
♠7, ♥J, ♣5, ♣7, ♥Q | pair
♠7, ♥J, ♣5, ♣7, ♦3 | pair
♠7, ♥J, ♣5, ♣7, ♥10 | pair
♠7, ♥J, ♣5, ♣7, ♦9 | pair
♠7, ♥J, ♣5, ♣7, ♠9 | pair
♠7, ♥J, ♣5, ♣7, ♠6 | pair
♠7, ♥J, ♣5, ♦9, ♠9 | pair
♠7, ♥J, ♣9, ♦7, ♦K | pair
♠7, ♥J, ♣9, ♦7, ♣3 | pair
♠7, ♥J, ♣9, ♦7, ♣7 | three of a kind
♠7, ♥J, ♣9, ♦7, ♥Q | pair
♠7, ♥J, ♣9, ♦7, ♦3 | pair
♠7, ♥J, ♣9, ♦7, ♥10 | pair
♠7, ♥J, ♣9, ♦7, ♦9 | two pairs
♠7, ♥J, ♣9, ♦7, ♠9 | two pairs
♠7, ♥J, ♣9, ♦7, ♠6 | pair
♠7, ♥J, ♣9, ♦K, ♣7 | pair
♠7, ♥J, ♣9, ♦K, ♦9 | pair
♠7, ♥J, ♣9, ♦K, ♠9 | pair
♠7, ♥J, ♣9, ♣3, ♣7 | pair
♠7, ♥J, ♣9, ♣3, ♦3 | pair
♠7, ♥J, ♣9, ♣3, ♦9 | pair
♠7, ♥J, ♣9, ♣3, ♠9 | pair
♠7, ♥J, ♣9, ♣7, ♥Q | pair
♠7, ♥J, ♣9, ♣7, ♦3 | pair
♠7, ♥J, ♣9, ♣7, ♥10 | pair
♠7, ♥J, ♣9, ♣7, ♦9 | two pairs
♠7, ♥J, ♣9, ♣7, ♠9 | two pairs
♠7, ♥J, ♣9, ♣7, ♠6 | pair
♠7, ♥J, ♣9, ♥Q, ♦9 | pair
♠7, ♥J, ♣9, ♥Q, ♠9 | pair
♠7, ♥J, ♣9, ♦3, ♦9 | pair
♠7, ♥J, ♣9, ♦3, ♠9 | pair
♠7, ♥J, ♣9, ♥10, ♦9 | pair
♠7, ♥J, ♣9, ♥10, ♠9 | pair
♠7, ♥J, ♣9, ♦9, ♠9 | three of a kind
♠7, ♥J, ♣9, ♦9, ♠6 | pair
♠7, ♥J, ♣9, ♠9, ♠6 | pair
♠7, ♥J, ♦7, ♦K, ♣3 | pair
♠7, ♥J, ♦7, ♦K, ♣7 | three of a kind
♠7, ♥J, ♦7, ♦K, ♥Q | pair
♠7, ♥J, ♦7, ♦K, ♦3 | pair
♠7, ♥J, ♦7, ♦K, ♥10 | pair
♠7, ♥J, ♦7, ♦K, ♦9 | pair
♠7, ♥J, ♦7, ♦K, ♠9 | pair
♠7, ♥J, ♦7, ♦K, ♠6 | pair
♠7, ♥J, ♦7, ♣3, ♣7 | three of a kind
♠7, ♥J, ♦7, ♣3, ♥Q | pair
♠7, ♥J, ♦7, ♣3, ♦3 | two pairs
♠7, ♥J, ♦7, ♣3, ♥10 | pair
♠7, ♥J, ♦7, ♣3, ♦9 | pair
♠7, ♥J, ♦7, ♣3, ♠9 | pair
♠7, ♥J, ♦7, ♣3, ♠6 | pair
♠7, ♥J, ♦7, ♣7, ♥Q | three of a kind
♠7, ♥J, ♦7, ♣7, ♦3 | three of a kind
♠7, ♥J, ♦7, ♣7, ♥10 | three of a kind
♠7, ♥J, ♦7, ♣7, ♦9 | three of a kind
♠7, ♥J, ♦7, ♣7, ♠9 | three of a kind
♠7, ♥J, ♦7, ♣7, ♠6 | three of a kind
♠7, ♥J, ♦7, ♥Q, ♦3 | pair
♠7, ♥J, ♦7, ♥Q, ♥10 | pair
♠7, ♥J, ♦7, ♥Q, ♦9 | pair
♠7, ♥J, ♦7, ♥Q, ♠9 | pair
♠7, ♥J, ♦7, ♥Q, ♠6 | pair
♠7, ♥J, ♦7, ♦3, ♥10 | pair
♠7, ♥J, ♦7, ♦3, ♦9 | pair
♠7, ♥J, ♦7, ♦3, ♠9 | pair
♠7, ♥J, ♦7, ♦3, ♠6 | pair
♠7, ♥J, ♦7, ♥10, ♦9 | pair
♠7, ♥J, ♦7, ♥10, ♠9 | pair
♠7, ♥J, ♦7, ♥10, ♠6 | pair
♠7, ♥J, ♦7, ♦9, ♠9 | two pairs
♠7, ♥J, ♦7, ♦9, ♠6 | pair
♠7, ♥J, ♦7, ♠9, ♠6 | pair
♠7, ♥J, ♦K, ♣3, ♣7 | pair
♠7, ♥J, ♦K, ♣3, ♦3 | pair
♠7, ♥J, ♦K, ♣7, ♥Q | pair
♠7, ♥J, ♦K, ♣7, ♦3 | pair
♠7, ♥J, ♦K, ♣7, ♥10 | pair
♠7, ♥J, ♦K, ♣7, ♦9 | pair
♠7, ♥J, ♦K, ♣7, ♠9 | pair
♠7, ♥J, ♦K, ♣7, ♠6 | pair
♠7, ♥J, ♦K, ♦9, ♠9 | pair
♠7, ♥J, ♣3, ♣7, ♥Q | pair
♠7, ♥J, ♣3, ♣7, ♦3 | two pairs
♠7, ♥J, ♣3, ♣7, ♥10 | pair
♠7, ♥J, ♣3, ♣7, ♦9 | pair
♠7, ♥J, ♣3, ♣7, ♠9 | pair
♠7, ♥J, ♣3, ♣7, ♠6 | pair
♠7, ♥J, ♣3, ♥Q, ♦3 | pair
♠7, ♥J, ♣3, ♦3, ♥10 | pair
♠7, ♥J, ♣3, ♦3, ♦9 | pair
♠7, ♥J, ♣3, ♦3, ♠9 | pair
♠7, ♥J, ♣3, ♦3, ♠6 | pair
♠7, ♥J, ♣3, ♦9, ♠9 | pair
♠7, ♥J, ♣7, ♥Q, ♦3 | pair
♠7, ♥J, ♣7, ♥Q, ♥10 | pair
♠7, ♥J, ♣7, ♥Q, ♦9 | pair
♠7, ♥J, ♣7, ♥Q, ♠9 | pair
♠7, ♥J, ♣7, ♥Q, ♠6 | pair
♠7, ♥J, ♣7, ♦3, ♥10 | pair
♠7, ♥J, ♣7, ♦3, ♦9 | pair
♠7, ♥J, ♣7, ♦3, ♠9 | pair
♠7, ♥J, ♣7, ♦3, ♠6 | pair
♠7, ♥J, ♣7, ♥10, ♦9 | pair
♠7, ♥J, ♣7, ♥10, ♠9 | pair
♠7, ♥J, ♣7, ♥10, ♠6 | pair
♠7, ♥J, ♣7, ♦9, ♠9 | two pairs
♠7, ♥J, ♣7, ♦9, ♠6 | pair
♠7, ♥J, ♣7, ♠9, ♠6 | pair
♠7, ♥J, ♥Q, ♦9, ♠9 | pair
♠7, ♥J, ♦3, ♦9, ♠9 | pair
♠7, ♥J, ♥10, ♦9, ♠9 | pair
♠7, ♥J, ♦9, ♠9, ♠6 | pair
♠7, ♣5, ♣9, ♦7, ♦K | pair
♠7, ♣5, ♣9, ♦7, ♣3 | pair
♠7, ♣5, ♣9, ♦7, ♣7 | three of a kind
♠7, ♣5, ♣9, ♦7, ♥Q | pair
♠7, ♣5, ♣9, ♦7, ♦3 | pair
♠7, ♣5, ♣9, ♦7, ♥10 | pair
♠7, ♣5, ♣9, ♦7, ♦9 | two pairs
♠7, ♣5, ♣9, ♦7, ♠9 | two pairs
♠7, ♣5, ♣9, ♦7, ♠6 | pair
♠7, ♣5, ♣9, ♦K, ♣7 | pair
♠7, ♣5, ♣9, ♦K, ♦9 | pair
♠7, ♣5, ♣9, ♦K, ♠9 | pair
♠7, ♣5, ♣9, ♣3, ♣7 | pair
♠7, ♣5, ♣9, ♣3, ♦3 | pair
♠7, ♣5, ♣9, ♣3, ♦9 | pair
♠7, ♣5, ♣9, ♣3, ♠9 | pair
♠7, ♣5, ♣9, ♣7, ♥Q | pair
♠7, ♣5, ♣9, ♣7, ♦3 | pair
♠7, ♣5, ♣9, ♣7, ♥10 | pair
♠7, ♣5, ♣9, ♣7, ♦9 | two pairs
♠7, ♣5, ♣9, ♣7, ♠9 | two pairs
♠7, ♣5, ♣9, ♣7, ♠6 | pair
♠7, ♣5, ♣9, ♥Q, ♦9 | pair
♠7, ♣5, ♣9, ♥Q, ♠9 | pair
♠7, ♣5, ♣9, ♦3, ♦9 | pair
♠7, ♣5, ♣9, ♦3, ♠9 | pair
♠7, ♣5, ♣9, ♥10, ♦9 | pair
♠7, ♣5, ♣9, ♥10, ♠9 | pair
♠7, ♣5, ♣9, ♦9, ♠9 | three of a kind
♠7, ♣5, ♣9, ♦9, ♠6 | pair
♠7, ♣5, ♣9, ♠9, ♠6 | pair
♠7, ♣5, ♦7, ♦K, ♣3 | pair
♠7, ♣5, ♦7, ♦K, ♣7 | three of a kind
♠7, ♣5, ♦7, ♦K, ♥Q | pair
♠7, ♣5, ♦7, ♦K, ♦3 | pair
♠7, ♣5, ♦7, ♦K, ♥10 | pair
♠7, ♣5, ♦7, ♦K, ♦9 | pair
♠7, ♣5, ♦7, ♦K, ♠9 | pair
♠7, ♣5, ♦7, ♦K, ♠6 | pair
♠7, ♣5, ♦7, ♣3, ♣7 | three of a kind
♠7, ♣5, ♦7, ♣3, ♥Q | pair
♠7, ♣5, ♦7, ♣3, ♦3 | two pairs
♠7, ♣5, ♦7, ♣3, ♥10 | pair
♠7, ♣5, ♦7, ♣3, ♦9 | pair
♠7, ♣5, ♦7, ♣3, ♠9 | pair
♠7, ♣5, ♦7, ♣3, ♠6 | pair
♠7, ♣5, ♦7, ♣7, ♥Q | three of a kind
♠7, ♣5, ♦7, ♣7, ♦3 | three of a kind
♠7, ♣5, ♦7, ♣7, ♥10 | three of a kind
♠7, ♣5, ♦7, ♣7, ♦9 | three of a kind
♠7, ♣5, ♦7, ♣7, ♠9 | three of a kind
♠7, ♣5, ♦7, ♣7, ♠6 | three of a kind
♠7, ♣5, ♦7, ♥Q, ♦3 | pair
♠7, ♣5, ♦7, ♥Q, ♥10 | pair
♠7, ♣5, ♦7, ♥Q, ♦9 | pair
♠7, ♣5, ♦7, ♥Q, ♠9 | pair
♠7, ♣5, ♦7, ♥Q, ♠6 | pair
♠7, ♣5, ♦7, ♦3, ♥10 | pair
♠7, ♣5, ♦7, ♦3, ♦9 | pair
♠7, ♣5, ♦7, ♦3, ♠9 | pair
♠7, ♣5, ♦7, ♦3, ♠6 | pair
♠7, ♣5, ♦7, ♥10, ♦9 | pair
♠7, ♣5, ♦7, ♥10, ♠9 | pair
♠7, ♣5, ♦7, ♥10, ♠6 | pair
♠7, ♣5, ♦7, ♦9, ♠9 | two pairs
♠7, ♣5, ♦7, ♦9, ♠6 | pair
♠7, ♣5, ♦7, ♠9, ♠6 | pair
♠7, ♣5, ♦K, ♣3, ♣7 | pair
♠7, ♣5, ♦K, ♣3, ♦3 | pair
♠7, ♣5, ♦K, ♣7, ♥Q | pair
♠7, ♣5, ♦K, ♣7, ♦3 | pair
♠7, ♣5, ♦K, ♣7, ♥10 | pair
♠7, ♣5, ♦K, ♣7, ♦9 | pair
♠7, ♣5, ♦K, ♣7, ♠9 | pair
♠7, ♣5, ♦K, ♣7, ♠6 | pair
♠7, ♣5, ♦K, ♦9, ♠9 | pair
♠7, ♣5, ♣3, ♣7, ♥Q | pair
♠7, ♣5, ♣3, ♣7, ♦3 | two pairs
♠7, ♣5, ♣3, ♣7, ♥10 | pair
♠7, ♣5, ♣3, ♣7, ♦9 | pair
♠7, ♣5, ♣3, ♣7, ♠9 | pair
♠7, ♣5, ♣3, ♣7, ♠6 | pair
♠7, ♣5, ♣3, ♥Q, ♦3 | pair
♠7, ♣5, ♣3, ♦3, ♥10 | pair
♠7, ♣5, ♣3, ♦3, ♦9 | pair
♠7, ♣5, ♣3, ♦3, ♠9 | pair
♠7, ♣5, ♣3, ♦3, ♠6 | pair
♠7, ♣5, ♣3, ♦9, ♠9 | pair
♠7, ♣5, ♣7, ♥Q, ♦3 | pair
♠7, ♣5, ♣7, ♥Q, ♥10 | pair
♠7, ♣5, ♣7, ♥Q, ♦9 | pair
♠7, ♣5, ♣7, ♥Q, ♠9 | pair
♠7, ♣5, ♣7, ♥Q, ♠6 | pair
♠7, ♣5, ♣7, ♦3, ♥10 | pair
♠7, ♣5, ♣7, ♦3, ♦9 | pair
♠7, ♣5, ♣7, ♦3, ♠9 | pair
♠7, ♣5, ♣7, ♦3, ♠6 | pair
♠7, ♣5, ♣7, ♥10, ♦9 | pair
♠7, ♣5, ♣7, ♥10, ♠9 | pair
♠7, ♣5, ♣7, ♥10, ♠6 | pair
♠7, ♣5, ♣7, ♦9, ♠9 | two pairs
♠7, ♣5, ♣7, ♦9, ♠6 | pair
♠7, ♣5, ♣7, ♠9, ♠6 | pair
♠7, ♣5, ♥Q, ♦9, ♠9 | pair
♠7, ♣5, ♦3, ♦9, ♠9 | pair
♠7, ♣5, ♥10, ♦9, ♠9 | pair
♠7, ♣5, ♦9, ♠9, ♠6 | pair
♠7, ♣9, ♦7, ♦K, ♣3 | pair
♠7, ♣9, ♦7, ♦K, ♣7 | three of a kind
♠7, ♣9, ♦7, ♦K, ♥Q | pair
♠7, ♣9, ♦7, ♦K, ♦3 | pair
♠7, ♣9, ♦7, ♦K, ♥10 | pair
♠7, ♣9, ♦7, ♦K, ♦9 | two pairs
♠7, ♣9, ♦7, ♦K, ♠9 | two pairs
♠7, ♣9, ♦7, ♦K, ♠6 | pair
♠7, ♣9, ♦7, ♣3, ♣7 | three of a kind
♠7, ♣9, ♦7, ♣3, ♥Q | pair
♠7, ♣9, ♦7, ♣3, ♦3 | two pairs
♠7, ♣9, ♦7, ♣3, ♥10 | pair
♠7, ♣9, ♦7, ♣3, ♦9 | two pairs
♠7, ♣9, ♦7, ♣3, ♠9 | two pairs
♠7, ♣9, ♦7, ♣3, ♠6 | pair
♠7, ♣9, ♦7, ♣7, ♥Q | three of a kind
♠7, ♣9, ♦7, ♣7, ♦3 | three of a kind
♠7, ♣9, ♦7, ♣7, ♥10 | three of a kind
♠7, ♣9, ♦7, ♣7, ♦9 | fullhouse
♠7, ♣9, ♦7, ♣7, ♠9 | fullhouse
♠7, ♣9, ♦7, ♣7, ♠6 | three of a kind
♠7, ♣9, ♦7, ♥Q, ♦3 | pair
♠7, ♣9, ♦7, ♥Q, ♥10 | pair
♠7, ♣9, ♦7, ♥Q, ♦9 | two pairs
♠7, ♣9, ♦7, ♥Q, ♠9 | two pairs
♠7, ♣9, ♦7, ♥Q, ♠6 | pair
♠7, ♣9, ♦7, ♦3, ♥10 | pair
♠7, ♣9, ♦7, ♦3, ♦9 | two pairs
♠7, ♣9, ♦7, ♦3, ♠9 | two pairs
♠7, ♣9, ♦7, ♦3, ♠6 | pair
♠7, ♣9, ♦7, ♥10, ♦9 | two pairs
♠7, ♣9, ♦7, ♥10, ♠9 | two pairs
♠7, ♣9, ♦7, ♥10, ♠6 | pair
♠7, ♣9, ♦7, ♦9, ♠9 | fullhouse
♠7, ♣9, ♦7, ♦9, ♠6 | two pairs
♠7, ♣9, ♦7, ♠9, ♠6 | two pairs
♠7, ♣9, ♦K, ♣3, ♣7 | pair
♠7, ♣9, ♦K, ♣3, ♦3 | pair
♠7, ♣9, ♦K, ♣3, ♦9 | pair
♠7, ♣9, ♦K, ♣3, ♠9 | pair
♠7, ♣9, ♦K, ♣7, ♥Q | pair
♠7, ♣9, ♦K, ♣7, ♦3 | pair
♠7, ♣9, ♦K, ♣7, ♥10 | pair
♠7, ♣9, ♦K, ♣7, ♦9 | two pairs
♠7, ♣9, ♦K, ♣7, ♠9 | two pairs
♠7, ♣9, ♦K, ♣7, ♠6 | pair
♠7, ♣9, ♦K, ♥Q, ♦9 | pair
♠7, ♣9, ♦K, ♥Q, ♠9 | pair
♠7, ♣9, ♦K, ♦3, ♦9 | pair
♠7, ♣9, ♦K, ♦3, ♠9 | pair
♠7, ♣9, ♦K, ♥10, ♦9 | pair
♠7, ♣9, ♦K, ♥10, ♠9 | pair
♠7, ♣9, ♦K, ♦9, ♠9 | three of a kind
♠7, ♣9, ♦K, ♦9, ♠6 | pair
♠7, ♣9, ♦K, ♠9, ♠6 | pair
♠7, ♣9, ♣3, ♣7, ♥Q | pair
