♠Q, ♥A, ♦8, ♣J, ♥8 | pair
♠Q, ♣8, ♥5, ♥5, ♥Q | two pairs
♠Q, ♣8, ♥5, ♥5, ♦8 | two pairs
♠Q, ♣8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♣8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♣8, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♣8, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♣8, ♥Q, ♥Q, ♥5 | three of a kind
♠Q, ♣8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♣8, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♣8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♣8, ♥Q, ♠7, ♦K | pair
♠Q, ♣8, ♥Q, ♠7, ♥2 | pair
♠Q, ♣8, ♥Q, ♠7, ♥5 | pair
♠Q, ♣8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦K, ♥2 | pair
♠Q, ♣8, ♥Q, ♦K, ♥5 | pair
♠Q, ♣8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥2, ♥5 | pair
♠Q, ♣8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♣8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♣8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♣8, ♥Q, ♠7, ♦K | pair
♠Q, ♣8, ♥Q, ♠7, ♥2 | pair
♠Q, ♣8, ♥Q, ♠7, ♥5 | pair
♠Q, ♣8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦K, ♥2 | pair
♠Q, ♣8, ♥Q, ♦K, ♥5 | pair
♠Q, ♣8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥2, ♥5 | pair
♠Q, ♣8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♣8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♣8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♣8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♣8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♣8, ♠7, ♦K, ♦8 | pair
♠Q, ♣8, ♠7, ♦K, ♥Q | pair
♠Q, ♣8, ♠7, ♦K, ♦8 | pair
♠Q, ♣8, ♠7, ♥2, ♦8 | pair
♠Q, ♣8, ♠7, ♥2, ♥Q | pair
♠Q, ♣8, ♠7, ♥2, ♦8 | pair
♠Q, ♣8, ♠7, ♥5, ♦8 | pair
♠Q, ♣8, ♠7, ♥5, ♥Q | pair
♠Q, ♣8, ♠7, ♥5, ♦8 | pair
♠Q, ♣8, ♠7, ♦8, ♥Q | two pairs
♠Q, ♣8, ♠7, ♦8, ♦8 | three of a kind
♠Q, ♣8, ♠7, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♦K, ♥2, ♦8 | pair
♠Q, ♣8, ♦K, ♥2, ♥Q | pair
♠Q, ♣8, ♦K, ♥2, ♦8 | pair
♠Q, ♣8, ♦K, ♥5, ♦8 | pair
♠Q, ♣8, ♦K, ♥5, ♥Q | pair
♠Q, ♣8, ♦K, ♥5, ♦8 | pair
♠Q, ♣8, ♦K, ♦8, ♥Q | two pairs
♠Q, ♣8, ♦K, ♦8, ♦8 | three of a kind
♠Q, ♣8, ♦K, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥2, ♥5, ♦8 | pair
♠Q, ♣8, ♥2, ♥5, ♥Q | pair
♠Q, ♣8, ♥2, ♥5, ♦8 | pair
♠Q, ♣8, ♥2, ♦8, ♥Q | two pairs
♠Q, ♣8, ♥2, ♦8, ♦8 | three of a kind
♠Q, ♣8, ♥2, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♣8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♦8, ♥Q, ♦8 | fullhouse
♠Q, ♥5, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♥5, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♥5, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♥5, ♥Q, ♥Q, ♥5 | fullhouse
♠Q, ♥5, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥5, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♥5, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥5, ♥Q, ♠7, ♦K | pair
♠Q, ♥5, ♥Q, ♠7, ♥2 | pair
♠Q, ♥5, ♥Q, ♠7, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♠7, ♦8 | pair
♠Q, ♥5, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♠7, ♦8 | pair
♠Q, ♥5, ♥Q, ♦K, ♥2 | pair
♠Q, ♥5, ♥Q, ♦K, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♦K, ♦8 | pair
♠Q, ♥5, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♦K, ♦8 | pair
♠Q, ♥5, ♥Q, ♥2, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♥2, ♦8 | pair
♠Q, ♥5, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♥2, ♦8 | pair
♠Q, ♥5, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♥5, ♥Q | fullhouse
♠Q, ♥5, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥5, ♥Q, ♠7, ♦K | pair
♠Q, ♥5, ♥Q, ♠7, ♥2 | pair
♠Q, ♥5, ♥Q, ♠7, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♠7, ♦8 | pair
♠Q, ♥5, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♠7, ♦8 | pair
♠Q, ♥5, ♥Q, ♦K, ♥2 | pair
♠Q, ♥5, ♥Q, ♦K, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♦K, ♦8 | pair
♠Q, ♥5, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♦K, ♦8 | pair
♠Q, ♥5, ♥Q, ♥2, ♥5 | two pairs
♠Q, ♥5, ♥Q, ♥2, ♦8 | pair
♠Q, ♥5, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♥2, ♦8 | pair
♠Q, ♥5, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♥5, ♥Q | fullhouse
♠Q, ♥5, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♥5, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♥5, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥5, ♠7, ♦K, ♥5 | pair
♠Q, ♥5, ♠7, ♦K, ♥Q | pair
♠Q, ♥5, ♠7, ♥2, ♥5 | pair
♠Q, ♥5, ♠7, ♥2, ♥Q | pair
♠Q, ♥5, ♠7, ♥5, ♦8 | pair
♠Q, ♥5, ♠7, ♥5, ♥Q | two pairs
♠Q, ♥5, ♠7, ♥5, ♦8 | pair
♠Q, ♥5, ♠7, ♦8, ♥Q | pair
♠Q, ♥5, ♠7, ♦8, ♦8 | pair
♠Q, ♥5, ♠7, ♥Q, ♦8 | pair
♠Q, ♥5, ♦K, ♥2, ♥5 | pair
♠Q, ♥5, ♦K, ♥2, ♥Q | pair
♠Q, ♥5, ♦K, ♥5, ♦8 | pair
♠Q, ♥5, ♦K, ♥5, ♥Q | two pairs
♠Q, ♥5, ♦K, ♥5, ♦8 | pair
♠Q, ♥5, ♦K, ♦8, ♥Q | pair
♠Q, ♥5, ♦K, ♦8, ♦8 | pair
♠Q, ♥5, ♦K, ♥Q, ♦8 | pair
♠Q, ♥5, ♥2, ♥5, ♦8 | pair
♠Q, ♥5, ♥2, ♥5, ♥Q | two pairs
♠Q, ♥5, ♥2, ♥5, ♦8 | pair
♠Q, ♥5, ♥2, ♦8, ♥Q | pair
♠Q, ♥5, ♥2, ♦8, ♦8 | pair
♠Q, ♥5, ♥2, ♥Q, ♦8 | pair
♠Q, ♥5, ♥5, ♦8, ♥Q | two pairs
♠Q, ♥5, ♥5, ♦8, ♦8 | two pairs
♠Q, ♥5, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥5, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥Q, ♥Q, ♠7, ♦K | three of a kind
♠Q, ♥Q, ♥Q, ♠7, ♥2 | three of a kind
♠Q, ♥Q, ♥Q, ♠7, ♥5 | three of a kind
♠Q, ♥Q, ♥Q, ♠7, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♠7, ♥Q | four of a kind!
♠Q, ♥Q, ♥Q, ♠7, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♦K, ♥2 | three of a kind
♠Q, ♥Q, ♥Q, ♦K, ♥5 | three of a kind
♠Q, ♥Q, ♥Q, ♦K, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♦K, ♥Q | four of a kind!
♠Q, ♥Q, ♥Q, ♦K, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♥2, ♥5 | three of a kind
♠Q, ♥Q, ♥Q, ♥2, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♥2, ♥Q | four of a kind!
♠Q, ♥Q, ♥Q, ♥2, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♥5, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♥5, ♥Q | four of a kind!
♠Q, ♥Q, ♥Q, ♥5, ♦8 | three of a kind
♠Q, ♥Q, ♥Q, ♦8, ♥Q | four of a kind!
♠Q, ♥Q, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♥Q, ♥Q, ♥Q, ♦8 | four of a kind!
♠Q, ♥Q, ♠7, ♦K, ♥2 | pair
♠Q, ♥Q, ♠7, ♦K, ♥5 | pair
♠Q, ♥Q, ♠7, ♦K, ♦8 | pair
♠Q, ♥Q, ♠7, ♦K, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♦K, ♦8 | pair
♠Q, ♥Q, ♠7, ♥2, ♥5 | pair
♠Q, ♥Q, ♠7, ♥2, ♦8 | pair
♠Q, ♥Q, ♠7, ♥2, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♥2, ♦8 | pair
♠Q, ♥Q, ♠7, ♥5, ♦8 | pair
♠Q, ♥Q, ♠7, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♥5, ♦8 | pair
♠Q, ♥Q, ♠7, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♠7, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♦K, ♥2, ♥5 | pair
♠Q, ♥Q, ♦K, ♥2, ♦8 | pair
♠Q, ♥Q, ♦K, ♥2, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♥2, ♦8 | pair
♠Q, ♥Q, ♦K, ♥5, ♦8 | pair
♠Q, ♥Q, ♦K, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♥5, ♦8 | pair
♠Q, ♥Q, ♦K, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♦K, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♥2, ♥5, ♦8 | pair
♠Q, ♥Q, ♥2, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♥2, ♥5, ♦8 | pair
♠Q, ♥Q, ♥2, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♥2, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♥2, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♥5, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♥5, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♥5, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♦8, ♥Q, ♦8 | fullhouse
♠Q, ♥Q, ♠7, ♦K, ♥2 | pair
♠Q, ♥Q, ♠7, ♦K, ♥5 | pair
♠Q, ♥Q, ♠7, ♦K, ♦8 | pair
♠Q, ♥Q, ♠7, ♦K, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♦K, ♦8 | pair
♠Q, ♥Q, ♠7, ♥2, ♥5 | pair
♠Q, ♥Q, ♠7, ♥2, ♦8 | pair
♠Q, ♥Q, ♠7, ♥2, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♥2, ♦8 | pair
♠Q, ♥Q, ♠7, ♥5, ♦8 | pair
♠Q, ♥Q, ♠7, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♥5, ♦8 | pair
♠Q, ♥Q, ♠7, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♠7, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♠7, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♦K, ♥2, ♥5 | pair
♠Q, ♥Q, ♦K, ♥2, ♦8 | pair
♠Q, ♥Q, ♦K, ♥2, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♥2, ♦8 | pair
♠Q, ♥Q, ♦K, ♥5, ♦8 | pair
♠Q, ♥Q, ♦K, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♥5, ♦8 | pair
♠Q, ♥Q, ♦K, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♦K, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♦K, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♥2, ♥5, ♦8 | pair
♠Q, ♥Q, ♥2, ♥5, ♥Q | three of a kind
♠Q, ♥Q, ♥2, ♥5, ♦8 | pair
♠Q, ♥Q, ♥2, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♥2, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♥2, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♥5, ♦8, ♥Q | three of a kind
♠Q, ♥Q, ♥5, ♦8, ♦8 | two pairs
♠Q, ♥Q, ♥5, ♥Q, ♦8 | three of a kind
♠Q, ♥Q, ♦8, ♥Q, ♦8 | fullhouse
♠Q, ♠7, ♦K, ♥2, ♥Q | pair
♠Q, ♠7, ♦K, ♥5, ♥Q | pair
♠Q, ♠7, ♦K, ♦8, ♥Q | pair
♠Q, ♠7, ♦K, ♦8, ♦8 | pair
♠Q, ♠7, ♦K, ♥Q, ♦8 | pair
♠Q, ♠7, ♥2, ♥5, ♥Q | pair
♠Q, ♠7, ♥2, ♦8, ♥Q | pair
♠Q, ♠7, ♥2, ♦8, ♦8 | pair
♠Q, ♠7, ♥2, ♥Q, ♦8 | pair
♠Q, ♠7, ♥5, ♦8, ♥Q | pair
♠Q, ♠7, ♥5, ♦8, ♦8 | pair
♠Q, ♠7, ♥5, ♥Q, ♦8 | pair
♠Q, ♠7, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♦K, ♥2, ♥5, ♥Q | pair
♠Q, ♦K, ♥2, ♦8, ♥Q | pair
♠Q, ♦K, ♥2, ♦8, ♦8 | pair
♠Q, ♦K, ♥2, ♥Q, ♦8 | pair
♠Q, ♦K, ♥5, ♦8, ♥Q | pair
♠Q, ♦K, ♥5, ♦8, ♦8 | pair
♠Q, ♦K, ♥5, ♥Q, ♦8 | pair
♠Q, ♦K, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥2, ♥5, ♦8, ♥Q | pair
♠Q, ♥2, ♥5, ♦8, ♦8 | pair
♠Q, ♥2, ♥5, ♥Q, ♦8 | pair
♠Q, ♥2, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥5, ♦8, ♥Q, ♦8 | two pairs
♥A, ♦8, ♣J, ♥8, ♣8 | three of a kind
♥A, ♦8, ♣J, ♥8, ♥5 | pair
♥A, ♦8, ♣J, ♥8, ♥Q | pair
♥A, ♦8, ♣J, ♥8, ♥Q | pair
♥A, ♦8, ♣J, ♥8, ♠7 | pair
♥A, ♦8, ♣J, ♥8, ♦K | pair
♥A, ♦8, ♣J, ♥8, ♥2 | pair
♥A, ♦8, ♣J, ♥8, ♥5 | pair
♥A, ♦8, ♣J, ♥8, ♦8 | three of a kind
♥A, ♦8, ♣J, ♥8, ♥Q | pair
♥A, ♦8, ♣J, ♥8, ♦8 | three of a kind
♥A, ♦8, ♣J, ♣8, ♥5 | pair
♥A, ♦8, ♣J, ♣8, ♥Q | pair
♥A, ♦8, ♣J, ♣8, ♥Q | pair
♥A, ♦8, ♣J, ♣8, ♠7 | pair
♥A, ♦8, ♣J, ♣8, ♦K | pair
♥A, ♦8, ♣J, ♣8, ♥2 | pair
♥A, ♦8, ♣J, ♣8, ♥5 | pair
♥A, ♦8, ♣J, ♣8, ♦8 | three of a kind
♥A, ♦8, ♣J, ♣8, ♥Q | pair
♥A, ♦8, ♣J, ♣8, ♦8 | three of a kind
♥A, ♦8, ♣J, ♥5, ♥5 | pair
♥A, ♦8, ♣J, ♥5, ♦8 | pair
♥A, ♦8, ♣J, ♥5, ♦8 | pair
♥A, ♦8, ♣J, ♥Q, ♥Q | pair
♥A, ♦8, ♣J, ♥Q, ♦8 | pair
♥A, ♦8, ♣J, ♥Q, ♥Q | pair
♥A, ♦8, ♣J, ♥Q, ♦8 | pair
♥A, ♦8, ♣J, ♥Q, ♦8 | pair
♥A, ♦8, ♣J, ♥Q, ♥Q | pair
♥A, ♦8, ♣J, ♥Q, ♦8 | pair
♥A, ♦8, ♣J, ♠7, ♦8 | pair
♥A, ♦8, ♣J, ♠7, ♦8 | pair
♥A, ♦8, ♣J, ♦K, ♦8 | pair
♥A, ♦8, ♣J, ♦K, ♦8 | pair
♥A, ♦8, ♣J, ♥2, ♦8 | pair
♥A, ♦8, ♣J, ♥2, ♦8 | pair
♥A, ♦8, ♣J, ♥5, ♦8 | pair
♥A, ♦8, ♣J, ♥5, ♦8 | pair
♥A, ♦8, ♣J, ♦8, ♥Q | pair
♥A, ♦8, ♣J, ♦8, ♦8 | three of a kind
♥A, ♦8, ♣J, ♥Q, ♦8 | pair
♥A, ♦8, ♥8, ♣8, ♥5 | three of a kind
♥A, ♦8, ♥8, ♣8, ♥Q | three of a kind
♥A, ♦8, ♥8, ♣8, ♥Q | three of a kind
♥A, ♦8, ♥8, ♣8, ♠7 | three of a kind
♥A, ♦8, ♥8, ♣8, ♦K | three of a kind
♥A, ♦8, ♥8, ♣8, ♥2 | three of a kind
♥A, ♦8, ♥8, ♣8, ♥5 | three of a kind
♥A, ♦8, ♥8, ♣8, ♦8 | four of a kind!
♥A, ♦8, ♥8, ♣8, ♥Q | three of a kind
♥A, ♦8, ♥8, ♣8, ♦8 | four of a kind!
♥A, ♦8, ♥8, ♥5, ♥Q | pair
♥A, ♦8, ♥8, ♥5, ♥Q | pair
♥A, ♦8, ♥8, ♥5, ♠7 | pair
♥A, ♦8, ♥8, ♥5, ♦K | pair
♥A, ♦8, ♥8, ♥5, ♥2 | pair
♥A, ♦8, ♥8, ♥5, ♥5 | two pairs
♥A, ♦8, ♥8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥5, ♥Q | pair
♥A, ♦8, ♥8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♥8, ♥Q, ♠7 | pair
♥A, ♦8, ♥8, ♥Q, ♦K | pair
♥A, ♦8, ♥8, ♥Q, ♥2 | pair
♥A, ♦8, ♥8, ♥Q, ♥5 | pair
♥A, ♦8, ♥8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♥8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥Q, ♠7 | pair
♥A, ♦8, ♥8, ♥Q, ♦K | pair
♥A, ♦8, ♥8, ♥Q, ♥2 | pair
♥A, ♦8, ♥8, ♥Q, ♥5 | pair
♥A, ♦8, ♥8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♥8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♥8, ♠7, ♦K | pair
♥A, ♦8, ♥8, ♠7, ♥2 | pair
♥A, ♦8, ♥8, ♠7, ♥5 | pair
♥A, ♦8, ♥8, ♠7, ♦8 | three of a kind
♥A, ♦8, ♥8, ♠7, ♥Q | pair
♥A, ♦8, ♥8, ♠7, ♦8 | three of a kind
♥A, ♦8, ♥8, ♦K, ♥2 | pair
♥A, ♦8, ♥8, ♦K, ♥5 | pair
♥A, ♦8, ♥8, ♦K, ♦8 | three of a kind
♥A, ♦8, ♥8, ♦K, ♥Q | pair
♥A, ♦8, ♥8, ♦K, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥2, ♥5 | pair
♥A, ♦8, ♥8, ♥2, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥2, ♥Q | pair
♥A, ♦8, ♥8, ♥2, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♥8, ♥5, ♥Q | pair
♥A, ♦8, ♥8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♥8, ♦8, ♥Q | three of a kind
♥A, ♦8, ♥8, ♦8, ♦8 | four of a kind!
♥A, ♦8, ♥8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥5, ♥Q | pair
♥A, ♦8, ♣8, ♥5, ♥Q | pair
♥A, ♦8, ♣8, ♥5, ♠7 | pair
♥A, ♦8, ♣8, ♥5, ♦K | pair
♥A, ♦8, ♣8, ♥5, ♥2 | pair
♥A, ♦8, ♣8, ♥5, ♥5 | two pairs
♥A, ♦8, ♣8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥5, ♥Q | pair
♥A, ♦8, ♣8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♣8, ♥Q, ♠7 | pair
♥A, ♦8, ♣8, ♥Q, ♦K | pair
♥A, ♦8, ♣8, ♥Q, ♥2 | pair
♥A, ♦8, ♣8, ♥Q, ♥5 | pair
♥A, ♦8, ♣8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♣8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥Q, ♠7 | pair
♥A, ♦8, ♣8, ♥Q, ♦K | pair
♥A, ♦8, ♣8, ♥Q, ♥2 | pair
♥A, ♦8, ♣8, ♥Q, ♥5 | pair
♥A, ♦8, ♣8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥Q, ♥Q | two pairs
♥A, ♦8, ♣8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♣8, ♠7, ♦K | pair
♥A, ♦8, ♣8, ♠7, ♥2 | pair
♥A, ♦8, ♣8, ♠7, ♥5 | pair
♥A, ♦8, ♣8, ♠7, ♦8 | three of a kind
♥A, ♦8, ♣8, ♠7, ♥Q | pair
♥A, ♦8, ♣8, ♠7, ♦8 | three of a kind
♥A, ♦8, ♣8, ♦K, ♥2 | pair
♥A, ♦8, ♣8, ♦K, ♥5 | pair
♥A, ♦8, ♣8, ♦K, ♦8 | three of a kind
♥A, ♦8, ♣8, ♦K, ♥Q | pair
♥A, ♦8, ♣8, ♦K, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥2, ♥5 | pair
♥A, ♦8, ♣8, ♥2, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥2, ♥Q | pair
♥A, ♦8, ♣8, ♥2, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♣8, ♥5, ♥Q | pair
♥A, ♦8, ♣8, ♥5, ♦8 | three of a kind
♥A, ♦8, ♣8, ♦8, ♥Q | three of a kind
♥A, ♦8, ♣8, ♦8, ♦8 | four of a kind!
♥A, ♦8, ♣8, ♥Q, ♦8 | three of a kind
♥A, ♦8, ♥5, ♥Q, ♥Q | pair
♥A, ♦8, ♥5, ♥Q, ♥5 | pair
♥A, ♦8, ♥5, ♥Q, ♦8 | pair
♥A, ♦8, ♥5, ♥Q, ♥Q | pair
♥A, ♦8, ♥5, ♥Q, ♦8 | pair
♥A, ♦8, ♥5, ♥Q, ♥5 | pair
♥A, ♦8, ♥5, ♥Q, ♦8 | pair
♥A, ♦8, ♥5, ♥Q, ♥Q | pair
♥A, ♦8, ♥5, ♥Q, ♦8 | pair
♥A, ♦8, ♥5, ♠7, ♥5 | pair
♥A, ♦8, ♥5, ♠7, ♦8 | pair
♥A, ♦8, ♥5, ♠7, ♦8 | pair
♥A, ♦8, ♥5, ♦K, ♥5 | pair
♥A, ♦8, ♥5, ♦K, ♦8 | pair
♥A, ♦8, ♥5, ♦K, ♦8 | pair
♥A, ♦8, ♥5, ♥2, ♥5 | pair
♥A, ♦8, ♥5, ♥2, ♦8 | pair
♥A, ♦8, ♥5, ♥2, ♦8 | pair
♥A, ♦8, ♥5, ♥5, ♦8 | two pairs
♥A, ♦8, ♥5, ♥5, ♥Q | pair
♥A, ♦8, ♥5, ♥5, ♦8 | two pairs
♥A, ♦8, ♥5, ♦8, ♥Q | pair
♥A, ♦8, ♥5, ♦8, ♦8 | three of a kind
♥A, ♦8, ♥5, ♥Q, ♦8 | pair
♥A, ♦8, ♥Q, ♥Q, ♠7 | pair
♥A, ♦8, ♥Q, ♥Q, ♦K | pair
♥A, ♦8, ♥Q, ♥Q, ♥2 | pair
♥A, ♦8, ♥Q, ♥Q, ♥5 | pair
♥A, ♦8, ♥Q, ♥Q, ♦8 | two pairs
♥A, ♦8, ♥Q, ♥Q, ♥Q | three of a kind
♥A, ♦8, ♥Q, ♥Q, ♦8 | two pairs
♥A, ♦8, ♥Q, ♠7, ♦8 | pair
♥A, ♦8, ♥Q, ♠7, ♥Q | pair
♥A, ♦8, ♥Q, ♠7, ♦8 | pair
♥A, ♦8, ♥Q, ♦K, ♦8 | pair
