♦Q, ♥Q, ♣J, ♥10, ♥5 | pair
♥Q, ♦10, ♣J, ♣4, ♥4 | pair
♥Q, ♦10, ♣J, ♦3, ♥Q | pair
♥Q, ♦10, ♣J, ♥Q, ♥4 | pair
♥Q, ♦10, ♣J, ♣4, ♥Q | pair
♥Q, ♦10, ♣J, ♣4, ♥4 | pair
♥Q, ♦10, ♣J, ♦3, ♥Q | pair
♥Q, ♦10, ♣J, ♥Q, ♥4 | pair
♥Q, ♦10, ♣4, ♦3, ♥Q | pair
♥Q, ♦10, ♣4, ♦3, ♥4 | pair
♥Q, ♦10, ♣4, ♥Q, ♥4 | two pairs
♥Q, ♦10, ♦3, ♥Q, ♥4 | pair
♥Q, ♣J, ♣J, ♣4, ♦3 | pair
♥Q, ♣J, ♣J, ♣4, ♥Q | two pairs
♥Q, ♣J, ♣J, ♣4, ♥4 | two pairs
♥Q, ♣J, ♣J, ♦3, ♥Q | two pairs
♥Q, ♣J, ♣J, ♦3, ♥4 | pair
♥Q, ♣J, ♣J, ♥Q, ♥4 | two pairs
♥Q, ♣J, ♣4, ♦3, ♥Q | pair
♥Q, ♣J, ♣4, ♦3, ♥4 | pair
♥Q, ♣J, ♣4, ♥Q, ♥4 | two pairs
♥Q, ♣J, ♦3, ♥Q, ♥4 | pair
♥Q, ♣J, ♣4, ♦3, ♥Q | pair
♥Q, ♣J, ♣4, ♦3, ♥4 | pair
♥Q, ♣J, ♣4, ♥Q, ♥4 | two pairs
♥Q, ♣J, ♦3, ♥Q, ♥4 | pair
♥Q, ♣4, ♦3, ♥Q, ♥4 | two pairs
♣J, ♥10, ♥5, ♦10, ♠A | pair
♣J, ♥10, ♥5, ♦10, ♦10 | three of a kind
♣J, ♥10, ♥5, ♦10, ♣J | two pairs
♣J, ♥10, ♥5, ♦10, ♣J | two pairs
♣J, ♥10, ♥5, ♦10, ♣4 | pair
♣J, ♥10, ♥5, ♦10, ♦3 | pair
♣J, ♥10, ♥5, ♦10, ♥Q | pair
♣J, ♥10, ♥5, ♦10, ♥4 | pair
♣J, ♥10, ♥5, ♠A, ♦10 | pair
♣J, ♥10, ♥5, ♠A, ♣J | pair
♣J, ♥10, ♥5, ♠A, ♣J | pair
♣J, ♥10, ♥5, ♦10, ♣J | two pairs
♣J, ♥10, ♥5, ♦10, ♣J | two pairs
♣J, ♥10, ♥5, ♦10, ♣4 | pair
♣J, ♥10, ♥5, ♦10, ♦3 | pair
♣J, ♥10, ♥5, ♦10, ♥Q | pair
♣J, ♥10, ♥5, ♦10, ♥4 | pair
♣J, ♥10, ♥5, ♣J, ♣J | three of a kind
♣J, ♥10, ♥5, ♣J, ♣4 | pair
♣J, ♥10, ♥5, ♣J, ♦3 | pair
♣J, ♥10, ♥5, ♣J, ♥Q | pair
♣J, ♥10, ♥5, ♣J, ♥4 | pair
♣J, ♥10, ♥5, ♣J, ♣4 | pair
♣J, ♥10, ♥5, ♣J, ♦3 | pair
♣J, ♥10, ♥5, ♣J, ♥Q | pair
♣J, ♥10, ♥5, ♣J, ♥4 | pair
♣J, ♥10, ♥5, ♣4, ♥4 | pair
♣J, ♥10, ♦10, ♠A, ♦10 | three of a kind
♣J, ♥10, ♦10, ♠A, ♣J | two pairs
♣J, ♥10, ♦10, ♠A, ♣J | two pairs
♣J, ♥10, ♦10, ♠A, ♣4 | pair
♣J, ♥10, ♦10, ♠A, ♦3 | pair
♣J, ♥10, ♦10, ♠A, ♥Q | pair
♣J, ♥10, ♦10, ♠A, ♥4 | pair
♣J, ♥10, ♦10, ♦10, ♣J | fullhouse
♣J, ♥10, ♦10, ♦10, ♣J | fullhouse
♣J, ♥10, ♦10, ♦10, ♣4 | three of a kind
♣J, ♥10, ♦10, ♦10, ♦3 | three of a kind
♣J, ♥10, ♦10, ♦10, ♥Q | three of a kind
♣J, ♥10, ♦10, ♦10, ♥4 | three of a kind
♣J, ♥10, ♦10, ♣J, ♣J | fullhouse
♣J, ♥10, ♦10, ♣J, ♣4 | two pairs
♣J, ♥10, ♦10, ♣J, ♦3 | two pairs
♣J, ♥10, ♦10, ♣J, ♥Q | two pairs
♣J, ♥10, ♦10, ♣J, ♥4 | two pairs
♣J, ♥10, ♦10, ♣J, ♣4 | two pairs
♣J, ♥10, ♦10, ♣J, ♦3 | two pairs
♣J, ♥10, ♦10, ♣J, ♥Q | two pairs
♣J, ♥10, ♦10, ♣J, ♥4 | two pairs
♣J, ♥10, ♦10, ♣4, ♦3 | pair
♣J, ♥10, ♦10, ♣4, ♥Q | pair
♣J, ♥10, ♦10, ♣4, ♥4 | two pairs
♣J, ♥10, ♦10, ♦3, ♥Q | pair
♣J, ♥10, ♦10, ♦3, ♥4 | pair
♣J, ♥10, ♦10, ♥Q, ♥4 | pair
♣J, ♥10, ♠A, ♦10, ♣J | two pairs
♣J, ♥10, ♠A, ♦10, ♣J | two pairs
♣J, ♥10, ♠A, ♦10, ♣4 | pair
♣J, ♥10, ♠A, ♦10, ♦3 | pair
♣J, ♥10, ♠A, ♦10, ♥Q | pair
♣J, ♥10, ♠A, ♦10, ♥4 | pair
♣J, ♥10, ♠A, ♣J, ♣J | three of a kind
♣J, ♥10, ♠A, ♣J, ♣4 | pair
♣J, ♥10, ♠A, ♣J, ♦3 | pair
♣J, ♥10, ♠A, ♣J, ♥Q | pair
♣J, ♥10, ♠A, ♣J, ♥4 | pair
♣J, ♥10, ♠A, ♣J, ♣4 | pair
♣J, ♥10, ♠A, ♣J, ♦3 | pair
♣J, ♥10, ♠A, ♣J, ♥Q | pair
♣J, ♥10, ♠A, ♣J, ♥4 | pair
♣J, ♥10, ♠A, ♣4, ♥4 | pair
♣J, ♥10, ♦10, ♣J, ♣J | fullhouse
♣J, ♥10, ♦10, ♣J, ♣4 | two pairs
♣J, ♥10, ♦10, ♣J, ♦3 | two pairs
♣J, ♥10, ♦10, ♣J, ♥Q | two pairs
♣J, ♥10, ♦10, ♣J, ♥4 | two pairs
♣J, ♥10, ♦10, ♣J, ♣4 | two pairs
♣J, ♥10, ♦10, ♣J, ♦3 | two pairs
♣J, ♥10, ♦10, ♣J, ♥Q | two pairs
♣J, ♥10, ♦10, ♣J, ♥4 | two pairs
♣J, ♥10, ♦10, ♣4, ♦3 | pair
♣J, ♥10, ♦10, ♣4, ♥Q | pair
♣J, ♥10, ♦10, ♣4, ♥4 | two pairs
♣J, ♥10, ♦10, ♦3, ♥Q | pair
♣J, ♥10, ♦10, ♦3, ♥4 | pair
♣J, ♥10, ♦10, ♥Q, ♥4 | pair
♣J, ♥10, ♣J, ♣J, ♣4 | three of a kind
♣J, ♥10, ♣J, ♣J, ♦3 | three of a kind
♣J, ♥10, ♣J, ♣J, ♥Q | three of a kind
♣J, ♥10, ♣J, ♣J, ♥4 | three of a kind
♣J, ♥10, ♣J, ♣4, ♦3 | pair
♣J, ♥10, ♣J, ♣4, ♥Q | pair
♣J, ♥10, ♣J, ♣4, ♥4 | two pairs
♣J, ♥10, ♣J, ♦3, ♥Q | pair
♣J, ♥10, ♣J, ♦3, ♥4 | pair
♣J, ♥10, ♣J, ♥Q, ♥4 | pair
♣J, ♥10, ♣J, ♣4, ♦3 | pair
♣J, ♥10, ♣J, ♣4, ♥Q | pair
♣J, ♥10, ♣J, ♣4, ♥4 | two pairs
♣J, ♥10, ♣J, ♦3, ♥Q | pair
♣J, ♥10, ♣J, ♦3, ♥4 | pair
♣J, ♥10, ♣J, ♥Q, ♥4 | pair
♣J, ♥10, ♣4, ♦3, ♥4 | pair
♣J, ♥10, ♣4, ♥Q, ♥4 | pair
♣J, ♥5, ♦10, ♠A, ♦10 | pair
♣J, ♥5, ♦10, ♠A, ♣J | pair
♣J, ♥5, ♦10, ♠A, ♣J | pair
♣J, ♥5, ♦10, ♦10, ♣J | two pairs
♣J, ♥5, ♦10, ♦10, ♣J | two pairs
♣J, ♥5, ♦10, ♦10, ♣4 | pair
♣J, ♥5, ♦10, ♦10, ♦3 | pair
♣J, ♥5, ♦10, ♦10, ♥Q | pair
♣J, ♥5, ♦10, ♦10, ♥4 | pair
♣J, ♥5, ♦10, ♣J, ♣J | three of a kind
♣J, ♥5, ♦10, ♣J, ♣4 | pair
♣J, ♥5, ♦10, ♣J, ♦3 | pair
♣J, ♥5, ♦10, ♣J, ♥Q | pair
♣J, ♥5, ♦10, ♣J, ♥4 | pair
♣J, ♥5, ♦10, ♣J, ♣4 | pair
♣J, ♥5, ♦10, ♣J, ♦3 | pair
♣J, ♥5, ♦10, ♣J, ♥Q | pair
♣J, ♥5, ♦10, ♣J, ♥4 | pair
♣J, ♥5, ♦10, ♣4, ♥4 | pair
♣J, ♥5, ♠A, ♦10, ♣J | pair
♣J, ♥5, ♠A, ♦10, ♣J | pair
♣J, ♥5, ♠A, ♣J, ♣J | three of a kind
♣J, ♥5, ♠A, ♣J, ♣4 | pair
♣J, ♥5, ♠A, ♣J, ♦3 | pair
♣J, ♥5, ♠A, ♣J, ♥Q | pair
♣J, ♥5, ♠A, ♣J, ♥4 | pair
♣J, ♥5, ♠A, ♣J, ♣4 | pair
♣J, ♥5, ♠A, ♣J, ♦3 | pair
♣J, ♥5, ♠A, ♣J, ♥Q | pair
♣J, ♥5, ♠A, ♣J, ♥4 | pair
♣J, ♥5, ♠A, ♣4, ♥4 | pair
♣J, ♥5, ♦10, ♣J, ♣J | three of a kind
♣J, ♥5, ♦10, ♣J, ♣4 | pair
♣J, ♥5, ♦10, ♣J, ♦3 | pair
♣J, ♥5, ♦10, ♣J, ♥Q | pair
♣J, ♥5, ♦10, ♣J, ♥4 | pair
♣J, ♥5, ♦10, ♣J, ♣4 | pair
♣J, ♥5, ♦10, ♣J, ♦3 | pair
♣J, ♥5, ♦10, ♣J, ♥Q | pair
♣J, ♥5, ♦10, ♣J, ♥4 | pair
♣J, ♥5, ♦10, ♣4, ♥4 | pair
♣J, ♥5, ♣J, ♣J, ♣4 | three of a kind
♣J, ♥5, ♣J, ♣J, ♦3 | three of a kind
♣J, ♥5, ♣J, ♣J, ♥Q | three of a kind
♣J, ♥5, ♣J, ♣J, ♥4 | three of a kind
♣J, ♥5, ♣J, ♣4, ♦3 | pair
♣J, ♥5, ♣J, ♣4, ♥Q | pair
♣J, ♥5, ♣J, ♣4, ♥4 | two pairs
♣J, ♥5, ♣J, ♦3, ♥Q | pair
♣J, ♥5, ♣J, ♦3, ♥4 | pair
♣J, ♥5, ♣J, ♥Q, ♥4 | pair
♣J, ♥5, ♣J, ♣4, ♦3 | pair
♣J, ♥5, ♣J, ♣4, ♥Q | pair
♣J, ♥5, ♣J, ♣4, ♥4 | two pairs
♣J, ♥5, ♣J, ♦3, ♥Q | pair
♣J, ♥5, ♣J, ♦3, ♥4 | pair
♣J, ♥5, ♣J, ♥Q, ♥4 | pair
♣J, ♥5, ♣4, ♦3, ♥4 | pair
♣J, ♥5, ♣4, ♥Q, ♥4 | pair
♣J, ♦10, ♠A, ♦10, ♣J | two pairs
♣J, ♦10, ♠A, ♦10, ♣J | two pairs
♣J, ♦10, ♠A, ♦10, ♣4 | pair
♣J, ♦10, ♠A, ♦10, ♦3 | pair
♣J, ♦10, ♠A, ♦10, ♥Q | pair
♣J, ♦10, ♠A, ♦10, ♥4 | pair
♣J, ♦10, ♠A, ♣J, ♣J | three of a kind
♣J, ♦10, ♠A, ♣J, ♣4 | pair
♣J, ♦10, ♠A, ♣J, ♦3 | pair
♣J, ♦10, ♠A, ♣J, ♥Q | pair
♣J, ♦10, ♠A, ♣J, ♥4 | pair
♣J, ♦10, ♠A, ♣J, ♣4 | pair
♣J, ♦10, ♠A, ♣J, ♦3 | pair
♣J, ♦10, ♠A, ♣J, ♥Q | pair
♣J, ♦10, ♠A, ♣J, ♥4 | pair
♣J, ♦10, ♠A, ♣4, ♥4 | pair
♣J, ♦10, ♦10, ♣J, ♣J | fullhouse
♣J, ♦10, ♦10, ♣J, ♣4 | two pairs
♣J, ♦10, ♦10, ♣J, ♦3 | two pairs
♣J, ♦10, ♦10, ♣J, ♥Q | two pairs
♣J, ♦10, ♦10, ♣J, ♥4 | two pairs
♣J, ♦10, ♦10, ♣J, ♣4 | two pairs
♣J, ♦10, ♦10, ♣J, ♦3 | two pairs
♣J, ♦10, ♦10, ♣J, ♥Q | two pairs
♣J, ♦10, ♦10, ♣J, ♥4 | two pairs
♣J, ♦10, ♦10, ♣4, ♦3 | pair
♣J, ♦10, ♦10, ♣4, ♥Q | pair
♣J, ♦10, ♦10, ♣4, ♥4 | two pairs
♣J, ♦10, ♦10, ♦3, ♥Q | pair
♣J, ♦10, ♦10, ♦3, ♥4 | pair
♣J, ♦10, ♦10, ♥Q, ♥4 | pair
♣J, ♦10, ♣J, ♣J, ♣4 | three of a kind
♣J, ♦10, ♣J, ♣J, ♦3 | three of a kind
♣J, ♦10, ♣J, ♣J, ♥Q | three of a kind
♣J, ♦10, ♣J, ♣J, ♥4 | three of a kind
♣J, ♦10, ♣J, ♣4, ♦3 | pair
♣J, ♦10, ♣J, ♣4, ♥Q | pair
♣J, ♦10, ♣J, ♣4, ♥4 | two pairs
♣J, ♦10, ♣J, ♦3, ♥Q | pair
♣J, ♦10, ♣J, ♦3, ♥4 | pair
♣J, ♦10, ♣J, ♥Q, ♥4 | pair
♣J, ♦10, ♣J, ♣4, ♦3 | pair
♣J, ♦10, ♣J, ♣4, ♥Q | pair
♣J, ♦10, ♣J, ♣4, ♥4 | two pairs
♣J, ♦10, ♣J, ♦3, ♥Q | pair
♣J, ♦10, ♣J, ♦3, ♥4 | pair
♣J, ♦10, ♣J, ♥Q, ♥4 | pair
♣J, ♦10, ♣4, ♦3, ♥4 | pair
♣J, ♦10, ♣4, ♥Q, ♥4 | pair
♣J, ♠A, ♦10, ♣J, ♣J | three of a kind
♣J, ♠A, ♦10, ♣J, ♣4 | pair
♣J, ♠A, ♦10, ♣J, ♦3 | pair
♣J, ♠A, ♦10, ♣J, ♥Q | pair
♣J, ♠A, ♦10, ♣J, ♥4 | pair
♣J, ♠A, ♦10, ♣J, ♣4 | pair
♣J, ♠A, ♦10, ♣J, ♦3 | pair
♣J, ♠A, ♦10, ♣J, ♥Q | pair
♣J, ♠A, ♦10, ♣J, ♥4 | pair
♣J, ♠A, ♦10, ♣4, ♥4 | pair
♣J, ♠A, ♣J, ♣J, ♣4 | three of a kind
♣J, ♠A, ♣J, ♣J, ♦3 | three of a kind
♣J, ♠A, ♣J, ♣J, ♥Q | three of a kind
♣J, ♠A, ♣J, ♣J, ♥4 | three of a kind
♣J, ♠A, ♣J, ♣4, ♦3 | pair
♣J, ♠A, ♣J, ♣4, ♥Q | pair
♣J, ♠A, ♣J, ♣4, ♥4 | two pairs
♣J, ♠A, ♣J, ♦3, ♥Q | pair
♣J, ♠A, ♣J, ♦3, ♥4 | pair
♣J, ♠A, ♣J, ♥Q, ♥4 | pair
♣J, ♠A, ♣J, ♣4, ♦3 | pair
♣J, ♠A, ♣J, ♣4, ♥Q | pair
♣J, ♠A, ♣J, ♣4, ♥4 | two pairs
♣J, ♠A, ♣J, ♦3, ♥Q | pair
♣J, ♠A, ♣J, ♦3, ♥4 | pair
♣J, ♠A, ♣J, ♥Q, ♥4 | pair
♣J, ♠A, ♣4, ♦3, ♥4 | pair
♣J, ♠A, ♣4, ♥Q, ♥4 | pair
♣J, ♦10, ♣J, ♣J, ♣4 | three of a kind
♣J, ♦10, ♣J, ♣J, ♦3 | three of a kind
♣J, ♦10, ♣J, ♣J, ♥Q | three of a kind
♣J, ♦10, ♣J, ♣J, ♥4 | three of a kind
♣J, ♦10, ♣J, ♣4, ♦3 | pair
♣J, ♦10, ♣J, ♣4, ♥Q | pair
♣J, ♦10, ♣J, ♣4, ♥4 | two pairs
♣J, ♦10, ♣J, ♦3, ♥Q | pair
♣J, ♦10, ♣J, ♦3, ♥4 | pair
♣J, ♦10, ♣J, ♥Q, ♥4 | pair
♣J, ♦10, ♣J, ♣4, ♦3 | pair
♣J, ♦10, ♣J, ♣4, ♥Q | pair
♣J, ♦10, ♣J, ♣4, ♥4 | two pairs
♣J, ♦10, ♣J, ♦3, ♥Q | pair
♣J, ♦10, ♣J, ♦3, ♥4 | pair
♣J, ♦10, ♣J, ♥Q, ♥4 | pair
♣J, ♦10, ♣4, ♦3, ♥4 | pair
♣J, ♦10, ♣4, ♥Q, ♥4 | pair
♣J, ♣J, ♣J, ♣4, ♦3 | three of a kind
♣J, ♣J, ♣J, ♣4, ♥Q | three of a kind
♣J, ♣J, ♣J, ♣4, ♥4 | fullhouse
♣J, ♣J, ♣J, ♦3, ♥Q | three of a kind
♣J, ♣J, ♣J, ♦3, ♥4 | three of a kind
♣J, ♣J, ♣J, ♥Q, ♥4 | three of a kind
♣J, ♣J, ♣4, ♦3, ♥Q | pair
♣J, ♣J, ♣4, ♦3, ♥4 | two pairs
♣J, ♣J, ♣4, ♥Q, ♥4 | two pairs
♣J, ♣J, ♦3, ♥Q, ♥4 | pair
♣J, ♣J, ♣4, ♦3, ♥Q | pair
♣J, ♣J, ♣4, ♦3, ♥4 | two pairs
♣J, ♣J, ♣4, ♥Q, ♥4 | two pairs
♣J, ♣J, ♦3, ♥Q, ♥4 | pair
♣J, ♣4, ♦3, ♥Q, ♥4 | pair
♥10, ♥5, ♦10, ♠A, ♦10 | three of a kind
♥10, ♥5, ♦10, ♠A, ♣J | pair
♥10, ♥5, ♦10, ♠A, ♣J | pair
♥10, ♥5, ♦10, ♠A, ♣4 | pair
♥10, ♥5, ♦10, ♠A, ♦3 | pair
♥10, ♥5, ♦10, ♠A, ♥Q | pair
♥10, ♥5, ♦10, ♠A, ♥4 | pair
♥10, ♥5, ♦10, ♦10, ♣J | three of a kind
♥10, ♥5, ♦10, ♦10, ♣J | three of a kind
♥10, ♥5, ♦10, ♦10, ♣4 | three of a kind
♥10, ♥5, ♦10, ♦10, ♦3 | three of a kind
♥10, ♥5, ♦10, ♦10, ♥Q | three of a kind
♥10, ♥5, ♦10, ♦10, ♥4 | three of a kind
♥10, ♥5, ♦10, ♣J, ♣J | two pairs
♥10, ♥5, ♦10, ♣J, ♣4 | pair
♥10, ♥5, ♦10, ♣J, ♦3 | pair
♥10, ♥5, ♦10, ♣J, ♥Q | pair
♥10, ♥5, ♦10, ♣J, ♥4 | pair
♥10, ♥5, ♦10, ♣J, ♣4 | pair
♥10, ♥5, ♦10, ♣J, ♦3 | pair
♥10, ♥5, ♦10, ♣J, ♥Q | pair
♥10, ♥5, ♦10, ♣J, ♥4 | pair
♥10, ♥5, ♦10, ♣4, ♦3 | pair
♥10, ♥5, ♦10, ♣4, ♥Q | pair
♥10, ♥5, ♦10, ♣4, ♥4 | two pairs
♥10, ♥5, ♦10, ♦3, ♥Q | pair
♥10, ♥5, ♦10, ♦3, ♥4 | pair
♥10, ♥5, ♦10, ♥Q, ♥4 | pair
♥10, ♥5, ♠A, ♦10, ♣J | pair
♥10, ♥5, ♠A, ♦10, ♣J | pair
♥10, ♥5, ♠A, ♦10, ♣4 | pair
♥10, ♥5, ♠A, ♦10, ♦3 | pair
♥10, ♥5, ♠A, ♦10, ♥Q | pair
♥10, ♥5, ♠A, ♦10, ♥4 | pair
♥10, ♥5, ♠A, ♣J, ♣J | pair
♥10, ♥5, ♠A, ♣4, ♥4 | pair
♥10, ♥5, ♦10, ♣J, ♣J | two pairs
♥10, ♥5, ♦10, ♣J, ♣4 | pair
♥10, ♥5, ♦10, ♣J, ♦3 | pair
♥10, ♥5, ♦10, ♣J, ♥Q | pair
♥10, ♥5, ♦10, ♣J, ♥4 | pair
♥10, ♥5, ♦10, ♣J, ♣4 | pair
♥10, ♥5, ♦10, ♣J, ♦3 | pair
♥10, ♥5, ♦10, ♣J, ♥Q | pair
♥10, ♥5, ♦10, ♣J, ♥4 | pair
♥10, ♥5, ♦10, ♣4, ♦3 | pair
♥10, ♥5, ♦10, ♣4, ♥Q | pair
♥10, ♥5, ♦10, ♣4, ♥4 | two pairs
♥10, ♥5, ♦10, ♦3, ♥Q | pair
♥10, ♥5, ♦10, ♦3, ♥4 | pair
♥10, ♥5, ♦10, ♥Q, ♥4 | pair
♥10, ♥5, ♣J, ♣J, ♣4 | pair
♥10, ♥5, ♣J, ♣J, ♦3 | pair
♥10, ♥5, ♣J, ♣J, ♥Q | pair
♥10, ♥5, ♣J, ♣J, ♥4 | pair
♥10, ♥5, ♣J, ♣4, ♥4 | pair
♥10, ♥5, ♣J, ♣4, ♥4 | pair
♥10, ♥5, ♣4, ♦3, ♥4 | pair
♥10, ♥5, ♣4, ♥Q, ♥4 | pair
♥10, ♦10, ♠A, ♦10, ♣J | three of a kind
♥10, ♦10, ♠A, ♦10, ♣J | three of a kind
♥10, ♦10, ♠A, ♦10, ♣4 | three of a kind
♥10, ♦10, ♠A, ♦10, ♦3 | three of a kind
♥10, ♦10, ♠A, ♦10, ♥Q | three of a kind
♥10, ♦10, ♠A, ♦10, ♥4 | three of a kind
♥10, ♦10, ♠A, ♣J, ♣J | two pairs
♥10, ♦10, ♠A, ♣J, ♣4 | pair
♥10, ♦10, ♠A, ♣J, ♦3 | pair
♥10, ♦10, ♠A, ♣J, ♥Q | pair
♥10, ♦10, ♠A, ♣J, ♥4 | pair
♥10, ♦10, ♠A, ♣J, ♣4 | pair
♥10, ♦10, ♠A, ♣J, ♦3 | pair
♥10, ♦10, ♠A, ♣J, ♥Q | pair
♥10, ♦10, ♠A, ♣J, ♥4 | pair
♥10, ♦10, ♠A, ♣4, ♦3 | pair
♥10, ♦10, ♠A, ♣4, ♥Q | pair
♥10, ♦10, ♠A, ♣4, ♥4 | two pairs
♥10, ♦10, ♠A, ♦3, ♥Q | pair
♥10, ♦10, ♠A, ♦3, ♥4 | pair
♥10, ♦10, ♠A, ♥Q, ♥4 | pair
♥10, ♦10, ♦10, ♣J, ♣J | fullhouse
♥10, ♦10, ♦10, ♣J, ♣4 | three of a kind
♥10, ♦10, ♦10, ♣J, ♦3 | three of a kind
♥10, ♦10, ♦10, ♣J, ♥Q | three of a kind
♥10, ♦10, ♦10, ♣J, ♥4 | three of a kind
♥10, ♦10, ♦10, ♣J, ♣4 | three of a kind
♥10, ♦10, ♦10, ♣J, ♦3 | three of a kind
♥10, ♦10, ♦10, ♣J, ♥Q | three of a kind
♥10, ♦10, ♦10, ♣J, ♥4 | three of a kind
♥10, ♦10, ♦10, ♣4, ♦3 | three of a kind
♥10, ♦10, ♦10, ♣4, ♥Q | three of a kind
♥10, ♦10, ♦10, ♣4, ♥4 | fullhouse
♥10, ♦10, ♦10, ♦3, ♥Q | three of a kind
♥10, ♦10, ♦10, ♦3, ♥4 | three of a kind
♥10, ♦10, ♦10, ♥Q, ♥4 | three of a kind
♥10, ♦10, ♣J, ♣J, ♣4 | two pairs
♥10, ♦10, ♣J, ♣J, ♦3 | two pairs
♥10, ♦10, ♣J, ♣J, ♥Q | two pairs
♥10, ♦10, ♣J, ♣J, ♥4 | two pairs
♥10, ♦10, ♣J, ♣4, ♦3 | pair
♥10, ♦10, ♣J, ♣4, ♥Q | pair
♥10, ♦10, ♣J, ♣4, ♥4 | two pairs
♥10, ♦10, ♣J, ♦3, ♥Q | pair
♥10, ♦10, ♣J, ♦3, ♥4 | pair
♥10, ♦10, ♣J, ♥Q, ♥4 | pair
♥10, ♦10, ♣J, ♣4, ♦3 | pair
♥10, ♦10, ♣J, ♣4, ♥Q | pair
♥10, ♦10, ♣J, ♣4, ♥4 | two pairs
♥10, ♦10, ♣J, ♦3, ♥Q | pair
♥10, ♦10, ♣J, ♦3, ♥4 | pair
♥10, ♦10, ♣J, ♥Q, ♥4 | pair
♥10, ♦10, ♣4, ♦3, ♥Q | pair
♥10, ♦10, ♣4, ♦3, ♥4 | two pairs
♥10, ♦10, ♣4, ♥Q, ♥4 | two pairs
♥10, ♦10, ♦3, ♥Q, ♥4 | pair
♥10, ♠A, ♦10, ♣J, ♣J | two pairs
♥10, ♠A, ♦10, ♣J, ♣4 | pair
♥10, ♠A, ♦10, ♣J, ♦3 | pair
♥10, ♠A, ♦10, ♣J, ♥Q | pair
♥10, ♠A, ♦10, ♣J, ♥4 | pair
♥10, ♠A, ♦10, ♣J, ♣4 | pair
♥10, ♠A, ♦10, ♣J, ♦3 | pair
♥10, ♠A, ♦10, ♣J, ♥Q | pair
♥10, ♠A, ♦10, ♣J, ♥4 | pair
♥10, ♠A, ♦10, ♣4, ♦3 | pair
♥10, ♠A, ♦10, ♣4, ♥Q | pair
♥10, ♠A, ♦10, ♣4, ♥4 | two pairs
♥10, ♠A, ♦10, ♦3, ♥Q | pair
♥10, ♠A, ♦10, ♦3, ♥4 | pair
♥10, ♠A, ♦10, ♥Q, ♥4 | pair
♥10, ♠A, ♣J, ♣J, ♣4 | pair
♥10, ♠A, ♣J, ♣J, ♦3 | pair
♥10, ♠A, ♣J, ♣J, ♥Q | pair
♥10, ♠A, ♣J, ♣J, ♥4 | pair
♥10, ♠A, ♣J, ♣4, ♥4 | pair
♥10, ♠A, ♣J, ♣4, ♥4 | pair
♥10, ♠A, ♣4, ♦3, ♥4 | pair
♥10, ♠A, ♣4, ♥Q, ♥4 | pair
♥10, ♦10, ♣J, ♣J, ♣4 | two pairs
♥10, ♦10, ♣J, ♣J, ♦3 | two pairs
♥10, ♦10, ♣J, ♣J, ♥Q | two pairs
♥10, ♦10, ♣J, ♣J, ♥4 | two pairs
♥10, ♦10, ♣J, ♣4, ♦3 | pair
♥10, ♦10, ♣J, ♣4, ♥Q | pair
♥10, ♦10, ♣J, ♣4, ♥4 | two pairs
♥10, ♦10, ♣J, ♦3, ♥Q | pair
♥10, ♦10, ♣J, ♦3, ♥4 | pair
♥10, ♦10, ♣J, ♥Q, ♥4 | pair
♥10, ♦10, ♣J, ♣4, ♦3 | pair
♥10, ♦10, ♣J, ♣4, ♥Q | pair
♥10, ♦10, ♣J, ♣4, ♥4 | two pairs
♥10, ♦10, ♣J, ♦3, ♥Q | pair
♥10, ♦10, ♣J, ♦3, ♥4 | pair
♥10, ♦10, ♣J, ♥Q, ♥4 | pair
♥10, ♦10, ♣4, ♦3, ♥Q | pair
♥10, ♦10, ♣4, ♦3, ♥4 | two pairs
♥10, ♦10, ♣4, ♥Q, ♥4 | two pairs
♥10, ♦10, ♦3, ♥Q, ♥4 | pair
♥10, ♣J, ♣J, ♣4, ♦3 | pair
♥10, ♣J, ♣J, ♣4, ♥Q | pair
♥10, ♣J, ♣J, ♣4, ♥4 | two pairs
♥10, ♣J, ♣J, ♦3, ♥Q | pair
♥10, ♣J, ♣J, ♦3, ♥4 | pair
♥10, ♣J, ♣J, ♥Q, ♥4 | pair
♥10, ♣J, ♣4, ♦3, ♥4 | pair
♥10, ♣J, ♣4, ♥Q, ♥4 | pair
♥10, ♣J, ♣4, ♦3, ♥4 | pair
♥10, ♣J, ♣4, ♥Q, ♥4 | pair
♥10, ♣4, ♦3, ♥Q, ♥4 | pair
♥5, ♦10, ♠A, ♦10, ♣J | pair
♥5, ♦10, ♠A, ♦10, ♣J | pair
♥5, ♦10, ♠A, ♦10, ♣4 | pair
♥5, ♦10, ♠A, ♦10, ♦3 | pair
♥5, ♦10, ♠A, ♦10, ♥Q | pair
♥5, ♦10, ♠A, ♦10, ♥4 | pair
♥5, ♦10, ♠A, ♣J, ♣J | pair
♥5, ♦10, ♠A, ♣4, ♥4 | pair
♥5, ♦10, ♦10, ♣J, ♣J | two pairs
♥5, ♦10, ♦10, ♣J, ♣4 | pair
♥5, ♦10, ♦10, ♣J, ♦3 | pair
♥5, ♦10, ♦10, ♣J, ♥Q | pair
♥5, ♦10, ♦10, ♣J, ♥4 | pair
♥5, ♦10, ♦10, ♣J, ♣4 | pair
♥5, ♦10, ♦10, ♣J, ♦3 | pair
