♠7, ♦7, ♦3, ♥8, ♣2 | pair
♦7, ♦3, ♥8, ♣3, ♣5 | pair
♦7, ♦3, ♥8, ♣3, ♣J | pair
♦7, ♦3, ♥8, ♠2, ♣2 | pair
♦7, ♦3, ♣2, ♣7, ♦J | pair
♦7, ♦3, ♣2, ♣7, ♠Q | pair
♦7, ♦3, ♣2, ♣7, ♣3 | two pairs
♦7, ♦3, ♣2, ♣7, ♦Q | pair
♦7, ♦3, ♣2, ♣7, ♠2 | two pairs
♦7, ♦3, ♣2, ♣7, ♦10 | pair
♦7, ♦3, ♣2, ♣7, ♣2 | two pairs
♦7, ♦3, ♣2, ♣7, ♥4 | pair
♦7, ♦3, ♣2, ♣7, ♣5 | pair
♦7, ♦3, ♣2, ♣7, ♣J | pair
♦7, ♦3, ♣2, ♦J, ♣3 | pair
♦7, ♦3, ♣2, ♦J, ♠2 | pair
♦7, ♦3, ♣2, ♦J, ♣2 | pair
♦7, ♦3, ♣2, ♦J, ♣J | pair
♦7, ♦3, ♣2, ♠Q, ♣3 | pair
♦7, ♦3, ♣2, ♠Q, ♦Q | pair
♦7, ♦3, ♣2, ♠Q, ♠2 | pair
♦7, ♦3, ♣2, ♠Q, ♣2 | pair
♦7, ♦3, ♣2, ♣3, ♦Q | pair
♦7, ♦3, ♣2, ♣3, ♠2 | two pairs
♦7, ♦3, ♣2, ♣3, ♦10 | pair
♦7, ♦3, ♣2, ♣3, ♣2 | two pairs
♦7, ♦3, ♣2, ♣3, ♥4 | pair
♦7, ♦3, ♣2, ♣3, ♣5 | pair
♦7, ♦3, ♣2, ♣3, ♣J | pair
♦7, ♦3, ♣2, ♦Q, ♠2 | pair
♦7, ♦3, ♣2, ♦Q, ♣2 | pair
♦7, ♦3, ♣2, ♠2, ♦10 | pair
♦7, ♦3, ♣2, ♠2, ♣2 | three of a kind
♦7, ♦3, ♣2, ♠2, ♥4 | pair
♦7, ♦3, ♣2, ♠2, ♣5 | pair
♦7, ♦3, ♣2, ♠2, ♣J | pair
♦7, ♦3, ♣2, ♦10, ♣2 | pair
♦7, ♦3, ♣2, ♣2, ♥4 | pair
♦7, ♦3, ♣2, ♣2, ♣5 | pair
♦7, ♦3, ♣2, ♣2, ♣J | pair
♦7, ♦3, ♣7, ♦J, ♠Q | pair
♦7, ♦3, ♣7, ♦J, ♣3 | two pairs
♦7, ♦3, ♣7, ♦J, ♦Q | pair
♦7, ♦3, ♣7, ♦J, ♠2 | pair
♦7, ♦3, ♣7, ♦J, ♦10 | pair
♦7, ♦3, ♣7, ♦J, ♣2 | pair
♦7, ♦3, ♣7, ♦J, ♥4 | pair
♦7, ♦3, ♣7, ♦J, ♣5 | pair
♦7, ♦3, ♣7, ♦J, ♣J | two pairs
♦7, ♦3, ♣7, ♠Q, ♣3 | two pairs
♦7, ♦3, ♣7, ♠Q, ♦Q | two pairs
♦7, ♦3, ♣7, ♠Q, ♠2 | pair
♦7, ♦3, ♣7, ♠Q, ♦10 | pair
♦7, ♦3, ♣7, ♠Q, ♣2 | pair
♦7, ♦3, ♣7, ♠Q, ♥4 | pair
♦7, ♦3, ♣7, ♠Q, ♣5 | pair
♦7, ♦3, ♣7, ♠Q, ♣J | pair
♦7, ♦3, ♣7, ♣3, ♦Q | two pairs
♦7, ♦3, ♣7, ♣3, ♠2 | two pairs
♦7, ♦3, ♣7, ♣3, ♦10 | two pairs
♦7, ♦3, ♣7, ♣3, ♣2 | two pairs
♦7, ♦3, ♣7, ♣3, ♥4 | two pairs
♦7, ♦3, ♣7, ♣3, ♣5 | two pairs
♦7, ♦3, ♣7, ♣3, ♣J | two pairs
♦7, ♦3, ♣7, ♦Q, ♠2 | pair
♦7, ♦3, ♣7, ♦Q, ♦10 | pair
♦7, ♦3, ♣7, ♦Q, ♣2 | pair
♦7, ♦3, ♣7, ♦Q, ♥4 | pair
♦7, ♦3, ♣7, ♦Q, ♣5 | pair
♦7, ♦3, ♣7, ♦Q, ♣J | pair
♦7, ♦3, ♣7, ♠2, ♦10 | pair
♦7, ♦3, ♣7, ♠2, ♣2 | two pairs
♦7, ♦3, ♣7, ♠2, ♥4 | pair
♦7, ♦3, ♣7, ♠2, ♣5 | pair
♦7, ♦3, ♣7, ♠2, ♣J | pair
♦7, ♦3, ♣7, ♦10, ♣2 | pair
♦7, ♦3, ♣7, ♦10, ♥4 | pair
♦7, ♦3, ♣7, ♦10, ♣5 | pair
♦7, ♦3, ♣7, ♦10, ♣J | pair
♦7, ♦3, ♣7, ♣2, ♥4 | pair
♦7, ♦3, ♣7, ♣2, ♣5 | pair
♦7, ♦3, ♣7, ♣2, ♣J | pair
♦7, ♦3, ♣7, ♥4, ♣5 | pair
♦7, ♦3, ♣7, ♥4, ♣J | pair
♦7, ♦3, ♣7, ♣5, ♣J | pair
♦7, ♦3, ♦J, ♠Q, ♣3 | pair
♦7, ♦3, ♦J, ♠Q, ♦Q | pair
♦7, ♦3, ♦J, ♠Q, ♣J | pair
♦7, ♦3, ♦J, ♣3, ♦Q | pair
♦7, ♦3, ♦J, ♣3, ♠2 | pair
♦7, ♦3, ♦J, ♣3, ♦10 | pair
♦7, ♦3, ♦J, ♣3, ♣2 | pair
♦7, ♦3, ♦J, ♣3, ♥4 | pair
♦7, ♦3, ♦J, ♣3, ♣5 | pair
♦7, ♦3, ♦J, ♣3, ♣J | two pairs
♦7, ♦3, ♦J, ♦Q, ♦10 | flush
♦7, ♦3, ♦J, ♦Q, ♣J | pair
♦7, ♦3, ♦J, ♠2, ♣2 | pair
♦7, ♦3, ♦J, ♠2, ♣J | pair
♦7, ♦3, ♦J, ♦10, ♣J | pair
♦7, ♦3, ♦J, ♣2, ♣J | pair
♦7, ♦3, ♦J, ♥4, ♣J | pair
♦7, ♦3, ♦J, ♣5, ♣J | pair
♦7, ♦3, ♠Q, ♣3, ♦Q | two pairs
♦7, ♦3, ♠Q, ♣3, ♠2 | pair
♦7, ♦3, ♠Q, ♣3, ♦10 | pair
♦7, ♦3, ♠Q, ♣3, ♣2 | pair
♦7, ♦3, ♠Q, ♣3, ♥4 | pair
♦7, ♦3, ♠Q, ♣3, ♣5 | pair
♦7, ♦3, ♠Q, ♣3, ♣J | pair
♦7, ♦3, ♠Q, ♦Q, ♠2 | pair
♦7, ♦3, ♠Q, ♦Q, ♦10 | pair
♦7, ♦3, ♠Q, ♦Q, ♣2 | pair
♦7, ♦3, ♠Q, ♦Q, ♥4 | pair
♦7, ♦3, ♠Q, ♦Q, ♣5 | pair
♦7, ♦3, ♠Q, ♦Q, ♣J | pair
♦7, ♦3, ♠Q, ♠2, ♣2 | pair
♦7, ♦3, ♣3, ♦Q, ♠2 | pair
♦7, ♦3, ♣3, ♦Q, ♦10 | pair
♦7, ♦3, ♣3, ♦Q, ♣2 | pair
♦7, ♦3, ♣3, ♦Q, ♥4 | pair
♦7, ♦3, ♣3, ♦Q, ♣5 | pair
♦7, ♦3, ♣3, ♦Q, ♣J | pair
♦7, ♦3, ♣3, ♠2, ♦10 | pair
♦7, ♦3, ♣3, ♠2, ♣2 | two pairs
♦7, ♦3, ♣3, ♠2, ♥4 | pair
♦7, ♦3, ♣3, ♠2, ♣5 | pair
♦7, ♦3, ♣3, ♠2, ♣J | pair
♦7, ♦3, ♣3, ♦10, ♣2 | pair
♦7, ♦3, ♣3, ♦10, ♥4 | pair
♦7, ♦3, ♣3, ♦10, ♣5 | pair
♦7, ♦3, ♣3, ♦10, ♣J | pair
♦7, ♦3, ♣3, ♣2, ♥4 | pair
♦7, ♦3, ♣3, ♣2, ♣5 | pair
♦7, ♦3, ♣3, ♣2, ♣J | pair
♦7, ♦3, ♣3, ♥4, ♣5 | pair
♦7, ♦3, ♣3, ♥4, ♣J | pair
♦7, ♦3, ♣3, ♣5, ♣J | pair
♦7, ♦3, ♦Q, ♠2, ♣2 | pair
♦7, ♦3, ♠2, ♦10, ♣2 | pair
♦7, ♦3, ♠2, ♣2, ♥4 | pair
♦7, ♦3, ♠2, ♣2, ♣5 | pair
♦7, ♦3, ♠2, ♣2, ♣J | pair
♦7, ♥8, ♣2, ♣7, ♦J | pair
♦7, ♥8, ♣2, ♣7, ♠Q | pair
♦7, ♥8, ♣2, ♣7, ♣3 | pair
♦7, ♥8, ♣2, ♣7, ♦Q | pair
♦7, ♥8, ♣2, ♣7, ♠2 | two pairs
♦7, ♥8, ♣2, ♣7, ♦10 | pair
♦7, ♥8, ♣2, ♣7, ♣2 | two pairs
♦7, ♥8, ♣2, ♣7, ♥4 | pair
♦7, ♥8, ♣2, ♣7, ♣5 | pair
♦7, ♥8, ♣2, ♣7, ♣J | pair
♦7, ♥8, ♣2, ♦J, ♠2 | pair
♦7, ♥8, ♣2, ♦J, ♣2 | pair
♦7, ♥8, ♣2, ♦J, ♣J | pair
♦7, ♥8, ♣2, ♠Q, ♦Q | pair
♦7, ♥8, ♣2, ♠Q, ♠2 | pair
♦7, ♥8, ♣2, ♠Q, ♣2 | pair
♦7, ♥8, ♣2, ♣3, ♠2 | pair
♦7, ♥8, ♣2, ♣3, ♣2 | pair
♦7, ♥8, ♣2, ♦Q, ♠2 | pair
♦7, ♥8, ♣2, ♦Q, ♣2 | pair
♦7, ♥8, ♣2, ♠2, ♦10 | pair
♦7, ♥8, ♣2, ♠2, ♣2 | three of a kind
♦7, ♥8, ♣2, ♠2, ♥4 | pair
♦7, ♥8, ♣2, ♠2, ♣5 | pair
♦7, ♥8, ♣2, ♠2, ♣J | pair
♦7, ♥8, ♣2, ♦10, ♣2 | pair
♦7, ♥8, ♣2, ♣2, ♥4 | pair
♦7, ♥8, ♣2, ♣2, ♣5 | pair
♦7, ♥8, ♣2, ♣2, ♣J | pair
♦7, ♥8, ♣7, ♦J, ♠Q | pair
♦7, ♥8, ♣7, ♦J, ♣3 | pair
♦7, ♥8, ♣7, ♦J, ♦Q | pair
♦7, ♥8, ♣7, ♦J, ♠2 | pair
♦7, ♥8, ♣7, ♦J, ♦10 | pair
♦7, ♥8, ♣7, ♦J, ♣2 | pair
♦7, ♥8, ♣7, ♦J, ♥4 | pair
♦7, ♥8, ♣7, ♦J, ♣5 | pair
♦7, ♥8, ♣7, ♦J, ♣J | two pairs
♦7, ♥8, ♣7, ♠Q, ♣3 | pair
♦7, ♥8, ♣7, ♠Q, ♦Q | two pairs
♦7, ♥8, ♣7, ♠Q, ♠2 | pair
♦7, ♥8, ♣7, ♠Q, ♦10 | pair
♦7, ♥8, ♣7, ♠Q, ♣2 | pair
♦7, ♥8, ♣7, ♠Q, ♥4 | pair
♦7, ♥8, ♣7, ♠Q, ♣5 | pair
♦7, ♥8, ♣7, ♠Q, ♣J | pair
♦7, ♥8, ♣7, ♣3, ♦Q | pair
♦7, ♥8, ♣7, ♣3, ♠2 | pair
♦7, ♥8, ♣7, ♣3, ♦10 | pair
♦7, ♥8, ♣7, ♣3, ♣2 | pair
♦7, ♥8, ♣7, ♣3, ♥4 | pair
♦7, ♥8, ♣7, ♣3, ♣5 | pair
♦7, ♥8, ♣7, ♣3, ♣J | pair
♦7, ♥8, ♣7, ♦Q, ♠2 | pair
♦7, ♥8, ♣7, ♦Q, ♦10 | pair
♦7, ♥8, ♣7, ♦Q, ♣2 | pair
♦7, ♥8, ♣7, ♦Q, ♥4 | pair
♦7, ♥8, ♣7, ♦Q, ♣5 | pair
♦7, ♥8, ♣7, ♦Q, ♣J | pair
♦7, ♥8, ♣7, ♠2, ♦10 | pair
♦7, ♥8, ♣7, ♠2, ♣2 | two pairs
♦7, ♥8, ♣7, ♠2, ♥4 | pair
♦7, ♥8, ♣7, ♠2, ♣5 | pair
♦7, ♥8, ♣7, ♠2, ♣J | pair
♦7, ♥8, ♣7, ♦10, ♣2 | pair
♦7, ♥8, ♣7, ♦10, ♥4 | pair
♦7, ♥8, ♣7, ♦10, ♣5 | pair
♦7, ♥8, ♣7, ♦10, ♣J | pair
♦7, ♥8, ♣7, ♣2, ♥4 | pair
♦7, ♥8, ♣7, ♣2, ♣5 | pair
♦7, ♥8, ♣7, ♣2, ♣J | pair
♦7, ♥8, ♣7, ♥4, ♣5 | pair
♦7, ♥8, ♣7, ♥4, ♣J | pair
♦7, ♥8, ♣7, ♣5, ♣J | pair
♦7, ♥8, ♦J, ♠Q, ♦Q | pair
♦7, ♥8, ♦J, ♠Q, ♣J | pair
♦7, ♥8, ♦J, ♣3, ♣J | pair
♦7, ♥8, ♦J, ♦Q, ♣J | pair
♦7, ♥8, ♦J, ♠2, ♣2 | pair
♦7, ♥8, ♦J, ♠2, ♣J | pair
♦7, ♥8, ♦J, ♦10, ♣J | pair
♦7, ♥8, ♦J, ♣2, ♣J | pair
♦7, ♥8, ♦J, ♥4, ♣J | pair
♦7, ♥8, ♦J, ♣5, ♣J | pair
♦7, ♥8, ♠Q, ♣3, ♦Q | pair
♦7, ♥8, ♠Q, ♦Q, ♠2 | pair
♦7, ♥8, ♠Q, ♦Q, ♦10 | pair
♦7, ♥8, ♠Q, ♦Q, ♣2 | pair
♦7, ♥8, ♠Q, ♦Q, ♥4 | pair
♦7, ♥8, ♠Q, ♦Q, ♣5 | pair
♦7, ♥8, ♠Q, ♦Q, ♣J | pair
♦7, ♥8, ♠Q, ♠2, ♣2 | pair
♦7, ♥8, ♣3, ♠2, ♣2 | pair
♦7, ♥8, ♦Q, ♠2, ♣2 | pair
♦7, ♥8, ♠2, ♦10, ♣2 | pair
♦7, ♥8, ♠2, ♣2, ♥4 | pair
♦7, ♥8, ♠2, ♣2, ♣5 | pair
♦7, ♥8, ♠2, ♣2, ♣J | pair
♦7, ♣2, ♣7, ♦J, ♠Q | pair
♦7, ♣2, ♣7, ♦J, ♣3 | pair
♦7, ♣2, ♣7, ♦J, ♦Q | pair
♦7, ♣2, ♣7, ♦J, ♠2 | two pairs
♦7, ♣2, ♣7, ♦J, ♦10 | pair
♦7, ♣2, ♣7, ♦J, ♣2 | two pairs
♦7, ♣2, ♣7, ♦J, ♥4 | pair
♦7, ♣2, ♣7, ♦J, ♣5 | pair
♦7, ♣2, ♣7, ♦J, ♣J | two pairs
♦7, ♣2, ♣7, ♠Q, ♣3 | pair
♦7, ♣2, ♣7, ♠Q, ♦Q | two pairs
♦7, ♣2, ♣7, ♠Q, ♠2 | two pairs
♦7, ♣2, ♣7, ♠Q, ♦10 | pair
♦7, ♣2, ♣7, ♠Q, ♣2 | two pairs
♦7, ♣2, ♣7, ♠Q, ♥4 | pair
♦7, ♣2, ♣7, ♠Q, ♣5 | pair
♦7, ♣2, ♣7, ♠Q, ♣J | pair
♦7, ♣2, ♣7, ♣3, ♦Q | pair
♦7, ♣2, ♣7, ♣3, ♠2 | two pairs
♦7, ♣2, ♣7, ♣3, ♦10 | pair
♦7, ♣2, ♣7, ♣3, ♣2 | two pairs
♦7, ♣2, ♣7, ♣3, ♥4 | pair
♦7, ♣2, ♣7, ♣3, ♣5 | pair
♦7, ♣2, ♣7, ♣3, ♣J | pair
♦7, ♣2, ♣7, ♦Q, ♠2 | two pairs
♦7, ♣2, ♣7, ♦Q, ♦10 | pair
♦7, ♣2, ♣7, ♦Q, ♣2 | two pairs
♦7, ♣2, ♣7, ♦Q, ♥4 | pair
♦7, ♣2, ♣7, ♦Q, ♣5 | pair
♦7, ♣2, ♣7, ♦Q, ♣J | pair
♦7, ♣2, ♣7, ♠2, ♦10 | two pairs
♦7, ♣2, ♣7, ♠2, ♣2 | fullhouse
♦7, ♣2, ♣7, ♠2, ♥4 | two pairs
♦7, ♣2, ♣7, ♠2, ♣5 | two pairs
♦7, ♣2, ♣7, ♠2, ♣J | two pairs
♦7, ♣2, ♣7, ♦10, ♣2 | two pairs
♦7, ♣2, ♣7, ♦10, ♥4 | pair
♦7, ♣2, ♣7, ♦10, ♣5 | pair
♦7, ♣2, ♣7, ♦10, ♣J | pair
♦7, ♣2, ♣7, ♣2, ♥4 | two pairs
♦7, ♣2, ♣7, ♣2, ♣5 | two pairs
♦7, ♣2, ♣7, ♣2, ♣J | two pairs
♦7, ♣2, ♣7, ♥4, ♣5 | pair
♦7, ♣2, ♣7, ♥4, ♣J | pair
♦7, ♣2, ♣7, ♣5, ♣J | pair
♦7, ♣2, ♦J, ♠Q, ♦Q | pair
♦7, ♣2, ♦J, ♠Q, ♠2 | pair
♦7, ♣2, ♦J, ♠Q, ♣2 | pair
♦7, ♣2, ♦J, ♠Q, ♣J | pair
♦7, ♣2, ♦J, ♣3, ♠2 | pair
♦7, ♣2, ♦J, ♣3, ♣2 | pair
♦7, ♣2, ♦J, ♣3, ♣J | pair
♦7, ♣2, ♦J, ♦Q, ♠2 | pair
♦7, ♣2, ♦J, ♦Q, ♣2 | pair
♦7, ♣2, ♦J, ♦Q, ♣J | pair
♦7, ♣2, ♦J, ♠2, ♦10 | pair
♦7, ♣2, ♦J, ♠2, ♣2 | three of a kind
♦7, ♣2, ♦J, ♠2, ♥4 | pair
♦7, ♣2, ♦J, ♠2, ♣5 | pair
♦7, ♣2, ♦J, ♠2, ♣J | two pairs
♦7, ♣2, ♦J, ♦10, ♣2 | pair
♦7, ♣2, ♦J, ♦10, ♣J | pair
♦7, ♣2, ♦J, ♣2, ♥4 | pair
♦7, ♣2, ♦J, ♣2, ♣5 | pair
♦7, ♣2, ♦J, ♣2, ♣J | two pairs
♦7, ♣2, ♦J, ♥4, ♣J | pair
♦7, ♣2, ♦J, ♣5, ♣J | pair
♦7, ♣2, ♠Q, ♣3, ♦Q | pair
♦7, ♣2, ♠Q, ♣3, ♠2 | pair
♦7, ♣2, ♠Q, ♣3, ♣2 | pair
♦7, ♣2, ♠Q, ♦Q, ♠2 | two pairs
♦7, ♣2, ♠Q, ♦Q, ♦10 | pair
♦7, ♣2, ♠Q, ♦Q, ♣2 | two pairs
♦7, ♣2, ♠Q, ♦Q, ♥4 | pair
♦7, ♣2, ♠Q, ♦Q, ♣5 | pair
♦7, ♣2, ♠Q, ♦Q, ♣J | pair
♦7, ♣2, ♠Q, ♠2, ♦10 | pair
♦7, ♣2, ♠Q, ♠2, ♣2 | three of a kind
♦7, ♣2, ♠Q, ♠2, ♥4 | pair
♦7, ♣2, ♠Q, ♠2, ♣5 | pair
♦7, ♣2, ♠Q, ♠2, ♣J | pair
♦7, ♣2, ♠Q, ♦10, ♣2 | pair
♦7, ♣2, ♠Q, ♣2, ♥4 | pair
♦7, ♣2, ♠Q, ♣2, ♣5 | pair
♦7, ♣2, ♠Q, ♣2, ♣J | pair
♦7, ♣2, ♣3, ♦Q, ♠2 | pair
♦7, ♣2, ♣3, ♦Q, ♣2 | pair
♦7, ♣2, ♣3, ♠2, ♦10 | pair
♦7, ♣2, ♣3, ♠2, ♣2 | three of a kind
♦7, ♣2, ♣3, ♠2, ♥4 | pair
♦7, ♣2, ♣3, ♠2, ♣5 | pair
♦7, ♣2, ♣3, ♠2, ♣J | pair
♦7, ♣2, ♣3, ♦10, ♣2 | pair
♦7, ♣2, ♣3, ♣2, ♥4 | pair
♦7, ♣2, ♣3, ♣2, ♣5 | pair
♦7, ♣2, ♣3, ♣2, ♣J | pair
♦7, ♣2, ♦Q, ♠2, ♦10 | pair
♦7, ♣2, ♦Q, ♠2, ♣2 | three of a kind
♦7, ♣2, ♦Q, ♠2, ♥4 | pair
♦7, ♣2, ♦Q, ♠2, ♣5 | pair
♦7, ♣2, ♦Q, ♠2, ♣J | pair
♦7, ♣2, ♦Q, ♦10, ♣2 | pair
♦7, ♣2, ♦Q, ♣2, ♥4 | pair
♦7, ♣2, ♦Q, ♣2, ♣5 | pair
♦7, ♣2, ♦Q, ♣2, ♣J | pair
♦7, ♣2, ♠2, ♦10, ♣2 | three of a kind
♦7, ♣2, ♠2, ♦10, ♥4 | pair
♦7, ♣2, ♠2, ♦10, ♣5 | pair
♦7, ♣2, ♠2, ♦10, ♣J | pair
♦7, ♣2, ♠2, ♣2, ♥4 | three of a kind
♦7, ♣2, ♠2, ♣2, ♣5 | three of a kind
♦7, ♣2, ♠2, ♣2, ♣J | three of a kind
♦7, ♣2, ♠2, ♥4, ♣5 | pair
♦7, ♣2, ♠2, ♥4, ♣J | pair
♦7, ♣2, ♠2, ♣5, ♣J | pair
♦7, ♣2, ♦10, ♣2, ♥4 | pair
♦7, ♣2, ♦10, ♣2, ♣5 | pair
♦7, ♣2, ♦10, ♣2, ♣J | pair
♦7, ♣2, ♣2, ♥4, ♣5 | pair
♦7, ♣2, ♣2, ♥4, ♣J | pair
♦7, ♣2, ♣2, ♣5, ♣J | pair
♦7, ♣7, ♦J, ♠Q, ♣3 | pair
♦7, ♣7, ♦J, ♠Q, ♦Q | two pairs
♦7, ♣7, ♦J, ♠Q, ♠2 | pair
♦7, ♣7, ♦J, ♠Q, ♦10 | pair
♦7, ♣7, ♦J, ♠Q, ♣2 | pair
♦7, ♣7, ♦J, ♠Q, ♥4 | pair
♦7, ♣7, ♦J, ♠Q, ♣5 | pair
♦7, ♣7, ♦J, ♠Q, ♣J | two pairs
♦7, ♣7, ♦J, ♣3, ♦Q | pair
♦7, ♣7, ♦J, ♣3, ♠2 | pair
♦7, ♣7, ♦J, ♣3, ♦10 | pair
♦7, ♣7, ♦J, ♣3, ♣2 | pair
♦7, ♣7, ♦J, ♣3, ♥4 | pair
♦7, ♣7, ♦J, ♣3, ♣5 | pair
♦7, ♣7, ♦J, ♣3, ♣J | two pairs
♦7, ♣7, ♦J, ♦Q, ♠2 | pair
♦7, ♣7, ♦J, ♦Q, ♦10 | pair
♦7, ♣7, ♦J, ♦Q, ♣2 | pair
♦7, ♣7, ♦J, ♦Q, ♥4 | pair
♦7, ♣7, ♦J, ♦Q, ♣5 | pair
♦7, ♣7, ♦J, ♦Q, ♣J | two pairs
♦7, ♣7, ♦J, ♠2, ♦10 | pair
♦7, ♣7, ♦J, ♠2, ♣2 | two pairs
♦7, ♣7, ♦J, ♠2, ♥4 | pair
♦7, ♣7, ♦J, ♠2, ♣5 | pair
♦7, ♣7, ♦J, ♠2, ♣J | two pairs
♦7, ♣7, ♦J, ♦10, ♣2 | pair
♦7, ♣7, ♦J, ♦10, ♥4 | pair
♦7, ♣7, ♦J, ♦10, ♣5 | pair
♦7, ♣7, ♦J, ♦10, ♣J | two pairs
♦7, ♣7, ♦J, ♣2, ♥4 | pair
♦7, ♣7, ♦J, ♣2, ♣5 | pair
♦7, ♣7, ♦J, ♣2, ♣J | two pairs
♦7, ♣7, ♦J, ♥4, ♣5 | pair
♦7, ♣7, ♦J, ♥4, ♣J | two pairs
♦7, ♣7, ♦J, ♣5, ♣J | two pairs
♦7, ♣7, ♠Q, ♣3, ♦Q | two pairs
♦7, ♣7, ♠Q, ♣3, ♠2 | pair
♦7, ♣7, ♠Q, ♣3, ♦10 | pair
♦7, ♣7, ♠Q, ♣3, ♣2 | pair
♦7, ♣7, ♠Q, ♣3, ♥4 | pair
♦7, ♣7, ♠Q, ♣3, ♣5 | pair
♦7, ♣7, ♠Q, ♣3, ♣J | pair
♦7, ♣7, ♠Q, ♦Q, ♠2 | two pairs
♦7, ♣7, ♠Q, ♦Q, ♦10 | two pairs
♦7, ♣7, ♠Q, ♦Q, ♣2 | two pairs
♦7, ♣7, ♠Q, ♦Q, ♥4 | two pairs
♦7, ♣7, ♠Q, ♦Q, ♣5 | two pairs
♦7, ♣7, ♠Q, ♦Q, ♣J | two pairs
♦7, ♣7, ♠Q, ♠2, ♦10 | pair
♦7, ♣7, ♠Q, ♠2, ♣2 | two pairs
♦7, ♣7, ♠Q, ♠2, ♥4 | pair
♦7, ♣7, ♠Q, ♠2, ♣5 | pair
♦7, ♣7, ♠Q, ♠2, ♣J | pair
♦7, ♣7, ♠Q, ♦10, ♣2 | pair
♦7, ♣7, ♠Q, ♦10, ♥4 | pair
♦7, ♣7, ♠Q, ♦10, ♣5 | pair
♦7, ♣7, ♠Q, ♦10, ♣J | pair
♦7, ♣7, ♠Q, ♣2, ♥4 | pair
♦7, ♣7, ♠Q, ♣2, ♣5 | pair
♦7, ♣7, ♠Q, ♣2, ♣J | pair
♦7, ♣7, ♠Q, ♥4, ♣5 | pair
♦7, ♣7, ♠Q, ♥4, ♣J | pair
♦7, ♣7, ♠Q, ♣5, ♣J | pair
♦7, ♣7, ♣3, ♦Q, ♠2 | pair
♦7, ♣7, ♣3, ♦Q, ♦10 | pair
♦7, ♣7, ♣3, ♦Q, ♣2 | pair
♦7, ♣7, ♣3, ♦Q, ♥4 | pair
♦7, ♣7, ♣3, ♦Q, ♣5 | pair
♦7, ♣7, ♣3, ♦Q, ♣J | pair
♦7, ♣7, ♣3, ♠2, ♦10 | pair
♦7, ♣7, ♣3, ♠2, ♣2 | two pairs
♦7, ♣7, ♣3, ♠2, ♥4 | pair
♦7, ♣7, ♣3, ♠2, ♣5 | pair
♦7, ♣7, ♣3, ♠2, ♣J | pair
♦7, ♣7, ♣3, ♦10, ♣2 | pair
♦7, ♣7, ♣3, ♦10, ♥4 | pair
♦7, ♣7, ♣3, ♦10, ♣5 | pair
♦7, ♣7, ♣3, ♦10, ♣J | pair
♦7, ♣7, ♣3, ♣2, ♥4 | pair
♦7, ♣7, ♣3, ♣2, ♣5 | pair
♦7, ♣7, ♣3, ♣2, ♣J | pair
♦7, ♣7, ♣3, ♥4, ♣5 | pair
♦7, ♣7, ♣3, ♥4, ♣J | pair
♦7, ♣7, ♣3, ♣5, ♣J | pair
♦7, ♣7, ♦Q, ♠2, ♦10 | pair
♦7, ♣7, ♦Q, ♠2, ♣2 | two pairs
♦7, ♣7, ♦Q, ♠2, ♥4 | pair
♦7, ♣7, ♦Q, ♠2, ♣5 | pair
♦7, ♣7, ♦Q, ♠2, ♣J | pair
♦7, ♣7, ♦Q, ♦10, ♣2 | pair
♦7, ♣7, ♦Q, ♦10, ♥4 | pair
♦7, ♣7, ♦Q, ♦10, ♣5 | pair
♦7, ♣7, ♦Q, ♦10, ♣J | pair
♦7, ♣7, ♦Q, ♣2, ♥4 | pair
♦7, ♣7, ♦Q, ♣2, ♣5 | pair
♦7, ♣7, ♦Q, ♣2, ♣J | pair
♦7, ♣7, ♦Q, ♥4, ♣5 | pair
♦7, ♣7, ♦Q, ♥4, ♣J | pair
♦7, ♣7, ♦Q, ♣5, ♣J | pair
♦7, ♣7, ♠2, ♦10, ♣2 | two pairs
♦7, ♣7, ♠2, ♦10, ♥4 | pair
♦7, ♣7, ♠2, ♦10, ♣5 | pair
♦7, ♣7, ♠2, ♦10, ♣J | pair
♦7, ♣7, ♠2, ♣2, ♥4 | two pairs
♦7, ♣7, ♠2, ♣2, ♣5 | two pairs
♦7, ♣7, ♠2, ♣2, ♣J | two pairs
♦7, ♣7, ♠2, ♥4, ♣5 | pair
♦7, ♣7, ♠2, ♥4, ♣J | pair
♦7, ♣7, ♠2, ♣5, ♣J | pair
♦7, ♣7, ♦10, ♣2, ♥4 | pair
♦7, ♣7, ♦10, ♣2, ♣5 | pair
♦7, ♣7, ♦10, ♣2, ♣J | pair
♦7, ♣7, ♦10, ♥4, ♣5 | pair
♦7, ♣7, ♦10, ♥4, ♣J | pair
♦7, ♣7, ♦10, ♣5, ♣J | pair
♦7, ♣7, ♣2, ♥4, ♣5 | pair
♦7, ♣7, ♣2, ♥4, ♣J | pair
♦7, ♣7, ♣2, ♣5, ♣J | pair
♦7, ♣7, ♥4, ♣5, ♣J | pair
♦7, ♦J, ♠Q, ♣3, ♦Q | pair
♦7, ♦J, ♠Q, ♣3, ♣J | pair
♦7, ♦J, ♠Q, ♦Q, ♠2 | pair
♦7, ♦J, ♠Q, ♦Q, ♦10 | pair
♦7, ♦J, ♠Q, ♦Q, ♣2 | pair
♦7, ♦J, ♠Q, ♦Q, ♥4 | pair
♦7, ♦J, ♠Q, ♦Q, ♣5 | pair
♦7, ♦J, ♠Q, ♦Q, ♣J | two pairs
