♥A, ♠3, ♣3, ♥J, ♥2 | pair
♥A, ♠10, ♣3, ♣A, ♥A | three of a kind
♥A, ♠10, ♣3, ♣A, ♦9 | pair
♥A, ♠10, ♣3, ♣A, ♦A | three of a kind
♥A, ♠10, ♣3, ♥A, ♦9 | pair
♥A, ♠10, ♣3, ♥A, ♦A | three of a kind
♥A, ♠10, ♣3, ♦9, ♦A | pair
♥A, ♠10, ♥2, ♠7, ♥7 | pair
♥A, ♠10, ♥2, ♠7, ♣A | pair
♥A, ♠10, ♥2, ♠7, ♥A | pair
♥A, ♠10, ♥2, ♠7, ♦A | pair
♥A, ♠10, ♥2, ♥7, ♣A | pair
♥A, ♠10, ♥2, ♥7, ♥A | pair
♥A, ♠10, ♥2, ♥7, ♦A | pair
♥A, ♠10, ♥2, ♣A, ♥A | three of a kind
♥A, ♠10, ♥2, ♣A, ♦9 | pair
♥A, ♠10, ♥2, ♣A, ♦A | three of a kind
♥A, ♠10, ♥2, ♥A, ♦9 | pair
♥A, ♠10, ♥2, ♥A, ♦A | three of a kind
♥A, ♠10, ♥2, ♦9, ♦A | pair
♥A, ♠10, ♠7, ♥7, ♣A | two pairs
♥A, ♠10, ♠7, ♥7, ♥A | two pairs
♥A, ♠10, ♠7, ♥7, ♦9 | pair
♥A, ♠10, ♠7, ♥7, ♦A | two pairs
♥A, ♠10, ♠7, ♣A, ♥A | three of a kind
♥A, ♠10, ♠7, ♣A, ♦9 | pair
♥A, ♠10, ♠7, ♣A, ♦A | three of a kind
♥A, ♠10, ♠7, ♥A, ♦9 | pair
♥A, ♠10, ♠7, ♥A, ♦A | three of a kind
♥A, ♠10, ♠7, ♦9, ♦A | pair
♥A, ♠10, ♥7, ♣A, ♥A | three of a kind
♥A, ♠10, ♥7, ♣A, ♦9 | pair
♥A, ♠10, ♥7, ♣A, ♦A | three of a kind
♥A, ♠10, ♥7, ♥A, ♦9 | pair
♥A, ♠10, ♥7, ♥A, ♦A | three of a kind
♥A, ♠10, ♥7, ♦9, ♦A | pair
♥A, ♠10, ♣A, ♥A, ♦9 | three of a kind
♥A, ♠10, ♣A, ♥A, ♦A | four of a kind!
♥A, ♠10, ♣A, ♦9, ♦A | three of a kind
♥A, ♠10, ♥A, ♦9, ♦A | three of a kind
♥A, ♥A, ♦9, ♣3, ♥2 | pair
♥A, ♥A, ♦9, ♣3, ♠7 | pair
♥A, ♥A, ♦9, ♣3, ♥7 | pair
♥A, ♥A, ♦9, ♣3, ♣A | three of a kind
♥A, ♥A, ♦9, ♣3, ♥A | three of a kind
♥A, ♥A, ♦9, ♣3, ♦9 | two pairs
♥A, ♥A, ♦9, ♣3, ♦A | three of a kind
♥A, ♥A, ♦9, ♥2, ♠7 | pair
♥A, ♥A, ♦9, ♥2, ♥7 | pair
♥A, ♥A, ♦9, ♥2, ♣A | three of a kind
♥A, ♥A, ♦9, ♥2, ♥A | three of a kind
♥A, ♥A, ♦9, ♥2, ♦9 | two pairs
♥A, ♥A, ♦9, ♥2, ♦A | three of a kind
♥A, ♥A, ♦9, ♠7, ♥7 | two pairs
♥A, ♥A, ♦9, ♠7, ♣A | three of a kind
♥A, ♥A, ♦9, ♠7, ♥A | three of a kind
♥A, ♥A, ♦9, ♠7, ♦9 | two pairs
♥A, ♥A, ♦9, ♠7, ♦A | three of a kind
♥A, ♥A, ♦9, ♥7, ♣A | three of a kind
♥A, ♥A, ♦9, ♥7, ♥A | three of a kind
♥A, ♥A, ♦9, ♥7, ♦9 | two pairs
♥A, ♥A, ♦9, ♥7, ♦A | three of a kind
♥A, ♥A, ♦9, ♣A, ♥A | four of a kind!
♥A, ♥A, ♦9, ♣A, ♦9 | fullhouse
♥A, ♥A, ♦9, ♣A, ♦A | four of a kind!
♥A, ♥A, ♦9, ♥A, ♦9 | fullhouse
♥A, ♥A, ♦9, ♥A, ♦A | four of a kind!
♥A, ♥A, ♦9, ♦9, ♦A | fullhouse
♥A, ♥A, ♣3, ♥2, ♠7 | pair
♥A, ♥A, ♣3, ♥2, ♥7 | pair
♥A, ♥A, ♣3, ♥2, ♣A | three of a kind
♥A, ♥A, ♣3, ♥2, ♥A | three of a kind
♥A, ♥A, ♣3, ♥2, ♦9 | pair
♥A, ♥A, ♣3, ♥2, ♦A | three of a kind
♥A, ♥A, ♣3, ♠7, ♥7 | two pairs
♥A, ♥A, ♣3, ♠7, ♣A | three of a kind
♥A, ♥A, ♣3, ♠7, ♥A | three of a kind
♥A, ♥A, ♣3, ♠7, ♦9 | pair
♥A, ♥A, ♣3, ♠7, ♦A | three of a kind
♥A, ♥A, ♣3, ♥7, ♣A | three of a kind
♥A, ♥A, ♣3, ♥7, ♥A | three of a kind
♥A, ♥A, ♣3, ♥7, ♦9 | pair
♥A, ♥A, ♣3, ♥7, ♦A | three of a kind
♥A, ♥A, ♣3, ♣A, ♥A | four of a kind!
♥A, ♥A, ♣3, ♣A, ♦9 | three of a kind
♥A, ♥A, ♣3, ♣A, ♦A | four of a kind!
♥A, ♥A, ♣3, ♥A, ♦9 | three of a kind
♥A, ♥A, ♣3, ♥A, ♦A | four of a kind!
♥A, ♥A, ♣3, ♦9, ♦A | three of a kind
♥A, ♥A, ♥2, ♠7, ♥7 | two pairs
♥A, ♥A, ♥2, ♠7, ♣A | three of a kind
♥A, ♥A, ♥2, ♠7, ♥A | three of a kind
♥A, ♥A, ♥2, ♠7, ♦9 | pair
♥A, ♥A, ♥2, ♠7, ♦A | three of a kind
♥A, ♥A, ♥2, ♥7, ♣A | three of a kind
♥A, ♥A, ♥2, ♥7, ♥A | flush
♥A, ♥A, ♥2, ♥7, ♦9 | pair
♥A, ♥A, ♥2, ♥7, ♦A | three of a kind
♥A, ♥A, ♥2, ♣A, ♥A | four of a kind!
♥A, ♥A, ♥2, ♣A, ♦9 | three of a kind
♥A, ♥A, ♥2, ♣A, ♦A | four of a kind!
♥A, ♥A, ♥2, ♥A, ♦9 | three of a kind
♥A, ♥A, ♥2, ♥A, ♦A | four of a kind!
♥A, ♥A, ♥2, ♦9, ♦A | three of a kind
♥A, ♥A, ♠7, ♥7, ♣A | fullhouse
♥A, ♥A, ♠7, ♥7, ♥A | fullhouse
♥A, ♥A, ♠7, ♥7, ♦9 | two pairs
♥A, ♥A, ♠7, ♥7, ♦A | fullhouse
♥A, ♥A, ♠7, ♣A, ♥A | four of a kind!
♥A, ♥A, ♠7, ♣A, ♦9 | three of a kind
♥A, ♥A, ♠7, ♣A, ♦A | four of a kind!
♥A, ♥A, ♠7, ♥A, ♦9 | three of a kind
♥A, ♥A, ♠7, ♥A, ♦A | four of a kind!
♥A, ♥A, ♠7, ♦9, ♦A | three of a kind
♥A, ♥A, ♥7, ♣A, ♥A | four of a kind!
♥A, ♥A, ♥7, ♣A, ♦9 | three of a kind
♥A, ♥A, ♥7, ♣A, ♦A | four of a kind!
♥A, ♥A, ♥7, ♥A, ♦9 | three of a kind
♥A, ♥A, ♥7, ♥A, ♦A | four of a kind!
♥A, ♥A, ♥7, ♦9, ♦A | three of a kind
♥A, ♥A, ♣A, ♥A, ♦9 | four of a kind!
♥A, ♥A, ♣A, ♥A, ♦A | four of a kind!
♥A, ♥A, ♣A, ♦9, ♦A | four of a kind!
♥A, ♥A, ♥A, ♦9, ♦A | four of a kind!
♥A, ♦9, ♣3, ♥2, ♣A | pair
♥A, ♦9, ♣3, ♥2, ♥A | pair
♥A, ♦9, ♣3, ♥2, ♦9 | pair
♥A, ♦9, ♣3, ♥2, ♦A | pair
♥A, ♦9, ♣3, ♠7, ♥7 | pair
♥A, ♦9, ♣3, ♠7, ♣A | pair
♥A, ♦9, ♣3, ♠7, ♥A | pair
♥A, ♦9, ♣3, ♠7, ♦9 | pair
♥A, ♦9, ♣3, ♠7, ♦A | pair
♥A, ♦9, ♣3, ♥7, ♣A | pair
♥A, ♦9, ♣3, ♥7, ♥A | pair
♥A, ♦9, ♣3, ♥7, ♦9 | pair
♥A, ♦9, ♣3, ♥7, ♦A | pair
♥A, ♦9, ♣3, ♣A, ♥A | three of a kind
♥A, ♦9, ♣3, ♣A, ♦9 | two pairs
♥A, ♦9, ♣3, ♣A, ♦A | three of a kind
♥A, ♦9, ♣3, ♥A, ♦9 | two pairs
♥A, ♦9, ♣3, ♥A, ♦A | three of a kind
♥A, ♦9, ♣3, ♦9, ♦A | two pairs
♥A, ♦9, ♥2, ♠7, ♥7 | pair
♥A, ♦9, ♥2, ♠7, ♣A | pair
♥A, ♦9, ♥2, ♠7, ♥A | pair
♥A, ♦9, ♥2, ♠7, ♦9 | pair
♥A, ♦9, ♥2, ♠7, ♦A | pair
♥A, ♦9, ♥2, ♥7, ♣A | pair
♥A, ♦9, ♥2, ♥7, ♥A | pair
♥A, ♦9, ♥2, ♥7, ♦9 | pair
♥A, ♦9, ♥2, ♥7, ♦A | pair
♥A, ♦9, ♥2, ♣A, ♥A | three of a kind
♥A, ♦9, ♥2, ♣A, ♦9 | two pairs
♥A, ♦9, ♥2, ♣A, ♦A | three of a kind
♥A, ♦9, ♥2, ♥A, ♦9 | two pairs
♥A, ♦9, ♥2, ♥A, ♦A | three of a kind
♥A, ♦9, ♥2, ♦9, ♦A | two pairs
♥A, ♦9, ♠7, ♥7, ♣A | two pairs
♥A, ♦9, ♠7, ♥7, ♥A | two pairs
♥A, ♦9, ♠7, ♥7, ♦9 | two pairs
♥A, ♦9, ♠7, ♥7, ♦A | two pairs
♥A, ♦9, ♠7, ♣A, ♥A | three of a kind
♥A, ♦9, ♠7, ♣A, ♦9 | two pairs
♥A, ♦9, ♠7, ♣A, ♦A | three of a kind
♥A, ♦9, ♠7, ♥A, ♦9 | two pairs
♥A, ♦9, ♠7, ♥A, ♦A | three of a kind
♥A, ♦9, ♠7, ♦9, ♦A | two pairs
♥A, ♦9, ♥7, ♣A, ♥A | three of a kind
♥A, ♦9, ♥7, ♣A, ♦9 | two pairs
♥A, ♦9, ♥7, ♣A, ♦A | three of a kind
♥A, ♦9, ♥7, ♥A, ♦9 | two pairs
♥A, ♦9, ♥7, ♥A, ♦A | three of a kind
♥A, ♦9, ♥7, ♦9, ♦A | two pairs
♥A, ♦9, ♣A, ♥A, ♦9 | fullhouse
♥A, ♦9, ♣A, ♥A, ♦A | four of a kind!
♥A, ♦9, ♣A, ♦9, ♦A | fullhouse
♥A, ♦9, ♥A, ♦9, ♦A | fullhouse
♥A, ♣3, ♥2, ♠7, ♥7 | pair
♥A, ♣3, ♥2, ♠7, ♣A | pair
♥A, ♣3, ♥2, ♠7, ♥A | pair
♥A, ♣3, ♥2, ♠7, ♦A | pair
♥A, ♣3, ♥2, ♥7, ♣A | pair
♥A, ♣3, ♥2, ♥7, ♥A | pair
♥A, ♣3, ♥2, ♥7, ♦A | pair
♥A, ♣3, ♥2, ♣A, ♥A | three of a kind
♥A, ♣3, ♥2, ♣A, ♦9 | pair
♥A, ♣3, ♥2, ♣A, ♦A | three of a kind
♥A, ♣3, ♥2, ♥A, ♦9 | pair
♥A, ♣3, ♥2, ♥A, ♦A | three of a kind
♥A, ♣3, ♥2, ♦9, ♦A | pair
♥A, ♣3, ♠7, ♥7, ♣A | two pairs
♥A, ♣3, ♠7, ♥7, ♥A | two pairs
♥A, ♣3, ♠7, ♥7, ♦9 | pair
♥A, ♣3, ♠7, ♥7, ♦A | two pairs
♥A, ♣3, ♠7, ♣A, ♥A | three of a kind
♥A, ♣3, ♠7, ♣A, ♦9 | pair
♥A, ♣3, ♠7, ♣A, ♦A | three of a kind
♥A, ♣3, ♠7, ♥A, ♦9 | pair
♥A, ♣3, ♠7, ♥A, ♦A | three of a kind
♥A, ♣3, ♠7, ♦9, ♦A | pair
♥A, ♣3, ♥7, ♣A, ♥A | three of a kind
♥A, ♣3, ♥7, ♣A, ♦9 | pair
♥A, ♣3, ♥7, ♣A, ♦A | three of a kind
♥A, ♣3, ♥7, ♥A, ♦9 | pair
♥A, ♣3, ♥7, ♥A, ♦A | three of a kind
♥A, ♣3, ♥7, ♦9, ♦A | pair
♥A, ♣3, ♣A, ♥A, ♦9 | three of a kind
♥A, ♣3, ♣A, ♥A, ♦A | four of a kind!
♥A, ♣3, ♣A, ♦9, ♦A | three of a kind
♥A, ♣3, ♥A, ♦9, ♦A | three of a kind
♥A, ♥2, ♠7, ♥7, ♣A | two pairs
♥A, ♥2, ♠7, ♥7, ♥A | two pairs
♥A, ♥2, ♠7, ♥7, ♦9 | pair
♥A, ♥2, ♠7, ♥7, ♦A | two pairs
♥A, ♥2, ♠7, ♣A, ♥A | three of a kind
♥A, ♥2, ♠7, ♣A, ♦9 | pair
♥A, ♥2, ♠7, ♣A, ♦A | three of a kind
♥A, ♥2, ♠7, ♥A, ♦9 | pair
♥A, ♥2, ♠7, ♥A, ♦A | three of a kind
♥A, ♥2, ♠7, ♦9, ♦A | pair
♥A, ♥2, ♥7, ♣A, ♥A | three of a kind
♥A, ♥2, ♥7, ♣A, ♦9 | pair
♥A, ♥2, ♥7, ♣A, ♦A | three of a kind
♥A, ♥2, ♥7, ♥A, ♦9 | pair
♥A, ♥2, ♥7, ♥A, ♦A | three of a kind
♥A, ♥2, ♥7, ♦9, ♦A | pair
♥A, ♥2, ♣A, ♥A, ♦9 | three of a kind
♥A, ♥2, ♣A, ♥A, ♦A | four of a kind!
♥A, ♥2, ♣A, ♦9, ♦A | three of a kind
♥A, ♥2, ♥A, ♦9, ♦A | three of a kind
♥A, ♠7, ♥7, ♣A, ♥A | fullhouse
♥A, ♠7, ♥7, ♣A, ♦9 | two pairs
♥A, ♠7, ♥7, ♣A, ♦A | fullhouse
♥A, ♠7, ♥7, ♥A, ♦9 | two pairs
♥A, ♠7, ♥7, ♥A, ♦A | fullhouse
♥A, ♠7, ♥7, ♦9, ♦A | two pairs
♥A, ♠7, ♣A, ♥A, ♦9 | three of a kind
♥A, ♠7, ♣A, ♥A, ♦A | four of a kind!
♥A, ♠7, ♣A, ♦9, ♦A | three of a kind
♥A, ♠7, ♥A, ♦9, ♦A | three of a kind
♥A, ♥7, ♣A, ♥A, ♦9 | three of a kind
♥A, ♥7, ♣A, ♥A, ♦A | four of a kind!
♥A, ♥7, ♣A, ♦9, ♦A | three of a kind
♥A, ♥7, ♥A, ♦9, ♦A | three of a kind
♥A, ♣A, ♥A, ♦9, ♦A | four of a kind!
♠3, ♣3, ♥J, ♥2, ♠10 | pair
♠3, ♣3, ♥J, ♥2, ♥A | pair
♠3, ♣3, ♥J, ♥2, ♦9 | pair
♠3, ♣3, ♥J, ♥2, ♣3 | three of a kind
♠3, ♣3, ♥J, ♥2, ♥2 | two pairs
♠3, ♣3, ♥J, ♥2, ♠7 | pair
♠3, ♣3, ♥J, ♥2, ♥7 | pair
♠3, ♣3, ♥J, ♥2, ♣A | pair
♠3, ♣3, ♥J, ♥2, ♥A | pair
♠3, ♣3, ♥J, ♥2, ♦9 | pair
♠3, ♣3, ♥J, ♥2, ♦A | pair
♠3, ♣3, ♥J, ♠10, ♥A | pair
♠3, ♣3, ♥J, ♠10, ♦9 | pair
♠3, ♣3, ♥J, ♠10, ♣3 | three of a kind
♠3, ♣3, ♥J, ♠10, ♥2 | pair
♠3, ♣3, ♥J, ♠10, ♠7 | pair
♠3, ♣3, ♥J, ♠10, ♥7 | pair
♠3, ♣3, ♥J, ♠10, ♣A | pair
♠3, ♣3, ♥J, ♠10, ♥A | pair
♠3, ♣3, ♥J, ♠10, ♦9 | pair
♠3, ♣3, ♥J, ♠10, ♦A | pair
♠3, ♣3, ♥J, ♥A, ♦9 | pair
♠3, ♣3, ♥J, ♥A, ♣3 | three of a kind
♠3, ♣3, ♥J, ♥A, ♥2 | pair
♠3, ♣3, ♥J, ♥A, ♠7 | pair
♠3, ♣3, ♥J, ♥A, ♥7 | pair
♠3, ♣3, ♥J, ♥A, ♣A | two pairs
♠3, ♣3, ♥J, ♥A, ♥A | two pairs
♠3, ♣3, ♥J, ♥A, ♦9 | pair
♠3, ♣3, ♥J, ♥A, ♦A | two pairs
♠3, ♣3, ♥J, ♦9, ♣3 | three of a kind
♠3, ♣3, ♥J, ♦9, ♥2 | pair
♠3, ♣3, ♥J, ♦9, ♠7 | pair
♠3, ♣3, ♥J, ♦9, ♥7 | pair
♠3, ♣3, ♥J, ♦9, ♣A | pair
♠3, ♣3, ♥J, ♦9, ♥A | pair
♠3, ♣3, ♥J, ♦9, ♦9 | two pairs
♠3, ♣3, ♥J, ♦9, ♦A | pair
♠3, ♣3, ♥J, ♣3, ♥2 | three of a kind
♠3, ♣3, ♥J, ♣3, ♠7 | three of a kind
♠3, ♣3, ♥J, ♣3, ♥7 | three of a kind
♠3, ♣3, ♥J, ♣3, ♣A | three of a kind
♠3, ♣3, ♥J, ♣3, ♥A | three of a kind
♠3, ♣3, ♥J, ♣3, ♦9 | three of a kind
♠3, ♣3, ♥J, ♣3, ♦A | three of a kind
♠3, ♣3, ♥J, ♥2, ♠7 | pair
♠3, ♣3, ♥J, ♥2, ♥7 | pair
♠3, ♣3, ♥J, ♥2, ♣A | pair
♠3, ♣3, ♥J, ♥2, ♥A | pair
♠3, ♣3, ♥J, ♥2, ♦9 | pair
♠3, ♣3, ♥J, ♥2, ♦A | pair
♠3, ♣3, ♥J, ♠7, ♥7 | two pairs
♠3, ♣3, ♥J, ♠7, ♣A | pair
♠3, ♣3, ♥J, ♠7, ♥A | pair
♠3, ♣3, ♥J, ♠7, ♦9 | pair
♠3, ♣3, ♥J, ♠7, ♦A | pair
♠3, ♣3, ♥J, ♥7, ♣A | pair
♠3, ♣3, ♥J, ♥7, ♥A | pair
♠3, ♣3, ♥J, ♥7, ♦9 | pair
♠3, ♣3, ♥J, ♥7, ♦A | pair
♠3, ♣3, ♥J, ♣A, ♥A | two pairs
♠3, ♣3, ♥J, ♣A, ♦9 | pair
♠3, ♣3, ♥J, ♣A, ♦A | two pairs
♠3, ♣3, ♥J, ♥A, ♦9 | pair
♠3, ♣3, ♥J, ♥A, ♦A | two pairs
♠3, ♣3, ♥J, ♦9, ♦A | pair
♠3, ♣3, ♥2, ♠10, ♥A | pair
♠3, ♣3, ♥2, ♠10, ♦9 | pair
♠3, ♣3, ♥2, ♠10, ♣3 | three of a kind
♠3, ♣3, ♥2, ♠10, ♥2 | two pairs
♠3, ♣3, ♥2, ♠10, ♠7 | pair
♠3, ♣3, ♥2, ♠10, ♥7 | pair
♠3, ♣3, ♥2, ♠10, ♣A | pair
♠3, ♣3, ♥2, ♠10, ♥A | pair
♠3, ♣3, ♥2, ♠10, ♦9 | pair
♠3, ♣3, ♥2, ♠10, ♦A | pair
♠3, ♣3, ♥2, ♥A, ♦9 | pair
♠3, ♣3, ♥2, ♥A, ♣3 | three of a kind
♠3, ♣3, ♥2, ♥A, ♥2 | two pairs
♠3, ♣3, ♥2, ♥A, ♠7 | pair
♠3, ♣3, ♥2, ♥A, ♥7 | pair
♠3, ♣3, ♥2, ♥A, ♣A | two pairs
♠3, ♣3, ♥2, ♥A, ♥A | two pairs
♠3, ♣3, ♥2, ♥A, ♦9 | pair
♠3, ♣3, ♥2, ♥A, ♦A | two pairs
♠3, ♣3, ♥2, ♦9, ♣3 | three of a kind
♠3, ♣3, ♥2, ♦9, ♥2 | two pairs
♠3, ♣3, ♥2, ♦9, ♠7 | pair
♠3, ♣3, ♥2, ♦9, ♥7 | pair
♠3, ♣3, ♥2, ♦9, ♣A | pair
♠3, ♣3, ♥2, ♦9, ♥A | pair
♠3, ♣3, ♥2, ♦9, ♦9 | two pairs
♠3, ♣3, ♥2, ♦9, ♦A | pair
♠3, ♣3, ♥2, ♣3, ♥2 | fullhouse
♠3, ♣3, ♥2, ♣3, ♠7 | three of a kind
♠3, ♣3, ♥2, ♣3, ♥7 | three of a kind
♠3, ♣3, ♥2, ♣3, ♣A | three of a kind
♠3, ♣3, ♥2, ♣3, ♥A | three of a kind
♠3, ♣3, ♥2, ♣3, ♦9 | three of a kind
♠3, ♣3, ♥2, ♣3, ♦A | three of a kind
♠3, ♣3, ♥2, ♥2, ♠7 | two pairs
♠3, ♣3, ♥2, ♥2, ♥7 | two pairs
♠3, ♣3, ♥2, ♥2, ♣A | two pairs
♠3, ♣3, ♥2, ♥2, ♥A | two pairs
♠3, ♣3, ♥2, ♥2, ♦9 | two pairs
♠3, ♣3, ♥2, ♥2, ♦A | two pairs
♠3, ♣3, ♥2, ♠7, ♥7 | two pairs
♠3, ♣3, ♥2, ♠7, ♣A | pair
♠3, ♣3, ♥2, ♠7, ♥A | pair
♠3, ♣3, ♥2, ♠7, ♦9 | pair
♠3, ♣3, ♥2, ♠7, ♦A | pair
♠3, ♣3, ♥2, ♥7, ♣A | pair
♠3, ♣3, ♥2, ♥7, ♥A | pair
♠3, ♣3, ♥2, ♥7, ♦9 | pair
♠3, ♣3, ♥2, ♥7, ♦A | pair
♠3, ♣3, ♥2, ♣A, ♥A | two pairs
♠3, ♣3, ♥2, ♣A, ♦9 | pair
♠3, ♣3, ♥2, ♣A, ♦A | two pairs
♠3, ♣3, ♥2, ♥A, ♦9 | pair
♠3, ♣3, ♥2, ♥A, ♦A | two pairs
♠3, ♣3, ♥2, ♦9, ♦A | pair
♠3, ♣3, ♠10, ♥A, ♦9 | pair
♠3, ♣3, ♠10, ♥A, ♣3 | three of a kind
♠3, ♣3, ♠10, ♥A, ♥2 | pair
♠3, ♣3, ♠10, ♥A, ♠7 | pair
♠3, ♣3, ♠10, ♥A, ♥7 | pair
♠3, ♣3, ♠10, ♥A, ♣A | two pairs
♠3, ♣3, ♠10, ♥A, ♥A | two pairs
♠3, ♣3, ♠10, ♥A, ♦9 | pair
♠3, ♣3, ♠10, ♥A, ♦A | two pairs
♠3, ♣3, ♠10, ♦9, ♣3 | three of a kind
♠3, ♣3, ♠10, ♦9, ♥2 | pair
♠3, ♣3, ♠10, ♦9, ♠7 | pair
♠3, ♣3, ♠10, ♦9, ♥7 | pair
♠3, ♣3, ♠10, ♦9, ♣A | pair
♠3, ♣3, ♠10, ♦9, ♥A | pair
♠3, ♣3, ♠10, ♦9, ♦9 | two pairs
♠3, ♣3, ♠10, ♦9, ♦A | pair
♠3, ♣3, ♠10, ♣3, ♥2 | three of a kind
♠3, ♣3, ♠10, ♣3, ♠7 | three of a kind
♠3, ♣3, ♠10, ♣3, ♥7 | three of a kind
♠3, ♣3, ♠10, ♣3, ♣A | three of a kind
♠3, ♣3, ♠10, ♣3, ♥A | three of a kind
♠3, ♣3, ♠10, ♣3, ♦9 | three of a kind
♠3, ♣3, ♠10, ♣3, ♦A | three of a kind
♠3, ♣3, ♠10, ♥2, ♠7 | pair
♠3, ♣3, ♠10, ♥2, ♥7 | pair
♠3, ♣3, ♠10, ♥2, ♣A | pair
♠3, ♣3, ♠10, ♥2, ♥A | pair
♠3, ♣3, ♠10, ♥2, ♦9 | pair
♠3, ♣3, ♠10, ♥2, ♦A | pair
♠3, ♣3, ♠10, ♠7, ♥7 | two pairs
♠3, ♣3, ♠10, ♠7, ♣A | pair
♠3, ♣3, ♠10, ♠7, ♥A | pair
♠3, ♣3, ♠10, ♠7, ♦9 | pair
♠3, ♣3, ♠10, ♠7, ♦A | pair
♠3, ♣3, ♠10, ♥7, ♣A | pair
♠3, ♣3, ♠10, ♥7, ♥A | pair
♠3, ♣3, ♠10, ♥7, ♦9 | pair
♠3, ♣3, ♠10, ♥7, ♦A | pair
♠3, ♣3, ♠10, ♣A, ♥A | two pairs
♠3, ♣3, ♠10, ♣A, ♦9 | pair
♠3, ♣3, ♠10, ♣A, ♦A | two pairs
♠3, ♣3, ♠10, ♥A, ♦9 | pair
♠3, ♣3, ♠10, ♥A, ♦A | two pairs
♠3, ♣3, ♠10, ♦9, ♦A | pair
♠3, ♣3, ♥A, ♦9, ♣3 | three of a kind
♠3, ♣3, ♥A, ♦9, ♥2 | pair
♠3, ♣3, ♥A, ♦9, ♠7 | pair
♠3, ♣3, ♥A, ♦9, ♥7 | pair
♠3, ♣3, ♥A, ♦9, ♣A | two pairs
♠3, ♣3, ♥A, ♦9, ♥A | two pairs
♠3, ♣3, ♥A, ♦9, ♦9 | two pairs
♠3, ♣3, ♥A, ♦9, ♦A | two pairs
♠3, ♣3, ♥A, ♣3, ♥2 | three of a kind
♠3, ♣3, ♥A, ♣3, ♠7 | three of a kind
♠3, ♣3, ♥A, ♣3, ♥7 | three of a kind
♠3, ♣3, ♥A, ♣3, ♣A | fullhouse
♠3, ♣3, ♥A, ♣3, ♥A | fullhouse
♠3, ♣3, ♥A, ♣3, ♦9 | three of a kind
♠3, ♣3, ♥A, ♣3, ♦A | fullhouse
♠3, ♣3, ♥A, ♥2, ♠7 | pair
♠3, ♣3, ♥A, ♥2, ♥7 | pair
♠3, ♣3, ♥A, ♥2, ♣A | two pairs
♠3, ♣3, ♥A, ♥2, ♥A | two pairs
♠3, ♣3, ♥A, ♥2, ♦9 | pair
♠3, ♣3, ♥A, ♥2, ♦A | two pairs
♠3, ♣3, ♥A, ♠7, ♥7 | two pairs
♠3, ♣3, ♥A, ♠7, ♣A | two pairs
♠3, ♣3, ♥A, ♠7, ♥A | two pairs
♠3, ♣3, ♥A, ♠7, ♦9 | pair
♠3, ♣3, ♥A, ♠7, ♦A | two pairs
♠3, ♣3, ♥A, ♥7, ♣A | two pairs
♠3, ♣3, ♥A, ♥7, ♥A | two pairs
♠3, ♣3, ♥A, ♥7, ♦9 | pair
♠3, ♣3, ♥A, ♥7, ♦A | two pairs
♠3, ♣3, ♥A, ♣A, ♥A | fullhouse
♠3, ♣3, ♥A, ♣A, ♦9 | two pairs
♠3, ♣3, ♥A, ♣A, ♦A | fullhouse
♠3, ♣3, ♥A, ♥A, ♦9 | two pairs
♠3, ♣3, ♥A, ♥A, ♦A | fullhouse
♠3, ♣3, ♥A, ♦9, ♦A | two pairs
♠3, ♣3, ♦9, ♣3, ♥2 | three of a kind
♠3, ♣3, ♦9, ♣3, ♠7 | three of a kind
♠3, ♣3, ♦9, ♣3, ♥7 | three of a kind
♠3, ♣3, ♦9, ♣3, ♣A | three of a kind
♠3, ♣3, ♦9, ♣3, ♥A | three of a kind
♠3, ♣3, ♦9, ♣3, ♦9 | fullhouse
♠3, ♣3, ♦9, ♣3, ♦A | three of a kind
♠3, ♣3, ♦9, ♥2, ♠7 | pair
♠3, ♣3, ♦9, ♥2, ♥7 | pair
♠3, ♣3, ♦9, ♥2, ♣A | pair
♠3, ♣3, ♦9, ♥2, ♥A | pair
♠3, ♣3, ♦9, ♥2, ♦9 | two pairs
♠3, ♣3, ♦9, ♥2, ♦A | pair
♠3, ♣3, ♦9, ♠7, ♥7 | two pairs
♠3, ♣3, ♦9, ♠7, ♣A | pair
♠3, ♣3, ♦9, ♠7, ♥A | pair
♠3, ♣3, ♦9, ♠7, ♦9 | two pairs
♠3, ♣3, ♦9, ♠7, ♦A | pair
♠3, ♣3, ♦9, ♥7, ♣A | pair
♠3, ♣3, ♦9, ♥7, ♥A | pair
♠3, ♣3, ♦9, ♥7, ♦9 | two pairs
♠3, ♣3, ♦9, ♥7, ♦A | pair
♠3, ♣3, ♦9, ♣A, ♥A | two pairs
♠3, ♣3, ♦9, ♣A, ♦9 | two pairs
♠3, ♣3, ♦9, ♣A, ♦A | two pairs
♠3, ♣3, ♦9, ♥A, ♦9 | two pairs
♠3, ♣3, ♦9, ♥A, ♦A | two pairs
♠3, ♣3, ♦9, ♦9, ♦A | two pairs
♠3, ♣3, ♣3, ♥2, ♠7 | three of a kind
♠3, ♣3, ♣3, ♥2, ♥7 | three of a kind
♠3, ♣3, ♣3, ♥2, ♣A | three of a kind
♠3, ♣3, ♣3, ♥2, ♥A | three of a kind
♠3, ♣3, ♣3, ♥2, ♦9 | three of a kind
♠3, ♣3, ♣3, ♥2, ♦A | three of a kind
