♠Q, ♠2, ♥2, ♣K, ♣8 | pair
♠2, ♣8, ♠6, ♦7, ♦7 | pair
♠2, ♣8, ♠6, ♦7, ♠2 | pair
♠2, ♣8, ♠6, ♦7, ♥7 | pair
♠2, ♣8, ♠6, ♥5, ♣6 | pair
♠2, ♣8, ♠6, ♥5, ♠2 | pair
♠2, ♣8, ♠6, ♣6, ♦7 | pair
♠2, ♣8, ♠6, ♣6, ♦7 | pair
♠2, ♣8, ♠6, ♣6, ♠2 | two pairs
♠2, ♣8, ♠6, ♣6, ♥7 | pair
♠2, ♣8, ♠6, ♦7, ♦7 | pair
♠2, ♣8, ♠6, ♦7, ♠2 | pair
♠2, ♣8, ♠6, ♦7, ♥7 | pair
♠2, ♣8, ♠6, ♦7, ♠2 | pair
♠2, ♣8, ♠6, ♦7, ♥7 | pair
♠2, ♣8, ♠6, ♠2, ♥7 | pair
♠2, ♣8, ♦7, ♥5, ♦7 | pair
♠2, ♣8, ♦7, ♥5, ♦7 | pair
♠2, ♣8, ♦7, ♥5, ♠2 | pair
♠2, ♣8, ♦7, ♥5, ♥7 | pair
♠2, ♣8, ♦7, ♣6, ♦7 | pair
♠2, ♣8, ♦7, ♣6, ♦7 | pair
♠2, ♣8, ♦7, ♣6, ♠2 | pair
♠2, ♣8, ♦7, ♣6, ♥7 | pair
♠2, ♣8, ♦7, ♦7, ♦7 | three of a kind
♠2, ♣8, ♦7, ♦7, ♠2 | two pairs
♠2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣8, ♦7, ♦7, ♠2 | two pairs
♠2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣8, ♦7, ♠2, ♥7 | two pairs
♠2, ♣8, ♥5, ♣6, ♠2 | pair
♠2, ♣8, ♥5, ♦7, ♦7 | pair
♠2, ♣8, ♥5, ♦7, ♠2 | pair
♠2, ♣8, ♥5, ♦7, ♥7 | pair
♠2, ♣8, ♥5, ♦7, ♠2 | pair
♠2, ♣8, ♥5, ♦7, ♥7 | pair
♠2, ♣8, ♥5, ♠2, ♥7 | pair
♠2, ♣8, ♣6, ♦7, ♦7 | pair
♠2, ♣8, ♣6, ♦7, ♠2 | pair
♠2, ♣8, ♣6, ♦7, ♥7 | pair
♠2, ♣8, ♣6, ♦7, ♠2 | pair
♠2, ♣8, ♣6, ♦7, ♥7 | pair
♠2, ♣8, ♣6, ♠2, ♥7 | pair
♠2, ♣8, ♦7, ♦7, ♠2 | two pairs
♠2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣8, ♦7, ♠2, ♥7 | two pairs
♠2, ♣8, ♦7, ♠2, ♥7 | two pairs
♠2, ♥A, ♥K, ♠6, ♣6 | pair
♠2, ♥A, ♥K, ♠6, ♠2 | pair
♠2, ♥A, ♥K, ♦7, ♦7 | pair
♠2, ♥A, ♥K, ♦7, ♦7 | pair
♠2, ♥A, ♥K, ♦7, ♠2 | pair
♠2, ♥A, ♥K, ♦7, ♥7 | pair
♠2, ♥A, ♥K, ♥5, ♠2 | pair
♠2, ♥A, ♥K, ♣6, ♠2 | pair
♠2, ♥A, ♥K, ♦7, ♦7 | pair
♠2, ♥A, ♥K, ♦7, ♠2 | pair
♠2, ♥A, ♥K, ♦7, ♥7 | pair
♠2, ♥A, ♥K, ♦7, ♠2 | pair
♠2, ♥A, ♥K, ♦7, ♥7 | pair
♠2, ♥A, ♥K, ♠2, ♥7 | pair
♠2, ♥A, ♠6, ♦7, ♣6 | pair
♠2, ♥A, ♠6, ♦7, ♦7 | pair
♠2, ♥A, ♠6, ♦7, ♦7 | pair
♠2, ♥A, ♠6, ♦7, ♠2 | pair
♠2, ♥A, ♠6, ♦7, ♥7 | pair
♠2, ♥A, ♠6, ♥5, ♣6 | pair
♠2, ♥A, ♠6, ♥5, ♠2 | pair
♠2, ♥A, ♠6, ♣6, ♦7 | pair
♠2, ♥A, ♠6, ♣6, ♦7 | pair
♠2, ♥A, ♠6, ♣6, ♠2 | two pairs
♠2, ♥A, ♠6, ♣6, ♥7 | pair
♠2, ♥A, ♠6, ♦7, ♦7 | pair
♠2, ♥A, ♠6, ♦7, ♠2 | pair
♠2, ♥A, ♠6, ♦7, ♥7 | pair
♠2, ♥A, ♠6, ♦7, ♠2 | pair
♠2, ♥A, ♠6, ♦7, ♥7 | pair
♠2, ♥A, ♠6, ♠2, ♥7 | pair
♠2, ♥A, ♦7, ♥5, ♦7 | pair
♠2, ♥A, ♦7, ♥5, ♦7 | pair
♠2, ♥A, ♦7, ♥5, ♠2 | pair
♠2, ♥A, ♦7, ♥5, ♥7 | pair
♠2, ♥A, ♦7, ♣6, ♦7 | pair
♠2, ♥A, ♦7, ♣6, ♦7 | pair
♠2, ♥A, ♦7, ♣6, ♠2 | pair
♠2, ♥A, ♦7, ♣6, ♥7 | pair
♠2, ♥A, ♦7, ♦7, ♦7 | three of a kind
♠2, ♥A, ♦7, ♦7, ♠2 | two pairs
♠2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥A, ♦7, ♦7, ♠2 | two pairs
♠2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥A, ♦7, ♠2, ♥7 | two pairs
♠2, ♥A, ♥5, ♣6, ♠2 | pair
♠2, ♥A, ♥5, ♦7, ♦7 | pair
♠2, ♥A, ♥5, ♦7, ♠2 | pair
♠2, ♥A, ♥5, ♦7, ♥7 | pair
♠2, ♥A, ♥5, ♦7, ♠2 | pair
♠2, ♥A, ♥5, ♦7, ♥7 | pair
♠2, ♥A, ♥5, ♠2, ♥7 | pair
♠2, ♥A, ♣6, ♦7, ♦7 | pair
♠2, ♥A, ♣6, ♦7, ♠2 | pair
♠2, ♥A, ♣6, ♦7, ♥7 | pair
♠2, ♥A, ♣6, ♦7, ♠2 | pair
♠2, ♥A, ♣6, ♦7, ♥7 | pair
♠2, ♥A, ♣6, ♠2, ♥7 | pair
♠2, ♥A, ♦7, ♦7, ♠2 | two pairs
♠2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥A, ♦7, ♠2, ♥7 | two pairs
♠2, ♥A, ♦7, ♠2, ♥7 | two pairs
♠2, ♥K, ♠6, ♦7, ♣6 | pair
♠2, ♥K, ♠6, ♦7, ♦7 | pair
♠2, ♥K, ♠6, ♦7, ♦7 | pair
♠2, ♥K, ♠6, ♦7, ♠2 | pair
♠2, ♥K, ♠6, ♦7, ♥7 | pair
♠2, ♥K, ♠6, ♥5, ♣6 | pair
♠2, ♥K, ♠6, ♥5, ♠2 | pair
♠2, ♥K, ♠6, ♣6, ♦7 | pair
♠2, ♥K, ♠6, ♣6, ♦7 | pair
♠2, ♥K, ♠6, ♣6, ♠2 | two pairs
♠2, ♥K, ♠6, ♣6, ♥7 | pair
♠2, ♥K, ♠6, ♦7, ♦7 | pair
♠2, ♥K, ♠6, ♦7, ♠2 | pair
♠2, ♥K, ♠6, ♦7, ♥7 | pair
♠2, ♥K, ♠6, ♦7, ♠2 | pair
♠2, ♥K, ♠6, ♦7, ♥7 | pair
♠2, ♥K, ♠6, ♠2, ♥7 | pair
♠2, ♥K, ♦7, ♥5, ♦7 | pair
♠2, ♥K, ♦7, ♥5, ♦7 | pair
♠2, ♥K, ♦7, ♥5, ♠2 | pair
♠2, ♥K, ♦7, ♥5, ♥7 | pair
♠2, ♥K, ♦7, ♣6, ♦7 | pair
♠2, ♥K, ♦7, ♣6, ♦7 | pair
♠2, ♥K, ♦7, ♣6, ♠2 | pair
♠2, ♥K, ♦7, ♣6, ♥7 | pair
♠2, ♥K, ♦7, ♦7, ♦7 | three of a kind
♠2, ♥K, ♦7, ♦7, ♠2 | two pairs
♠2, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥K, ♦7, ♦7, ♠2 | two pairs
♠2, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥K, ♦7, ♠2, ♥7 | two pairs
♠2, ♥K, ♥5, ♣6, ♠2 | pair
♠2, ♥K, ♥5, ♦7, ♦7 | pair
♠2, ♥K, ♥5, ♦7, ♠2 | pair
♠2, ♥K, ♥5, ♦7, ♥7 | pair
♠2, ♥K, ♥5, ♦7, ♠2 | pair
♠2, ♥K, ♥5, ♦7, ♥7 | pair
♠2, ♥K, ♥5, ♠2, ♥7 | pair
♠2, ♥K, ♣6, ♦7, ♦7 | pair
♠2, ♥K, ♣6, ♦7, ♠2 | pair
♠2, ♥K, ♣6, ♦7, ♥7 | pair
♠2, ♥K, ♣6, ♦7, ♠2 | pair
♠2, ♥K, ♣6, ♦7, ♥7 | pair
♠2, ♥K, ♣6, ♠2, ♥7 | pair
♠2, ♥K, ♦7, ♦7, ♠2 | two pairs
♠2, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥K, ♦7, ♠2, ♥7 | two pairs
♠2, ♥K, ♦7, ♠2, ♥7 | two pairs
♠2, ♠6, ♦7, ♥5, ♣6 | pair
♠2, ♠6, ♦7, ♥5, ♦7 | pair
♠2, ♠6, ♦7, ♥5, ♦7 | pair
♠2, ♠6, ♦7, ♥5, ♠2 | pair
♠2, ♠6, ♦7, ♥5, ♥7 | pair
♠2, ♠6, ♦7, ♣6, ♦7 | two pairs
♠2, ♠6, ♦7, ♣6, ♦7 | two pairs
♠2, ♠6, ♦7, ♣6, ♠2 | two pairs
♠2, ♠6, ♦7, ♣6, ♥7 | two pairs
♠2, ♠6, ♦7, ♦7, ♦7 | three of a kind
♠2, ♠6, ♦7, ♦7, ♠2 | two pairs
♠2, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠2, ♠6, ♦7, ♦7, ♠2 | two pairs
♠2, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠2, ♠6, ♦7, ♠2, ♥7 | two pairs
♠2, ♠6, ♥5, ♣6, ♦7 | pair
♠2, ♠6, ♥5, ♣6, ♦7 | pair
♠2, ♠6, ♥5, ♣6, ♠2 | two pairs
♠2, ♠6, ♥5, ♣6, ♥7 | pair
♠2, ♠6, ♥5, ♦7, ♦7 | pair
♠2, ♠6, ♥5, ♦7, ♠2 | pair
♠2, ♠6, ♥5, ♦7, ♥7 | pair
♠2, ♠6, ♥5, ♦7, ♠2 | pair
♠2, ♠6, ♥5, ♦7, ♥7 | pair
♠2, ♠6, ♥5, ♠2, ♥7 | pair
♠2, ♠6, ♣6, ♦7, ♦7 | two pairs
♠2, ♠6, ♣6, ♦7, ♠2 | two pairs
♠2, ♠6, ♣6, ♦7, ♥7 | two pairs
♠2, ♠6, ♣6, ♦7, ♠2 | two pairs
♠2, ♠6, ♣6, ♦7, ♥7 | two pairs
♠2, ♠6, ♣6, ♠2, ♥7 | two pairs
♠2, ♠6, ♦7, ♦7, ♠2 | two pairs
♠2, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠2, ♠6, ♦7, ♠2, ♥7 | two pairs
♠2, ♠6, ♦7, ♠2, ♥7 | two pairs
♠2, ♦7, ♥5, ♣6, ♦7 | pair
♠2, ♦7, ♥5, ♣6, ♦7 | pair
♠2, ♦7, ♥5, ♣6, ♠2 | pair
♠2, ♦7, ♥5, ♣6, ♥7 | pair
♠2, ♦7, ♥5, ♦7, ♦7 | three of a kind
♠2, ♦7, ♥5, ♦7, ♠2 | two pairs
♠2, ♦7, ♥5, ♦7, ♥7 | three of a kind
♠2, ♦7, ♥5, ♦7, ♠2 | two pairs
♠2, ♦7, ♥5, ♦7, ♥7 | three of a kind
♠2, ♦7, ♥5, ♠2, ♥7 | two pairs
♠2, ♦7, ♣6, ♦7, ♦7 | three of a kind
♠2, ♦7, ♣6, ♦7, ♠2 | two pairs
♠2, ♦7, ♣6, ♦7, ♥7 | three of a kind
♠2, ♦7, ♣6, ♦7, ♠2 | two pairs
♠2, ♦7, ♣6, ♦7, ♥7 | three of a kind
♠2, ♦7, ♣6, ♠2, ♥7 | two pairs
♠2, ♦7, ♦7, ♦7, ♠2 | fullhouse
♠2, ♦7, ♦7, ♦7, ♥7 | four of a kind!
♠2, ♦7, ♦7, ♠2, ♥7 | fullhouse
♠2, ♦7, ♦7, ♠2, ♥7 | fullhouse
♠2, ♥5, ♣6, ♦7, ♦7 | pair
♠2, ♥5, ♣6, ♦7, ♠2 | pair
♠2, ♥5, ♣6, ♦7, ♥7 | pair
♠2, ♥5, ♣6, ♦7, ♠2 | pair
♠2, ♥5, ♣6, ♦7, ♥7 | pair
♠2, ♥5, ♣6, ♠2, ♥7 | pair
♠2, ♥5, ♦7, ♦7, ♠2 | two pairs
♠2, ♥5, ♦7, ♦7, ♥7 | three of a kind
♠2, ♥5, ♦7, ♠2, ♥7 | two pairs
♠2, ♥5, ♦7, ♠2, ♥7 | two pairs
♠2, ♣6, ♦7, ♦7, ♠2 | two pairs
♠2, ♣6, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣6, ♦7, ♠2, ♥7 | two pairs
♠2, ♣6, ♦7, ♠2, ♥7 | two pairs
♠2, ♦7, ♦7, ♠2, ♥7 | fullhouse
♥2, ♣K, ♣8, ♥A, ♥K | pair
♥2, ♣K, ♣8, ♥A, ♠2 | pair
♥2, ♣K, ♣8, ♥K, ♠6 | pair
♥2, ♣K, ♣8, ♥K, ♦7 | pair
♥2, ♣K, ♣8, ♥K, ♥5 | pair
♥2, ♣K, ♣8, ♥K, ♣6 | pair
♥2, ♣K, ♣8, ♥K, ♦7 | pair
♥2, ♣K, ♣8, ♥K, ♦7 | pair
♥2, ♣K, ♣8, ♥K, ♠2 | two pairs
♥2, ♣K, ♣8, ♥K, ♥7 | pair
♥2, ♣K, ♣8, ♠6, ♣6 | pair
♥2, ♣K, ♣8, ♠6, ♠2 | pair
♥2, ♣K, ♣8, ♦7, ♦7 | pair
♥2, ♣K, ♣8, ♦7, ♦7 | pair
♥2, ♣K, ♣8, ♦7, ♠2 | pair
♥2, ♣K, ♣8, ♦7, ♥7 | pair
♥2, ♣K, ♣8, ♥5, ♠2 | pair
♥2, ♣K, ♣8, ♣6, ♠2 | pair
♥2, ♣K, ♣8, ♦7, ♦7 | pair
♥2, ♣K, ♣8, ♦7, ♠2 | pair
♥2, ♣K, ♣8, ♦7, ♥7 | pair
♥2, ♣K, ♣8, ♦7, ♠2 | pair
♥2, ♣K, ♣8, ♦7, ♥7 | pair
♥2, ♣K, ♣8, ♠2, ♥7 | pair
♥2, ♣K, ♥A, ♥K, ♠6 | pair
♥2, ♣K, ♥A, ♥K, ♦7 | pair
♥2, ♣K, ♥A, ♥K, ♥5 | pair
♥2, ♣K, ♥A, ♥K, ♣6 | pair
♥2, ♣K, ♥A, ♥K, ♦7 | pair
♥2, ♣K, ♥A, ♥K, ♦7 | pair
♥2, ♣K, ♥A, ♥K, ♠2 | two pairs
♥2, ♣K, ♥A, ♥K, ♥7 | pair
♥2, ♣K, ♥A, ♠6, ♣6 | pair
♥2, ♣K, ♥A, ♠6, ♠2 | pair
♥2, ♣K, ♥A, ♦7, ♦7 | pair
♥2, ♣K, ♥A, ♦7, ♦7 | pair
♥2, ♣K, ♥A, ♦7, ♠2 | pair
♥2, ♣K, ♥A, ♦7, ♥7 | pair
♥2, ♣K, ♥A, ♥5, ♠2 | pair
♥2, ♣K, ♥A, ♣6, ♠2 | pair
♥2, ♣K, ♥A, ♦7, ♦7 | pair
♥2, ♣K, ♥A, ♦7, ♠2 | pair
♥2, ♣K, ♥A, ♦7, ♥7 | pair
♥2, ♣K, ♥A, ♦7, ♠2 | pair
♥2, ♣K, ♥A, ♦7, ♥7 | pair
♥2, ♣K, ♥A, ♠2, ♥7 | pair
♥2, ♣K, ♥K, ♠6, ♦7 | pair
♥2, ♣K, ♥K, ♠6, ♥5 | pair
♥2, ♣K, ♥K, ♠6, ♣6 | two pairs
♥2, ♣K, ♥K, ♠6, ♦7 | pair
♥2, ♣K, ♥K, ♠6, ♦7 | pair
♥2, ♣K, ♥K, ♠6, ♠2 | two pairs
♥2, ♣K, ♥K, ♠6, ♥7 | pair
♥2, ♣K, ♥K, ♦7, ♥5 | pair
♥2, ♣K, ♥K, ♦7, ♣6 | pair
♥2, ♣K, ♥K, ♦7, ♦7 | two pairs
♥2, ♣K, ♥K, ♦7, ♦7 | two pairs
♥2, ♣K, ♥K, ♦7, ♠2 | two pairs
♥2, ♣K, ♥K, ♦7, ♥7 | two pairs
♥2, ♣K, ♥K, ♥5, ♣6 | pair
♥2, ♣K, ♥K, ♥5, ♦7 | pair
♥2, ♣K, ♥K, ♥5, ♦7 | pair
♥2, ♣K, ♥K, ♥5, ♠2 | two pairs
♥2, ♣K, ♥K, ♥5, ♥7 | pair
♥2, ♣K, ♥K, ♣6, ♦7 | pair
♥2, ♣K, ♥K, ♣6, ♦7 | pair
♥2, ♣K, ♥K, ♣6, ♠2 | two pairs
♥2, ♣K, ♥K, ♣6, ♥7 | pair
♥2, ♣K, ♥K, ♦7, ♦7 | two pairs
♥2, ♣K, ♥K, ♦7, ♠2 | two pairs
♥2, ♣K, ♥K, ♦7, ♥7 | two pairs
♥2, ♣K, ♥K, ♦7, ♠2 | two pairs
♥2, ♣K, ♥K, ♦7, ♥7 | two pairs
♥2, ♣K, ♥K, ♠2, ♥7 | two pairs
♥2, ♣K, ♠6, ♦7, ♣6 | pair
♥2, ♣K, ♠6, ♦7, ♦7 | pair
♥2, ♣K, ♠6, ♦7, ♦7 | pair
♥2, ♣K, ♠6, ♦7, ♠2 | pair
♥2, ♣K, ♠6, ♦7, ♥7 | pair
♥2, ♣K, ♠6, ♥5, ♣6 | pair
♥2, ♣K, ♠6, ♥5, ♠2 | pair
♥2, ♣K, ♠6, ♣6, ♦7 | pair
♥2, ♣K, ♠6, ♣6, ♦7 | pair
♥2, ♣K, ♠6, ♣6, ♠2 | two pairs
♥2, ♣K, ♠6, ♣6, ♥7 | pair
♥2, ♣K, ♠6, ♦7, ♦7 | pair
♥2, ♣K, ♠6, ♦7, ♠2 | pair
♥2, ♣K, ♠6, ♦7, ♥7 | pair
♥2, ♣K, ♠6, ♦7, ♠2 | pair
♥2, ♣K, ♠6, ♦7, ♥7 | pair
♥2, ♣K, ♠6, ♠2, ♥7 | pair
♥2, ♣K, ♦7, ♥5, ♦7 | pair
♥2, ♣K, ♦7, ♥5, ♦7 | pair
♥2, ♣K, ♦7, ♥5, ♠2 | pair
♥2, ♣K, ♦7, ♥5, ♥7 | pair
♥2, ♣K, ♦7, ♣6, ♦7 | pair
♥2, ♣K, ♦7, ♣6, ♦7 | pair
♥2, ♣K, ♦7, ♣6, ♠2 | pair
♥2, ♣K, ♦7, ♣6, ♥7 | pair
♥2, ♣K, ♦7, ♦7, ♦7 | three of a kind
♥2, ♣K, ♦7, ♦7, ♠2 | two pairs
♥2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣K, ♦7, ♦7, ♠2 | two pairs
♥2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣K, ♦7, ♠2, ♥7 | two pairs
♥2, ♣K, ♥5, ♣6, ♠2 | pair
♥2, ♣K, ♥5, ♦7, ♦7 | pair
♥2, ♣K, ♥5, ♦7, ♠2 | pair
♥2, ♣K, ♥5, ♦7, ♥7 | pair
♥2, ♣K, ♥5, ♦7, ♠2 | pair
♥2, ♣K, ♥5, ♦7, ♥7 | pair
♥2, ♣K, ♥5, ♠2, ♥7 | pair
♥2, ♣K, ♣6, ♦7, ♦7 | pair
♥2, ♣K, ♣6, ♦7, ♠2 | pair
♥2, ♣K, ♣6, ♦7, ♥7 | pair
♥2, ♣K, ♣6, ♦7, ♠2 | pair
♥2, ♣K, ♣6, ♦7, ♥7 | pair
♥2, ♣K, ♣6, ♠2, ♥7 | pair
♥2, ♣K, ♦7, ♦7, ♠2 | two pairs
♥2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣K, ♦7, ♠2, ♥7 | two pairs
♥2, ♣K, ♦7, ♠2, ♥7 | two pairs
♥2, ♣8, ♥A, ♥K, ♠2 | pair
♥2, ♣8, ♥A, ♠6, ♣6 | pair
♥2, ♣8, ♥A, ♠6, ♠2 | pair
♥2, ♣8, ♥A, ♦7, ♦7 | pair
♥2, ♣8, ♥A, ♦7, ♦7 | pair
♥2, ♣8, ♥A, ♦7, ♠2 | pair
♥2, ♣8, ♥A, ♦7, ♥7 | pair
♥2, ♣8, ♥A, ♥5, ♠2 | pair
♥2, ♣8, ♥A, ♣6, ♠2 | pair
♥2, ♣8, ♥A, ♦7, ♦7 | pair
♥2, ♣8, ♥A, ♦7, ♠2 | pair
♥2, ♣8, ♥A, ♦7, ♥7 | pair
♥2, ♣8, ♥A, ♦7, ♠2 | pair
♥2, ♣8, ♥A, ♦7, ♥7 | pair
♥2, ♣8, ♥A, ♠2, ♥7 | pair
♥2, ♣8, ♥K, ♠6, ♣6 | pair
♥2, ♣8, ♥K, ♠6, ♠2 | pair
♥2, ♣8, ♥K, ♦7, ♦7 | pair
♥2, ♣8, ♥K, ♦7, ♦7 | pair
♥2, ♣8, ♥K, ♦7, ♠2 | pair
♥2, ♣8, ♥K, ♦7, ♥7 | pair
♥2, ♣8, ♥K, ♥5, ♠2 | pair
♥2, ♣8, ♥K, ♣6, ♠2 | pair
♥2, ♣8, ♥K, ♦7, ♦7 | pair
♥2, ♣8, ♥K, ♦7, ♠2 | pair
♥2, ♣8, ♥K, ♦7, ♥7 | pair
♥2, ♣8, ♥K, ♦7, ♠2 | pair
♥2, ♣8, ♥K, ♦7, ♥7 | pair
♥2, ♣8, ♥K, ♠2, ♥7 | pair
♥2, ♣8, ♠6, ♦7, ♣6 | pair
♥2, ♣8, ♠6, ♦7, ♦7 | pair
♥2, ♣8, ♠6, ♦7, ♦7 | pair
♥2, ♣8, ♠6, ♦7, ♠2 | pair
♥2, ♣8, ♠6, ♦7, ♥7 | pair
♥2, ♣8, ♠6, ♥5, ♣6 | pair
♥2, ♣8, ♠6, ♥5, ♠2 | pair
♥2, ♣8, ♠6, ♣6, ♦7 | pair
♥2, ♣8, ♠6, ♣6, ♦7 | pair
♥2, ♣8, ♠6, ♣6, ♠2 | two pairs
♥2, ♣8, ♠6, ♣6, ♥7 | pair
♥2, ♣8, ♠6, ♦7, ♦7 | pair
♥2, ♣8, ♠6, ♦7, ♠2 | pair
♥2, ♣8, ♠6, ♦7, ♥7 | pair
♥2, ♣8, ♠6, ♦7, ♠2 | pair
♥2, ♣8, ♠6, ♦7, ♥7 | pair
♥2, ♣8, ♠6, ♠2, ♥7 | pair
♥2, ♣8, ♦7, ♥5, ♦7 | pair
♥2, ♣8, ♦7, ♥5, ♦7 | pair
♥2, ♣8, ♦7, ♥5, ♠2 | pair
♥2, ♣8, ♦7, ♥5, ♥7 | pair
♥2, ♣8, ♦7, ♣6, ♦7 | pair
♥2, ♣8, ♦7, ♣6, ♦7 | pair
♥2, ♣8, ♦7, ♣6, ♠2 | pair
♥2, ♣8, ♦7, ♣6, ♥7 | pair
♥2, ♣8, ♦7, ♦7, ♦7 | three of a kind
♥2, ♣8, ♦7, ♦7, ♠2 | two pairs
♥2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣8, ♦7, ♦7, ♠2 | two pairs
♥2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣8, ♦7, ♠2, ♥7 | two pairs
♥2, ♣8, ♥5, ♣6, ♠2 | pair
♥2, ♣8, ♥5, ♦7, ♦7 | pair
♥2, ♣8, ♥5, ♦7, ♠2 | pair
♥2, ♣8, ♥5, ♦7, ♥7 | pair
♥2, ♣8, ♥5, ♦7, ♠2 | pair
♥2, ♣8, ♥5, ♦7, ♥7 | pair
♥2, ♣8, ♥5, ♠2, ♥7 | pair
♥2, ♣8, ♣6, ♦7, ♦7 | pair
♥2, ♣8, ♣6, ♦7, ♠2 | pair
♥2, ♣8, ♣6, ♦7, ♥7 | pair
♥2, ♣8, ♣6, ♦7, ♠2 | pair
♥2, ♣8, ♣6, ♦7, ♥7 | pair
♥2, ♣8, ♣6, ♠2, ♥7 | pair
♥2, ♣8, ♦7, ♦7, ♠2 | two pairs
♥2, ♣8, ♦7, ♦7, ♥7 | three of a kind
♥2, ♣8, ♦7, ♠2, ♥7 | two pairs
♥2, ♣8, ♦7, ♠2, ♥7 | two pairs
♥2, ♥A, ♥K, ♠6, ♣6 | pair
♥2, ♥A, ♥K, ♠6, ♠2 | pair
♥2, ♥A, ♥K, ♦7, ♦7 | pair
♥2, ♥A, ♥K, ♦7, ♦7 | pair
♥2, ♥A, ♥K, ♦7, ♠2 | pair
♥2, ♥A, ♥K, ♦7, ♥7 | pair
♥2, ♥A, ♥K, ♥5, ♠2 | pair
♥2, ♥A, ♥K, ♥5, ♥7 | flush
♥2, ♥A, ♥K, ♣6, ♠2 | pair
♥2, ♥A, ♥K, ♦7, ♦7 | pair
♥2, ♥A, ♥K, ♦7, ♠2 | pair
♥2, ♥A, ♥K, ♦7, ♥7 | pair
♥2, ♥A, ♥K, ♦7, ♠2 | pair
♥2, ♥A, ♥K, ♦7, ♥7 | pair
♥2, ♥A, ♥K, ♠2, ♥7 | pair
♥2, ♥A, ♠6, ♦7, ♣6 | pair
♥2, ♥A, ♠6, ♦7, ♦7 | pair
♥2, ♥A, ♠6, ♦7, ♦7 | pair
♥2, ♥A, ♠6, ♦7, ♠2 | pair
♥2, ♥A, ♠6, ♦7, ♥7 | pair
♥2, ♥A, ♠6, ♥5, ♣6 | pair
♥2, ♥A, ♠6, ♥5, ♠2 | pair
♥2, ♥A, ♠6, ♣6, ♦7 | pair
♥2, ♥A, ♠6, ♣6, ♦7 | pair
♥2, ♥A, ♠6, ♣6, ♠2 | two pairs
♥2, ♥A, ♠6, ♣6, ♥7 | pair
♥2, ♥A, ♠6, ♦7, ♦7 | pair
♥2, ♥A, ♠6, ♦7, ♠2 | pair
♥2, ♥A, ♠6, ♦7, ♥7 | pair
♥2, ♥A, ♠6, ♦7, ♠2 | pair
♥2, ♥A, ♠6, ♦7, ♥7 | pair
♥2, ♥A, ♠6, ♠2, ♥7 | pair
♥2, ♥A, ♦7, ♥5, ♦7 | pair
♥2, ♥A, ♦7, ♥5, ♦7 | pair
♥2, ♥A, ♦7, ♥5, ♠2 | pair
♥2, ♥A, ♦7, ♥5, ♥7 | pair
♥2, ♥A, ♦7, ♣6, ♦7 | pair
♥2, ♥A, ♦7, ♣6, ♦7 | pair
♥2, ♥A, ♦7, ♣6, ♠2 | pair
♥2, ♥A, ♦7, ♣6, ♥7 | pair
♥2, ♥A, ♦7, ♦7, ♦7 | three of a kind
♥2, ♥A, ♦7, ♦7, ♠2 | two pairs
♥2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♥2, ♥A, ♦7, ♦7, ♠2 | two pairs
♥2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♥2, ♥A, ♦7, ♠2, ♥7 | two pairs
♥2, ♥A, ♥5, ♣6, ♠2 | pair
♥2, ♥A, ♥5, ♦7, ♦7 | pair
♥2, ♥A, ♥5, ♦7, ♠2 | pair
♥2, ♥A, ♥5, ♦7, ♥7 | pair
♥2, ♥A, ♥5, ♦7, ♠2 | pair
♥2, ♥A, ♥5, ♦7, ♥7 | pair
♥2, ♥A, ♥5, ♠2, ♥7 | pair
♥2, ♥A, ♣6, ♦7, ♦7 | pair
♥2, ♥A, ♣6, ♦7, ♠2 | pair
♥2, ♥A, ♣6, ♦7, ♥7 | pair
♥2, ♥A, ♣6, ♦7, ♠2 | pair
♥2, ♥A, ♣6, ♦7, ♥7 | pair
♥2, ♥A, ♣6, ♠2, ♥7 | pair
♥2, ♥A, ♦7, ♦7, ♠2 | two pairs
♥2, ♥A, ♦7, ♦7, ♥7 | three of a kind
♥2, ♥A, ♦7, ♠2, ♥7 | two pairs
♥2, ♥A, ♦7, ♠2, ♥7 | two pairs
