♥7, ♥7, ♦Q, ♥5, ♠A | pair
♥7, ♥5, ♠A, ♣5, ♠8 | pair
♥7, ♥5, ♣K, ♣A, ♥5 | pair
♥7, ♥5, ♣K, ♣A, ♠K | pair
♥7, ♥5, ♣K, ♣A, ♦5 | pair
♥7, ♥5, ♣K, ♣A, ♣5 | pair
♥7, ♥5, ♣K, ♥5, ♠K | two pairs
♥7, ♥5, ♣K, ♥5, ♦5 | three of a kind
♥7, ♥5, ♣K, ♥5, ♣10 | pair
♥7, ♥5, ♣K, ♥5, ♠J | pair
♥7, ♥5, ♣K, ♥5, ♣3 | pair
♥7, ♥5, ♣K, ♥5, ♣10 | pair
♥7, ♥5, ♣K, ♥5, ♣5 | three of a kind
♥7, ♥5, ♣K, ♥5, ♠8 | pair
♥7, ♥5, ♣K, ♠K, ♦5 | two pairs
♥7, ♥5, ♣K, ♠K, ♣10 | pair
♥7, ♥5, ♣K, ♠K, ♠J | pair
♥7, ♥5, ♣K, ♠K, ♣3 | pair
♥7, ♥5, ♣K, ♠K, ♣10 | pair
♥7, ♥5, ♣K, ♠K, ♣5 | two pairs
♥7, ♥5, ♣K, ♠K, ♠8 | pair
♥7, ♥5, ♣K, ♦5, ♣10 | pair
♥7, ♥5, ♣K, ♦5, ♠J | pair
♥7, ♥5, ♣K, ♦5, ♣3 | pair
♥7, ♥5, ♣K, ♦5, ♣10 | pair
♥7, ♥5, ♣K, ♦5, ♣5 | three of a kind
♥7, ♥5, ♣K, ♦5, ♠8 | pair
♥7, ♥5, ♣K, ♣10, ♣10 | pair
♥7, ♥5, ♣K, ♣10, ♣5 | pair
♥7, ♥5, ♣K, ♠J, ♣5 | pair
♥7, ♥5, ♣K, ♣3, ♣5 | pair
♥7, ♥5, ♣K, ♣10, ♣5 | pair
♥7, ♥5, ♣K, ♣5, ♠8 | pair
♥7, ♥5, ♣A, ♥5, ♠K | pair
♥7, ♥5, ♣A, ♥5, ♦5 | three of a kind
♥7, ♥5, ♣A, ♥5, ♣10 | pair
♥7, ♥5, ♣A, ♥5, ♠J | pair
♥7, ♥5, ♣A, ♥5, ♣3 | pair
♥7, ♥5, ♣A, ♥5, ♣10 | pair
♥7, ♥5, ♣A, ♥5, ♣5 | three of a kind
♥7, ♥5, ♣A, ♥5, ♠8 | pair
♥7, ♥5, ♣A, ♠K, ♦5 | pair
♥7, ♥5, ♣A, ♠K, ♣5 | pair
♥7, ♥5, ♣A, ♦5, ♣10 | pair
♥7, ♥5, ♣A, ♦5, ♠J | pair
♥7, ♥5, ♣A, ♦5, ♣3 | pair
♥7, ♥5, ♣A, ♦5, ♣10 | pair
♥7, ♥5, ♣A, ♦5, ♣5 | three of a kind
♥7, ♥5, ♣A, ♦5, ♠8 | pair
♥7, ♥5, ♣A, ♣10, ♣10 | pair
♥7, ♥5, ♣A, ♣10, ♣5 | pair
♥7, ♥5, ♣A, ♠J, ♣5 | pair
♥7, ♥5, ♣A, ♣3, ♣5 | pair
♥7, ♥5, ♣A, ♣10, ♣5 | pair
♥7, ♥5, ♣A, ♣5, ♠8 | pair
♥7, ♥5, ♥5, ♠K, ♦5 | three of a kind
♥7, ♥5, ♥5, ♠K, ♣10 | pair
♥7, ♥5, ♥5, ♠K, ♠J | pair
♥7, ♥5, ♥5, ♠K, ♣3 | pair
♥7, ♥5, ♥5, ♠K, ♣10 | pair
♥7, ♥5, ♥5, ♠K, ♣5 | three of a kind
♥7, ♥5, ♥5, ♠K, ♠8 | pair
♥7, ♥5, ♥5, ♦5, ♣10 | three of a kind
♥7, ♥5, ♥5, ♦5, ♠J | three of a kind
♥7, ♥5, ♥5, ♦5, ♣3 | three of a kind
♥7, ♥5, ♥5, ♦5, ♣10 | three of a kind
♥7, ♥5, ♥5, ♦5, ♣5 | four of a kind!
♥7, ♥5, ♥5, ♦5, ♠8 | three of a kind
♥7, ♥5, ♥5, ♣10, ♠J | pair
♥7, ♥5, ♥5, ♣10, ♣3 | pair
♥7, ♥5, ♥5, ♣10, ♣10 | two pairs
♥7, ♥5, ♥5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♥5, ♣10, ♠8 | pair
♥7, ♥5, ♥5, ♠J, ♣3 | pair
♥7, ♥5, ♥5, ♠J, ♣10 | pair
♥7, ♥5, ♥5, ♠J, ♣5 | three of a kind
♥7, ♥5, ♥5, ♠J, ♠8 | pair
♥7, ♥5, ♥5, ♣3, ♣10 | pair
♥7, ♥5, ♥5, ♣3, ♣5 | three of a kind
♥7, ♥5, ♥5, ♣3, ♠8 | pair
♥7, ♥5, ♥5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♥5, ♣10, ♠8 | pair
♥7, ♥5, ♥5, ♣5, ♠8 | three of a kind
♥7, ♥5, ♠K, ♦5, ♣10 | pair
♥7, ♥5, ♠K, ♦5, ♠J | pair
♥7, ♥5, ♠K, ♦5, ♣3 | pair
♥7, ♥5, ♠K, ♦5, ♣10 | pair
♥7, ♥5, ♠K, ♦5, ♣5 | three of a kind
♥7, ♥5, ♠K, ♦5, ♠8 | pair
♥7, ♥5, ♠K, ♣10, ♣10 | pair
♥7, ♥5, ♠K, ♣10, ♣5 | pair
♥7, ♥5, ♠K, ♠J, ♣5 | pair
♥7, ♥5, ♠K, ♣3, ♣5 | pair
♥7, ♥5, ♠K, ♣10, ♣5 | pair
♥7, ♥5, ♠K, ♣5, ♠8 | pair
♥7, ♥5, ♦5, ♣10, ♠J | pair
♥7, ♥5, ♦5, ♣10, ♣3 | pair
♥7, ♥5, ♦5, ♣10, ♣10 | two pairs
♥7, ♥5, ♦5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣10, ♠8 | pair
♥7, ♥5, ♦5, ♠J, ♣3 | pair
♥7, ♥5, ♦5, ♠J, ♣10 | pair
♥7, ♥5, ♦5, ♠J, ♣5 | three of a kind
♥7, ♥5, ♦5, ♠J, ♠8 | pair
♥7, ♥5, ♦5, ♣3, ♣10 | pair
♥7, ♥5, ♦5, ♣3, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣3, ♠8 | pair
♥7, ♥5, ♦5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣10, ♠8 | pair
♥7, ♥5, ♦5, ♣5, ♠8 | three of a kind
♥7, ♥5, ♣10, ♠J, ♣10 | pair
♥7, ♥5, ♣10, ♠J, ♣5 | pair
♥7, ♥5, ♣10, ♣3, ♣10 | pair
♥7, ♥5, ♣10, ♣3, ♣5 | pair
♥7, ♥5, ♣10, ♣10, ♣5 | two pairs
♥7, ♥5, ♣10, ♣10, ♠8 | pair
♥7, ♥5, ♣10, ♣5, ♠8 | pair
♥7, ♥5, ♠J, ♣3, ♣5 | pair
♥7, ♥5, ♠J, ♣10, ♣5 | pair
♥7, ♥5, ♠J, ♣5, ♠8 | pair
♥7, ♥5, ♣3, ♣10, ♣5 | pair
♥7, ♥5, ♣3, ♣5, ♠8 | pair
♥7, ♥5, ♣10, ♣5, ♠8 | pair
♥7, ♠A, ♣K, ♣A, ♥5 | pair
♥7, ♠A, ♣K, ♣A, ♠K | two pairs
♥7, ♠A, ♣K, ♣A, ♦5 | pair
♥7, ♠A, ♣K, ♣A, ♣10 | pair
♥7, ♠A, ♣K, ♣A, ♠J | pair
♥7, ♠A, ♣K, ♣A, ♣3 | pair
♥7, ♠A, ♣K, ♣A, ♣10 | pair
♥7, ♠A, ♣K, ♣A, ♣5 | pair
♥7, ♠A, ♣K, ♣A, ♠8 | pair
♥7, ♠A, ♣K, ♥5, ♠K | pair
♥7, ♠A, ♣K, ♥5, ♦5 | pair
♥7, ♠A, ♣K, ♥5, ♣5 | pair
♥7, ♠A, ♣K, ♠K, ♦5 | pair
♥7, ♠A, ♣K, ♠K, ♣10 | pair
♥7, ♠A, ♣K, ♠K, ♠J | pair
♥7, ♠A, ♣K, ♠K, ♣3 | pair
♥7, ♠A, ♣K, ♠K, ♣10 | pair
♥7, ♠A, ♣K, ♠K, ♣5 | pair
♥7, ♠A, ♣K, ♠K, ♠8 | pair
♥7, ♠A, ♣K, ♦5, ♣5 | pair
♥7, ♠A, ♣K, ♣10, ♣10 | pair
♥7, ♠A, ♣A, ♥5, ♠K | pair
♥7, ♠A, ♣A, ♥5, ♦5 | two pairs
♥7, ♠A, ♣A, ♥5, ♣10 | pair
♥7, ♠A, ♣A, ♥5, ♠J | pair
♥7, ♠A, ♣A, ♥5, ♣3 | pair
♥7, ♠A, ♣A, ♥5, ♣10 | pair
♥7, ♠A, ♣A, ♥5, ♣5 | two pairs
♥7, ♠A, ♣A, ♥5, ♠8 | pair
♥7, ♠A, ♣A, ♠K, ♦5 | pair
♥7, ♠A, ♣A, ♠K, ♣10 | pair
♥7, ♠A, ♣A, ♠K, ♠J | pair
♥7, ♠A, ♣A, ♠K, ♣3 | pair
♥7, ♠A, ♣A, ♠K, ♣10 | pair
♥7, ♠A, ♣A, ♠K, ♣5 | pair
♥7, ♠A, ♣A, ♠K, ♠8 | pair
♥7, ♠A, ♣A, ♦5, ♣10 | pair
♥7, ♠A, ♣A, ♦5, ♠J | pair
♥7, ♠A, ♣A, ♦5, ♣3 | pair
♥7, ♠A, ♣A, ♦5, ♣10 | pair
♥7, ♠A, ♣A, ♦5, ♣5 | two pairs
♥7, ♠A, ♣A, ♦5, ♠8 | pair
♥7, ♠A, ♣A, ♣10, ♠J | pair
♥7, ♠A, ♣A, ♣10, ♣3 | pair
♥7, ♠A, ♣A, ♣10, ♣10 | two pairs
♥7, ♠A, ♣A, ♣10, ♣5 | pair
♥7, ♠A, ♣A, ♣10, ♠8 | pair
♥7, ♠A, ♣A, ♠J, ♣3 | pair
♥7, ♠A, ♣A, ♠J, ♣10 | pair
♥7, ♠A, ♣A, ♠J, ♣5 | pair
♥7, ♠A, ♣A, ♠J, ♠8 | pair
♥7, ♠A, ♣A, ♣3, ♣10 | pair
♥7, ♠A, ♣A, ♣3, ♣5 | pair
♥7, ♠A, ♣A, ♣3, ♠8 | pair
♥7, ♠A, ♣A, ♣10, ♣5 | pair
♥7, ♠A, ♣A, ♣10, ♠8 | pair
♥7, ♠A, ♣A, ♣5, ♠8 | pair
♥7, ♠A, ♥5, ♠K, ♦5 | pair
♥7, ♠A, ♥5, ♠K, ♣5 | pair
♥7, ♠A, ♥5, ♦5, ♣10 | pair
♥7, ♠A, ♥5, ♦5, ♠J | pair
♥7, ♠A, ♥5, ♦5, ♣3 | pair
♥7, ♠A, ♥5, ♦5, ♣10 | pair
♥7, ♠A, ♥5, ♦5, ♣5 | three of a kind
♥7, ♠A, ♥5, ♦5, ♠8 | pair
♥7, ♠A, ♥5, ♣10, ♣10 | pair
♥7, ♠A, ♥5, ♣10, ♣5 | pair
♥7, ♠A, ♥5, ♠J, ♣5 | pair
♥7, ♠A, ♥5, ♣3, ♣5 | pair
♥7, ♠A, ♥5, ♣10, ♣5 | pair
♥7, ♠A, ♥5, ♣5, ♠8 | pair
♥7, ♠A, ♠K, ♦5, ♣5 | pair
♥7, ♠A, ♠K, ♣10, ♣10 | pair
♥7, ♠A, ♦5, ♣10, ♣10 | pair
♥7, ♠A, ♦5, ♣10, ♣5 | pair
♥7, ♠A, ♦5, ♠J, ♣5 | pair
♥7, ♠A, ♦5, ♣3, ♣5 | pair
♥7, ♠A, ♦5, ♣10, ♣5 | pair
♥7, ♠A, ♦5, ♣5, ♠8 | pair
♥7, ♠A, ♣10, ♠J, ♣10 | pair
♥7, ♠A, ♣10, ♣3, ♣10 | pair
♥7, ♠A, ♣10, ♣10, ♣5 | pair
♥7, ♠A, ♣10, ♣10, ♠8 | pair
♥7, ♣K, ♣A, ♥5, ♠K | pair
♥7, ♣K, ♣A, ♥5, ♦5 | pair
♥7, ♣K, ♣A, ♥5, ♣5 | pair
♥7, ♣K, ♣A, ♠K, ♦5 | pair
♥7, ♣K, ♣A, ♠K, ♣10 | pair
♥7, ♣K, ♣A, ♠K, ♠J | pair
♥7, ♣K, ♣A, ♠K, ♣3 | pair
♥7, ♣K, ♣A, ♠K, ♣10 | pair
♥7, ♣K, ♣A, ♠K, ♣5 | pair
♥7, ♣K, ♣A, ♠K, ♠8 | pair
♥7, ♣K, ♣A, ♦5, ♣5 | pair
♥7, ♣K, ♣A, ♣10, ♣10 | pair
♥7, ♣K, ♥5, ♠K, ♦5 | two pairs
♥7, ♣K, ♥5, ♠K, ♣10 | pair
♥7, ♣K, ♥5, ♠K, ♠J | pair
♥7, ♣K, ♥5, ♠K, ♣3 | pair
♥7, ♣K, ♥5, ♠K, ♣10 | pair
♥7, ♣K, ♥5, ♠K, ♣5 | two pairs
♥7, ♣K, ♥5, ♠K, ♠8 | pair
♥7, ♣K, ♥5, ♦5, ♣10 | pair
♥7, ♣K, ♥5, ♦5, ♠J | pair
♥7, ♣K, ♥5, ♦5, ♣3 | pair
♥7, ♣K, ♥5, ♦5, ♣10 | pair
♥7, ♣K, ♥5, ♦5, ♣5 | three of a kind
♥7, ♣K, ♥5, ♦5, ♠8 | pair
♥7, ♣K, ♥5, ♣10, ♣10 | pair
♥7, ♣K, ♥5, ♣10, ♣5 | pair
♥7, ♣K, ♥5, ♠J, ♣5 | pair
♥7, ♣K, ♥5, ♣3, ♣5 | pair
♥7, ♣K, ♥5, ♣10, ♣5 | pair
♥7, ♣K, ♥5, ♣5, ♠8 | pair
♥7, ♣K, ♠K, ♦5, ♣10 | pair
♥7, ♣K, ♠K, ♦5, ♠J | pair
♥7, ♣K, ♠K, ♦5, ♣3 | pair
♥7, ♣K, ♠K, ♦5, ♣10 | pair
♥7, ♣K, ♠K, ♦5, ♣5 | two pairs
♥7, ♣K, ♠K, ♦5, ♠8 | pair
♥7, ♣K, ♠K, ♣10, ♠J | pair
♥7, ♣K, ♠K, ♣10, ♣3 | pair
♥7, ♣K, ♠K, ♣10, ♣10 | two pairs
♥7, ♣K, ♠K, ♣10, ♣5 | pair
♥7, ♣K, ♠K, ♣10, ♠8 | pair
♥7, ♣K, ♠K, ♠J, ♣3 | pair
♥7, ♣K, ♠K, ♠J, ♣10 | pair
♥7, ♣K, ♠K, ♠J, ♣5 | pair
♥7, ♣K, ♠K, ♠J, ♠8 | pair
♥7, ♣K, ♠K, ♣3, ♣10 | pair
♥7, ♣K, ♠K, ♣3, ♣5 | pair
♥7, ♣K, ♠K, ♣3, ♠8 | pair
♥7, ♣K, ♠K, ♣10, ♣5 | pair
♥7, ♣K, ♠K, ♣10, ♠8 | pair
♥7, ♣K, ♠K, ♣5, ♠8 | pair
♥7, ♣K, ♦5, ♣10, ♣10 | pair
♥7, ♣K, ♦5, ♣10, ♣5 | pair
♥7, ♣K, ♦5, ♠J, ♣5 | pair
♥7, ♣K, ♦5, ♣3, ♣5 | pair
♥7, ♣K, ♦5, ♣10, ♣5 | pair
♥7, ♣K, ♦5, ♣5, ♠8 | pair
♥7, ♣K, ♣10, ♠J, ♣10 | pair
♥7, ♣K, ♣10, ♣3, ♣10 | pair
♥7, ♣K, ♣10, ♣10, ♣5 | pair
♥7, ♣K, ♣10, ♣10, ♠8 | pair
♥7, ♣A, ♥5, ♠K, ♦5 | pair
♥7, ♣A, ♥5, ♠K, ♣5 | pair
♥7, ♣A, ♥5, ♦5, ♣10 | pair
♥7, ♣A, ♥5, ♦5, ♠J | pair
♥7, ♣A, ♥5, ♦5, ♣3 | pair
♥7, ♣A, ♥5, ♦5, ♣10 | pair
♥7, ♣A, ♥5, ♦5, ♣5 | three of a kind
♥7, ♣A, ♥5, ♦5, ♠8 | pair
♥7, ♣A, ♥5, ♣10, ♣10 | pair
♥7, ♣A, ♥5, ♣10, ♣5 | pair
♥7, ♣A, ♥5, ♠J, ♣5 | pair
♥7, ♣A, ♥5, ♣3, ♣5 | pair
♥7, ♣A, ♥5, ♣10, ♣5 | pair
♥7, ♣A, ♥5, ♣5, ♠8 | pair
♥7, ♣A, ♠K, ♦5, ♣5 | pair
♥7, ♣A, ♠K, ♣10, ♣10 | pair
♥7, ♣A, ♦5, ♣10, ♣10 | pair
♥7, ♣A, ♦5, ♣10, ♣5 | pair
♥7, ♣A, ♦5, ♠J, ♣5 | pair
♥7, ♣A, ♦5, ♣3, ♣5 | pair
♥7, ♣A, ♦5, ♣10, ♣5 | pair
♥7, ♣A, ♦5, ♣5, ♠8 | pair
♥7, ♣A, ♣10, ♠J, ♣10 | pair
♥7, ♣A, ♣10, ♣3, ♣10 | pair
♥7, ♣A, ♣10, ♣10, ♣5 | pair
♥7, ♣A, ♣10, ♣10, ♠8 | pair
♥7, ♥5, ♠K, ♦5, ♣10 | pair
♥7, ♥5, ♠K, ♦5, ♠J | pair
♥7, ♥5, ♠K, ♦5, ♣3 | pair
♥7, ♥5, ♠K, ♦5, ♣10 | pair
♥7, ♥5, ♠K, ♦5, ♣5 | three of a kind
♥7, ♥5, ♠K, ♦5, ♠8 | pair
♥7, ♥5, ♠K, ♣10, ♣10 | pair
♥7, ♥5, ♠K, ♣10, ♣5 | pair
♥7, ♥5, ♠K, ♠J, ♣5 | pair
♥7, ♥5, ♠K, ♣3, ♣5 | pair
♥7, ♥5, ♠K, ♣10, ♣5 | pair
♥7, ♥5, ♠K, ♣5, ♠8 | pair
♥7, ♥5, ♦5, ♣10, ♠J | pair
♥7, ♥5, ♦5, ♣10, ♣3 | pair
♥7, ♥5, ♦5, ♣10, ♣10 | two pairs
♥7, ♥5, ♦5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣10, ♠8 | pair
♥7, ♥5, ♦5, ♠J, ♣3 | pair
♥7, ♥5, ♦5, ♠J, ♣10 | pair
♥7, ♥5, ♦5, ♠J, ♣5 | three of a kind
♥7, ♥5, ♦5, ♠J, ♠8 | pair
♥7, ♥5, ♦5, ♣3, ♣10 | pair
♥7, ♥5, ♦5, ♣3, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣3, ♠8 | pair
♥7, ♥5, ♦5, ♣10, ♣5 | three of a kind
♥7, ♥5, ♦5, ♣10, ♠8 | pair
♥7, ♥5, ♦5, ♣5, ♠8 | three of a kind
♥7, ♥5, ♣10, ♠J, ♣10 | pair
♥7, ♥5, ♣10, ♠J, ♣5 | pair
♥7, ♥5, ♣10, ♣3, ♣10 | pair
♥7, ♥5, ♣10, ♣3, ♣5 | pair
♥7, ♥5, ♣10, ♣10, ♣5 | two pairs
♥7, ♥5, ♣10, ♣10, ♠8 | pair
♥7, ♥5, ♣10, ♣5, ♠8 | pair
♥7, ♥5, ♠J, ♣3, ♣5 | pair
♥7, ♥5, ♠J, ♣10, ♣5 | pair
♥7, ♥5, ♠J, ♣5, ♠8 | pair
♥7, ♥5, ♣3, ♣10, ♣5 | pair
♥7, ♥5, ♣3, ♣5, ♠8 | pair
♥7, ♥5, ♣10, ♣5, ♠8 | pair
♥7, ♠K, ♦5, ♣10, ♣10 | pair
♥7, ♠K, ♦5, ♣10, ♣5 | pair
♥7, ♠K, ♦5, ♠J, ♣5 | pair
♥7, ♠K, ♦5, ♣3, ♣5 | pair
♥7, ♠K, ♦5, ♣10, ♣5 | pair
♥7, ♠K, ♦5, ♣5, ♠8 | pair
♥7, ♠K, ♣10, ♠J, ♣10 | pair
♥7, ♠K, ♣10, ♣3, ♣10 | pair
♥7, ♠K, ♣10, ♣10, ♣5 | pair
♥7, ♠K, ♣10, ♣10, ♠8 | pair
♥7, ♦5, ♣10, ♠J, ♣10 | pair
♥7, ♦5, ♣10, ♠J, ♣5 | pair
♥7, ♦5, ♣10, ♣3, ♣10 | pair
♥7, ♦5, ♣10, ♣3, ♣5 | pair
♥7, ♦5, ♣10, ♣10, ♣5 | two pairs
♥7, ♦5, ♣10, ♣10, ♠8 | pair
♥7, ♦5, ♣10, ♣5, ♠8 | pair
♥7, ♦5, ♠J, ♣3, ♣5 | pair
♥7, ♦5, ♠J, ♣10, ♣5 | pair
♥7, ♦5, ♠J, ♣5, ♠8 | pair
♥7, ♦5, ♣3, ♣10, ♣5 | pair
♥7, ♦5, ♣3, ♣5, ♠8 | pair
♥7, ♦5, ♣10, ♣5, ♠8 | pair
♥7, ♣10, ♠J, ♣3, ♣10 | pair
♥7, ♣10, ♠J, ♣10, ♣5 | pair
♥7, ♣10, ♠J, ♣10, ♠8 | pair
♥7, ♣10, ♣3, ♣10, ♣5 | pair
♥7, ♣10, ♣3, ♣10, ♠8 | pair
♥7, ♣10, ♣10, ♣5, ♠8 | pair
♦Q, ♥5, ♠A, ♣K, ♣A | pair
♦Q, ♥5, ♠A, ♣K, ♥5 | pair
♦Q, ♥5, ♠A, ♣K, ♠K | pair
♦Q, ♥5, ♠A, ♣K, ♦5 | pair
♦Q, ♥5, ♠A, ♣K, ♣5 | pair
♦Q, ♥5, ♠A, ♣A, ♥5 | two pairs
♦Q, ♥5, ♠A, ♣A, ♠K | pair
♦Q, ♥5, ♠A, ♣A, ♦5 | two pairs
♦Q, ♥5, ♠A, ♣A, ♣10 | pair
♦Q, ♥5, ♠A, ♣A, ♠J | pair
♦Q, ♥5, ♠A, ♣A, ♣3 | pair
♦Q, ♥5, ♠A, ♣A, ♣10 | pair
♦Q, ♥5, ♠A, ♣A, ♣5 | two pairs
♦Q, ♥5, ♠A, ♣A, ♠8 | pair
♦Q, ♥5, ♠A, ♥5, ♠K | pair
♦Q, ♥5, ♠A, ♥5, ♦5 | three of a kind
♦Q, ♥5, ♠A, ♥5, ♣10 | pair
♦Q, ♥5, ♠A, ♥5, ♠J | pair
♦Q, ♥5, ♠A, ♥5, ♣3 | pair
♦Q, ♥5, ♠A, ♥5, ♣10 | pair
♦Q, ♥5, ♠A, ♥5, ♣5 | three of a kind
♦Q, ♥5, ♠A, ♥5, ♠8 | pair
♦Q, ♥5, ♠A, ♠K, ♦5 | pair
♦Q, ♥5, ♠A, ♠K, ♣5 | pair
♦Q, ♥5, ♠A, ♦5, ♣10 | pair
♦Q, ♥5, ♠A, ♦5, ♠J | pair
♦Q, ♥5, ♠A, ♦5, ♣3 | pair
♦Q, ♥5, ♠A, ♦5, ♣10 | pair
♦Q, ♥5, ♠A, ♦5, ♣5 | three of a kind
♦Q, ♥5, ♠A, ♦5, ♠8 | pair
♦Q, ♥5, ♠A, ♣10, ♣10 | pair
♦Q, ♥5, ♠A, ♣10, ♣5 | pair
♦Q, ♥5, ♠A, ♠J, ♣5 | pair
♦Q, ♥5, ♠A, ♣3, ♣5 | pair
♦Q, ♥5, ♠A, ♣10, ♣5 | pair
♦Q, ♥5, ♠A, ♣5, ♠8 | pair
♦Q, ♥5, ♣K, ♣A, ♥5 | pair
♦Q, ♥5, ♣K, ♣A, ♠K | pair
♦Q, ♥5, ♣K, ♣A, ♦5 | pair
♦Q, ♥5, ♣K, ♣A, ♣5 | pair
♦Q, ♥5, ♣K, ♥5, ♠K | two pairs
♦Q, ♥5, ♣K, ♥5, ♦5 | three of a kind
♦Q, ♥5, ♣K, ♥5, ♣10 | pair
♦Q, ♥5, ♣K, ♥5, ♠J | pair
♦Q, ♥5, ♣K, ♥5, ♣3 | pair
♦Q, ♥5, ♣K, ♥5, ♣10 | pair
♦Q, ♥5, ♣K, ♥5, ♣5 | three of a kind
♦Q, ♥5, ♣K, ♥5, ♠8 | pair
♦Q, ♥5, ♣K, ♠K, ♦5 | two pairs
♦Q, ♥5, ♣K, ♠K, ♣10 | pair
♦Q, ♥5, ♣K, ♠K, ♠J | pair
♦Q, ♥5, ♣K, ♠K, ♣3 | pair
♦Q, ♥5, ♣K, ♠K, ♣10 | pair
♦Q, ♥5, ♣K, ♠K, ♣5 | two pairs
♦Q, ♥5, ♣K, ♠K, ♠8 | pair
♦Q, ♥5, ♣K, ♦5, ♣10 | pair
♦Q, ♥5, ♣K, ♦5, ♠J | pair
♦Q, ♥5, ♣K, ♦5, ♣3 | pair
♦Q, ♥5, ♣K, ♦5, ♣10 | pair
♦Q, ♥5, ♣K, ♦5, ♣5 | three of a kind
♦Q, ♥5, ♣K, ♦5, ♠8 | pair
♦Q, ♥5, ♣K, ♣10, ♣10 | pair
♦Q, ♥5, ♣K, ♣10, ♣5 | pair
♦Q, ♥5, ♣K, ♠J, ♣5 | pair
♦Q, ♥5, ♣K, ♣3, ♣5 | pair
♦Q, ♥5, ♣K, ♣10, ♣5 | pair
♦Q, ♥5, ♣K, ♣5, ♠8 | pair
♦Q, ♥5, ♣A, ♥5, ♠K | pair
♦Q, ♥5, ♣A, ♥5, ♦5 | three of a kind
♦Q, ♥5, ♣A, ♥5, ♣10 | pair
♦Q, ♥5, ♣A, ♥5, ♠J | pair
♦Q, ♥5, ♣A, ♥5, ♣3 | pair
♦Q, ♥5, ♣A, ♥5, ♣10 | pair
♦Q, ♥5, ♣A, ♥5, ♣5 | three of a kind
♦Q, ♥5, ♣A, ♥5, ♠8 | pair
♦Q, ♥5, ♣A, ♠K, ♦5 | pair
♦Q, ♥5, ♣A, ♠K, ♣5 | pair
♦Q, ♥5, ♣A, ♦5, ♣10 | pair
♦Q, ♥5, ♣A, ♦5, ♠J | pair
♦Q, ♥5, ♣A, ♦5, ♣3 | pair
♦Q, ♥5, ♣A, ♦5, ♣10 | pair
♦Q, ♥5, ♣A, ♦5, ♣5 | three of a kind
♦Q, ♥5, ♣A, ♦5, ♠8 | pair
♦Q, ♥5, ♣A, ♣10, ♣10 | pair
♦Q, ♥5, ♣A, ♣10, ♣5 | pair
♦Q, ♥5, ♣A, ♠J, ♣5 | pair
♦Q, ♥5, ♣A, ♣3, ♣5 | pair
♦Q, ♥5, ♣A, ♣10, ♣5 | pair
♦Q, ♥5, ♣A, ♣5, ♠8 | pair
♦Q, ♥5, ♥5, ♠K, ♦5 | three of a kind
♦Q, ♥5, ♥5, ♠K, ♣10 | pair
♦Q, ♥5, ♥5, ♠K, ♠J | pair
♦Q, ♥5, ♥5, ♠K, ♣3 | pair
♦Q, ♥5, ♥5, ♠K, ♣10 | pair
♦Q, ♥5, ♥5, ♠K, ♣5 | three of a kind
♦Q, ♥5, ♥5, ♠K, ♠8 | pair
♦Q, ♥5, ♥5, ♦5, ♣10 | three of a kind
♦Q, ♥5, ♥5, ♦5, ♠J | three of a kind
♦Q, ♥5, ♥5, ♦5, ♣3 | three of a kind
♦Q, ♥5, ♥5, ♦5, ♣10 | three of a kind
♦Q, ♥5, ♥5, ♦5, ♣5 | four of a kind!
♦Q, ♥5, ♥5, ♦5, ♠8 | three of a kind
♦Q, ♥5, ♥5, ♣10, ♠J | pair
♦Q, ♥5, ♥5, ♣10, ♣3 | pair
♦Q, ♥5, ♥5, ♣10, ♣10 | two pairs
♦Q, ♥5, ♥5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♥5, ♣10, ♠8 | pair
♦Q, ♥5, ♥5, ♠J, ♣3 | pair
♦Q, ♥5, ♥5, ♠J, ♣10 | pair
♦Q, ♥5, ♥5, ♠J, ♣5 | three of a kind
♦Q, ♥5, ♥5, ♠J, ♠8 | pair
♦Q, ♥5, ♥5, ♣3, ♣10 | pair
♦Q, ♥5, ♥5, ♣3, ♣5 | three of a kind
♦Q, ♥5, ♥5, ♣3, ♠8 | pair
♦Q, ♥5, ♥5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♥5, ♣10, ♠8 | pair
♦Q, ♥5, ♥5, ♣5, ♠8 | three of a kind
♦Q, ♥5, ♠K, ♦5, ♣10 | pair
♦Q, ♥5, ♠K, ♦5, ♠J | pair
♦Q, ♥5, ♠K, ♦5, ♣3 | pair
♦Q, ♥5, ♠K, ♦5, ♣10 | pair
♦Q, ♥5, ♠K, ♦5, ♣5 | three of a kind
♦Q, ♥5, ♠K, ♦5, ♠8 | pair
♦Q, ♥5, ♠K, ♣10, ♣10 | pair
♦Q, ♥5, ♠K, ♣10, ♣5 | pair
♦Q, ♥5, ♠K, ♠J, ♣5 | pair
